en,es,tr,fr,pt,title,speaker,duration,tags
"
","
","
","
","
",This is what democracy looks like,Anthony D. Romero,12:48,"activism,communication,democracy,global issues,government,future,immigration,history,inequality,peace,news,politics,refugees,social change,security,society,United States"
"
											Silicon Valley
is obsessed with disruption,
											but these days, the biggest disruptor
didn't come out of Silicon Valley.
											It came out of steel towns in Ohio,
											rural communities in Pennsylvania,
											the Panhandle in Florida.
											And this last US presidential election
											was the mother of all disruptions.
											Once again, politics is personal.
											Millions of Americans
became activists overnight,
											pouring into the streets in record numbers
											in record time.
									","
											Silicon Valley está
obsesionado con el cambio,
											pero hoy, los mayores responsables
de tales cambios no vienen de allí,
											sino de las ciudades del acero de Ohio,
											de las comunidades rurales de Pensilvania,
											o la zona costera de Florida.
											La última elección presidencial en EE.UU.
ha sido la madre de todos los cambios.
											Una vez más, un acto político
es un acto personal.
											Millones de estadounidenses
se convirtieron en activistas
											de la noche a la mañana,
											invadiendo las calles en una cantidad
y en un tiempo récord.
									","
											Silikon Vadisi'nin
karmaşa takıntısı vardır,
											fakat bugünlerde, en büyük
karmaşa Silikon Vadisi'nden çıkmadı.
											Ohio'daki çelik şehirlerinden,
											Pensilvanya'daki kırsal topluluklardan
											ve Florida'daki Panhandle'dan çıktı.
											ABD'deki sonuncu başkanlık seçimi ise
											tüm karmaşanın ana kaynağı.
											Bir kez daha, politika kişiselleşti.
											Milyonlarca Amerikalı
bir gecede aktivist hâline dönüştü
											ve çok kısa bir zamanda,
rekor sayıda insan sokaklara döküldü.
									","
											La Silicon Valley est obsédée
par la rupture,
											mais dernièrement, le plus grand
bouleversement n'est pas venu de là.
											Il est venu des villes
de l'acier de l'Ohio,
											des communautés rurales de Pennsylvanie,
											de la péninsule de Floride.
											Cette élection présidentielle
aux États-Unis
											a créé toutes les ruptures.
											Encore une fois, 
la politique est un sujet personnel.
											Des millions d'Américains
sont devenus activistes durant la nuit,
											se déversant dans les rues 
en un nombre record,
											en un temps record.
									","
											Silicon Valley é obcecado por 
perturbações,
											mas ultimamente, a maior perturbação
não veio do Vale do Silício.
											Veio das cidades de aço em Ohio,
											comunidades rurais em Pensilvânia,
											a Panhandle de Florida.
											Esta última eleição presidencial dos EUA
											foi o extremo das perturbações.
											Uma vez mais, a política é uma 
questão pessoal.
											Milhões de norte-americanos 
tornaram-se ativistas da noite para o dia,
											saindo para as ruas em números recorde,
											em tempo recorde.
									",This is what democracy looks like,Anthony D. Romero,12:48,"activism,communication,democracy,global issues,government,future,immigration,history,inequality,peace,news,politics,refugees,social change,security,society,United States"
"
","
","
","
","
",This is what democracy looks like,Anthony D. Romero,12:48,"activism,communication,democracy,global issues,government,future,immigration,history,inequality,peace,news,politics,refugees,social change,security,society,United States"
"
											(Laughter)
									","
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Risos)
									",This is what democracy looks like,Anthony D. Romero,12:48,"activism,communication,democracy,global issues,government,future,immigration,history,inequality,peace,news,politics,refugees,social change,security,society,United States"
"
","
","
","
","
",This is what democracy looks like,Anthony D. Romero,12:48,"activism,communication,democracy,global issues,government,future,immigration,history,inequality,peace,news,politics,refugees,social change,security,society,United States"
"
											The election has done
to family holiday dinners
											what Uber has done
to New York City's taxi system.
											Couples have broken up
and marriages disrupted.
											And the election
is doing to my private life
											what Amazon is doing to shopping malls.
											These days, the ACLU
is on the front lines 24/7,
											and even if I manage to sneak away
for a couple of miles on the treadmill,
											any cardio benefit I get
is instantly obliterated
											when I read another presidential tweet
on the headline scroll.
											Even my secret pleasure
											of studying the Italian painters
											have been infected by politics.
									","
											La elección ha tenido el mismo efecto
											sobre las cenas familiares
durante las vacaciones
											que Uber sobre los taxis
de la ciudad de Nueva York.
											Hubo parejas rotas y matrimonios
que llegaron a su fin.
											Y la elección está haciendo
a mi vida privada
											lo que Amazon está haciendo
a los centros comerciales.
											No cesan las conversaciones sobre la Unión
Estadounidense de Libertades Civiles
											e incluso si consigo escabullirme
para correr unos kilómetros en la cinta,
											cualquier beneficio a favor de mi salud
se desvanece de inmediato
											con solo leer otro tuit presidencial
que encabeza dicha red.
											Incluso mi placer secreto
											de estudiar a los pintores italianos
											ha sido infectado por la política.
									","
											Uber'in New York
taksi sistemine yaptığı şeyi
											bu seçimler de ailelerin
tatil yemeklerine yaptı.
											Çiftler ayrıldı ve evlilikler parçalandı.
											Bu seçim, Amazon'un
AVM'lere yaptığı şeyi
											benim özel hayatıma yapıyor.
											Bu günlerde Amerika Sivil
Haklar Birliği (ACLU) 7/24 ön saflarda
											ve birkaç kilometre ötedeki
koşu bandına kaçabilmeyi başarsam bile,
											ana başlıklarda başkanlığa
dair bir gönderi okuduğum zaman,
											aldığım herhangi bir
kalp desteği, anında yok oluyor.
											Politika, gizli bir tutkum olan
											İtalyan ressamları inceleme
											eylemimi bile etkiledi.
									","
											Cette élection a fait au repas de famille
											ce qu'Uber a fait au système 
de taxis new-yorkais.
											Des couples se sont séparés, 
des mariages ont été perturbés.
											Cette élection fait à ma vie privée
											ce qu'Amazon fait aux centres commerciaux.
											Ces derniers jours, l'ACLU est
sur le front 24h sur 24, 7 jours sur 7,
											et même si j'arrive à m'échapper 
sur le tapis de course,
											tout le bénéfice de ma séance cardio
est immédiatement anéanti
											quand je lis un nouveau tweet
du président dans les actualités.
											Même mon plaisir secret
											d'étudier les peintres italiens
											a été infecté par la politique.
									","
											A eleição fez aos jantares de férias 
em família
											o que a Uber fez ao sistema táxi
da cidade de Nova Iorque.
											Casais têm-se separado e 
casamentos terminado,
											E a eleição está a fazer à minha 
vida privada
											o que a Amazon está a fazer 
aos centros comerciais.
											Ultimamente, a UALC está 
nas manchetes 24 horas por dia,
											e mesmo que me consiga escapar
para correr na passadeira,
											qualquer beneficio cardíaco que eu 
obtenha é instantaneamente destruído
											ao ler outro ""tweet"" presidencial 
nas atualizações.
											Até o meu prazer secreto
											de estudar os pintores Italianos
											foi infetado pela política,
									",This is what democracy looks like,Anthony D. Romero,12:48,"activism,communication,democracy,global issues,government,future,immigration,history,inequality,peace,news,politics,refugees,social change,security,society,United States"
"
","
","
","
","
",This is what democracy looks like,Anthony D. Romero,12:48,"activism,communication,democracy,global issues,government,future,immigration,history,inequality,peace,news,politics,refugees,social change,security,society,United States"
"
											Now, I study, even stalk, the old masters.
											This is my desk,
											with a postcard exhibition
											of some famous and obscure paintings
											mostly from the Italian Renaissance.
											Now, art used to provide me
with a necessary break
											from the hurly-burly of politics
											in my daily work at the ACLU,
											but not anymore.
									","
											Yo estudio, incluso persigo
a los viejos maestros.
											Este es mi escritorio,
											con una exposición postal
											de algunas pinturas famosas y oscuras
											la mayoría del Renacimiento italiano.
											El arte solía proporcionarme
el descanso necesario
											lejos del barullo de la política
											que me persigue a diario en la UALC.
											Pero ya no.
									","
											Şimdi eski ustaları
çalışıyorum, hatta araştırıyorum.
											Bu benim masam,
											üzerinde bir kartpostal sergisi
											ve çoğu İtalyan Rönesansı'ndan olan
											bazı ünlü ve ünsüz resimler var.
											Sanat, ACLU'daki
günlük çalışma hayatımda bana
											politikanın karmaşasından
											kaçma şansı tanıyordu,
											artık tanımıyor.
									","
											J'étudie avec insistance
les anciens maîtres.
											C'est mon bureau,
											avec une expostion de cartes postales
											de peintures connues ou non
											de l'Italie de la Renaissance.
											L'art était pour moi une pause nécessaire
											du tohu-bohu de la politique
											dans mon travail quotidien pour l'ACLU,
											mais plus maintenant.
									","
											Agora, eu estudo, até persigo, 
os velhos mestres.
											Isto é a minha secretária,
											com a exibição do cartão postal
											de algumas famosas e obscuras pinturas
											sobretudo dos renascentistas Italianos.
											Agora, arte costumava fornecer-me uma 
pausa imprescindível
											das agitações políticas
											no meu trabalho diário em UALC,
											mas agora não.
									",This is what democracy looks like,Anthony D. Romero,12:48,"activism,communication,democracy,global issues,government,future,immigration,history,inequality,peace,news,politics,refugees,social change,security,society,United States"
"
","
","
","
","
",This is what democracy looks like,Anthony D. Romero,12:48,"activism,communication,democracy,global issues,government,future,immigration,history,inequality,peace,news,politics,refugees,social change,security,society,United States"
"
											I was at the Women's March
in San Francisco
											the day after inauguration,
											and the crowd was chanting,
""This is what democracy looks like.""
											""This is what democracy looks like.""
											And there I was holding my sign
and my umbrella in the rain,
											and I flashed on an old painting
											that first captivated me many years ago.
											I struggled to remember
the different pieces
											of an actual painting
											of good and bad government.
											It was almost like the old master
was taunting me.
											You want to know
what democracy looks like?
											Go back and look at my frescoes.
									","
											Estaba en el Marcha de Mujeres
en San Francisco
											al día siguiente a la inauguración,
											y la multitud estaba cantando,
											""Esto es la democracia"",
""Esto es la democracia"".
											Y allí estaba yo sosteniendo mi cartel
y mi paraguas bajo la lluvia,
											y de repente me vino
a la cabeza una vieja pintura
											que me cautivó por primera vez
hace muchos años.
											Luché por recordar cuales serían
las piezas claves de una pintura real
											de un buen y mal gobierno.
											Era casi como si el viejo maestro
pintor se burlara de mí:
											¿Quieres saber cómo es la democracia?
											Vuelve y mira mis frescos"".
									","
											Açılış töreninden bir sonraki
gün San Francisco'da
											""Women's March"" (Kadın Yürüyüşü)'taydım
											ve kalabalık şöyle bağırıyordu;
""Demokrasi böyle bir şeydir"".
											""Demokrasi böyle bir şeydir.""
											Ben de orada, yağmurun altında,
pankartımı ve şemsiyemi tutuyordum
											ve yıllar önce dikkatimi çeken
											eski bir resim aklıma geldi.
											Gerçek bir iyi-kötü devlet resminin
											farklı parçalarını hatırlamak için
											çaba gösterdim.
											Sanki eski usta benimle alay ediyordu.
											Demokrasi nasıl bir şey midir?
											Gidip duvardaki resimlere bakmalıyım.
									","
											J'étais à la marche des femmes

											le lendemain de l'inauguration,
											et la foule scandait :
« C'est ça, la démocratie.
											C'est ça, la démocratie. »
											Et je tenais ma pancarte
et mon parapluie sous la pluie,
											et je me suis rappelé d'un vieux tableau
											qui m'avait captivé il y a longtemps.
											J'ai lutté pour me rappeler des détails
											d'un tableau représentant
											un bon et un mauvais gouvernement.
											C'était comme si
un ancien maître me narguait.
											Tu veux savoir ce qu'est la démocratie ?
											Va regarder mes fresques.
									","
											Eu estava na Marcha das Mulheres
em São Francisco
											no dia após a inauguração,
											e a multidão estava a cantar:
""É assim que a democracia se parece .""
											""É assim que a democracia se parece .""
											E ali estava eu a segurar o meu sinal
e o meu guarda-chuva à chuva,
											e eu lembrei-me de uma antiga pintura
											que me cativou há muitos anos.
											Eu esforcei-me por me lembrar das 
diferentes peças
											de uma pintura verdadeira
											sobre o bom e o mau governo.
											Foi quase como se o antigo mestre
me estivesse a provocar.
											Queres saber
como é que a democracia se parece?
											Volta atrás e olha para as minhas obras.
									",This is what democracy looks like,Anthony D. Romero,12:48,"activism,communication,democracy,global issues,government,future,immigration,history,inequality,peace,news,politics,refugees,social change,security,society,United States"
