en,fr,title,speaker,duration,tags
"
","
",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
"
											I am a labor organizer,
											and in 2013, I cofounded
an organization called coworker.org
											that uses technology
to help people join with coworkers
											and organize for improvements
in the workplace.
									","
											Je suis organisatrice syndicale
											et en 2013, j'ai co-fondé une institution
nommée coworker.org
											qui utilise la technologie pour aider
les gens à s'associer à des collègues
											pour organiser des améliorations
de leur environnement de travail.
									",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
"
","
",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
"
											Now, there are two kinds
of reactions to what I do.
											Actually, no, there are three.
											The first is complete confusion
about what organizing is.
											When my doctor asked
what I do and I told him,
											he thought I meant organizing,
like, Marie Kondo-style.
									","
											Mon travail suscite
deux types de réactions.
											Non, en fait, il y en a trois.
											La première est la confusion totale
sur ce que signifie « organiser ».
											Quand mon médecin m'a posé la question
et que je lui ai répondu,
											il a cru que je faisais un rangement
à la mode de Marie Kondo.
									",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
"
","
",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
"
											(Laughter)
									","
											(Rires)
									",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
"
","
",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
"
											He was like, ""Oh, that's so great,
I could use some of that around here.
											I would love to clean up
our patient files.""
											And I had to explain to him that no, no,
it's not that kind of organizing,
											it's more like if you showed up
to work tomorrow
											and all the nurses in the office
had gotten together
											to ask for an across-the-board raise.
									","
											Il m'a dit : « Oh, c'est super,
j'en aurais bien besoin ici aussi.
											J'aimerais ranger les fichiers
de mes patients. »
											J'ai dû lui expliquer que
ce n'était pas ce type de rangement.
											Ça ressemble plutôt à votre arrivée
au bureau demain matin
											et les infirmières vous accueillent
ensemble
											pour demander une augmentation salariale.
									",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
"
","
",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
"
											(Laughter)
									","
											(Rires)
									",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
"
","
",What productive conflict can offer a workplace,Jess Kutch,6:17,"work,policy,social change,future,communication,economics,TED Fellows,culture,community,leadership"
