en,tr,fr,es,title,speaker,duration,tags
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Music: ""East Virginia"")
									","
											(Müzik: ""East Virginia"")
									","
											(Musique : « East Virginia »)
									","
											(Música: ""East Virginia"")
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Banjo)
									","
											(Banjo)
									","
											(Banjo)
									","
											(Banyo)
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											(Singing) I'm from
											old East Virginia.
									","
											(Şarkı) Ben...
											...eski Doğu Virjinyalıyım.
									","
											(Chant) Je viens
											de l'ancienne Virginie de l'est.
									","
											(Cantando) Yo soy
											de la vieja Virginia del Este,
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											North Carolina
									","
											Kuzey Karolina'ya da
									","
											La Caroline du Nord,
									","
											Carolina del Norte.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											I did go.
									","
											gittim.
									","
											j'y suis allé.
									","
											Yo fui allí.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											I met
											a fair, young maiden.
									","
											Orada açık tenli...
											...genç bir kızla tanıştım.
									","
											J'ai rencontré
											une belle jeune fille.
									","
											Encontré
											una bella y joven doncella.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
											Her name I did not know.
									","
											İsmini bilmiyordum.
									","
											J'ignorais son nom.
									","
											Su nombre no lo sabía.
									","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
"
","
","
","
","""East Virginia"" / ""John Brown's Dream""",Nora Brown,9:11,"music,live music,vocals,performance,history"
