en,es,fr,tr,pt,title,speaker,duration,tags
"
","
","
","
","
",A summer school kids actually want to attend,Karim Abouelnaga,7:05,"children,inequality,education,personal growth,social change,teaching,society,TED Fellows"
"
											Getting a college education
											is a 20-year investment.
											When you're growing up poor,
											you're not accustomed
to thinking that far ahead.
											Instead, you're thinking about
where you're going to get your next meal
											and how your family
is going to pay rent that month.
											Besides, my parents
and my friends' parents
											seemed to be doing just fine
driving taxis and working as janitors.
											It wasn't until I was a teenager
											when I realized I didn't
want to do those things.
											By then, I was two-thirds of the way
through my education,
											and it was almost too late
to turn things around.
									","
											Una educación universitaria
											es una inversión a 20 años.
											Al crecer pobre,
											no estás acostumbrado
a pensar a tan largo plazo.
											En cambio piensas de dónde
vas a sacar tu siguiente comida
											y cómo tu familia
va a pagar el alquiler del mes.
											Además, a mis padres
y a los padres de mis amigos
											les iba bastante bien
trabajando de taxistas y conserjes.
											No fue hasta mi adolescencia
											cuando supe que
yo no quería hacer esas cosas.
											Para entonces, ya había completado
dos tercios de mi educación
											y casi era demasiado tarde para cambiar.
									","
											Obtenir une éducation universitaire
											est un investissement sur 20 ans.
											Quand vous grandissez pauvre,
											vous n'avez pas l'habitude
de prévoir autant à l'avance.
											Vous pensez plutôt à d'où viendra
votre prochain repas
											et comment votre famille
paiera la loyer ce mois-ci.
											En outre, mes parents
et les parents de mes amis
											semblaient très bien s'en sortir
à conduire des taxis et à être concierge.
											Ce n'est qu'adolescent
											que j'ai réalisé ne pas vouloir
faire ces choses.
											Arrivé là, j'étais aux deux tiers
de mon éducation
											et il était presque trop tard
pour changer les choses.
									","
											Bir üniversite eğitimi almak
											20 yıllık bir yatırımdır.
											Sen yoksul büyüyünce
											çok ileriyi düşünmeye alışkın olmuyorsun.
											Onun yerine, sonraki yemeğini 
nerede yiyeceğini
											ve ailenin bu ay kirayı nasıl
ödeyeceğini düşünüyorsun.
											Bunun yanı sıra, benim ailem
ve arkadaşlarımın aileleri
											sadece iyi taksi sürücüleri ve kapıcı
olarak çalışıyor gibi görünürdü.
											Ben bir delikanlı olana kadar
											bunları yapmak istemediğimin
farkına varmamıştım.
											O zamana kadar eğitimimin
üçte ikisini tamamlamıştım
											ve geriye dönmek için çok geçti.
									","
											Tirar um curso universitário
											é um investimento de 20 anos.
											Quando crescemos na pobreza,
											não estamos habituados 
a pensar a tão grande distância.
											Pensamos, sobretudo,
de onde virá a próxima refeição
											e como é que a família
vai pagar a renda do mês.
											Além disso, os meus pais
e os pais dos meus amigos
											pareciam sair-se bem a guiar táxis
e a trabalhar como porteiros.
											Foi só quando atingi a adolescência
											que percebi que não queria
fazer essas coisas.
											Nessa altura, eu estava a dois terços
de completar a minha educação
											e era demasiado tarde
para alterar as coisas.
									",A summer school kids actually want to attend,Karim Abouelnaga,7:05,"children,inequality,education,personal growth,social change,teaching,society,TED Fellows"
"
","
","
","
","
",A summer school kids actually want to attend,Karim Abouelnaga,7:05,"children,inequality,education,personal growth,social change,teaching,society,TED Fellows"
"
											When you grow up poor,
you want to be rich.
											I was no different.
											I'm the second-oldest of seven,
											and was raised by a single mother
on government aid
											in Queens, New York.
											By virtue of growing up low-income,
											my siblings and I went
to some of New York City's
											most struggling public schools.
											I had over 60 absences
when I was in seventh grade,
											because I didn't feel like going to class.
											My high school had
a 55 percent graduation rate,
											and even worse,
											only 20 percent of the kids graduating
											were college-ready.
									","
											Cuando creces pobre, quieres ser rico.
											Yo era igual.
											Soy el segundo de siete hijos
											y me educó una madre soltera
con ayudas estatales
											en Queens, Nueva York.
											Al crecer en la clase baja,
											mis hermanos y yo fuimos
a algunas de las escuelas
											más problemáticas de Nueva York.
											Yo tuve más de 60 faltas
cuando estaba en 1º de ESO,
											porque no me apetecía ir a clase.
											Mi instituto tenía una
tasa de graduación del 55 %
											y aún peor,
											solo 20 % de los jóvenes que se graduaban
											tenían nivel universitario.
									","
											Quand vous grandissez pauvre,
vous voulez être riche.
											Je n'étais pas différent.
											J'étais le second de sept enfants,
											élevés par une mère célibataire
avec l'aide gouvernementale
											dans le Queens, New York.
											Du fait de notre faible revenu,
											nous avons été dans l'une
des écoles publiques
											les plus en difficulté de New York.
											J'avais plus de 60 absences
quand j'étais en 5ème
											car je n'avais pas envie d'aller en cours.
											Mon lycée avait un taux de réussite de 55%
											et, pire encore,
											seuls 20% des enfants obtenant le bac
											étaient prêts pour l'université.
									","
											Fakir büyüyünce zengin olmak istersin.
											Ben farklı değildim.
											Ben yedi kardeşin ikinci büyüğüyüm
											ve bir anne tarafından devlet yardımıyla
											New York, Queens'de yetiştirildim.
											Düşük gelirle yetişmenin sayesinde
											kardeşlerim ve ben 
New York şehrinin karışık
											okullarından bazılarına gittik.
											Yedinci sınıftayken 60'ın 
üzerinde devamsızlığım vardı
											çünkü okula gitmek istemiyordum.
											Benim lisemin yüzde 55 mezun oranı vardı
											ve daha kötüsü,
											mezun olan çocukların sadece yüzde 20'si
											üniversiteye hazırdı.
									","
											Quando crescemos na pobreza,
queremos ser ricos.
											Eu não era diferente.
											Sou o segundo mais velho
de sete irmãos
											e fui criado por uma mãe solteira
com a ajuda do governo,
											em Queens, Nova Iorque.
											Dado termos crescido
com rendimentos baixos,
											os meus irmãos e eu
fomos para as escolas públicas
											mais problemáticas de Nova Iorque.
											Eu já tinha mais de 60 faltas
quando estava no sétimo ano,
											porque não me apetecia nada
ir para as aulas.
											O meu liceu tinha 55%
de taxa de sucesso
											e, pior ainda,
											só 20% dos miúdos
que acabavam o liceu
											estavam preparados para a faculdade.
									",A summer school kids actually want to attend,Karim Abouelnaga,7:05,"children,inequality,education,personal growth,social change,teaching,society,TED Fellows"
"
","
","
","
","
",A summer school kids actually want to attend,Karim Abouelnaga,7:05,"children,inequality,education,personal growth,social change,teaching,society,TED Fellows"
"
											When I actually did make it to college,
											I told my friend Brennan
											how our teachers would always ask us
to raise our hands
											if we were going to college.
											I was taken aback when Brennan said,
											""Karim, I've never been asked
that question before.""
											It was always, ""What college
are you going to?""
											Just the way that question is phrased
											made it unacceptable for him
not to have gone to college.
									","
											Cuando llegué a la universidad,
											le conté a mi amigo Brennan
											que nuestros profesores siempre nos
hacían levantar la mano
											si íbamos a ir la universidad.
											No me creí cuando Brennan me dijo:
											""Karim, a mí nunca me han preguntado eso"".
											Siempre decían: ""¿A qué
universidad vas a ir?""
											Solamente la forma de preguntar
											le hacía inaceptable
no ir a la universidad.
									","
											Quand j'ai fini par aller à l'université,
											j'ai raconté à mon ami Brennan
											que nos professeurs nous demandaient
toujours de lever la main
											si nous voulions aller à l'université.
											J'ai été surpris quand Brennan a dit :
											« Karim, on ne m'a jamais posé
cette question auparavant. »
											C'était toujours :
« A quelle université iras-tu ? »
											La manière dont la question est tournée
											rendait cela inacceptable
qu'il n'aille pas à l'université.
									","
											Ben üniversiteyi kazandığımda
											arkadaşım Brennan'a
											eğer üniversiteye gidiyor 
olsaydık öğretmenlerimizin
											nasıl ellerimizi kaldırmamızı 
isteyeceğini söyledim.
											Brennan ""Karim, bu soruyu daha önce
hiç sormadım."" dediğinde
											şaşırıp kalmıştım.
											Her zaman ""Hangi üniversiteye gidiyorsun?""
											Sadece bu sorunun ifade ediliş şekli
											onun, üniversiteye gitmemiş
olmasını kabul edilemez yaptı.
									","
											Quando consegui ir para a faculdade,
											contei ao meu amigo Brennan
											que os professores estavam sempre
a pedir-nos para levantar a mão
											se queríamos ir para a faculdade.
											Fiquei espantado quando Brennan disse:
											""Karim, nunca ninguém me perguntou isso.
											""Perguntavam-me sempre:
'Para que faculdade queres ir?' ""
											Só a forma como esta pergunta era feita
											tornava-lhe inaceitável pensar
que não iria para a faculdade.
									",A summer school kids actually want to attend,Karim Abouelnaga,7:05,"children,inequality,education,personal growth,social change,teaching,society,TED Fellows"
"
","
","
","
","
",A summer school kids actually want to attend,Karim Abouelnaga,7:05,"children,inequality,education,personal growth,social change,teaching,society,TED Fellows"
"
											Nowadays I get asked a different question.
											""How were you able to make it out?""
											For years I said I was lucky,
											but it's not just luck.
											When my older brother and I
graduated from high school
											at the very same time
											and he later dropped out
of a two-year college,
											I wanted to understand why he dropped out
											and I kept studying.
											It wasn't until I got to Cornell
as a Presidential Research Scholar
											that I started to learn about
the very real educational consequences
											of being raised by a single mother
on government aid
											and attending the schools that I did.
											That's when my older brother's trajectory
began to make complete sense to me.
									","
											Ahora me preguntan otra cosa:
											""¿Cómo saliste de esas condiciones?"".
											Durante años dije que había tenido suerte,
											pero no fue solo suerte.
											Cuando mi hermano mayor y yo
nos graduamos del instituto
											al mismo tiempo
											y después él abandonó
una carrera de dos años,
											quería entender por qué 
él había dejado los estudios
											y yo seguía estudiando.
											Solo al convertirme en
investigador académico en Cornell
											empecé a aprender sobre
las consecuencias muy reales
											de ser criado por una madre soltera
con ayudas estatales
											y de ir a las escuelas a las que fui.
											En ese momento la trayectoria
de mi hermano empezó a tener sentido.
									","
											Aujourd'hui, on me pose
une autre question :
											« Comment as-tu réussi à t'en sortir ? »
											Durant des années, j'ai dit être chanceux,
											mais il n'y a pas que ça.
											Quand mon frère aîné et moi
avons obtenu notre bac
											au même moment,
											qu'il a ensuite abandonné l'université,
											je voulais comprendre
pourquoi il avait abandonné
											et j'avais continué.
											Ce n'est qu'à mon arrivée à Cornell
en tant que chercheur en politique
											que j'ai commencé à découvrir
les conséquences éducationnelles réelles
											d'être élevé par une mère célibataire
avec l'aide gouvernementale
											et d'aller à l'école où j'allais.
											C'est là que la trajectoire
de mon frère aîné a pris sens.
									","
											Bu günlerde farklı bir soru aldım.
											""Nasıl başarabildin?""
											Yıllarca şanslı olduğumu söyledim,
											ama sadece şans değil.
											Ağabeyim ve ben liseden aynı zamanda
											mezun olduk
											ve o iki yıllık bir üniversiteden ayrıldı,
											niye bıraktığını anlamak istedim
											ve okumaya devam ettim.
											Cornell'a Araştırma Görevlisi 
Başkanı olarak gelene kadar
											devlet yardımıyla bir tek anne
tarafından yetiştirilmenin
											ve gittiğim okullara katılım sağlamanın
											önemini öğrenmeye başlamamıştım.
											Ağabeyimin yolunun bana tam
bir anlam ifade ettiği zamandı.
									","
											Atualmente, fazem-me
uma pergunta diferente:
											""Como é que conseguiste lá chegar?""
											Durante anos, eu dizia
que tinha tido sorte,
											mas não foi só sorte.
											Quando o meu irmão mais velho e eu
											acabámos o secundário,
ao mesmo tempo,
											ele acabou por abandonar
um curso de dois anos.
											Eu queria perceber
porque é que ele abandonara
											e continuei a estudar.
											Foi só quando cheguei a Cornell
como investigador presidencial
											que comecei a descobrir
as verdadeiras consequências educativas
											de ter sido criado por uma mãe solteira
com a ajuda do governo
											e de ter frequentado
as escolas que frequentara.
											Foi aí que comecei a perceber
a trajetória do meu irmão mais velho.
									",A summer school kids actually want to attend,Karim Abouelnaga,7:05,"children,inequality,education,personal growth,social change,teaching,society,TED Fellows"
"
","
","
","
","
",A summer school kids actually want to attend,Karim Abouelnaga,7:05,"children,inequality,education,personal growth,social change,teaching,society,TED Fellows"
"
											I also learned that our most admirable
education reformers,
											people like Arne Duncan,
the former US Secretary of Education,
											or Wendy Kopp, the founder
of Teach For America,
											had never attended an inner city
public school like I had.
											So much of our education reform
is driven by a sympathetic approach,
											where people are saying,
											""Let's go and help
these poor inner city kids,
											or these poor black and Latino kids,""
											instead of an empathetic approach,
											where someone like me, who had grown up
in this environment, could say,
											""I know the adversities that you're facing
											and I want to help you overcome them.""
									","
											También aprendí que nuestros
reformadores educativos más admirables,
											gente como Arne Duncan,
exsecretario de educación de EE. UU.,
											o Wendy Kopp, la fundadora
de Teach For America,
											no habían ido a escuelas
en barrios marginales como yo.
											La mayor parte de la reforma de la
educación se enfoca desde la simpatía,
											la gente dice:
											""Vamos a ayudar a estos
pobres niños de zonas marginales,
											o a estos pobres niños negros o latinos"";
											en lugar de enfocarse en la empatía,
											con alguien como yo, que haya crecido
en este ambiente pueda decir:
											""conozco las adversidades
a las que te enfrentas
											y quiero ayudarte a superarlas.""
									","
											J'ai aussi appris que nos réformateurs
de l'éducation les plus admirables,
											des gens comme Arne Duncan,
ancien secrétaire à l'éducation,
											ou Wendy Knopp, fondatrice
de « Teach For America »,
											n'étaient jamais allés
dans une telle école publique.
											Une si grande partie de la réforme
de l'éducation est menée par sympathie,
											par des gens disant :
											« Allons aider ces pauvres
gamins du centre ville,
											ces pauvres enfants
noirs et hispaniques »,
											au lieu d'une approche empathique
											où quelqu'un comme moi, ayant grandi
dans cet environnement dirait :
											« Je connais les difficultés
que vous rencontrez
											et je veux vous aider à les surmonter. »
									","
											Ayrıca önceki Amerika eğitim 
sekreteri Arne Duncan,
											veya Amerika İçin Öğret'in 
kurucusu Wendy Kopp gibi
											takdire şayan eğitim reformcularının
önceden benim katıldığım gibi
											şehir içi okullara katılmadığını öğrendim.
											Eğitim reformumuzun çoğu 
""Karşılaştığın olumsuzlukları biliyorum
											ve onların üstesinden gelmene
											yardım etmek istiyorum.""
											diyen yaklaşım yerine
											""Hadi gidelim ve o şehir içi çocuklarına
											ya da o zavallı siyah ve
											Latin çocuklara yardım edelim.""

											diyen sempatik yaklaşım 
tarafından yönetiliyor.
									","
											Também percebi que os nossos reformadores
do ensino mais admiráveis
											— pessoas como Arne Duncan,
antigo Secretário do Ensino dos EUA,
											ou Wendy Kopp, o fundador
do ""Ensino para a América"" —
											nunca tinham frequentado
uma escola pública como a minha.
											Uma grande parte das reformas do ensino
são motivadas pela simpatia,
											em que as pessoas dizem:
											""Vamos ajudar estes pobres miúdos
das cidades do interior,
											""estes pobres miúdos negros e latinos"",
											em vez de uma abordagem empática.
											em que alguém como eu,
que cresceu neste ambiente, diria:
											""Conheço as adversidades
que vocês enfrentam
											""e quero ajudar-vos a ultrapassá-las"".
									",A summer school kids actually want to attend,Karim Abouelnaga,7:05,"children,inequality,education,personal growth,social change,teaching,society,TED Fellows"
