en,es,fr,title,speaker,duration,tags
"
","
","
",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
											In my early days as a graduate student,
											I went on a snorkeling trip
off the coast of the Bahamas.
											I'd actually never swum
in the ocean before,
											so it was a bit terrifying.
											What I remember the most is,
as I put my head in the water
											and I was trying really hard
to breathe through the snorkel,
											this huge group
of striped yellow and black fish
											came straight at me ...
											and I just froze.
											And then, as if it had
suddenly changed its mind,
											came towards me
and then swerved to the right
											and went right around me.
											It was absolutely mesmerizing.
											Maybe many of you
have had this experience.
											Of course, there's the color
and the beauty of it,
											but there was also
just the sheer oneness of it,
											as if it wasn't hundreds of fish
											but a single entity
with a single collective mind
											that was making decisions.
											When I look back, I think that experience
really ended up determining
											what I've worked on for most of my career.
									","
											En mis primeros días de estudiante
											fui a hacer esnórquel,
en la costa de las Bahamas.
											En realidad, nunca había nadado
en el océano antes,
											así que fue un poco aterrador.
											Lo que más recuerdo es que,
al meter la cabeza en el agua
											y tratar de respirar 
a través del esnórquel,
											un enorme grupo
de peces rayados, amarillos y negros
											vinieron directamente a mí...
											y me quedé helada.
											Y entonces, como si hubieran
cambiado repentinamente de opinión,
											vinieron hacia mí y
y luego giraron a la derecha
											y se me acercaron.
											Fue absolutamente fascinante.
											Tal vez muchos de Uds.
han tenido esta experiencia.
											Por supuesto, está el color
y la belleza de esto,
											pero también fue solo
la pura unidad de ello,
											no como si fueran cientos de peces
											sino una sola entidad
con una sola mente colectiva
											que estaba tomando decisiones.
											Cuando miro hacia atrás, creo 
que esto realmente determinó
											en lo que trabajaría la 
mayoría de mi carrera.
									","
											Au tout début de mes études,
											je suis partie en voyage aux Bahamas 
pour faire de la plongée en apnée.
											Je n'avais jamais vraiment nagé en mer,
											donc ça me faisait très peur.
											Ce qui m'a frappée, c'est,
lorsque j'ai mis la tête sous l'eau,
											alors que j'essayais 
de respirer dans le tuba,
											un énorme banc de poissons 
rayés de jaune et noir
											est venu droit sur moi...
											J'étais tétanisée.
											Alors, comme s'il avait 
soudainement changé d'avis,
											il s'est approché de moi
											et m'a contournée par la droite.
											C’était absolument fascinant.
											Peut-être avez-vous 
déjà eu cette expérience.
											Bien sûr, 
je parle de la beauté des couleurs
											mais surtout de son unité pure et simple,
											comme si ces centaines de poissons
											ne formaient qu'une seule entité, 
avec un unique esprit collectif
											qui prenait les décisions.
											En y repensant aujourd'hui, 
cette expérience m'a vraiment orientée
											dans ma carrière.
									",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
","
","
",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
											I'm a computer scientist,
											and the field that I work in
is artificial intelligence.
											And a key theme in AI
											is being able to understand intelligence
by creating our own computational systems
											that display intelligence
the way we see it in nature.
											Now, most popular views of AI, of course,
come from science fiction and the movies,
											and I'm personally a big Star Wars fan.
											But that tends to be a very human-centric
view of intelligence.
											When you think of a fish school,
											or when I think of a flock of starlings,
											that feels like a really different
kind of intelligence.
											For starters, any one fish is just so tiny
											compared to the sheer size
of the collective,
											so it seems that any one individual
											would have a really limited
and myopic view of what's going on,
											and intelligence
isn't really about the individual
											but somehow a property
of the group itself.
									","
											Soy científica en informática
											y trabajo en inteligencia artificial.
											Y un tema clave en IA
											es ser capaz de entender la inteligencia
creando nuestros propios sistemas
											que muestren inteligencia 
como la vemos en la naturaleza.
											Las opiniones más populares de IA, vienen 
de la ciencia ficción y las películas
											y yo soy una gran fan de Star Wars.
											Pero eso tiende a una visión 
de la inteligencia muy humana.
											Cuando se piensa en un banco de peces
											o en una familia de estorninos,
											se siente como otro tipo de inteligencia.
											Para empezar, cualquier pez es tan pequeño
											comparado con el tamaño total
del colectivo
											que parece que cualquier individuo
											tendría un alcance realmente limitado
y miope de lo que pasa.
											y la inteligencia no trata de individuos
											sino de alguna manera de 
una propiedad del grupo mismo.
									","
											Je suis informaticienne,
											et je travaille
en intelligence artificielle.
											L'un des thèmes majeurs de l'IA
											est d'essayer de comprendre l'intelligence
en créant des systèmes computationnels
											qui reproduisent l'intelligence 
telle qu'observée dans la nature.
											L'image que l'on a de l'IA vient souvent 
de la science-fiction et des films,
											et je suis moi-même 
une grande fan de Star Wars.
											Mais c'est une vision très humaine 
de l'intelligence.
											Dans le cas d'un banc de poissons,
											ou une nuée d'étourneaux,
											on pense à un type d'intelligence 
très différent.
											Tout d'abord, un seul poisson 
est tellement minuscule
											comparé à la seule taille du groupe,
											qu'on dirait qu'un individu à lui seul
											aurait une perception très limitée 
de ce qui se passe,
											et l'intelligence n'est pas liée 
à un individu
											mais est plutôt une propriété
du groupe lui-même.
									",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
","
","
",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
											Secondly, and the thing
that I still find most remarkable,
											is that we know that there are no leaders
supervising this fish school.
											Instead, this incredible
collective mind behavior
											is emerging purely from the interactions
of one fish and another.
											Somehow, there are these interactions
or rules of engagement
											between neighboring fish
											that make it all work out.
									","
											En segundo lugar, y lo que que 
todavía encuentro más notable,
											es que sabemos que no hay líderes
supervisando estos peces.
											En vez de eso, este increíble
comportamiento mental colectivo
											está emergiendo puramente de las 
interacciones de un pez y otro.
											De alguna manera, estas interacciones
o reglas de juego
											entre peces vecinos
											hacen que todo funcione.
									","
											Ensuite, 
et c'est ce que je trouve remarquable,
											nous savons qu'il n'y a pas de meneurs
qui supervisent le banc de poissons.
											Par contre, cet incroyable comportement 
de l'esprit collectif
											résulte uniquement des interactions 
entre chaque poisson.
											Quelque part, 
les interactions ou règles d'engagement
											entre poissons voisins
											semblent tout faire fonctionner.
									",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
","
","
",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
											So the question for AI then becomes,
											what are those rules of engagement
that lead to this kind of intelligence,
											and of course, can we create our own?
									","
											Así que la pregunta para IA 
se convierte en:
											¿cuáles son esas reglas de juego
que llevan a este tipo de inteligencia?
											y claro, ¿podemos crear la nuestra?
									","
											La question pour l'IA devient donc :
											quelles sont ces règles d'engagement
qui mènent à cette sorte d'intelligence,
											et évidemment, peut-on la reproduire ?
									",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
","
","
",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
											And that's the primary thing
that I work on with my team in my lab.
											We work on it through theory,
											looking at abstract rule systems
											and thinking about
the mathematics behind it.
											We also do it through biology,
working closely with experimentalists.
											But mostly, we do it through robotics,
											where we try to create
our own collective systems
											that can do the kinds of things
that we see in nature,
											or at least try to.
									","
											Y eso es lo principal en que 
trabajo con mi equipo en mi laboratorio.
											Trabajamos en ello a través de la teoría,
											mirando los sistemas de reglas abstractas
											y pensando en las matemáticas de fondo.
											También lo hacemos mediante la biología,
en conjunto con los experimentalistas.
											Pero, sobre todo, a través de la robótica
											donde intentamos crear
nuestros propios sistemas colectivos
											que puedan hacer el tipo de cosas
como en la naturaleza,
											o al menos intentarlo.
									","
											C'est le principal sujet sur lequel 
je travaille avec mon équipe.
											On se base sur la théorie,
											des systèmes aux règles abstraites
											et on réfléchit aux mathématiques 
derrière.
											On le fait aussi à travers la biologie,
en travaillant avec des expérimentateurs.
											Mais souvent, à l'aide de la robotique.
											On essaye de créer
nos propres systèmes collectifs
											qui font les mêmes sortes de choses 
que dans la nature
											ou au moins on essaye.
									",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
","
","
",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
											One of our first robotic quests
along this line
											was to create our very own colony
of a thousand robots.
											So very simple robots,
											but they could be programmed
to exhibit collective intelligence,
											and that's what we were able to do.
											So this is what a single robot looks like.
											It's quite small,
about the size of a quarter,
											and you can program how it moves,
											but it can also wirelessly
communicate with other robots,
											and it can measure distances from them.
											And so now we can start to program
exactly an interaction,
											a rule of engagement between neighbors.
											And once we have this system,
											we can start to program many
different kinds of rules of engagement
											that you would see in nature.
									","
											Una de nuestras primeras misiones 
robóticas en esta línea
											fue crear nuestra propia colonia
de mil robots.
											Robots muy simples,
											pero que podrían ser programados
para exhibir inteligencia colectiva,
											y eso es lo que pudimos hacer.
											Así que así es como se ve un robot.
											Es bastante pequeño, 
del tamaño de una moneda,
											y se puede programar cómo se mueven,
											pero también pueden comunicarse
inalámbricamente con otros robots,
											y puede medir las distancias entre ellos.
											Ahora podemos empezar a programar
exactamente una interacción,
											una regla de juego entre vecinos.
											Y una vez que tengamos este sistema,
											podemos empezar a programar 
diferentes tipos de reglas de juego.
											como se vería en la naturaleza.
									","
											Une de nos premières recherches en ce sens
											a été de créer notre propre colonie
d'un millier de robots.
											Des robots très simples,
											programmés dans le but de
reproduire une intelligence collective,
											et c'est ce qu'on a pu faire.
											Voici donc ce à quoi ressemble 
un robot.
											C'est assez petit, 
comme une pièce de monnaie,
											et on peut programmer ses déplacements,
											mais il peut aussi communiquer sans fil
avec les autres robots,
											mesurer sa distance 
par rapport aux autres.
											On peut donc commencer 
à programmer une interaction,
											une règle d'engagement entre voisins.
											Et une fois ce système créé,
											on peut commencer à programmer 
de nombreuses règles d'engagement
											comme dans la nature.
									",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
","
","
",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
											So for example,
spontaneous synchronization,
											how audiences are clapping
and suddenly start all clapping together,
											the fireflies flashing together.
											We can program rules
for pattern formation,
											how cells in a tissue
											determine what role
they're going to take on
											and set the patterns of our bodies.
											We can program rules for migration,
											and in this way, we're really learning
from nature's rules.
									","
											Así, por ejemplo, una
sincronización espontánea,
											cómo aplaude el público
y de repente empiezan a aplaudir juntos,
											las luciérnagas brillando juntas.
											Podemos programar reglas
para la formación de patrones,
											cómo las células en un tejido
											determinar qué papel van a asumir
											y fijar los patrones del cuerpo.
											Podemos programar reglas 
para la migración,
											y de esta manera, aprendemos
de las reglas de la naturaleza.
									","
											Par exemple, 
la synchronisation spontanée,
											comment les applaudissements d'un public 
se synchronisent soudainement,
											les lucioles qui clignotent ensemble.
											On peut programmer des règles 
de formation de modèles,
											comment les cellules d'un tissu
											déterminent leur rôle
											pour former les parties du corps.
											On peut programmer 
des règles de migration.
											De cette manière, on apprend vraiment 
des règles de la nature.
									",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
","
","
",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
											But we can also take it a step further.
											We can actually take these rules
that we've learned from nature
											and combine them and create
entirely new collective behaviors
											of our very own.
									","
											Pero también podemos
ir un paso más allá.
											Podemos tomar las reglas
que hemos aprendido de la naturaleza
											y combinarlas y crear
conductas colectivas completamente nuevas
											propiamente nuestras.
									","
											On peut aussi aller encore plus loin.
											On peut en fait utiliser ces règles 
apprises de la nature
											et les combiner pour fabriquer 
de nouveaux comportements collectifs
											de toutes pièces.
									",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
"
","
","
",What intelligent machines can learn from a school of fish,Radhika Nagpal,10:51,"AI,robots,fish,future,ants,science,intelligence,innovation,insects"
