es,tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
",The accelerating power of technology,Ray Kurzweil,22:56,"biotech,business,culture,future,invention,robots,science,technology"
"
											Bueno, es fantástico estar aquí.
											Hemos escuchado mucho sobre la promesa de la tecnología, y el riesgo.
											He estado bastante interesado en ambos.
											Si pudiéramos convertir el 0,03 por ciento
											de la luz solar que cae sobre la tierra en energía,
											podríamos satisfacer todas nuestras necesidades proyectadas para 2030.
											No podemos hacer esto hoy porque los paneles solares son pesados,
											caros y muy ineficientes.
											Existen diseños de nano-ingeniería,
											los cuales han sido analizados al menos teóricamente,
											que muestran el potencial de ser muy livianos,
											muy baratos, muy eficientes,
											y podríamos satisfacer todas nuestras necesidades de energía de esta forma renovable.
											Células combustibles de nano-ingeniería
											podrían proveer la energía donde se necesite.
											Esa es la tendencia principal, la descentralización,
											ir de plantas nucleares de energía centralizadas y
											cisternas de gas natural líquido
											hacia recursos descentralizados que son más amigables ecológicamente,
											mucho más eficientes,
											y capaces y seguros con respecto a la disrupción.
									","
											Burada olduğum icin cok mutluyum
											Teknolojinin neler vaadettigini ve tehlikelerini cok duyduk.
											Her ikisi de benim cok ilgimi çekiyor.
											Dunya üzerine duşen guneş ışığının yüzde 0.03'ünü
											enerjiye çevirebilirsek
											2030'a kadar olan ihtiyacimizi karşılayabiliriz.
											bunu şimdi yapamayız çünkü güneş panelleri ağır,
											pahali ve verimli degil.
											En azindan teoride analiz edilmis
											nano dizaynlar mevcut
											bunlar cok hafif, ucuz ve verimli
											olma potensiyelini gösteriyor
											ustelik ilerde bu yenilenebilir yol ile butun enerji ihtiyacımızı karşılayabileceğiz.
											Nano teknolojiye sahip yakıt hücreleri
											gereken yerde enerjiyi sağlayabilir.
											merkezi nükleer enerji santralleri ve sıvı doğal gaz
											tankerlerinden daha çevreci, verimli, kapasitesi fazla
											ve bozulma riski az olan
											kaynaklara doğru
											yapılacak trend
											anahtar görevi görüyor.
									","
											Well, it's great to be here.
											We've heard a lot about the promise of technology, and the peril.
											I've been quite interested in both.
											If we could convert 0.03 percent
											of the sunlight that falls on the earth into energy,
											we could meet all of our projected needs for 2030.
											We can't do that today because solar panels are heavy,
											expensive and very inefficient.
											There are nano-engineered designs,
											which at least have been analyzed theoretically,
											that show the potential to be very lightweight,
											very inexpensive, very efficient,
											and we'd be able to actually provide all of our energy needs in this renewable way.
											Nano-engineered fuel cells
											could provide the energy where it's needed.
											That's a key trend, which is decentralization,
											moving from centralized nuclear power plants and
											liquid natural gas tankers
											to decentralized resources that are environmentally more friendly,
											a lot more efficient
											and capable and safe from disruption.
									","
											Bien, c'est super d'être ici.
											Nous avons entendu beaucoup de choses sur les promesses de la technologie, et leur danger.
											Les deux aspects m'ont vraiment intéressé.
											Si nous pouvions convertir 0,03%
											de la lumière du soleil qui tombe sur la terre en énergie,
											nous pourrions satisfaire tous nos besoins prévus pour 2030.
											Nous ne pouvons pas le faire aujourd'hui parce que les panneaux solaires sont lourds,
											chers et très inefficaces.
											Il y a des conceptions nano-technologiques,
											qui ont été analysées au moins théoriquement,
											qui montrent qu'elles sont potentiellement très légères
											très peu coûteuses, très efficaces,
											et nous pourrions satisfaire réellement tous nos besoins énergétiques de cette façon renouvelable.
											Les piles à combustible nano-technologiques
											pourraient fournir l'énergie là où elle nécessaire.
											C'est une tendance principale, qui est la décentralisation,
											de passer de centrales nucléaires centralisées et
											des bateaux-citernes de gaz naturel liquide
											à des ressources décentralisées qui sont plus respectueuses de l'environnement,
											beaucoup plus efficaces
											et capable et de manière stable.
									","
											Es ist großartig hier zu sein.
											Wir haben viel gehört über die Möglichkeiten von Technologie, und ihre Tücken.
											Ich bin an beidem sehr interessiert.
											Wenn wir 0,03 Prozent des Sonnenlichts, das auf die Erde trifft,
											in Energie umwandeln könnten,
											könnten wir unseren projizierten Bedarf von 2030 decken.
											Wir schaffen das heutzutage nicht, weil Solarmodule
											schwer, teuer und ineffizient sind.
											Es gibt Nanotechnologie-Entwicklungen,
											die zumindest theoretisch belegen,
											das sie potentiell sehr leicht,
											sehr günstig und sehr effizient sein können,
											und wir könnten in der Lage sein, unseren Energiebedarf auf diese erneuerbare Art zu decken.
											Nano-entwickelte Energiezellen könnten
											die Energie dort zur Verfügung stellen, wo sie gebraucht wird.
											Das ist eine wichtige Entwicklungstendenz, nämlich die Dezentralisierung,
											weg von zentralisierten Atomkraftwerken und
											Flüssiggas-Tankschiffen,
											zu dezentralen Rohstoffen, die umweltfreundlicher,
											sehr viel effizienter
											und unanfällig und sicher gegen Unterbrechungen sind.
									",The accelerating power of technology,Ray Kurzweil,22:56,"biotech,business,culture,future,invention,robots,science,technology"
"
","
","
","
","
",The accelerating power of technology,Ray Kurzweil,22:56,"biotech,business,culture,future,invention,robots,science,technology"
"
											Bono habló muy elocuentemente,
											sobre que tenemos las herramientas, por primera vez,
											para solucionar los viejos problemas de las enfermedades y la pobreza.
											La mayor parte de las regiones del mundo van en esa dirección.
											En 1990, en Asia del Este y la región del Pacífico,
											había 500 millones de personas viviendo en la pobreza —
											ese número hoy está bajo los 200 millones.
											El Banco Mundial tiene previsto para 2011 que esté por debajo de los 20 millones,
											lo cual es una reducción del 95 por ciento.
											Me gustó el comentario de Bono
											relacionando Haight-Ashbury con Silicon Valley.
											Viniendo yo de la communidad de alta tecnología de Massachusetts,
											remarcaría que éramos hippies también en los 60,
											a pesar de que nos juntábamos por Harvard Square.
											Pero tenemos el potencial de solucionar la enfermedad y la pobreza,
											y voy a hablar de esos temas, si tenemos ganas.
									","
											Bono çok anlamlı bir şekilde konuştu,
											dedi ki tarihte ilk defa
											hastalık ve fakirlik gibi problemlere karşı araçlarımız var.
											Dünyanın çoğu bölgesi bu yönde ilerliyor.
											1990da doğu asya ve pasifik bölgesinde,
											yoksulluk içinde yaşayan 500 milyon insan vardı
											şu anda ise bu sayı 200 milyonun altında.
											Dünya Bankasına göre 2011de bu sayı 20 milyonun altına inecek,
											bu da yüzde 95 lik bir azalma demek.
											Bono'nun Haight Ashbury ile Silikon Vadisi'ni
											birleştiren yorumundan çok keyif aldım.
											Massachusetts yüksek teknoloji çevresinden gelme biri olarak,
											biz de 1960larda hippilerdik,
											Harvard meydanında takılırdık.
											ama hastalık ve yoksulluğu aşabilecek potansiyele sahibiz,
											ve de bu meseleler hakkında konuşacağım.
									","
											Bono spoke very eloquently,
											that we have the tools, for the first time,
											to address age-old problems of disease and poverty.
											Most regions of the world are moving in that direction.
											In 1990, in East Asia and the Pacific region,
											there were 500 million people living in poverty —
											that number now is under 200 million.
											The World Bank projects by 2011, it will be under 20 million,
											which is a reduction of 95 percent.
											I did enjoy Bono's comment
											linking Haight-Ashbury to Silicon Valley.
											Being from the Massachusetts high-tech community myself,
											I'd point out that we were hippies also in the 1960s,
											although we hung around Harvard Square.
											But we do have the potential to overcome disease and poverty,
											and I'm going to talk about those issues, if we have the will.
									","
											Bono dit avec éloquence,
											que nous avons les outils, pour la première fois,
											pour aborder les problèmes ancestraux de la maladie et de la pauvreté.
											La plupart des régions du monde vont dans cette direction.
											En 1990, en Asie de l'Est et dans le Pacifique,
											il y avait 500 millions de personnes qui vivaient dans la pauvreté —
											ce chiffre est maintenant en dessous de 200 millions.
											La Banque Mondiale prévoit que d'ici 2011, il sera en dessous de 20 millions,
											ce qui représente une réduction de 95 pour cent.
											J'ai apprécié le commentaire de Bono
											qui faisait le lien entre Haight-Ashbury et la Silicon Valley.
											Faisant moi-même partie de la communauté high-tech du Massachusetts
											je préciserais que nous étions des hippies également dans les années 1960,
											même si on traînait autour de Harvard Square.
											Mais nous avons le potentiel de surmonter la maladie et la pauvreté,
											si nous en avons la volonté et je vais parler de ces questions.
									","
											Bono hat sehr eloquent beschrieben,
											dass wir zum ersten Mal in der Geschichte in der Lage sind,
											uns uralten Problemen wie Krankheit und Armut zuzuwenden.
											Die meisten Regionen der Welt bewegen sich in diese Richtung.
											Im Jahr 1990 lebten in Ostasien und in der Pazifikregion
											500 Millionen Menschen in Armut –
											diese Zahl ist jetzt unter 200 Millionen.
											Die Weltbank projiziert, dass es bis 2011 unter 20 Millionen sein werden,
											was ein Rückgang von 95 Prozent ist.
											Mir hat Bonos Kommentar gefallen,
											in dem er das Haight-Ashbury Viertel mit dem Silicon-Valley verbindet.
											Da ich selbst aus der High-Tech-Gemeinde von Massachusetts stamme,
											weise ich darauf hin, dass auch wir in den 1960ern Hippies waren,
											obwohl wir am Harvard Square rumhingen.
											Doch wir haben das Potenzial, Krankheit und Armut zu bezwingen,
											und ich werde über diese Aspekte sprechen, falls wir den Willen dazu haben.
									",The accelerating power of technology,Ray Kurzweil,22:56,"biotech,business,culture,future,invention,robots,science,technology"
"
","
","
","
","
",The accelerating power of technology,Ray Kurzweil,22:56,"biotech,business,culture,future,invention,robots,science,technology"
"
											Kevin Kelly habló de la aceleración de la tecnología.
											Esto ha sido de fuerte interés para mí,
											y un tema que he desarrollado durante casi 30 años.
											Me di cuenta de que mis tecnologías debían tener sentido para cuando finalizara el proyecto.
											Que, invariablemente, el mundo sería un lugar diferente
											para cuando introdujera una tecnología.
											Y me di cuenta de que la mayoría de los inventos fallan,
											no porque el departamento de I+T no pueda hacerlo funcionar —
											Si vieran la mayoría de los planes de negocios, la mayoría tendría éxito
											si tuvieran la oportunidad de construir aquello que dicen que construirían,
											y el 90 por ciento de estos proyectos o más fracasaría por ser el momento equivocado —
											no todos los factores que permitan el éxito estarán en su lugar cuando se necesiten.
									","
											Kevin Kelly teknolojinin ivmelenmesi hakkında konuştu.
											bu benim için çok güçlü bir ilgi alanı,
											ve 30 yıldır üzerinde ilerlemeler kaydettiğim bir tema.
											Anladım ki projelerimi bitirdiğim zaman teknolojilerim anlam ifade etmek zorunda.
											Değişmez bir biçimde, yeni bir teknolojiyi sürdüğüm
											zaman dünya değişik bir yer oldu.
											ve fark ettim ki çoğu buluşlar başarısız oldu,
											Ar-ge departmanının işi başaramaması ile ilgili değildi bu,
											çoğu iş planına bakarsanız, insanlara yapacaklarını söyledikleri şeyler
											için fırsat sağladığınızda başaracaklardır bunu yapabilirler,
											ama bu projelerin yüzde 90ından fazlası başarısız olacak, çünkü
											zamanlama yanlış.ihtiyaç olunduğunda işleri kolaylaştıracak faktörler ortada olmayacak.
									","
											Kevin Kelly talked about the acceleration of technology.
											That's been a strong interest of mine,
											and a theme that I've developed for some 30 years.
											I realized that my technologies had to make sense when I finished a project.
											That invariably, the world was a different place
											when I would introduce a technology.
											And, I noticed that most inventions fail,
											not because the R&amp;D department can't get it to work —
											if you look at most business plans, they will actually succeed
											if given the opportunity to build what they say they're going to build —
											and 90 percent of those projects or more will fail, because the timing is wrong —
											not all the enabling factors will be in place when they're needed.
									","
											Kevin Kelly a parlé de l'accélération de la technologie.
											Cela m'intéresse énormément,
											et c'est un thème que j'ai développé pendant environ 30 ans.
											Je me suis rendu compte que mes technologies devaient avoir du sens une fois le projet terminé.
											Qu'invariablement, le monde serait différent
											quand j'introduirai une technologie.
											Et, j'ai remarqué que la plupart des inventions échouent,
											pas parce que le département R&amp;D ne peut pas les faire fonctionner —
											si vous regardez la plupart des projets commerciaux, ils réussiront vraiment
											si l'occasion est donnée de construire ce qu'ils disent qu'ils vont construire,
											et 90% de ces projets ou plus échoueront, parce que ce n'est pas le bon moment —
											tous les facteurs favorables ne seront pas là quand on en aura besoin.
									","
											Kevin Kelly hat über die Beschleunigung der Technologie gesprochen.
											Dies ist ein großes Interessensgebiet von mir,
											und ein Thema, das ich über etwa 30 Jahre entwickelt habe.
											Ich erkannte, dass meine Technologien sinnvoll sein mussten, wenn ich ein Projekt beendet hatte.
											Dass die Welt ausnahmslos verändert war,
											nachdem ich eine Technologie eingeführt hatte.
											Und dass die meisten Innovationen nicht scheitern,
											weil die Entwicklungsabteilungen sie nicht zum Laufen bekommen –
											wenn man die meisten Geschäftspläne betrachtet, sind sie erfolgreich,
											soweit sie die Chance haben das herzustellen, was sie geplant hatten –
											und 90 Prozent oder mehr dieser Projekte scheitern, weil die zeitliche Planung schlecht war –
											da nicht alle Erfolgsfaktoren im richtigen Moment zur Verfügung standen.
									",The accelerating power of technology,Ray Kurzweil,22:56,"biotech,business,culture,future,invention,robots,science,technology"
"
","
","
","
","
",The accelerating power of technology,Ray Kurzweil,22:56,"biotech,business,culture,future,invention,robots,science,technology"
"
											Por lo cual, comencé a ser un estudiante ardiente de las tendencias de la tecnología,
											y a rastrear dónde la tecnología estaría en diferentes puntos en el tiempo,
											y comencé a construir modelos matemáticos de ello.
											Tomó vida propia, de alguna manera,
											Tengo un grupo de 10 personas que trabajan conmigo para recabar información
											sobre mediciones clave de la tecnología en diferentes áreas, y construimos modelos.
											Y escucharán a la gente decír, bueno, no podemos predecir el futuro.
											Y si me preguntan,
											¿subirá o bajará el precio de Google de aquí a tres años?
											Eso es muy difícil de decir.
											¿Será WiMax CDMA G3
											el estándar wireless de aquí a tres años? Eso es difícil de decir.
											Pero si me preguntan, cuánto costará
											un MIPS de cómputo en 2010,
											o el costo de secuenciar un par de bases de ADN en 2012,
											o el costo de enviar un megabyte de datos por wireless en 2014,
											resulta que estos son muy predecibles.
									","
											Bende teknoloji trenleri konusunda hevesli bir öğrenci oldum,
											zamanında daha farklı olabilecek teknolojilerin izini sürüp
											onların matematiksel modellerini oluşturmaya başladım.
											bu biraz bir hayatı kendisi ile almaya benziyor,
											teknolojinin ana sınırlarında farklı alanlarda bilgi toplamak için
											benimle beraber çalışan 10 kişi var,ve biz modeller inşa ediyoruz
											ve insanların dediklerini duyarsınız, yani geleceği tahmin edemeyiz.
											ve eğer bana soracak olursanız,
											bundan üç sene sonra Google'ın fiyatı şu anki değerinden az mı fazla mı olacak,
											buna cevap vermek oldukça zor .
											WiMax CDMA G3
											bundan üç sene sonrasının kablosuz bağlantı standardı olacak mı?Bunu söylemek de zor.
											ama eğer bana sorarsanız, 2010da
											saniyede bir milyon işlem,
											ya da baz bir DNA çiftini 2012 yılında sıralama,
											ya da kablosuz olarak bir megabayt veriyi 2014de iletmenin fiyatı ne kadar olacak diye?
											Gözüküyor ki bu oldukça tahmin edilebilir.
									","
											So I began to be an ardent student of technology trends,
											and track where technology would be at different points in time,
											and began to build the mathematical models of that.
											It's kind of taken on a life of its own.
											I've got a group of 10 people that work with me to gather data
											on key measures of technology in many different areas, and we build models.
											And you'll hear people say, well, we can't predict the future.
											And if you ask me,
											will the price of Google be higher or lower than it is today three years from now,
											that's very hard to say.
											Will WiMax CDMA G3
											be the wireless standard three years from now? That's hard to say.
											But if you ask me, what will it cost
											for one MIPS of computing in 2010,
											or the cost to sequence a base pair of DNA in 2012,
											or the cost of sending a megabyte of data wirelessly in 2014,
											it turns out that those are very predictable.
									","
											J'ai donc commencé à étudier de près les tendances des technologies,
											et chercher où en serait la technologie à différents points dans le temps,
											et j'ai commencé à en faire des modèles mathématiques..
											C'est devenu un projet en lui-même.
											J'ai un groupe de 10 personnes qui travaillent avec moi pour recueillir des données
											sur des indicateurs des niveaux de technologie dans de nombreux secteurs, et nous construisons des modèles.
											Et vous entendrez les gens dire, et bien, nous ne pouvons pas prédire l'avenir.
											Et si vous me posez la question,
											le prix de Google sera-t-il plus élevé ou plus bas que ce qu'il est aujourd'hui, d'ici trois ans,
											c'est très difficile à dire.
											WiMax CDMA 3G
											sera-t-elle la norme sans fil d'ici trois ans ? C'est difficile à dire.
											Mais si vous me demandez, ce que coûtera
											un MIPS de calcul en 2010,
											ou le séquençage d'une paire de base d'ADN en 2012,
											ou l'envoi sans fil d'un mégabit de données en 2014,
											il s'avère que ces choses-là sont très prévisibles.
									","
											So wurde ich ein begeisterter Student von Technologietrends
											und verfolge, wo Technologie sich an verschiedenen Punkten der Zeit befindet,
											und begann die mathematischen Modelle dazu zu entwickeln.
											Das hat sich irgendwie verselbstständigt.
											Ich habe ein Gruppe von 10 Personen, die mit mir Daten über
											Schlüsselmaßnahmen von Entwicklungen aus verschiedenen Bereichen sammeln, und wir entwickeln Modelle.
											Leute sagen, nun, man kann die Zukunft nicht vorhersagen.
											Und wenn ich gefragt werde,
											wird der Preis der Google-Aktie in drei Jahren höher oder niedriger sein als heute,
											dann ist das recht schwer zu sagen.
											Wird ""WiMax CDMA G3"" in drei Jahren
											der Standard zur kabellosen Datenübertragung sein? Das ist schwer zu sagen.
											Aber wenn man mich fragt, was werden 2010 die Kosten
											von einer MIPS (Millionen Befehle pro Sekunde) an Berechnungen sein,
											oder 2012 die Kosten der Sequenzierung eines Basenpaars von DNA,
											oder 2014 die Kosten eines Megabytes an Daten kabellos zu versenden,
											stellt sich heraus, dass all dies sehr vorhersagbar ist.
									",The accelerating power of technology,Ray Kurzweil,22:56,"biotech,business,culture,future,invention,robots,science,technology"
"
","
","
","
","
",The accelerating power of technology,Ray Kurzweil,22:56,"biotech,business,culture,future,invention,robots,science,technology"
"
											Hay curvas exponenciales remarcadamente suaves
											que gobiernan el precio del comportamiento, capacidad, ancho de banda.
											Y voy a mostrarles una pequeña muestra de esto,
											aunque existe realmente una razón teórica
											de por qué la tecnología se desarrolla de manera exponencial.
											Y mucha gente, cuando piensa en el futuro, lo piensa de manera lineal.
											Piensan que continuarán
											desarrollando un problema
											o solucionando un problema usando las herramientas actuales,
											a la velocidad actual de progreso,
											y fracasan en tomar en consideración este crecimiento exponencial.
									","
											Bunlar oldukça düzenli bir biçimde giden üstel eğrilerdir
											performans, kapasite, bant genişliği bilgilerini sağlar.
											ve bunun bir örneğini sizinle paylaşacağım şimdi,
											teknolijinin neden üstel bir düzende geliştiğini
											açıklayan teorik bir sebep var.
											ve de bir çok insan, gelecek ile ilgili düşünürken, doğrusal düşünür.
											bir probleme ya da bir probleme gidecek bir konuya
											bugünün araçları ile
											yaklaşacaklarını düşünürler,
											bugünün ilerlemesi gidişatı ile,
											ve üstel olarak gelişmeyi hesaba katmada başarısız olurlar.
									","
											There are remarkably smooth exponential curves
											that govern price performance, capacity, bandwidth.
											And I'm going to show you a small sample of this,
											but there's really a theoretical reason
											why technology develops in an exponential fashion.
											And a lot of people, when they think about the future, think about it linearly.
											They think they're going to continue
											to develop a problem
											or address a problem using today's tools,
											at today's pace of progress,
											and fail to take into consideration this exponential growth.
									","
											Il y a les courbes exponentielles remarquablement lisses
											qui régissent coût-performances, capacité, bande passante.
											Et je vais vous montrer un petit échantillon de ceci,
											mais il y a vraiment une raison théorique
											pour laquelle la technologie se développe de façon exponentielle.
											Et beaucoup de gens, quand ils pensent à l'avenir, y pensent linéairement.
											Ils pensent qu'ils vont continuer
											à développer un problème
											ou à aborder un problème en utilisant les outils d'aujourd'hui,
											au rythme du progrès d'aujourd'hui,
											et ne prendrons pas en compte cette croissance exponentielle.
									","
											Es sind bemerkenswert geschmeidige Exponentialkurven,
											welche die Preis-Performanz, Kapazität und Bandbreite lenken.
											Und ich werde Ihnen ein kleines Beispiel dazu geben.
											Aber es gibt tatsächlich eine theoretische Begründung dafür,
											warum Technologie sich in exponenzieller Weise entwickelt.
											Die meisten Menschen stellen sich die Zukunft als etwas Lineares vor.
											Sie glauben, sie führen die Entwicklung
											eines Problems
											oder die Lösung des Problems mit heutigen Werkzeugen fort,
											mit der heutigen Geschwindigkeit,
											und ziehen dieses exponentielle Wachstum nicht in Betracht.
									",The accelerating power of technology,Ray Kurzweil,22:56,"biotech,business,culture,future,invention,robots,science,technology"
