en,es,tr,title,speaker,duration,tags
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkahalar)
									","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkahalar)
									","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
											That's SpotMini.
											He'll be back in a little while.
									","
											Ese es SpotMini.
											Volverá en un rato.
									","
											Bu SpotMini.
											Birazdan geri gelecek.
									","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
											I —
									","
											Me...
									","
											Ben —
									","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
											I love building robots.
											And my long-term goal is to build robots
											that can do what people and animals do.
											And there's three things in particular
											that we're interested in.
											One is balance and dynamic mobility,
											the second one is mobile manipulation,
											and the third one is mobile perception.
									","
											Me encanta construir robots.
											Y mi objetivo a largo plazo 
es construir robots
											que puedan hacer lo que hacen 
las personas y los animales.
											Y hay tres cosas en particular
											que nos interesan.
											Una es el equilibrio 
y la movilidad dinámica,
											la segunda es la manipulación móvil,
											y la tercera es la percepción móvil.
									","
											Robot tasarlamayı çok seviyorum.
											Uzun vadede hedefim
insan ve hayvanların
											yapabildiklerini yapan robotlar üretmek.
											Özellikle ilgilendiğimiz
											üç şey var.
											Birincisi denge ve hareket kabiliyeti,
											ikincisi mobil idare,
											ve üçüncüsü de mobil algı.
									","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
											So, dynamic mobility and balance —
											I'm going to do a demo for you.
											I'm standing here, balancing.
											I can see you're not very impressed.
OK, how about now?
									","
											Veamos la movilidad dinámica 
y el equilibrio.
											Voy a hacer una demostración.
											Me paro aquí, en equilibrio.
											No los veo muy impresionados.
Bien, ¿y ahora?
									","
											Hareket kabiliyeti ve denge için —
											Size bir örnek göstereceğim.
											Burada ayakta dengede duruyorum.
											Etkilenmediğinizi görüyorum. 
Peki, şimdi nasıl?
									","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkahalar)
									","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
											How about now?
									","
											¿Y ahora?
									","
											Şimdi nasıl?
									","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
											(Applause)
									","
											(Aplausos)
									","
											(Alkış)
									","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
"
","
","
","Meet Spot, the robot dog that can run, hop and open doors",Marc Raibert,14:33,"robots,future,demo,technology,design"
