en,es,pt,title,speaker,duration,tags
"
","
","
","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
											It was chaos as I got off the elevator.
											I was coming back on duty
as a resident physician
											to cover the labor and delivery unit.
											And all I could see was a swarm
of doctors and nurses
											hovering over a patient in the labor room.
											They were all desperately trying
to save a woman's life.
											The patient was in shock.
											She had delivered a healthy baby boy
a few hours before I arrived.
											Suddenly, she collapsed,
became unresponsive,
											and had profuse uterine bleeding.
											By the time I got to the room,
											there were multiple doctors and nurses,
and the patient was lifeless.
											The resuscitation team
tried to bring her back to life,
											but despite everyone's best efforts,
											she died.
											What I remember most about that day
was the father's piercing cry.
											It went through my heart
and the heart of everyone on that floor.
											This was supposed to be
the happiest day of his life,
											but instead it turned out
to be the worst day.
									","
											Cuando salí del ascensor era un caos.
											Volvía a mi puesto como médica residente
											en la unidad de trabajo de parto.
											Y todo lo que podía ver era un enjambre
de médicos y enfermeras
											sobre una paciente
en la sala de dilatación y parto.
											Todos estaban tratando desesperadamente
de salvar la vida de una mujer.
											La paciente estaba en choque.
											Unas horas antes de que yo llegara
había tenido un bebé sano.
											De pronto había sufrido un colapso,
había dejado de responder,
											y tenía un sangrado uterino abundante.
											En el momento que llegué a la sala,
											había varios médicos y enfermeras,
y la paciente estaba sin vida.
											El equipo de resucitación
trató de reanimarla,
											pero, a pesar de todos los esfuerzos,
											murió.
											Lo que más recuerdo de ese día
fue el llanto desgarrador del padre.
											Eso me llegó al corazón y al corazón
de todos los que estaban en ese piso.
											Se suponía que sería el día 
más feliz de su vida;
											sin embargo, se había 
transformado en el peor.
									","
											Era um caos quando saí do elevador.
											Eu estava de volta ao serviço,
como médica residente
											para dirigir a unidade de partos.
											E tudo o que eu conseguia ver era
uma multidão de médicos e enfermeiros
											pairando sobre uma paciente
na sala de partos.
											Todos eles estavam desesperadamente
a tentar salvar a vida de uma mulher.
											A paciente estava
em estado de choque.
											Tinha dado à luz um menino saudável
poucas horas antes de eu chegar.
											De repente, desmaiou,
deixou de ter reações
											e teve uma grande hemorragia uterina.
											Quando cheguei à sala de partos,
											havia vários médicos e enfermeiros,
e a paciente estava sem vida.
											A equipa de reanimação
tentou ressuscitá-la,
											mas, apesar do grande esforço
de todos, ela morreu.
											O que eu mais recordo desse dia
é o choro lancinante do pai.
											Isso atingiu o meu coração
e o coração de todos naquele andar.
											Era para ser o dia
mais feliz da sua vida,
											mas, pelo contrário, tornou-se
o pior dia da vida dele.
									","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
","
","
","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
											I wish I could say this tragedy
was an isolated incident,
											but sadly, that's not the case.
											Every year in the United States,
											somewhere between 700 and 900 women die
											from a pregnancy-related cause.
											The shocking part of this story
											is that our maternal mortality rate
is actually higher
											than all other high-income countries,
											and our rates are far worse
for women of color.
											Our rate of maternal mortality
actually increased over the last decade,
											while other countries reduced their rates.
											And the biggest paradox of all?
											We spend more on health care
than any other country in the world.
									","
											Desearía poder decir que esta tragedia
fue un incidente aislado,
											pero, lamentablemente, no es el caso.
											Cada año en los EE. UU.
											entre 700 y 900 mujeres mueren
											por causas relacionadas con el embarazo.
											Lo más terrible de esta historia
											es que nuestra tasa de mortalidad es mayor
											que la de todos los otros países
de altos ingresos,
											y son aún peores
para las mujeres de color.
											Nuestra tasa de mortalidad materna
aumentó durante la última década,
											mientras que en otros países disminuyó.
											¿Y qué es lo más paradójico?
											Que gastamos más en la atención médica
que cualquier otro país del mundo.
									","
											Eu gostaria de poder dizer que esta
tragédia foi um incidente isolado,
											mas infelizmente, não é o caso.
											Todos os anos nos EUA,
											morrem cerca de 700 a 900 mulheres
											de causas relacionadas com a gravidez.
											A parte chocante desta história
											é que a nossa taxa de mortalidade
materna é mais alta
											do que a de todos os outros países
de altos rendimentos,
											e a nossa taxa ainda é pior
em mulheres de cor.
											A nossa taxa de mortalidade materna
aumentou na última década,
											enquanto que outros países
reduziram a sua taxa.
											Qual é o maior paradoxo de todos?
											Nós gastamos mais com assistência médica
do que qualquer outro país no mundo.
									","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
","
","
","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
											Well, around the same time in residency
that this new mother lost her life,
											I became a mother myself.
											And even with all of my background
and training in the field,
											I was taken aback
by how little attention was paid
											to delivering high-quality
maternal health care.
											And I thought about what that meant,
not just for myself
											but for so many other women.
											Maybe it's because my dad
was a civil rights attorney
											and my parents were socially conscious
											and demanded that we stand up
for what we believe in.
											Or the fact that my parents
were born in Jamaica,
											came to the United States
											and were able to realize
the American Dream.
											Or maybe it was my residency training,
											where I saw firsthand
											how poorly so many low-income
women of color were treated
											by our healthcare system.
											For whatever the reason,
I felt a responsibility to stand up,
											not just for myself,
											but for all women,
											and especially those marginalized
by our healthcare system.
											And I decided to focus my career
on improving maternal health care.
									","
											Bien, más o menos al mismo tiempo
que esta nueva mamá perdió su vida
											yo me convertí en madre.
											Y aún con todos mis antecedentes 
y mi entrenamiento en el área,
											me sorprendió la poca atención 
que se prestaba
											a ofrecer un cuidado materno 
de buena calidad.
											Y pensé en lo que eso significaba,
no solo para mí
											sino también para las otras mujeres.
											Quizá fue porque mi papá era
un abogado de derechos civiles,
											y mis padres tenían conciencia social
											y demandaban que defendiéramos
aquello en lo que creemos.
											O fue el hecho de que mis padres
nacieron en Jamaica,
											vinieron a EE. UU.
											y pudieron realizar el sueño americano.
											O quizá fue mi formación como residente,
											donde vi de primera mano
											lo mal que eran tratadas
las mujeres de color de bajos ingresos
											por nuestro sistema de salud.
											Cualquiera sea la razón,
sentí la necesidad de luchar
											no solo por mí,
											por todas las mujeres,
											especialmente aquellas marginalizadas 
por nuestro sistema de salud
											Y decidí concentrar mi carrera en mejorar
la atención de la salud materna.
									","
											Na mesma altura em que
esta nova mãe perdeu a vida,
											eu também fui mãe.
											Mesmo com toda a minha formação
e experiência na área,
											fiquei surpreendida
com a pouca atenção dada
											à prestação de serviços de saúde
maternal de qualidade.
											Eu pensava no significado
daquilo, não só para mim,
											mas para tantas outras mulheres.
											Talvez fosse porque o meu pai
era um advogado de direitos civis
											e os meus pais eram
socialmente conscientes
											e exigiam que defendêssemos
aquilo em que acreditávamos.
											Ou o facto de que os meus pais
nasceram na Jamaica,
											vieram para os EUA
											e conseguiram realizar
o Sonho Americano.
											Talvez tenha sido 
a minha formação no internato,
											onde vi diretamente
que mau era o tratamento
											das mulheres de minorias étnicas
de baixos rendimentos
											do nosso sistema de assistência à saúde.
											Seja qual for a razão,
senti a responsabilidade de defender,
											não só por mim,
mas por todas as mulheres,
											especialmente as marginalizadas
pelo nosso sistema de assistência à saúde.
											E decidi focar a minha carreira em
melhorar a assistência de saúde maternal.
									","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
","
","
","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
											So what's killing mothers?
											Cardiovascular disease, hemorrhage,
											high blood pressure
causing seizures and strokes,
											blood clots and infection
											are some of the major causes
of maternal mortality in this country.
											But a maternal death
is only the tip of the iceberg.
											For every death, over a hundred women
suffer a severe complication
											related to pregnancy and childbirth,
											resulting in over 60,000 women every year
having one of these events.
											These complications,
called severe maternal morbidity,
											are on the rise in the United States,
and they're life-altering.
											It's estimated that somewhere
between 1.5 and two percent
											of the four million deliveries
that occur every year in this country
											are associated with one of these events.
											That is five or six women every hour
having a blood clot, a seizure, a stroke,
											receiving a blood transfusion,
											having end-organ damage
such as kidney failure,
											or some other tragic event.
									","
											¿Qué es lo que está matando a las madres?
											Enfermedades coronarias, hemorragias,
											hipertensión –que causa convulsiones
y derrames cerebrales–,
											coágulos e infecciones
											son algunas de las mayores causas
de mortalidad materna en este país.
											Pero una muerte materna
es solo la punta del iceberg.
											Por cada muerte, más de cien mujeres
sufren una complicación grave
											relacionada con el embarazo y el parto,
											por lo cual más de 60.000 mujeres 
por año tienen alguno de estos eventos.
											Estas complicaciones, llamadas
morbilidad materna extrema,
											van en aumento en EE. UU.,
y cambian la vida.
											Se estima que entre un 1,5 y un 2 %
											de los cuatro millones de partos
que ocurren cada día en este país
											se asocian con uno de estos eventos.
											Eso es que cada hora, cinco o seis 
mujeres tienen un coágulo de sangre,
											una convulsión, un ataque cerebral,
											reciben una transfusión de sangre,
											sufren el fallo de algún órgano
como una insuficiencia renal,
											o algún otro evento trágico.
									","
											Então, o que está a matar as mães?
											Doenças cardiovasculares, hemorragias,
											pressão sanguínea elevada
causando convulsões e derrames,
											coágulos de sangue e infeções
											são algumas das maiores causas
de mortalidade materna neste país.
											Mas uma morte materna
é somente a ponta do icebergue.
											Por cada morte, mais de cem mulheres
sofrem uma complicação grave
											relacionada com a gravidez e o parto,
											resultando em mais de 60 000 mulheres
por ano que têm um destes problemas.
											Estas complicações, chamadas
morbilidade materna grave,
											estão a aumentar nos EUA
e alteram a vida.
											Estima-se que algo entre 1,5 e 2%
											de 4 milhões de partos que ocorrem
todos os anos neste país
											estão associados
a um destes acontecimentos.
											Isso são 5 ou 6 mulheres por hora,
											que têm um coágulo sanguíneo,
uma convulsão, um AVC,
											que recebem uma transfusão de sangue,
											que têm lesões de órgãos alvo,
como uma insuficiência renal,
											ou algum outro acontecimento trágico.
									","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
","
","
","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
											Now, the part of this story
that's frankly unforgivable
											is the fact that 60 percent
of these deaths and severe complications
											are thought to be preventable.
											When I say 60 percent are preventable,
											I mean there are concrete steps
and standard procedures
											that we could implement
											that could prevent
these bad outcomes from occurring
											and save women's lives.
											And it doesn't require
fancy new technology.
											We just have to apply what we know
											and ensure equal standards
between hospitals.
									","
											Ahora bien, la parte de esta historia
que es francamente imperdonable
											es el hecho que el 60 % de estas muertes
y complicaciones graves
											se cree que son prevenibles.
											Cuando digo que un 60 % son prevenibles,
											quiero decir que hay pasos concretos
y procedimientos estandarizados
											que podemos implementar
											que podrían evitar que estos 
malos resultados ocurran
											y salvar la vida de las mujeres.
											Y eso no requiere 
una tecnología nueva y extravagante.
											Solo debemos aplicar lo que sabemos
											y asegurar que los estándares
entre los hospitales sean iguales.
									","
											A parte desta história que é imperdoável
											é o facto de que 60% destas mortes
e destas complicações graves
											são consideradas evitáveis.
											Quando digo que 60% são evitáveis,
											quero dizer que há passos concretos
e procedimentos padrão
											que podíamos implementar
											que podiam evitar que ocorressem
resultados prejudiciais
											e salvar a vida de mulheres.
											Isso não requer novas 
tecnologias sofisticadas.
											Nós só precisamos
de aplicar o que sabemos
											e assegurar os mesmos
padrões entre os hospitais.
									","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
","
","
","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
											For example, if a pregnant woman
in labor has really high blood pressure
											and we treat her with the right
antihypertensive medication
											in a timely fashion,
											we can prevent stroke.
											If we accurately track
blood loss during delivery,
											we can detect a hemorrhage sooner
and save a woman's life.
											We could actually lower the rates
of these catastrophic events tomorrow,
											but it requires that we value
the quality of care
											we deliver to pregnant women
											before, during and after pregnancy.
											If we raise quality of care universally
to what is supposed to be the standard,
											we could bring the rates of these deaths
and severe complications way down.
									","
											Por ejemplo, si durante el parto 
una mujer tiene la presión muy alta
											y le damos la medicación
correcta contra la hipertensión
											en el momento oportuno,
											podemos prevenir un derrame cerebral.
											Si controlamos adecuadamente la pérdida
de sangre durante el parto,
											podemos detectar una hemorragia 
más rápidamente y salvarle la vida.
											En realidad, mañana mismo podríamos 
bajar las tasas de estas catástrofes,
											pero esto requiere que valoremos
la calidad de la atención
											que brindamos a las embarazadas
											antes, durante y después del embarazo.
											Si elevamos la calidad de la atención 
para todos al estándar que debería tener,
											podríamos disminuir mucho más las tasas
de estas muertes y complicaciones.
									","
											Por exemplo, se uma mulher grávida em
trabalho de parto tiver tensão muito alta
											e nós a tratarmos com a correta
medicação anti-hipertensiva
											atempadamente, podemos evitar um AVC.
											Se controlarmos com precisão
a perda de sangue durante o parto,
											podemos detetar uma hemorragia
mais cedo e salvar a vida de uma mulher.
											Podemos baixar as taxas
destas situações catastróficas amanhã,
											mas isso requer que valorizemos
a qualidade de cuidados
											que damos às mulheres grávidas
											antes, durante e após a gestação.
											Se elevarmos a qualidade dos cuidados
universalmente
											para o que deve ser o padrão,
											podíamos baixar muito as taxas
destas mortes e de complicações graves
									","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
","
","
","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
											Well, there is some good news.
											There are some success stories.
											There are some places that have
actually adopted these standards,
											and it's really making a difference.
											A few years ago, the American College
of Obstetricians and Gynecologists
											joined forces with other
healthcare organizations,
											researchers like myself
and community organizations.
											They wanted to implement
standard care practices
											in hospitals and health systems
throughout the country.
											And the vehicle they're using
is a program called
											the Alliance for Innovation
in Maternal Health, the AIM program.
											Their goal is to lower maternal mortality
and severe maternal morbidity rates
											through quality and safety initiatives
across the country.
											The group has developed
a number of safety bundles
											that target some of the most
preventable causes of a maternal death.
											The AIM program currently
has the potential to reach
											over 50 percent of US births.
									","
											Bien, hay buenas noticias.
											Hay algunas historias exitosas.
											Algunos lugares han adoptado
estos estándares,
											y esto realmente está haciendo
una diferencia.
											Hace unos años, el Colegio Americano 
de Obstetras y Ginecólogos
											unió sus fuerzas con otras 
organizaciones de salud,
											investigadores como yo 
y organizaciones comunitarias.
											Querían implementar prácticas 
de atención estándar
											en hospitales y sistemas de salud
a través de todo el país.
											Y el vehículo que usan 
es un programa llamado
											Alianza para la Innovación 
en la Salud Materna, el programa AIM.
											Su objetivo es reducir la mortalidad
y las graves tasas de morbilidad materna
											a través de iniciativas de calidad 
y seguridad en todo el país.
											El grupo ha desarrollado varios 
paquetes de seguridad
											para atacar algunas de las causas 
de mortalidad materna más prevenibles.
											El programa AIM tiene actualmente
el potencial de llegar
											a más del 50 % de los partos en EE. UU.
									","
											Há algumas boas notícias.
											Há histórias de sucesso.
											Há lugares que adotaram estes padrões,
											e estão a fazer a diferença.
											Há uns anos, a Faculdade
Americana de Obstetras e Ginecologistas
											juntaram forças com outras
organizações da saúde,
											com investigadores, como eu,
e com organizações comunitárias.
											Queriam implementar práticas
de cuidados padronizadas
											em hospitais e sistemas de saúde
por todo o país.
											O veículo que utilizavam
é um programa chamado
											Aliança para a Inovação em 
Saúde Materna, o programa AIM.
											O seu objetivo é reduzir a taxa
de mortalidade materna
											e da morbilidade materna grave
											através de iniciativas seguras
e de qualidade por todo o país.
											O grupo desenvolveu uma série
de pacotes de segurança
											que visam algumas das causas
mais evitáveis de morte materna.
											O programa AIM
tem o potencial de abranger
											mais de 50% dos partos nos EUA.
									","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
"
","
","
","How we can improve maternal healthcare — before, during and after pregnancy",Elizabeth Howell,15:17,"health care,women,biology,pregnancy,health,family,inequality,parenting,race,United States,children,TEDMED"
