es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
",The new era of positive psychology,Martin Seligman,23:42,"brain,education,happiness,psychology,science,technology,personality,introvert,evolutionary psychology,emotions"
"
											Cuando fui presidente de la Asociación Psicológica de EE.UU.
											intentaron entrenarme para enfrentar a los medios
											y un encuentro que tuve con CNN
											resume lo que voy a contarles hoy,
											que defino como la undécima razón para ser optimistas.
											El editor de la revista Discover ya nos contó 10 de ellas,
											y yo les daré la undécima.
									","
											Amerikan Psikoloji Derneği başkanıyken
											beni medya hakkında eğitmeye çalıştılar
											ve CNN ile karşılaşmam
											bugün konuşacaklarımı da özetliyor
											bu da optimist olmak için 11'inci neden oluyor.
											Discover'ın editörü bize 10 tanesini söyledi,
											ben de size 11'inciyi anlatacağım.
									","
											A l'époque où j'étais Président de l'Association Américaine de Psychologie,
											on tenta de m'inculquer l'art de la communication
											et une brève rencontre que j'eus avec CNN
											résume assez bien ce dont je vais parler aujourd'hui
											qui est la 11ème raison d'être optimiste.
											Le rédacteur du magazine Discover nous en a donné 10...
											... Je vais vous donner la 11ème
									","
											Als ich Präsident der American Psychological Association war
											versuchten sie, mich für die Medien zu schulen,
											und eine Begegnung, die ich mit CNN hatte
											fasst zusammen, worüber ich heute sprechen werde,
											und das ist der ""11. Grund, optimistisch zu sein"".
											Der Redakteur von Discover nannte uns 10 davon,
											ich werde Ihnen den 11. geben.
									",The new era of positive psychology,Martin Seligman,23:42,"brain,education,happiness,psychology,science,technology,personality,introvert,evolutionary psychology,emotions"
"
","
","
","
",The new era of positive psychology,Martin Seligman,23:42,"brain,education,happiness,psychology,science,technology,personality,introvert,evolutionary psychology,emotions"
"
											Entonces vinieron a verme de CNN y me dijeron: ""Profesor Seligman,
											¿nos puede contar sobre el estado de la psicología actual?
											Nos gustaría entrevistarlo acerca de esto"". Y les dije: ""Excelente"".
											Y ella dijo: ""Pero esto es CNN, así que sólo puede decir una cuña"".
											Entonces le pregunté: ""Bueno, ¿cuantas palabras puedo decir?""
											Y ella dijo: ""Bueno, una"".
									","
											Bana gelip, CNN, dedi ki, ""Profesör Seligman,
											bize psikolojinin bugünkü durumu hakkında bilgi verir misiniz?
											Sizinle bu konu hakkında görüşmek istiyoruz."" Ve ben ""Harika."" dedim.
											Ve o da ""Ama bu CNN, bu yüzden çok kısa konuşacaksınız.""
											Ben de ""Peki, kaç kelime edebilirim?"" dedim.
											Ve ""Ee, bir kelime."" dedi.
									","
											Donc, l'équipe de CNN vint me voir et me dit: ""Professeur Seligman
											pouvez-vous nous parler de l'état de la psychologie aujourd'hui?
											Nous aimerions vous interviewer à ce sujet."" Je réponds ""Super!""
											Ils ajoutent ""Mais c'est CNN, donc faites court.""
											Je demande: ""Bien, vous me donnez combien de mots?""
											Et on me répond "" Disons... un""
									","
											Also kamen sie zu mir, CNN, und sie sagten: ""Professor Seligman,
											würden Sie uns etwas über die aktuelle Lage der Psychologie erzählen?
											Wir würden Sie gerne dazu interviewen."" Und ich sagte: ""Großartig"".
											Und sie sagte: ""Aber das ist CNN, also bekommen Sie nur einen kurzen O-Ton"".
											Also sagte ich: ""Na, wie viele Wörter bekomme ich?""
											Und sie sagte: ""Nun, eines"".
									",The new era of positive psychology,Martin Seligman,23:42,"brain,education,happiness,psychology,science,technology,personality,introvert,evolutionary psychology,emotions"
"
","
","
","
",The new era of positive psychology,Martin Seligman,23:42,"brain,education,happiness,psychology,science,technology,personality,introvert,evolutionary psychology,emotions"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Gelächter)
									",The new era of positive psychology,Martin Seligman,23:42,"brain,education,happiness,psychology,science,technology,personality,introvert,evolutionary psychology,emotions"
"
","
","
","
",The new era of positive psychology,Martin Seligman,23:42,"brain,education,happiness,psychology,science,technology,personality,introvert,evolutionary psychology,emotions"
"
											Y empezaron a rodar las cámaras, y me dijo ""Profesor Seligman,
											¿cuál es el estado de la psicología actual?""
											""Bueno"".
									","
											Ve kameralar çalıştı ve dedi ki, ""Profesör Seligman,
											günümüz psikolojisinin durumu nedir?""
											""İyi.""
									","
											Les caméras tournent et la journaliste commence: ""Professeur Seligman,
											quel est l'état de la psychologie aujourd'hui?""
											""Bon.""
									","
											Und die Kameras liefen und sie sagte: ""Professor Seligman,
											wie ist die aktuelle Lage der Psychologie?""
											""Gut.""
									",The new era of positive psychology,Martin Seligman,23:42,"brain,education,happiness,psychology,science,technology,personality,introvert,evolutionary psychology,emotions"
"
","
","
","
",The new era of positive psychology,Martin Seligman,23:42,"brain,education,happiness,psychology,science,technology,personality,introvert,evolutionary psychology,emotions"
"
											(Risas)
									","
											(Gülüşmeler)
									","
											(Rires)
									","
											(Gelächter)
									",The new era of positive psychology,Martin Seligman,23:42,"brain,education,happiness,psychology,science,technology,personality,introvert,evolutionary psychology,emotions"
