en,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","Visions of Africa's future, from African filmmakers",Dayo Ogunyemi,11:45,"Africa,art,creativity,humanity,entertainment,future,social change,society"
"
											As a child growing up in Nigeria,
											books sparked my earliest imagination,
											but films, films transported me
											to magical places with flying cars,
											to infinite space with whole universes
of worlds to discover.
											And my journey of discovery
has led to many places and possibilities,
											all linked with ideas and imagination.
									","
											Como niño que crecí en Nigeria,
											los libros despertaron
mi imaginación más temprana,
											pero las películas,
las películas me transportaron
											a lugares mágicos con autos voladores,
											al espacio infinito con universos
enteros de mundos por descubrir.
											Y este viaje de descubrimiento me llevó
a muchos lugares y posibilidades,
											todos vinculados con ideas e imaginación.
									","
											Enfant, en grandissant au Nigéria,
											les livres ont éveillé
mon jeune imaginaire,
											mais ce sont les films
qui m'ont transporté
											vers des endroits magiques,
avec des voitures volantes
											vers l'espace infini menant à de vastes
univers et mondes à découvrir.
											Mon voyage de découverte m'a mené vers
de multiples endroits et possibilités,
											tous liés aux idées et à l'imagination.
									","
											Nijerya'da büyümüş bir çocuk olarak
											kitaplar hayal gücümü harekete geçirdi.
											Fakat filmler beni 
büyülü yerlere sürükledi.
											Uçan arabalar,
											sonsuz uzay ve gezegenler 
keşfedilmeyi bekliyordu.
											Keşif serüvenim yeni yerleri 
ve imkânları da beraberinde getirdi.
											Hepsi fikirler ve hayal gücüyle doluydu.
									","Visions of Africa's future, from African filmmakers",Dayo Ogunyemi,11:45,"Africa,art,creativity,humanity,entertainment,future,social change,society"
"
","
","
","
","Visions of Africa's future, from African filmmakers",Dayo Ogunyemi,11:45,"Africa,art,creativity,humanity,entertainment,future,social change,society"
"
											A decade and a half ago,
											I moved from working in law
and technology in New York
											to financing, producing
and distributing films
											in Nairobi, Lagos and Johannesburg.
											I've been privileged
to see firsthand how in Africa,
											film powerfully explores
the marvelous and the mundane,
											how it conveys infinite possibilities
and fundamental truths.
											Afrofuturist films like ""Pumzi,""
											Wanuri Kahiu's superb sci-fi flick,
											paint brilliant pictures
of Africa's future,
											while Rungano Nyoni's ""I Am Not A Witch""
											and Akin Omotoso's ""Vaya""
											show us and catalogue our present.
											These filmmakers offer nuanced snapshots
of Africa's imagined and lived reality,
											in contrast to some of the images
of Africa that come from outside,
											and the perspectives
that accompany all of these images,
											whether sympathetic or dismissive,
shape or distort
											how people see Africa.
									","
											Hace una década y media,
											me mudé de trabajar en derecho
y tecnología en Nueva York
											para financiar, producir
y distribuir películas
											en Nairobi, Lagos y Johannesburgo.
											He tenido el privilegio de ver
de primera mano cómo en África,
											el cine explora poderosamente
lo maravilloso y lo mundano,
											cómo eso transmite infinitas
posibilidades y verdades fundamentales.
											Películas afrofuturistas como ""Pumzi"",
											la magnífica película de ciencia
ficción de Wanuri Kahiu,
											pinta imágenes brillantes
del futuro de África,
											mientras ""No soy una bruja""
de Rungano Nyoni
											y ""Vaya"" de Akin Omotoso
											nos muestra y cataloga nuestro presente.
											Estos cineastas ofrecen 
instantáneas matizadas
											de la realidad imaginada 
y vivida de África,
											en contraste con algunas de las imágenes
de África que vienen del exterior,
											y las perspectivas que acompañan
a todas estas imágenes,
											que, ya sea comprensivamente o de
forma desdeñosa, modelan o distorsionan
											la mirada sobre África.
									","
											Il y a une quinzaine d'années,
											j'ai quitté mon emploi dans le domaine
de la loi et technologie à New York
											pour m'en aller vers le financement,
la production et la distribution de films
											à Nairobi, Lagos et Johannesbourg.
											J'ai eu le privilège de voir par moi-même
comment, en Afrique,
											le cinéma explore avec puissance
le merveilleux et le terre-à-terre,
											comment il exprime des possibilités
infinies et des vérités fondamentales.
											Des films afro-futuristes comme « Pumzi »,
											un film de science-fiction superbe
créé par Wanuri Kahiu,
											peint de magnifiques images
du futur de l'Afrique,
											alors que le film « I Am Not A Witch »
de Rungano Nyoni,
											puis « Vaya » de Akin Omotoso,
											nous montrent et définissent
notre présent.
											Ces cinéastes offrent 
des instantanés nuancés
											de la réalité de l'Afrique,
vécue et imaginaire,
											qui contrastent avec certaines images
de l'Afrique prises de l'extérieur,
											et les perspectives
qui accompagnent ces images,
											qu'elles soient sympathiques ou hautaines,
qu'elles forgent ou déforment
									","
											15 yıl önce,
											New York'ta hukuk ve teknoloji 
alanında çalışmayı bırakıp
											Nairobi, Lagos ve Johannesburg'da
film yapmaya,
											onları finanse etmeye 
ve dağıtmaya gittim.
											Afrika'da bir filmin olağanüstü 
ve sıradanı nasıl keşfettiğini
											sonsuz olasılıkları 
ve temel gerçekleri nasıl aktardığını
											doğrudan görmek için 
ayrıcalıklı bir konumdaydım.
											""Pumzi"" gibi Afrofütürist filmler,
											Wanuri Kahiu'nun harika bilim kurgu filmi,
											Afrika'nın geleceğinin 
zekice bir resmini çizdi.
											Bu sırada, Rugano Nyoni'nin 
""I Am Not A Witch"" ile
											Akin Omotoso'nun ""Vaya"" filmleri
											bize, şimdimizi gösteriyor
ve bilgi veriyordu.
											Afrika dışı kaynaklı bazı imajların
ve bu imajlara eşlik eden
											insanların Afrikayı görüş biçimini
şekillendiren ya da çarpıtan,
											sempatik veya küçümseyici
perspektiflerin aksine
											bu yapımcılar Afrika'nın hayali
ve yaşanmış gerçekliklerine ait
											nüanslı enstantaneler sunuyorlar.
									","Visions of Africa's future, from African filmmakers",Dayo Ogunyemi,11:45,"Africa,art,creativity,humanity,entertainment,future,social change,society"
"
","
","
","
","Visions of Africa's future, from African filmmakers",Dayo Ogunyemi,11:45,"Africa,art,creativity,humanity,entertainment,future,social change,society"
"
											And the truth is,
											many people think Africa is screwed up.
											Images play a big part of the reason why.
											Many tropes about Africa
persist from pictures,
											pictures of famine
in Ethiopia 30 years ago,
											pictures of the Biafran war
half a century ago.
											But on a continent
where the average age is 17,
											these tragic events
seem almost prehistoric.
											Their images are far removed
											from how people in Africa's many countries
see themselves and their neighbors.
											For them, these images
do not represent their reality.
									","
											Y la verdad es que
											muchas personas piensan
que África está jodida.
											Las imágenes en gran medida
son la razón de eso.
											Muchos tropos sobre África
persisten a partir de imágenes,
											imágenes de la hambruna
en Etiopía hace 30 años,
											imágenes de la guerra de Biafra
hace medio siglo.
											Pero en un continente donde
la edad promedio es 17 años,
											estos acontecimientos trágicos
parecen casi prehistóricos.
											Sus imágenes están muy alejadas
											de cómo la gente en muchos países de
África se ve a sí misma y a sus vecinos.
											Para ellos, estas imágenes
no representan su realidad.
									","
											la vision qu'ont les gens de l'Afrique.
											Et en vérité,
											beaucoup de gens croient
que l'Afrique est foutue.
											Les images jouent un grand rôle
dans cette perception.
											Plusieurs idées à propos de l'Afrique
perdurent à cause de certaines images,
											des photos de la famine en Ethiopie
il y a 30 ans,
											des images de la guerre au Biafra
il y a plus d'un demi-siècle de cela.
											Mais, sur un continent où
la moyenne d'âge est de 17 ans,
											ces événements tragiques
semblent presque préhistoriques.
											Ces images sont très éloignées
											de la vision qu'ont beaucoup d'Africains
d'eux-mêmes et de leurs voisins.
									","
											Ve gerçek şu ki çoğu kişi
											Afrika'nın berbat olduğunu düşünüyor.
											İmaj, bu kanının 
büyük bir kısmını oluşturuyor.
											Afrika hakkındaki pek çok kinaye 
filmlerde üsteleniyor;
											30 yıl önceki Etiyopya kıtlığı filmleri,
											yarım yüzyıl önceki Biafran savaşı 
filmleri gibi.
											Ancak ortalama yaşın 17 olduğu bir kıtada,
											bu trajik olaylar neredeyse
tarih öncesi sayılır.
											Onların Afrika imajları, 
buradakilerin kendilerini
											ve komşularını 
nasıl gördüklerinden çok uzak.
											Onlar için, bütün bu imaj 
gerçeği yansıtmamaktadır.
									","Visions of Africa's future, from African filmmakers",Dayo Ogunyemi,11:45,"Africa,art,creativity,humanity,entertainment,future,social change,society"
"
","
","
","
","Visions of Africa's future, from African filmmakers",Dayo Ogunyemi,11:45,"Africa,art,creativity,humanity,entertainment,future,social change,society"
"
											So what is Africa's reality,
											or rather, which of Africa's
many realities do we choose to focus on?
											Do we accept Emmanuel Macron's
imagination of Africa in 2017
											as a place in which all women
have seven or eight children?
											Or do we instead rely on the UN's account
											that only one of Africa's 54 countries
has a fertility rate as high as seven?
											Do we focus on the fact
											that infant mortality
and life expectancy in Africa today
											is roughly comparable
to the US a hundred years ago,
											or do we focus on progress,
											the fact that Africa has cut
infant mortality in half
											in the last four decades
											and has raised life expectancy by 10 years
since the year 2000?
											These dueling perspectives
											are all accurate.
											Well, aside from Macron's.
He's just wrong.
									","
											Entonces, ¿cuál es la realidad de África?
											O más bien, ¿en cuál de las muchas
realidades de África elegimos enfocarnos?
											¿Aceptamos la idea de Emmanuel
Macron de África en 2017
											como un lugar en el que todas las
mujeres tienen siete u ocho hijos?
											¿O confiamos en el número de la ONU
											de solo 1 de los 54 países de África tiene
una tasa de fertilidad de siete hijos?
											¿Nos enfocamos en el hecho
											de que la mortalidad infantil
y la esperanza de vida en África hoy
											es aproximadamente comparable
a EE.UU. hace cien años,
											o nos enfocamos en el progreso,
											el hecho de que África ha reducido
la mortalidad infantil a la mitad
											en las últimas cuatro décadas
											y ha aumentado la esperanza de vida
en 10 años desde el año 2000?
											Todas estas perspectivas
											son precisas.
											Bueno, salvo la de Macron.
Él está equivocado.
									","
											Pour eux, ces images
ne sont pas fidèles à leur réalité.
											Quelle est donc la réalité de l'Afrique ?
											Ou plutôt, laquelle des multiples réalités
de l'Afrique choisit-on d'accentuer ?
											Accepte-t-on la vision d'Emmanuel Macron
qui, en 2017, perçoit l'Afrique
											comme un endroit où toutes les femmes
ont sept ou huit enfants ?
											Ou choisit-on plutôt le rapport
des Nations Unies
											qui écrit qu'un seul des 54 pays d'Afrique
a un taux de fertilité de sept ?
											Met-on l'emphase sur le fait
											que, de nos jours, la mortalité infantile
et l'espérance de vie en Afrique
											est sommairement comparable aux États-Unis
du siècle dernier,
											ou met-on l'accent sur le progrès :
											sur le fait que l'Afrique a réduit
de moitié la mortalité infantile
											au cours des 40 dernières années
											puis a augmenté l'espérance de vie
de 10 ans depuis l'an 2000 ?
											Ces perspectives contradictoires
sont toutes exactes.
									","
											Peki, Afrika'nın gerçeği nedir?
Daha doğrusu,
											Afrika'nın pek çok gerçekliğinden
hangisine odaklanmayı seçiyoruz.
											Emmanuel Macron'un; Afrika'yı 2017'de,
kadınların 7-8 çocuk sahibi olduğu
											bir yer olarak tasavvur edişine 
katılıyor muyuz
											veya onun yerine BM'nin, 54 Afrika
ülkesinden sadece bir tanesinde
											doğum oranının 7 kadar yüksek
olduğu hesabına güvenebilir miyiz?
											Bugünün Afrika'sındaki
											bebek ölüm oranının ve yaşam beklentisinin
kabaca yüzyıl önceki ABD ile
											karşılaştırılabilir olduğuna

											veya Afrika'nın bebek ölüm oranını

											son 40 yılda yarı yarıya düşürdüğüne
											ve yaşam beklentisini 2000'den bu yana
											10 yıl artırdığına mı odaklanalım?
											Bütün bu meydan okuyucu
											bakış açıları doğrudur.
											Peki, Macron açısından...
Kesinlikle hatalı.
									","Visions of Africa's future, from African filmmakers",Dayo Ogunyemi,11:45,"Africa,art,creativity,humanity,entertainment,future,social change,society"
"
","
","
","
","Visions of Africa's future, from African filmmakers",Dayo Ogunyemi,11:45,"Africa,art,creativity,humanity,entertainment,future,social change,society"
"
											(Laughter)
									","
											(Risas)
									","
											Sauf celle de Macron. 
Il a tort, point final.
									","
											(Gülme sesleri)
									","Visions of Africa's future, from African filmmakers",Dayo Ogunyemi,11:45,"Africa,art,creativity,humanity,entertainment,future,social change,society"
