en,fr,es,de,pt,title,speaker,duration,tags
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											I've been a police officer
in an urban city
											for nearly 25 years.
											That's crazy, right?
											And in that time,
I've served in every rank,
											from police officer to police chief.
											A few years ago,
I noticed something alarming.
									","
											Je suis agent de police
dans une grande ville
											depuis près de 25 ans.
											C'est fou, n'est-ce pas ?
											Durant ce temps, j'ai servi
à tous les échelons,
											d'officier de police
à commissaire de police.
											Il y a quelques années,
j'ai remarqué quelque chose d'alarmant.
									","
											He sido policía en una ciudad urbana
											durante casi 25 años.
											Eso es una locura, ¿verdad?
											Y en ese tiempo, 
he servido en todos los rangos,
											de oficial de policía a jefa de policía.
											Hace unos años, noté algo alarmante.
									","
											Ich bin Polizistin in einer Großstadt,
											und das schon seit fast 25 Jahren.
											Verrückt, oder?
											In dieser Zeit war ich
in jedem Rang tätig,
											von Polizeibeamtin bis Polizeipräsidentin.
											Mir fiel vor einigen Jahren
etwas erschreckendes auf.
									","
											Sou polícia numa cidade urbana
											há quase 25 anos.
											É uma loucura, não é?
											Durante este tempo,
trabalhei em todas as patentes,
											de agente a chefe da polícia.
											Há uns anos, reparei em algo alarmante.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											Starting in 2014,
											I started monitoring recruits
											as they cycled through police academies
in the state of New Jersey,
											and I found that women were failing
at rates between 65 and 80 percent,
											due to varying aspects
of the physical fitness test.
											I learned that a change in policy
											now required recruits
to pass the fitness exam
											within 10 short workout sessions.
											This had the greatest impact on women.
											The change meant that recruits
had about three weeks
											out of a five-month-long academy
											to pass the fitness exam.
											This just didn't make sense, though.
									","
											Depuis 2014,
											j'ai commencé à suivre les recrues
											alors qu'elles passaient
par les académies de police
											dans l’État du New Jersey
											et j'ai découvert que les taux d'échec
des femmes étaient entre 65% et 80%
											à cause de divers aspects
du test d'aptitude physique.
											Un changement de politique
											nécessitait maintenant que les recrues
réussissent le test physique
											en l'espace de 10 courtes
séances d'entraînement.
											Cela affectait surtout les femmes.
											Le changement signifiait
que les recrues avaient trois semaines
											sur un parcours à l'académie de cinq mois
											pour réussir le test physique.
											Cependant, cela n'avait pas de sens.
									","
											A partir de 2014,
											empecé a supervisar reclutas
											mientras recorrían las academias de 
policía en el estado de Nueva Jersey,
											y descubrí que entre el 65 y el 80 % 
de las mujeres no pasaban las pruebas
											debido a diversos aspectos 
de la prueba de aptitud física.
											Entendí que un cambio 
en la política obliga
											que ahora los reclutas 
pasen el examen de aptitud
											en el marco de diez sesiones 
cortas de entrenamiento.
											Esto tuvo un mayor impacto en las mujeres.
											El cambio significó que los reclutas
tenían unas tres semanas
											dentro de los cinco meses de la academia
											para pasar el examen de aptitud.
											Sin embargo, esto simplemente 
no tenía sentido.
									","
											Im Jahr 2014
											begann ich Polizeianwärter
zu beobachten,
											die Polizeischulen im 
US-Bundesstaat New Jersey durchliefen
											und sah, dass Frauen
zu 65-80% durchfielen,
											aufgrund verschiedener 
Aspekte des Fitnesstests.
											Eine Änderung des Regelwerks
											verlangte nun, dass Anwärter den Test
											nach 10 kurzen Trainingseinheiten 
bestehen müssen.
											Frauen litten besonders darunter.
											Anwärter hatten jetzt etwa 3 Wochen
											während der 5-monatingen Polizeischule,
											um den Fitnesstest zu bestehen.
											Das ergab überhaupt keinen Sinn.
									","
											A partir de 2014,
											comecei a monitorizar recrutas
											enquanto percorriam academias de polícia
no estado de Nova Jersey,
											e descobri que o índice de reprovação
das mulheres estava entre 65% e 80%,
											devido a vários aspetos
do teste de aptidão física.
											Descobri uma mudança nas regras
											que passaram a exigir aos recrutas
aprovação no exame físico
											em 10 curtas sessões de treino.
											Isso teve um grande impacto nas mulheres.
											A mudança significava que os recrutas
tinham cerca de três semanas
											num total de cinco meses na academia
											para passarem no exame físico.
											Mas isto não fazia sentido.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											Police agencies and police recruits
											had made huge investments
to get those recruits into the academy.
											Police recruits had passed
lengthy background checks,
											they had passed medical
and psychological exams,
											they had quit their jobs.
											And many had spent more
than 2,000 dollars in fees and equipment
											just to get kicked out
within the first three weeks?
									","
											Les services de police et les recrues
											avaient énormément investi
pour que ces recrues entrent à l'académie.
											Les recrues avaient passé de fastidieuses
vérifications de leurs antécédents,
											elles avaient passé des examens
médicaux et psychologiques,
											elles avaient démissionné.
											Et nombre avaient dépensé
											plus de 2 000 dollars
en frais et équipement
											pour être expulsés
durant les trois premières semaines ?
									","
											Agencias policiales 
y reclutamientos policiales
											habían hecho grandes inversiones 
para llevar a esos reclutas a la academia.
											Los reclutas policiales habían pasado 
largas verificaciones de antecedentes,
											habían pasado exámenes 
médicos y psicológicos,
											habían renunciado a sus trabajos.
											Y muchos habían gastado más de USD 2000 
en honorarios y equipos.
											para ser expulsados durante 
las primeras tres semanas.
									","
											Polizeibehörden und Anwärter
											hatten viel dafür getan, diese Anwärter
überhaupt an die Schulen zu bringen.
											Sie hatten bereits strenge 
Hintergrundschecks, Medizintests
											und psychologische Tests bestanden
											und sogar ihre Jobs gekündigt.
											Manche hatten über 2.000 US-Dollar
in Gebühren und Ausstattung investiert,
											nur um in den ersten 3 Wochen schon
rausgeworfen zu werden?
									","
											As esquadras da polícia e os recrutas
											tinham feito grandes investimentos
para meterem esses recrutas na academia.
											Os recrutas tinham sido aprovados
em extensas verificações de antecedentes,
											em exames médicos e psicológicos,
											tinham abandonado os empregos
											e muitos tinham gastado
mais de 2000 dólares
											em taxas e equipamento
											para depois serem expulsos
nas primeiras três semanas?
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											The dire situation in New Jersey
											led me to examine the status
of women in policing
											across the United States.
									","
											La situation désastreuse du New Jersey
											m'a poussée à examiner le statut
des femmes dans la police
											à travers les États-Unis.
									","
											La grave situación en Nueva Jersey
											me llevó a examinar la situación 
de la mujer en la policía
											en todo EE. UU.
									","
											Die furchtbare Situation in New Jersey
											führte mich dazu, die Situation
von Polizistinnen
											im ganzen Land genauer zu untersuchen.
									","
											A situação terrível em Nova Jersey
											levou-me a analisar a situação
feminina na polícia nos EUA.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
","
","
","
","
",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
"
											I found that women make up
less than 13 percent of police officers.
											A number that hasn't changed much
in the past 20 years.
											And they make up just three percent
of police chiefs as of 2013,
											the last time the data was collected.
											We know that we can improve those rates.
											Other countries like Canada,
Australia and the UK
											have nearly twice the amount
of policewomen.
											And New Zealand is steadily marching
towards their goal
											of recruit gender parity by 2021.
											Other countries are actively working
											to increase the number
of women in policing,
											because they know of a vast body
of research evidence,
											spanning more than 50 years,
											detailing the advantages
to women in policing.
									","
											J'ai découvert que les femmes
représentaient
											moins de 13% des agents de police.
											Un chiffre qui n'a pas beaucoup évolué
au cours des 20 dernières années.
											Elles représentaient juste 3%
des commissaires de police en 2013,
											lors de la dernière collecte de données.
											Nous savons que nous pouvons
améliorer ces taux.
											D'autres pays comme le Canada,
l'Australie et le Royaume-Uni
											ont presque deux fois plus
d'agents de police féminins.
											Et la Nouvelle-Zélande se dirige
résolument vers son objectif
											de parité dans le recrutement
d'ici à 2021.
											D'autres pays travaillent activement
											à augmenter le nombre
de femmes dans la police
											car ils ont connaissance
d'un vaste corpus de recherche,
											s'étendant sur plus de 50 ans,
											détaillant les bénéfices
des femmes dans la police.
									","
											Descubrí que las mujeres representan 
menos del 13 % de los agentes de policía.
											Un número que no ha cambiado 
mucho en los últimos 20 años.
											Y representan solo el 3 % 
de los jefes de policía desde el 2013,
											la última vez 
que se recopilaron los datos.
											Sabemos que podemos 
mejorar esos porcentajes.
											Otros países como Canadá, 
Australia y el Reino Unido
											tienen casi el doble de mujeres policías.
											Y Nueva Zelanda avanza 
en una constante hacia su objetivo
											de reclutar paridad de género para 2021.
											Otros países están trabajando activamente
											para aumentar el número 
de mujeres en la policía,
											porque saben de la gran cantidad 
de evidencia científica
											que abarca más de 50 años,
											que detalla las ventajas de tener 
mujeres en la policía.
									","
											Ich fand heraus, dass weniger als
13% der Polizeibeamten Frauen sind.
											Und das hat sich in den letzten
20 Jahren kaum verändert.
											Nur 3% der Polizeipräsidenten sind Frauen.
											Zumindest 2013, als zuletzt
Daten erhoben wurden.
											Diese Zahlen können verbessert werden.
											In Kanada, Australien und Großbritannien
											gibt es fast doppelt
so viele Polizistinnen.
											Neuseeland kann 2021 ihr Ziel
											der Geschlechtergleichheit
bei der Polizei erreichen.
											In anderen Ländern versucht man aktiv,
											die Zahl der weiblichen
Polizeibeamten zu erhöhen,
											denn zahlreiche Studien,
											die die letzten 50 Jahre umfassen,
											beweisen die Vorteile, die Frauen in 
Polizeiberufen haben.
									","
											Descobri que as mulheres representam
menos de 13% dos agentes da polícia,
											um número que não mudou muito
nos últimos 20 anos.
											E representam apenas 3%
dos chefes polícias em 2013,
											a última vez que se recolheram dados.
											Sabemos que conseguimos
melhorar estes índices.
											Outros países como o Canadá,
a Austrália e o Reino Unido
											têm quase o dobro de mulheres polícias.
											A Nova Zelândia caminha com segurança
rumo ao seu objetivo
											de atingir a igualdade de género
no recrutamento em 2021.
											Outros países estão a trabalhar ativamente
											para aumentar o número
de mulheres polícias,
											pois estão cientes das vastas provas
provenientes da investigação,
											que se estende por mais de 50 anos,
											detalhando as vantagens
das mulheres no policiamento.
									",How policewomen make communities safer,Ivonne Roman,5:51,"social change,criminal justice,women,justice system,gender equality,work,feminism,United States,diversity,TED Fellows"
