fr,pt,tr,title,speaker,duration,tags
"
","
","
",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
											J'avais 10 ans lorsque j'ai appris
le sens du mot « génocide ».
											C'était en 2003
											et mon peuple se faisait
sauvagement attaquer du fait de sa race :
											des centaines de milliers de morts,
											des millions de déplacés,
											une nation déchirée
par son propre gouvernement.
									","
											Eu tinha 10 anos quando aprendi
o que significava a palavra ""genocídio"".
											Foi em 2003,
											e o meu povo estava a ser brutalmente
atacado por causa da sua etnia
											— centenas de milhares assassinados,
											milhões deslocados,
											uma nação destruída pelas mãos 
do seu próprio governo.
									","
											""Soykırım"" kelimesinin ne anlama
geldiğini öğrendiğimde 10 yaşımdaydım.
											2003 yılıydı ve
											insanlarıma ırklarından
ötürü vahşice saldırılıyordu —
											yüz binlercesi öldürüldü,
											milyonlarcası yerinden edildi,
											bir ulus, kendi
devletinin elleriyle parçalara ayrıldı.
									",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
","
","
",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
											Immédiatement, ma mère et mon père
ont commencé à dénoncer la crise.
											Je ne la comprenais pas vraiment,
											je comprenais seulement
qu'elle anéantissait mes parents.
											Un jour, je suis tombée
sur ma mère en pleurs
											et je lui ai demandé pourquoi
nous enterrions tant de personnes.
											Je ne me souviens pas
des mots qu'elle a choisis
											pour décrire le génocide
à sa fille de 10 ans,
											mais je me souviens
de ce que j'ai ressenti.
											Nous nous sentions seuls,
											comme si personne
ne pouvait nous entendre,
											comme si nous étions invisibles.
									","
											Os meus pais imediatamente
começaram a denunciar a crise.
											Eu não a compreendia,
											mas compreendia que ela estava 
a destruir os meus pais.
											Um dia, encontrei a minha mãe a chorar,
											e perguntei-lhe porque é que 
estávamos a enterrar tantas pessoas.
											Eu não me lembro que 
palavras ela escolheu
											para descrever o que era genocídio
à sua filha de 10 anos,
											mas lembro-me do sentimento.
											Sentíamo-nos completamente sozinhos,
											como se ninguém nos pudesse ouvir,
											como se fôssemos basicamente invisíveis.
									","
											Annem ve babam
kriz hakkında eleştiri yapmaya başladılar.
											Aslında anlamıyordum, sadece
											bunun, aileme zarar verdiğini biliyordum.
											Bir gün annemi ağlarken gördüm ve
											ona neden bu kadar çok
insanı gömdüğümüzü sordum.
											10 yaşındaki kızına soykırımı anlatmak
											için seçtiği kelimeleri hatırlamıyorum,
											fakat o hissi hatırlıyorum.
											Tamamen yalnız hissetmiştik,
											kimse bizi duymuyor gibiydi,
											görünmez gibiydik.
									",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
","
","
",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
											C'est à cette époque-là que j'ai écrit
mon premier poème sur le Darfour.
											J'écrivais de la poésie pour convaincre
les gens de nous entendre et nous voir.
											C'est ainsi que j'ai appris
la chose qui m'a changée.
											Il est facile d'être vu.
											Regardez-moi — jeune femme africaine,
un foulard sur la tête,
											un accent américain sur ma langue
											et une histoire qui rend chaleureux
le plus brutal des lundis matin.
											Il est difficile de convaincre les gens
qu'ils méritent d'être vus.
											J'ai appris cette leçon au lycée un jour,
											quand mon professeur m'a demandé
de faire une présentation sur le Darfour.
											J'installais le projecteur
quand une camarade a dit :
											« Pourquoi faut-il que tu en parles ?
											Tu ne peux pas penser à nous
et ce que nous ressentons ? »
									","
											Foi nesse momento que escrevi 
o meu primeiro poema sobre Darfur.
											Eu escrevia poesia para convencer
as pessoas a verem-nos e ouvirem-nos,
											e foi assim que eu aprendi
o que me mudou.
											É fácil ser visto.
											Quero dizer, olhem para mim
											— sou uma jovem mulher africana
com um lenço na cabeça,
											um sotaque americano
											e uma história que faz com que mesmo
as mais difíceis manhãs de segunda-feira
											pareçam convidativas.
											Mas é difícil convencer as pessoas
de que elas merecem ser vistas.
											Eu aprendi isso um dia,
numa aula do 3.º Ciclo,
											quando o meu professor me pediu que 
fizesse uma apresentação sobre Darfur.
											Eu estava a preparar o projetor
quando uma colega de turma me perguntou:
											""Porque é que tens que falar sobre isto?
											""Não consegues pensar em nós
e em como isso nos vai fazer sentir?""
									","
											Darfur hakkındaki ilk şiirimi de
o zaman yazdım.
											İnsanların bizi görmesini ve
duymasını sağlamak için şiir yazdım
											ve beni değiştiren
şeyi de bu şekilde öğrendim.
											Bunu görmek çok kolay.
											Yani, bakın bana — kafasında
eşarp olan, genç Afrikalı bir kadınım,
											dilimde ise Amerikan aksanı var ve
											Pazartesi sabahlarının en vahşisini
oluşturan bir hikâye cazip görünüyor.
											Fakat insanları görülmeye değer
olduklarına ikna etmek zor bir şey.
											Bunu lisedeyken, öğretmenim 
bir gün benden Darfur'la ilgili
											sunum yapmamı istediğinde öğrendim.
											Projektörü ayarlarken sınıf
arkadaşlarımdan birisi şöyle dedi;
											""Neden bundan bahsetmek zorundasın?
											Bunun bize ne hissettireceğini
düşünemiyor musun?""
									",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
","
","
",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
","
","
",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
											A 14 ans, je ne savais pas quoi lui dire
											ou comment expliquer la douleur
que j'ai ressentie à ce moment-là
											ou à chaque fois que l'on nous forçait
à ne pas parler de « cela ».
											Ses mots m'ont ramenée aux jours
et aux nuits au Darfour,
											où on nous forçait à garder le silence ;
											où nous ne parlions pas
en buvant le thé du matin
											car, au-dessus de nos têtes,
les avions de guerre ravalaient tout son ;
											de retour aux jours où l'on nous disait
											que non seulement
nous ne méritions pas d'être entendus,
											mais que nous n'avions pas
le droit d'exister.
											C'est là que la magie s'est produite,
											dans cette salle de classe
quand les élèves se sont assis
											et que j'ai pris la parole,
											malgré cette impression revouvelée
de ne pas mériter d'être là,
											de ne pas être à ma place
											ou de ne pas avoir le droit
de briser le silence.
									","
											O meu eu de 14 anos
não sabia o que lhe dizer,
											ou como explicar a dor
que eu sentia naquele momento,
											e em todos os momentos em que éramos 
forçados a não falar sobre ""isto"".
											As palavras dela levaram-me de volta 
aos meus dias e noites no chão de Darfur,
											em que éramos forçados
a permanecer em silêncio,
											em que não falávamos
durante o chá da manhã,
											porque os aviões de guerra por cima das
nossas cabeças engoliriam qualquer ruído;
											de volta aos dias em que nos diziam
											que não só não merecíamos
ser escutados
											mas que não tínhamos o direito de existir.
											E foi então que a magia aconteceu,
											naquela sala de aula, quando todos
os alunos começaram a sentar-se
											e eu comecei a falar,
											apesar do retorno do sentimento 
de que eu não merecia estar ali,
											que não pertencia àquele lugar,
											ou que eu não tinha o direito 
de quebrar o silêncio.
									","
											14 yaşımdaki hâlim ona
ne cevap vereceğini veya o anda
											hissettiğim acıyı nasıl
açıklayacağını bilmiyordu
											ve her dakika ""bundan""
bahsetmemeye zorlanıyorduk.
											Sözleri beni Darfur'daki
günlere ve gecelere götürdü,
											sessiz kalmaya zorlandığımız;
											sabah çay içerken,
											savaş uçakları tüm sesleri
bastırdığı için konuşmadığımız;
											yalnızca duyulmayı
hak etmediğimizin değil,
											aynı zamanda var olma hakkımızın
											olmadığının söylendiği zamanlara götürdü.
											Ve orada olmayı hak etmediğim hissi,
											oraya ait olmadığım hissi
veya sessizliği kırma hakkımın olmadığı
											hissi yeniden ortaya
											çıkmasına rağmen, sınıfta tüm
öğrenciler yerini almaya başladığında ve
											konuşmaya başladığımda
											bir büyü oluştu.
									",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
","
","
",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
											Alors que je parlais
											et que mes camarades écoutaient,
											la peur s'est estompée
											Mon esprit s'est apaisé
											et je me suis sentie en sécurité.
											C'était le son de notre deuil,
											la sensation de leurs bras autour de moi,
											les murs stables qui nous maintenaient.
											Cela ne ressemblait en rien à du vide.
									","
											Enquanto eu falava,
											e os meus colegas ouviam,
											o medo desapareceu.
											A minha mente acalmou-se,
											e eu senti-me segura.
											Foi o som do nosso pesar,
											o sentimento dos braços deles
em volta de mim,
											as paredes firmes
que nos mantinham juntos.
											Não havia um sentimento de vazio.
									","
											Konuştuğumda ve
											sınıf arkadaşlarım dinlediğinde,
											korku yavaş yavaş azalmıştı.
											Zihnim sakinleşti ve
											güvende hissettim.
											Bu bizim kederimizin sesiydi,
											bana sarıldıkları hissiydi ve
											o sabit duvarlar bizi bir arada tutuyordu.
											Boşluk hissi değildi.
									",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
"
","
","
",A young poet tells the story of Darfur,Emtithal Mahmoud,10:51,"Africa,children,art,communication,family,language,humanity,identity,performance,refugees,poetry,spoken word,storytelling,TEDMED,war,writing"
