en,fr,pt,title,speaker,duration,tags
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											[This talk contains graphic images]
									","
											[Cette intervention contient
des images pouvant être choquantes]
									","
											[Esta palestra contém imagens chocantes]
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											So I'm sitting across from Pedro,
											the coyote, the human smuggler,
											in his cement block apartment,
											in a dusty Reynosa neighborhood
											somewhere on the US-Mexico border.
											It's 3am.
											The day before, he had asked me
to come back to his apartment.
											We would talk man to man.
											He wanted me to be there
at night and alone.
											I didn't know if he was setting me up,
											but I knew I wanted to tell his story.
											He asked me, ""What will you do
											if one of these pollitos, or migrants,
slips into the water and can't swim?
											Will you simply take your pictures
and watch him drown?
											Or will you jump in and help me?""
											At that moment, Pedro wasn't a cartoonish
TV version of a human smuggler.
											He was just a young man, about my age,
											asking me some really tough questions.
											This was life and death.
									","
											Je suis assis face à Pedro,
											le coyote, le passeur,
											dans son appartement en parpaings,
											dans un quartier poussiéreux de Reynosa,
											quelque part à la frontière
entre les États-Unis et le Mexique.
											Il est 3h du matin.
											Le jour précédent, il m'a demandé
de revenir à son appartement
											pour parler d'homme à homme.
											Il voulait que je sois là de nuit et seul.
											J'ignorais si c'était un piège,
											mais je savais qu'il voulait
me raconter son histoire.
											Il m'a demandé : « Que feras-tu
											si l'un de ces poussins, ou migrants,
											se glisse dans l'eau
et ne sait pas nager ?
											Prendras-tu simplement des photos
en le regardant se noyer ?
											Ou sauteras-tu dans l'eau pour m'aider ? »
											A ce moment-là, Pedro n'était pas
la caricature d'un passeur.
											Il était simplement un jeune homme,
d'environ mon âge,
											me posant des questions très difficiles.
											Il était question de vie et de mort.
									","
											Estou sentado em frente do Pedro,
											o ""coiote"", contrabandista
de seres humanos,
											no seu apartamento de blocos de betão,
											num bairro poeirento de Reynosa
											algures na fronteira
entre os EUA e o México.
											São três horas da manhã.
											No dia anterior, ele tinha-me pedido
para eu voltar ao seu apartamento.
											Falaríamos de homem para homem.
											Ele queria que eu fosse lá
de noite e sozinho.
											Eu não sabia se ele me iria tramar,
											mas eu queria contar a história dele.
											Ele perguntou-me: ""O que farás
											""se um destes migrantes franganotes
cair na água e não souber nadar?
											""Vais só fotografá-lo e vê-lo a afogar-se?
											""Ou vais saltar para a água e ajudar-me?""
											Nessa altura, Pedro não era uma caricatura
de um contrabandista de pessoas, na TV.
											Era apenas um jovem, da minha idade,
											a fazer perguntas bastante difíceis.
											Isto era vida ou morte.
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											The next night, I photographed Pedro
as he swam the Rio Grande,
											crossing with a group of young migrants
into the United States.
											Real lives hung in the balance
every time he crossed people.
											For the last 20 years,
											I've documented one of the largest
transnational migrations
											in world history,
											which has resulted in millions
of undocumented people
											living in the United States.
											The vast majority of these people
leave Central America and Mexico
											to escape grinding poverty
and extreme levels of social violence.
									","
											La nuit suivante, j'ai photographié Pedro
alors qu'il nageait dans le Rio Grande,
											faisant la traversée vers les États-Unis
avec un groupe de jeunes migrants.
											De vraies vies étaient en jeu
											à chaque fois qu'il faisait
traverser des gens.
											Les 20 dernières années,
											j'ai documenté l'une des plus importantes
migrations transnationales
											de l'histoire du monde
											qui a abouti à des millions
de personnes sans papiers
											vivant aux États-Unis.
											La vaste majorité de ces personnes
quittent l'Amérique centrale et le Mexique
											pour échapper à une misère noire
											et des niveaux extrêmes
de violence sociale.
									","
											Na noite seguinte, fotografei o Pedro
quando nadava no Rio Grande,
											a atravessar com um grupo de jovens
migrantes para os EUA.
											Estavam em risco vidas reais, de cada vez
que ajudava pessoas na travessia.
											Nos últimos 20 anos,
											documentei uma das maiores
migrações transnacionais
											na história mundial,
											que resultou em milhões
de pessoas não documentadas
											a viver nos EUA.
											A grande maioria destas pessoas
deixa a América Central e o México
											para fugir à pobreza extrema
e a níveis extremos de violência social.
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											I photograph intimate moments
of everyday people's lives,
											of people living in the shadows.
											Time and again, I've witnessed
resilient individuals
											in extremely challenging situations
											constructing practical ways
to improve their lives.
											With these photographs,
											I place you squarely in the middle
of these moments
											and ask you to think about them
as if you knew them.
											This body of work
is a historical document,
											a time capsule that can teach us
not only about migration,
											but about society and ourselves.
									","
											Je photographie des moments intimes
de la vie de gens ordinaires,
											de gens vivant dans l'ombre.
											A maintes reprises, j'ai été témoin
d'individus résilients
											dans des situations extrêmement difficiles
											concevant des moyens pratiques
pour améliorer leur vie.
											Avec ces photos,
											je vous place directement
au cœur de ces moments
											et je vous demande de penser à eux
comme si vous les connaissiez.
											Ces œuvres sont un document historique,
											une capsule historique
pouvant nous éduquer
											non seulement au sujet de la migration,
											mais au sujet de la société
et de nous-mêmes.
									","
											Fotografo momentos íntimos
do quotidiano da vida de pessoas
											de pessoas que vivem na sombra.
											Muitas vezes vi indivíduos resilientes
											em situações extremamente desafiantes
											a construir formas práticas
de melhorar a sua vida.
											Com estas fotografias,
											coloco-vos no meio desses momentos,
											e peço-vos que reflitam neles
como se os conhecessem.
											Este trabalho é um documento histórico,
											uma cápsula do tempo que nos
pode ensinar não só sobre a migração,
											mas também sobre a sociedade
e sobre nós mesmos.
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											I started the project in the year 2000.
											The migrant trail has taught me
											how we treat our most vulnerable
residents in the United States.
											It has taught me about violence
and pain and hope and resilience
											and struggle and sacrifice.
											It has taught me firsthand
											that rhetoric and political policy
directly impact real people.
											And most of all,
											the migrant trail has taught me
											that everyone who embarks on it
is changed forever.
									","
											J'ai démarré le projet en 2000.
											La route des migrants m'a appris
											comment nous traitons nos résidents
les plus vulnérables aux États-Unis.
											Elle m'en a appris sur la violence,
la douleur, l'espoir, la résilience,
											la lutte et le sacrifice.
											En vivant cela, elle m'a appris
											que la rhétorique
et les pratiques politiques
											affectaient de façon directe
des personnes réelles.
											Et surtout,
											la route des migrants m'a appris
											que celui qui s'engage
sur cette route est changé pour toujours.
									","
											Iniciei o projeto em 2000.
											O trilho dos migrantes ensinou-me
											como tratamos os residentes
mais vulneráveis nos EUA.
											Ensinou-me a violência,
a dor, a esperança e a resiliência,
											a luta e o sacrifício.
											Ensinou-me em primeira mão
											o impacto que a retórica
e a prática política
											têm diretamente nas pessoas reais.
											E, acima de tudo,
											o trilho dos migrantes ensinou-me
											que todos o que o seguem
ficam mudados para sempre.
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											I began this project in the year 2000
											by documenting a group of day laborers
on Chicago’s Northwest side.
											Each day, the men would wake up at 5am,
											go to a McDonald's,
where they would stand outside
											and wait to jump
into strangers' work vans,
											in the hopes of finding a job for the day.
											They earned five dollars an hour,
											had no job security, no health insurance
											and were almost all undocumented.
											The men were all pretty tough.
											They had to be.
											The police constantly
harassed them for loitering,
											as they made their way each day.
											Slowly, they welcomed me
into their community.
											And this was one of the first times
											that I consciously used
my camera as a weapon.
									","
											J'ai démarré ce projet en 2000
											en documentant un groupe de journaliers
											du nord-ouest de Chicago.
											Chaque jour, les hommes
se réveillaient à 5h du matin,
											allaient chez McDonald's, restaient dehors
											et attendaient pour sauter
dans la fourgonnette d'étrangers
											dans l'espoir de trouver
un emploi pour la journée.
											Ils gagnaient cinq dollars de l'heure,
											n'avaient pas de sécurité de l'emploi,
pas d'assurance santé
											et étaient presque tous sans papiers.
											Les hommes étaient tous plutôt coriaces.
											Ils devaient l'être.
											La police les harcelait constamment
pour vagabondage
											alors qu'ils faisaient chemin chaque jour.
											Lentement, ils m'ont accueilli
dans leur communauté.
											Ce fut l'une des premières fois
											où j'ai consciemment utilisé
mon appareil photo comme une arme.
									","
											Iniciei este projeto em 2000,
											documentando um grupo de trabalhadores
à jorna, no lado noroeste de Chicago.
											Todos os dias, os homens
acordavam às cinco horas da manhã
											iam para um McDonald's,
ficavam do lado de fora
											e esperavam para saltar
para as carrinhas de estranhos,
											na esperança de ter
trabalho por um dia.
											Ganhavam cinco dólares à hora,
											com trabalho inseguro,
sem seguro de saúde,
											e quase todos sem documentos.
											Todos estes homens eram bastante robustos.
											Tinham de o ser.
											A polícia incomodava-os
constantemente por vadiagem,
											no seu caminho diário para o trabalho.
											Lentamente, deram-me as boas vindas
na sua comunidade.
											Esta foi uma das primeiras vezes
											que conscientemente usei
a minha máquina como uma arma.
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											One day, as the men were organizing
to make a day-labor worker center,
											a young man named Tomás
came up to me and asked me
											will I stay afterwards and photograph him.
											So I agreed.
											As he walked into the middle
of the empty dirt lot,
											a light summer rain started to fall.
											Much to my surprise, he started
to take off his clothes. (Laughs)
											I didn't exactly know what to do.
											He pointed to the sky and said,
											""Our bodies are all we have.""
											He was proud, defiant
and vulnerable, all at once.
											And this remains one of my
favorite photographs of the past 20 years.
											His words have stuck with me ever since.
									","
											Un jour, alors que les hommes
s'organisaient pour créer
											un centre pour journaliers,
											un jeune homme du nom de Tomás
est venu me voir et m'a demandé
											si je resterais après
pour le photographier.
											J'ai accepté.
											Alors qu'il marchait au milieu
du terrain vague vide,
											une faible pluie d'été
a commencé à tomber.
											A ma grande surprise, il a commencé
à enlever ses vêtements. (Rit)
											Je ne savais pas vraiment quoi faire.
											Il a montré le ciel du doigt et a dit :
											« Nos corps sont tout ce que nous avons. »
											Il était à la fois fier,
provocateur et vulnérable.
											Cela reste l'une de mes photos préférées
des 20 dernières années.
											Ses mots m'accompagnent depuis.
									","
											Um dia, quando os homens se organizavam
											para criar um centro
de trabalhadores à jorna,
											um jovem chamado Tomás
veio ter comigo e perguntou-me
											se eu podia ficar mais tempo
para o fotografar.
											Aceitei.
											Quando ele se caminhava 
para o baldio vazio,
											começou a cair uma leve chuva de verão.
											Para minha surpresa,
ele começou a despir-se.
											(Risos)
											Eu não sabia o que fazer.
											Ele apontou para o céu e disse:
											""O nosso corpo é tudo o que temos.""
											Sentia-se orgulhoso, provocador
e vulnerável, simultaneamente.
											Esta mantém-se como uma das minhas
fotografias favoritas dos últimos 20 anos.
											As palavras dele ficaram
comigo desde então.
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											I met Lupe Guzmán around the same time,
											while she was organizing
and fighting the day-labor agencies
											which were exploiting her
and her coworkers.
											She organized small-scale protests,
sit-ins and much more.
											She paid a high price for her activism,
											because the day-labor agencies like Ron's
											blackballed her
and refused to give her work.
											So in order to survive,
											she started selling elotes,
or corn on the cob, on the street,
											as a street vendor.
											And today, you can still find her
											selling all types of corn
and different candies and stuff.
									","
											J'ai rencontré Lupe Guzmán
à la même époque,
											alors qu'elle organisait et luttait
contre les agences de travail journalier
											qui les exploitaient,
elle et ses collègues.
											Elle a organisé de petites manifestations,
des sit-ins et bien plus.
											Elle a payé cher son activisme
											car les agences de travail
journalier comme Ron's
											l'ont mise sur leur liste noire
et ont refusé de lui donner du travail.
											Afin de survivre,
											elle a commencé à vendre des elotes,
ou des épis de maïs, dans la rue
											en tant que vendeuse ambulante.
											Aujourd'hui, vous pouvez encore la trouver
											à vendre tous types de maïs,
divers bonbons et autres.
									","
											Na mesma altura conheci Lupe Guzmán,
											enquanto ela organizava e lutava
contra as agências de trabalho à jorna
											que a exploravam e às suas colegas.
											Organizava pequenos protestos,
manifestações pacíficas e muito mais.
											Pagou um preço muito
elevado pelo seu ativismo,
											porque as agências de trabalho
à jorna, como a Ron's,
											bloqueavam-na e recusavam-se
a dar-lhe trabalho.
											Por isso, para sobreviver,
											ela começou a vender
maçarocas de milho na rua,
											como vendedora ambulante.
											Ainda hoje a poderão encontrar
											a vender todo o tipo de milho,
rebuçados e afins.
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											Lupe brought me into
the inner world of her family
											and showed me
the true impact of migration.
											She introduced me to everyone
in her extended family,
											Gabi, Juan, Conchi, Chava, everyone.
											Her sister Remedios had married Anselmo,
											whose eight of nine siblings
											had migrated from Mexico
to Chicago in the nineties.
											So many people in her family
opened their world to me
											and shared their stories.
											Families are the heart and lifeblood
of the migrant trail.
											When these families migrate,
											they change and transform societies.
											It's rare to be able
to access so intimately
											the intimate and day-to-day lives
											of people who, by necessity,
are closed to outsiders.
									","
											Lupe m'a fait pénétrer
la sphère intérieure de sa famille
											et m'a montré le vrai impact
de la migration.
											Elle m'a présenté à tout le monde
dans sa famille au sens large :
											Gabi, Juan, Conchi, Chava, tout le monde.
											Sa sœur Remedios avait épousé Anselmo,
											dont huit des neuf frères et sœurs
											avaient immigré du Mexique
à Chicago dans les années 90.
											Tant de gens dans sa famille
m'ont ouvert leur univers
											et ont partagé leur histoire.
											Les familles sont le cœur
et la vie de la route des migrants.
											Quand ces familles immigrent,
											elles changent
et transforment les sociétés.
											Il est rare d'être capable
d'avoir un accès aussi intime
											aux vies intimes et quotidiennes
											de gens qui, par nécessité,
ne sont pas ouverts aux étrangers.
									","
											A Lupe levou-me ao mundo
interior da sua família
											e mostrou-me o verdadeiro
impacto da migração.
											Apresentou-me a todos
na sua grande família,
											a Gabi, a Juan, a Conchi,
a Chava, a todos.
											A sua irmã Remedios tinha
casado com o Anselmo,
											cujos oito ou nove irmãos
											tinham migrado do México
para Chicago nos anos 90.
											Muitas pessoas da família dela
abriram os seus mundos para mim
											e partilharam as suas histórias.
											As famílias são o coração
e o sangue do trilho dos migrantes.
											Quando estas famílias migram,
											mudam e transformam as sociedades.
											É raro conseguir ter um acesso tão íntimo
											à vida íntima e ao quotidiano
											de pessoas que, por necessidade,
se fecham a estranhos.
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											At the time,
											Lupe's family lived in the insular world
of the Back of the Yards,
											a tight-knit Chicago neighborhood,
											which for more than 100 years
had been a portal of entry
											for recent immigrants —
											first, from Europe, like my family,
											and more recently, from Latin America.
											Their world was largely hidden from view.
											And they call the larger,
white world outside the neighborhood
											""Gringolandia.""
											You know, like lots of generations
moving to the Back of the Yards,
											the family did the thankless hidden jobs
that most people didn't want to do:
											cleaning office buildings,
preparing airline meals in cold factories,
											meat packing, demolitions.
											It was hard manual labor
for low exploitation wages.
											But on weekends, they celebrated together,
											with backyard barbecues
											and birthday celebrations,
											like most working families the world over.
									","
											A l'époque,
											la famille de Lupe vivait
dans le monde insulaire
											de Back of the Yards,
											un quartier soudé de Chicago,
											qui depuis plus de 100 ans
est une voie d'entrée
											pour les immigrants juste arrivés —
											venant d'Europe, comme ma famille,
											et plus récemment, d'Amérique latine.
											Leur monde était majoritairement
à l'abri des regards.
											Ils appellent le monde vaste et blanc
en dehors du quartier
											« Gringolandia ».
											Comme de nombreuses générations
emménageant à Back of the Yards,
											la famille effectuait les travaux
ingrats et invisibles
											que la plupart des gens
ne voulaient pas faire :
											nettoyer les immeubles de bureaux,
											préparer les repas
des compagnies aériennes
											dans des usines froides,
											emballer de la viande,
faire des démolitions.
											C'était un travail manuel difficile
pour de faibles salaires d'exploitation.
											Mais les week-ends,
ils faisaient la fête ensemble
											avec des barbecues dans le jardin
											et des fêtes d'anniversaire,
											comme la plupart des familles
du monde entier.
									","
											Nessa época,
											a família de Lupe vivia no mundo insular
de Back of the Yards,
											um bairro de Chicago
com uma comunidade muito unida
											que, durante mais de cem anos
fora uma porta de entrada
											para imigrantes recentes,
											primeiro, da Europa
— como a minha família —
											e, mais recentemente, da América Latina.
											O mundo deles estava escondido.
											E chamam ao mundo grande
e branco para além do seu bairro
											""Gringolândia.""
											Tal como muitas gerações
a mudar-se para o Back of the Yards,
											a família fazia os trabalhos escondidos
e inglórios que a maioria não quer fazer:
											limpeza de escritórios, preparar refeições
para viagens de avião em fábricas frias,
											empacotamento de carne, demolições.
											Era trabalho manual duro
com salários baixos de exploração.
											Mas, aos fins de semana,
festejavam juntos,
											com churrascos nos quintais
											e festas de aniversários,
											tal como as famílias trabalhadoras
em todo o mundo.
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
											I became an honorary family member.
											My nickname was ""Johnny Canales,""
after the Tejano TV star.
											I had access to the dominant culture,
											so I was part family photographer,
part social worker
											and part strange outsider payaso clown,
who was there to amuse them.
											One of the most memorable
moments of this time
											was photographing the birth
of Lupe's granddaughter, Elizabeth.
											Her two older siblings had crossed
across the Sonoran Desert,
											being carried and pushed in strollers
into the United States.
											So at that time,
											her family allowed me
to photograph her birth.
											And it was one of the really
coolest things
											as the nurses placed
baby Elizabeth on Gabi's chest.
											She was the family's
first American citizen.
											That girl is 17 today.
											And I still remain
in close contact with Lupe
											and much of her family.
									","
											Je suis devenu un membre
d'honneur de la famille.
											Mon surnom était « Johnny Canales »
d'après la star téjano de la télé.
											J'avais accès à la culture dominante,
											j'étais en partie
le photographe de la famille,
											en partie un travailleur social,
											en partie un clown étrange et étranger
qui était là pour les divertir.
											L'un des moments les plus mémorables
de cette époque-là
											a été de prendre en photo la naissance
de la petite-fille de Lupe, Elizabeth.
											Ses deux sœurs aînées avaient traversé
le désert de Sonora,
											transportées et poussées
dans des poussettes jusqu'aux États-Unis.
											Alors à cette époque,
											sa famille m'a permis
de photographier sa naissance.
											Ce fut l'une des choses les plus cools
											lorsque les infirmiers ont placé
le bébé Elizabeth sur la poitrine de Gabi.
											C'était le premier
citoyen américain de la famille.
											Cette fille a aujourd'hui 17 ans.
											Je demeure en étroit contact avec Lupe
											et une grande partie de sa famille.
									","
											Tornei-me num membro
honorário da família.
											A minha alcunha era Johnny Canales,
como a estrela texana da TV.
											Eu tinha acesso à cultura dominante
											por isso, em parte era fotógrafo
da família e, em parte, assistente social
											e, em parte, era o ""palhaço"" estranho,
que estava ali para os divertir.
											Um dos momentos mais
inesquecíveis dessa época
											foi fotografar o nascimento
de Elizabeth, a neta de Lupe.
											Os irmãos mais velhos tinham
atravessado o deserto de Sonora,
											transportados e empurrados
em carrinhos de bebé até aos EUA.
											Nessa época,
											a família permitiu-me fotografar
o nascimento dela.
											Foi algo mesmo especial,
											quando as enfermeiras colocaram
a Elizabeth no peito da Gabi.
											Ela foi a primeira cidadã
americana da família.
											Hoje, tem 17 anos.
											Ainda mantenho contacto próximo com a Lupe
											e com grande parte da família dela.
									","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
"
","
","
","Family, hope and resilience on the migrant trail",Jon Lowenstein,13:51,"photography,immigration,violence,activism,human rights,society,humanity,social change,TED Fellows"
