en,es,fr,title,speaker,duration,tags
"
","
","
",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
											Kashmir Hill: So for my
birthday last year,
											my husband got me an Amazon Echo.
											I was kind of shocked, actually,
											because we both work
in privacy and security.
									","
											Kashmir Hill: Por mi cumpleaños
el año pasado,
											mi marido me regaló un Amazon Echo.
											Me sorprendió bastante
											porque ambos trabajamos 
en privacidad y seguridad.
									","
											Kashmir Hill :
L'an dernier, pour mon anniversaire
											mon mari m'a offert un Amazon Echo.
											J'étais plutôt choquée, en fait,
											car on travaille tous les deux
dans la sécurité informatique.
									",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
","
","
",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
","
","
",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
											And this was a device that would sit
in the middle of our home
											with a microphone on,
											constantly listening.
									","
											Y esto era un dispositivo que
pondría en mitad de nuestra casa
											con un micrófono encendido,
											constantemente escuchando.
									","
											Or c'est un appareil qui trône
au milieu de la maison,
											le micro allumé,
											constamment à l'écoute.
									",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
","
","
",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
											We're not alone, though.
											According to a survey by NPR
and Edison Research,
											one in six American adults
now has a smart speaker,
											which means that they have
a virtual assistant at home.
											Like, that's wild.
											The future, or the future dystopia,
is getting here fast.
											Beyond that, companies are offering us
all kinds of internet-connected devices.
											There are smart lights, smart locks,
smart toilets, smart toys,
											smart sex toys.
											Being smart means the device
can connect to the internet,
											it can gather data,
											and it can talk to its owner.
									","
											Sin embargo, no estamos solos.
											Según una encuesta de la radio pública 
y la encuestadora Edison Research,
											uno de cada seis adultos en EE.UU.
tiene un altavoz inteligente,
											lo que significa que tienen 
un asistente virtual en su casa.
											Bueno, esto es increíble.
											El futuro, o la futura distopía
está acercándose rápidamente.
											Las empresas nos están ofreciendo
dispositivos conectados a Internet.
											Hay luces inteligentes, candados,
baños inteligentes, juguetes inteligentes,
											juguetes sexuales inteligentes.
											Ser inteligente significa 
que pueden conectarse a Internet,
											pueden recopilar datos
											y hablar con su dueño.
									","
											Mais on n'est pas seuls.
											Selon un sondage de la NPR
et d'Edison Research,
											un adulte américain sur six possède
un haut-parleur intelligent,
											ce qui signifie qu'ils ont
un assistant virtuel chez eux.
											C'est démentiel !
											L'avenir, ou la future dystopie,
commence aujourd'hui.
											Au-delà de ça, les sociétés offrent
toutes sortes d'appareils connectés.
											Tout est devenu intelligent : lampes,
cadenas, toilettes, jouets,
											et sextoys intelligents.
											« Intelligent » signifie que le terminal
est relié à Internet,
											qu'il collecte des données
et qu'il peut parler à son propriétaire.
									",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
","
","
",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
											But once your appliances can talk to you,
											who else are they going to be talking to?
											I wanted to find out,
											so I went all-in and turned my
one-bedroom apartment in San Francisco
											into a smart home.
											I even connected our bed to the internet.
											As far as I know, it was just
measuring our sleeping habits.
											I can now tell you
that the only thing worse
											than getting a terrible night's sleep
											is to have your smart bed
tell you the next day
											that you ""missed your goal
and got a low sleep score.""
									","
											Pero una vez que los dispositivos
pueden hablar con uno,
											¿con quién más podrían estar hablando?
											Quería descubrirlo,
											fui a por todas y convertí mi casa 
de una habitación en San Francisco
											en una casa inteligente.
											Incluso conecté la cama a Internet.
											Hasta donde sé, solo medía 
nuestros hábitos de sueño.
											Ahora puedo decirle que la única cosa peor
											que tener una noche de sueño terrible
											es que tu cama inteligente
te diga al día siguiente
											que ""perdiste tu objetivo y
tuviste una baja puntuación de sueño"".
									","
											Mais une fois que vos dispositifs
peuvent vous parler,
											à qui d'autre vont-ils parler ?
											Je voulais le découvrir,
											j'ai sauté le pas et transformé
mon studio de San Francisco
											en maison intelligente.
											J'ai même connecté notre lit à Internet.
											À ma connaissance, il mesurait juste
nos habitudes de sommeil.
											Je peux vous assurer que la seule chose
pire que très mal dormir la nuit,
											est un lit intelligent qui déclare
le lendemain
											qu'on a « manqué son objectif
et obtenu un piètre score de sommeil ».
									",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
","
","
",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
","
","
",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
											It's like, ""Thanks, smart bed.
											As if I didn't already
feel like shit today.""
									","
											""Gracias, cama inteligente,
											como si no me sintiera ya fatal hoy"".
									","
											« Ah ça, merci, lit intelligent.
											Comme si je n'étais pas déjà
assez fatiguée. »
									",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
","
","
",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
","
","
",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
											All together, I installed 18
internet-connected devices in my home.
											I also installed a Surya.
									","
											En conjunto, instalé 18 dispositivos
conectados a Internet en mi casa.
											También instalé un Surya.
									","
											J'ai donc installé 18 systèmes
connectés chez moi.
											J'ai aussi installé un Surya.
									",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
"
","
","
",What your smart devices know (and share) about you,Kashmir Hill and Surya Mattu,9:05,"technology,surveillance,Internet,society,business,consumerism"
