fr,en,tr,de,es,title,speaker,duration,tags
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											Je pensais vous lire mes poèmes
											sur la jeunesse et la vieillesse.
											En fait, j'etais quelque peu étonné d'en avoir autant.
									","
											I thought I would read poems I have that relate to the subject
											of youth and age.
											I was sort of astonished to find out how many I have actually.
									","
											Sanıyordum ki, gençlik ve yaşla ilgili
											şiirler okuyacağım.
											Gerçekten de konuyla ilgili ne kadar çok şiirim olduğunu fark edince bayağı şaşırdım.
									","
											Ich dachte, ich lese ein paar meiner Gedichte vor, die zum Thema
											Jugend und Alter passen.
											Ich war ein wenig erstaunt, als ich entdeckte, wie viele das wirklich sind.
									","
											Pensé que podría leer poemas relacionados con el tema
											de la juventud y la vejez.
											Quedé impresionado al descubrir cuántos tenía.
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											Le premier est dédié à
											Spencer et à sa grand-mère, stupéfaite par le travail de celui-ci.
											Mon poème s'appelle ""La Crasse.""
									","
											The first one is dedicated to
											Spencer, and his grandmother, who was shocked by his work.
											My poem is called ""Dirt.""
									","
											İlk şiirim Spencer ve Spencer'ın eserleri karşısında
											şaşkına dönen büyükannesine adanmıştır.
											Şiirimin adı ""Pislik.""
									","
											Das erste ist Spencer gewidmet
											und seiner Großmutter, die von seiner Arbeit schockiert war.
											Mein Gedicht heißt ""Schmutz.""
									","
											El primero está dedicado
											a Spencer y a su abuela, a quien le horrorizaba su obra.
											Mi poema se llama ""Mugre"".
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											Ma grand-mère me lave la bouche avec du savon;
									","
											My grandmother is washing my mouth out with soap;
									","
											Anneannem ağzımı sabunla yıkıyor;
									","
											Meine Großmutter wäscht meinen Mund mit Seife aus;
									","
											Mi abuela lava mi boca con jabón,
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											la moitié d’un long siècle passé
									","
											half a long century gone
									","
											yarım asır geçmiş
									","
											ein halbes Jahrhundert ist vergangen
									","
											ha pasado un largo medio siglo
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											et elle m’attaque toujours
									","
											and still she comes at me
									","
											ve hala bana gelir
									","
											und noch immer kommt sie mir
									","
											y aún se acerca a mí
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											avec ce pain épais, cruel, dur.
									","
											with that thick cruel yellow bar.
									","
											o kalın, zalim demir çubukla.
									","
											mit diesem dicken, grausamen, gelben Stück.
									","
											con esa gruesa y cruel barra amarilla.
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											Le tout à cause d’un mot que j’ai dit,
									","
											All because of a word I said,
									","
											Sırf söylediğim bir kelime yüzünden,
									","
											Und nur wegen eines Wortes, das ich sagte,
									","
											Todo por una palabra que dije
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											même pas dit, seulement répété,
									","
											not even said really, only repeated.
									","
											tam olarak söylemedim de, sadece tekrar ettim.
									","
											das ich nicht einmal wirklich sagte, nur wiederholte.
									","
											que ni siquiera fue dicha, sólo repetida.
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											alors Ouvre, dit-elle, ouvre!
									","
											But ""Open,"" she says, ""open up!""
									","
											Ama ""Aç,"" diyor, ""aç ağzını!""
									","
											Doch ""Auf,"" sagt sie, ""Mund auf!""
									","
											Pero, ""Abre"", me dice, ""¡Ábrela!"",
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											sa main une griffe sur ma tête.
									","
											her hand clawing at my head.
									","
											eli kafama doğru ilerleyerek.
									","
											ihre Hand krallt sich an meinen Kopf.
									","
											su mano arañando mi cabeza.
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											je sais maintenant que sa vie était dure;
									","
											I know now her life was hard;
									","
											Biliyorum zordu hayatı,
									","
											Ich weiß, ihr Leben war hart;
									","
											Ahora sé que su vida fue difícil,
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											elle a perdu trois petites,
									","
											she lost three children as babies,
									","
											üç bebeğini kaybetti,
									","
											sie verlor drei Kinder noch als Säuglinge,
									","
											perdió tres hijas siendo bebés,
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											puis son mari est mort aussi,
									","
											then her husband died too,
									","
											sonra kocası da öldü,
									","
											dann starb auch ihr Ehemann,
									","
											luego murió su esposo,
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											lui laissant trois fils, et sans argent.
									","
											leaving young sons, and no money.
									","
											arkasında genç oğullar ve sıfır para bırakarak.
									","
											hinterließ junge Söhne und kein Geld.
									","
											dejando hijos jóvenes y nada de dinero.
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
											Elle me mettait dans le lavabo pour pisser
									","
											She'd stand me in the sink to pee
									","
											Beni lavaboya işetirdi
									","
											Sie stellte mich zum Pinkeln ins Spülbecken,
									","
											Me sostenía en el lavabo para orinar,
									",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
"
","
","
","
","
",Poetry of youth and age,C.K. Williams,23:17,"culture,entertainment,literature,poetry,society,storytelling,writing"
