en,tr,fr,title,speaker,duration,tags
"
","
","
",The secret language of trees,Camille Defrenne and Suzanne Simard,4:18,"TED-Ed,natural resources,biology,animation,nature,communication,trees,science,community,plants"
"
											Most of the forest lives in the 
shadow of the giants
											that make up the highest canopy.
											These are the oldest trees,
											with hundreds of children and 
thousands of grandchildren.
											They check in with their neighbors, 
sharing food, supplies,
											and wisdom gained over their long lives.
									","
											Çoğu orman, en yüksek kubbeleri
oluşturan devlerin gölgesinde yaşar.
											Bunlar, yüzlerce çocuk ve torun ile 
birlikte en eski ağaçlardır.
											Komşularıyla yemek, malzeme
											ve hayatları boyunca kazandıkları 
bilgileri paylaşarak görüşürler.
									","
											La majorité de la forêt
vit dans l'ombre des géants
											qui constituent la canopée.
											Ce sont les arbres les plus vieux,
											avec des centaines d'enfants
et des milliers de petits-enfants.
											Ils prennent des nouvelles
de leurs voisins,
											partageant la nourriture, les ressources
											et la sagesse acquise
au cours de leur longue vie.
									",The secret language of trees,Camille Defrenne and Suzanne Simard,4:18,"TED-Ed,natural resources,biology,animation,nature,communication,trees,science,community,plants"
"
","
","
",The secret language of trees,Camille Defrenne and Suzanne Simard,4:18,"TED-Ed,natural resources,biology,animation,nature,communication,trees,science,community,plants"
"
											They do all this rooted in place, unable 
to speak, reach out, or move around.
											The secret to their success lies 
under the forest floor,
											where vast root systems support the 
towering trunks above.
											Partnering with these roots are symbiotic 
fungi called mycorrhizae.
									","
											Bunları konuşamadan, uzanamadan
ya da hareket edemeden yaparlar.
											Onların bu başarılarının sırrı,

											geniş kök sistemlerinin yüksek gövdeleri 
desteklediği orman zeminin altında yatar.
											Bu köklere eşlik edenler birlikte yaşayan
mikoriza adındaki mantarlardır.
									","
											Ils font tout cela enracinés à un endroit,
											incapables de parler,
de se toucher ou de se déplacer.
											Le secret de leur succès
réside sous le sol forestier
											où un vaste système de racines
supporte les immenses troncs au-dessus.
											Collaborant avec ces racines,
il y a des champignons symbiotiques :
											les mycorhizes.
									",The secret language of trees,Camille Defrenne and Suzanne Simard,4:18,"TED-Ed,natural resources,biology,animation,nature,communication,trees,science,community,plants"
"
","
","
",The secret language of trees,Camille Defrenne and Suzanne Simard,4:18,"TED-Ed,natural resources,biology,animation,nature,communication,trees,science,community,plants"
"
											These fungi have countless branching, 
thread-like hyphae
											that together make up the mycelium.
											The mycelium spreads across a much larger 
area than the tree root system
											and connect the roots of different 
trees together.
											These connections form 
mycorrhizal networks.
											Through mycorrhizal networks,
											fungi can pass resources and signaling 
molecules between trees.
									","
											Bu mantarlar birleşince 
miselyumu oluşturan
											sayısız, dallara ayrılan
ipliksi ipçiklere sahiptir.
											Miselyum ağaç kök sisteminden
çok daha geniş bir alana yayılır
											ve farklı ağaçların
köklerini birbirlerine bağlar.
											Bu bağlantılar mikorizal ağları oluşturur.
											Mikorizal ağlar ile mantarlar
											kaynakları ve ağaçların arasındaki 
sinyal veren molekülleri geçebilirler.
									","
											Ces champignons ont d'innombrables
ramifications de fils, les hyphes,
											qui, ensemble, constituent le mycélium.
											Le mycélium s'étale sur une surface
bien plus grande que le système racinaire
											et lient les racines de différents arbres.
											Ces connexions forment
des réseaux mycorhiziens.
											Via les réseaux mycorhiziens,
											les champignons peuvent
transmettre des ressources
											et des molécules de signalisation
entre les arbres.
									",The secret language of trees,Camille Defrenne and Suzanne Simard,4:18,"TED-Ed,natural resources,biology,animation,nature,communication,trees,science,community,plants"
"
","
","
",The secret language of trees,Camille Defrenne and Suzanne Simard,4:18,"TED-Ed,natural resources,biology,animation,nature,communication,trees,science,community,plants"
"
											We know the oldest trees have the 
largest mycorrhizal networks
											with the most connections to other trees,
											but these connections are incredibly 
complicated to trace.
											That’s because there are about a hundred 
species of mycorrhizal fungi–
											and an individual tree might be colonized 
by dozens of different fungal organisms,
											each of which connects to a 
unique set of other trees,
											which in turn each have their own unique 
set of fungal associations.
											To get a sense of how substances flow 
through this network,
											let’s zoom in on sugars,
											as they travel from a mature tree to a 
neighboring seedling.
									","
											En yaşlı ağaçların, diğer ağaçlarla 
ekseriyet bağlantı ile
											en geniş mikorizal ağlara 
sahip olduklarını biliyoruz
											ama bu bağlantılar iz sürmek
için fazlasıyla karmaşık
											çünkü yaklaşık yüz tane 
mikorizal mantar çeşidi var
											ve tek bir ağaç düzinelerce farklı,
her biri başka ağaç setlerine bağlanan
											mantarsı organizma 
tarafından kolonileştirilebilir.
											Böylelikle her biri kendi eşsiz 
mantarsı birliklerine sahip olurlar.
											Maddelerin bu ağ üzerinden
nasıl aktıklarını anlayabilmek için
											hadi şekerlere olgun bir ağaçtan komşu 
fidelere dolaşırlarken yaklaşalım.
									","
											Les arbres les plus vieux ont
les réseaux mycorhiziens les plus vastes
											avec le plus de connexions
à d'autres arbres,
											mais ces connexions sont
incroyablement difficiles à reconstituer.
											C'est parce qu'il y a une centaine
d'espèces de champignons mycorhiziens
											et un seul arbre peut être colonisé
par des dizaines d'organismes fongiques,
											chacun le connectant
à un ensemble unique d'autres arbres
											qui ont à leur tour leurs propres
jeux d'associations fongiques uniques.
											Pour comprendre comment les substances
circulent dans ce réseau,
											zoomons sur les sucres
											alors qu'ils voyagent d'un arbre mature
à un jeune plant voisin.
									",The secret language of trees,Camille Defrenne and Suzanne Simard,4:18,"TED-Ed,natural resources,biology,animation,nature,communication,trees,science,community,plants"
"
","
","
",The secret language of trees,Camille Defrenne and Suzanne Simard,4:18,"TED-Ed,natural resources,biology,animation,nature,communication,trees,science,community,plants"
"
											Sugar’s journey starts high above 
the ground,
											in the leaves of the tallest trees 
above the canopy.
											The leaves use the ample sunlight up there
to create sugars through photosynthesis.
											This essential fuel then travels 
through the tree
											to the base of the trunk in the thick sap.
									","
											Şekerin seyahati yerden yüksekte,
											tepe tacı üzerinde en yüksek 
ağaçların yapraklarında başlar.
											Yapraklar, fotosentezle şeker oluşturmak 
için bolca güneş ışığı kullanırlar.
											Bu ana yakıt, sonrasında ağaçlar arasından
											kalın bitki özündeki gövdenin 
köküne doğru ilerlerler.
									","
											Le périple du sucre commence
loin au-dessus du sol,
											dans les feuilles des arbres
les plus hauts au-dessus de la canopée.
											Les feuilles utilisent l'ensoleillement
qui abonde là-haut
											pour créer des sucres
via de la photosynthèse.
											Cette alimentation essentielle
voyage au cœur de l'arbre
											jusqu'au pied du tronc
dans l'épaisse sève.
									",The secret language of trees,Camille Defrenne and Suzanne Simard,4:18,"TED-Ed,natural resources,biology,animation,nature,communication,trees,science,community,plants"
