en,tr,fr,es,de,title,speaker,duration,tags
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											I love museums.
											Have you guys ever been
to the Natural History Museum?
											In New York City?
									","
											Müzelere bayılıyorum.
											Doğa Tarihi Müzesine hiç gittiniz mi?
											New York'takine?
									","
											J'adore les musées.
											Avez-vous déjà été
au Muséum d'Histoire Naturelle ?
											À New York ?
									","
											Me encantan los museos.
											¿Alguna vez fueron
al Museo de Historia Natural
											en Nueva York?
									","
											Ich liebe Museen.
											Sind Sie schon mal im Naturkundemuseum
in New York gewesen?
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Beifall)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											So one of the things that I do
is I take my kids to the museum.
											Recently I took them
to the Natural History Museum.
											I had my two sons with me,
Sabian and Dabith.
											And we go into the front
entrance of the museum,
											and there's that amazing sculpture
of Teddy Roosevelt out there.
											You guys know which one I'm talking about.
											Teddy Roosevelt is sitting there
with one hand on the horse,
											bold, strong, sleeves rolled up.
											I don't know if he's bare-chested,
but it kind of feels like it.
									","
											Zaman zaman çocuklarımı müzeye götürürüm.
											Geçenlerde onları
Doğa Tarihi Müzesine götürdüm.
											İki oğlum, Sabian
ve Dabith ile beraberdim.
											Müzenin girişine doğru ilerledik
											ve orada Teddy Roosevelt'ın
muhteşem heykeli duruyordu.
											Hangisinden bahsettiğimi anladınız.
											Teddy Roosevelt bir eli atında,
yiğit, güçlü ve kolları sıyrılmış
											bir şekilde oturmakta.
											Göğsü açık mıydı bilemiyorum
ama öyle hatırlıyorum sanki.
									","
											L'une des choses que j'aime faire
est d'amener mes enfants au musée.
											Je les ai récemment emmenés
au Muséum d'Histoire Naturelle.
											Mes deux fils étaient avec moi,
Sabian et Dabith.
											Nous marchons vers l'entrée
principale du musée
											et devant elle se trouve cette sculpture
incroyable de Teddy Roosevelt.
											Vous savez de laquelle je parle.
											Teddy Roosevelt est assis
avec une main agrippant le cheval,
											audacieux, fort, les manches retroussées.
											Je ne sais pas s'il est torse nu,
mais on le dirait bien.
									","
											Una de las cosas que hago
es llevar a mis hijos a museos.
											Hace poco los llevé 
al Museo de Historia Natural.
											Iba con mis dos hijos, Sabian y Dabith.
											Llegamos a la entrada delantera del museo,
											donde está esa escultura increíble
de Teddy Roosevelt.
											Saben de cuál hablo.
											Está Teddy Roosevelt sentado
con una mano en el caballo,
											audaz, fuerte, arremangado.
											No sé si tiene el torso desnudo,
pero eso parece.
									","
											Ich habe mir angewöhnt
mit meinen Kindern ins Museum zu gehen.
											Neulich gingen wir ins Naturkundemuseum.
											Ich hatte meine zwei Söhne
Sabian und Dabith dabei.
											Wir gehen durch den Haupteingang,
											wo die tolle Skulptur
von Teddy Roosevelt steht.
											Sie wissen sicher, welche ich meine.
											Teddy Roosevelt sitzt auf dem Pferd,
mit einer Hand am Zügel,
											mutig, stark, Ärmel hochgekrempelt.
											Ich weiß nicht, ob mit nackter Brust,
aber man hat den Eindruck.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Laughter)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Risas)
									","
											(Gelächter)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											And on the left-hand side of him
is a Native American walking.
											And on the right-hand side of him
is an African-American walking.
											And as we're moving up the stairs,
											getting closer to the sculpture,
											my oldest son, who's nine, says,
											""Dad, how come he gets to ride,
											and they have to walk?""
									","
											Sol tarafında bir Kızılderili yürüyor
											ve sağ tarafında ise
bir Siyah Amerikalı yürüyor.
											Biz merdivenden çıkarken,
											aynı zamanda heykele de yaklaşırken,
											9 yaşındaki en büyük oğlum,
											''Baba, neden o ata binerken, diğerleri
											yürümek zorunda?'' dedi.
									","
											Et à sa gauche se trouve
un Amérindien qui marche.
											Et à sa droite se trouve
un Afro-Américain qui marche.
											Tandis que nous montons les marches,
											que nous nous rapprochons de la sculpture,
											mon fils aîné de 9 ans me dit :
											« Papa, comment ça se fait
qu'il peut être à cheval,
											et qu'eux doivent marcher ? »
									","
											A su izquierda va caminando
un nativo americano.
											Y a su derecha va caminando
un afroamericano.
											Cuando estábamos subiendo las escaleras
											y acercándonos a la escultura,
											mi hijo mayor, que tiene 9, dice:
											""Papá, ¿por qué él va a caballo
											y ellos tienen que caminar?""
									","
											An seiner linken Seite geht ein Indianer.
											An seiner rechten Seite
geht ein Afroamerikaner.
											Als wir die Treppe hinauf gingen
											und uns der Skulptur näherten,
											sagte mein neun Jahre alter Sohn,
											""Papa, warum reitet er auf dem Pferd
											und die anderen müssen gehen?""
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											It stopped me in my tracks.
											It stopped me in my tracks.
											There was so much history
											that we would have to go through
to try to explain that,
											and that's something
I try to do with them anyways.
											It's a question that I probably
would have never really asked.
											But fundamentally what he was saying was,
											""That doesn't look fair.
											Dad, that doesn't look fair.
											And why is this thing that's so not fair
											sitting outside
of such an amazing institution.""
											And his question got me wondering,
											is there a way for us
to amend our public sculptures,
											our national monuments?
											Not erase them,
											but is there a way to amend them?
									","
											Donup kalıverdim.
											Donup kalıverdim.
											Bunu açıklayabilmek için
											anlatmanız gereken
o kadar çok tarihi bilgi var ki
											yine de bunu onlara
anlatmaya çabalıyorum.
											Bu benim muhtemelen hiçbir zaman
sormayacağım bir soruydu.
											Ama temelde söylemeye çalıştığı şey,
											''Bu adil görünmüyor
											Baba, bu adil değil
											ve bu denli adil olmayan bir şey,
											bu kadar harikulade bir kurumun
önünde nasıl yer buluyor?'' du.
											Sorusu beni düşündürdü,
											heykellerimizi, ulusal anıtlarımızı
ıslah edebileceğimiz
											bir yol var mı?
											Onları yok etmek değil ama
											düzeltmenin bir çaresi var mı?
									","
											Je me suis arrêté net.
											Je me suis arrêté net.
											Il nous aurait fallu parcourir
tellement de leçons d'histoire
											pour tenter d'expliquer ça
											et c'est quelque chose que j'essaie
de faire avec eux de toutes façons.
											C'est une question que je n'aurais
probablement jamais vraiment posée.
											Fondamentalement,
voici ce qu'il voulait dire :
											« Ce n'est pas juste.
											Papa, ce n'est pas juste.
											Et pourquoi cette chose
qui est tellement pas juste
											se trouve en face
d'une institution aussi incroyable ? »
											J'ai commencé à m'interroger.
											Pouvons-nous corriger
nos sculptures publiques,
											nos monuments nationaux ?
											Pas les effacer
											mais y a-t-il un moyen
de les corriger ?
									","
											Me dejó helado.
											Me dejó helado.
											Tendríamos que ver tanta historia
											para poder explicarlo.
											Y eso es algo que intento hacer
con ellos de todos modos.
											Es una pregunta que probablemente
yo nunca hubiera hecho.
											Pero, básicamente, lo que quiso decir fue:
											""Eso no parece justo.
											Papá, eso no parece justo.
											Y por qué esta cosa que no es justa
											está colocada fuera
de una institución tan increíble"".
											Su pregunta me hizo preguntarme
											si podemos corregir
nuestras esculturas públicas,
											nuestros monumentos nacionales.
											No eliminarlos,
											pero ¿hay forma de corregirlos?
									","
											Da musste ich stehen bleiben.
											Da musste ich erst mal stehen bleiben.
											Es gab soviel Geschichte
											die wir betrachten müssten,
um das zu erklären,
											das versuche ich sowieso
mit ihnen zu machen.
											Diese Frage hätte ich
wahrscheinlich nie gestellt.
											Was er im Grunde sagen wollte:
											""Das sieht nicht gerecht aus,
											Papa, das ist nicht gerecht.
											Und warum ist diese ungerechte Sache
											da vorne vor einer so großen Institution?""
											Seine Frage lies mich nachdenken.
											Gibt es eine Möglichkeit, unsere
öffentlichen Skulpturen zu verändern?
											Und unsere Denkmäler?
											Sie nicht zu vernichten,
											sondern ist es möglich sie zu ändern?
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											Now, I didn't grow up going to museums.
											That's not my history.
											My mother was 15 years old
when I was born.
											She is amazing.
											My father was struggling
with his own things
											for most of my life.
											If you really want to know the truth,
											the only reason I got into art
is because of a woman.
											There was this amazing, amazing,
fantastic, beautiful, smart woman,
											four years older than me,
											and I wanted to go out with her.
											But she said, ""You're too young
											and you're not thinking
about your future.""
											So I ran on down to the junior college,
											registered for some classes,
											ran on back,
											and basically was like,
""I'm thinking about my future now.""
									","
											Müzelere gitme adetim yoktu.
											Geçmişimde bu yok.
											Ben doğduğumda annem 15 yaşındaydı.
											Harika bir insan.
											Babamsa, hayatımın çoğunda
											kendi dertleriyle meşguldü.
											Aslına bakarsanız,
											sanata atılışım da
bir kadın yüzünden oldu.
											Benden dört yaş büyük,
muazzam, harika, güzel
											ve zeki bir kadındı
											ve onunla çıkmak istiyordum.
											Ama dedi ki, ''Sen çok gençsin
											ve geleceğin için çabalamıyorsun.''
											Hemen Ön lisans okuluna koştum
											bölümün birine kayıt yaptırdım
											ve koşup geri geldim.
											yani şöyle bir şeydi,
''Bak, geleceğimi düşünüyorum artık.''
									","
											Pendant mon enfance,
je n'allais pas au musée.
											Ce n'est pas mon histoire.
											Ma mère avait 15 ans lorsque je suis né.
											Elle est formidable.
											Mon père luttait
avec ses propres problèmes
											pendant la majeure partie de ma vie.
											Si vous voulez vraiment savoir la vérité,
											la seule raison qui m'a poussé vers l'art,
c'est une femme.
											C'était une femme incroyable, incroyable,
fantastique, belle, intelligente,
											de quatre ans mon aînée,
											et je voulais sortir avec elle.
											Elle m'a dit :
« Tu es trop jeune
											et tu ne penses pas à ton futur. »
											Alors j'ai couru jusqu'à l'université,
											je me suis inscrit à quelques cours,
											j'ai fait le chemin en sens inverse
											et je lui ai sorti comme ça :
« Je pense à mon futur là. »
									","
											No me crié yendo a museos.
											Esa no es mi historia.
											Mi madre tenía 15 años cuando nací.
											Ella es increíble.
											Mi padre luchó con sus propias cosas
											la mayor parte de mi vida.
											Si realmente quieren saber la verdad,
											la única razón por la que estudié
arte fue por una mujer.
											Era una mujer increíble, fantástica,
hermosa e inteligente,
											cuatro años mayor que yo.
											Yo quería salir con ella.
											Pero dijo: ""Eres demasiado joven
											y no estás pensando en tu futuro"".
											Así que corrí hacia la universidad,
											me anoté en algunas clases,
											corrí de vuelta,
											y básicamente le dije:
""Ya estoy pensando en mi futuro"".
									","
											Ich bin nicht mit Museen aufgewachsen.
											Das ist nicht mein Lebensgeschichte.
											Meine Mutter war 15,
als ich geboren wurde.
											Sie ist wunderbar.
											Mein Vater kämpfte mit sich selbst
											solange ich ihn kenne.
											Wenn ich die Wahrheit sagen soll,
											ist der einzige Grund warum ich
zur Kunst gekommen bin, eine Frau.
											Es gab diese erstaunliche,
fantastische, schöne, kluge Frau,
											vier Jahre älter als ich,
											mit der ich ausgehen wollte.
											Sie sagte: ""Du bist zu jung
											und du kümmerst dich nicht
um deine Zukunft.""
											Also lief ich ins Junior College
											schrieb mich in einige Klassen ein,
											kam zurück,
											und dachte ""Jetzt kümmere ich
mich um meine Zukunft.""
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Laughter)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											""Can we go out?""
									","
											''Çıkabilir miyiz şimdi?''
									","
											« On peut sortir ensemble ? »
									","
											""¿Podemos salir?""
									","
											""Können wir zusammen ausgehen?""
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											For the record, she's even more amazing.
											I married her.
									","
											Aslında daha da muhteşem biriymiş.
											Evlendim onunla.
									","
											Entre nous,
elle est encore plus incroyable.
											Je l'ai épousée.
									","
											Para que conste, es aún más increíble,
											me casé con ella.
									","
											Sie ist sogar noch erstaunlicher,
											ich habe sie geheiratet.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Applause)
									","
											(Alkış)
									","
											(Applaudissements)
									","
											(Aplausos)
									","
											(Beifall)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											So when I randomly ran down
to the junior college
											and registered for classes,
											I really wasn't paying attention
to what I was registering to.
									","
											Koşup ön lisans programına kayıt olup
											derslere yazıldığımda,
											neye kayıt yaptırdığıma
pek dikkat etmemişim.
									","
											Lorsque je me suis précipité
au hasard à l'université
											et que je me suis inscrit,
											je n'avais vraiment pas fait attention
aux cours que je choisissais.
									","
											Así que, cuando corrí de la nada
hacia la universidad
											y me anoté en las clases,
											no estaba prestando realmente atención
a qué me estaba anotando.
									","
											So, als ich mich so zufällig ins
											Junior College einschrieb,
											dachte ich nicht an ein besonderes Fach.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Laughter)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											So I ended up with an art history class,
											and I didn't know a thing
about art history.
											But something amazing happened
when I went into that class.
											For the first time in my academic career,
											my visual intelligence was required of me.
											For the first time.
											The professor would put up an image,
											bold strokes of blues and yellows,
and say, ""Who's that?""
											And I'd go, ""That's Van Gogh.
Clearly that is Van Gogh.
											I got this.""
									","
											Kendimi sanat tarihi sınıfında buldum
											ve sanat tarihi hakkında
hiçbir şey bilmiyordum.
											Fakat o derse gittiğimde
gerçekten muazzam bir şey oldu.
											Akademik hayatımda ilk defa,
											görsel zekâmı konuşturmam bekleniyordu.
											İlk defa.
											Profesör bir resim asıyor,
											güçlü sarı ve mavi darbeler
''Bu kimin eseri?'' diyordu.
											Ben de ''Bu Van Gogh.
Van Gogh olduğu apaçık.
											Kaptım bu işi.'' diyordum.
									","
											Je me suis retrouvé
avec un cours d'histoire de l'art
											et je n'y connaissais rien
en histoire de l'art.
											Il s'est passé quelque chose d'incroyable
lorsque j'ai assisté au cours.
											Pour la première fois
dans ma carrière académique,
											j'ai eu besoin de faire appel
à mon intelligence visuelle.
											Pour la première fois.
											Le professeur montrait une image,
											des touches audacieuses
de bleus et de jaunes
											et demandait : « Qui est-ce ? »
											Et je disais : « C'est Van Gogh.
C'est sûr, c'est Van Gogh.
											J'ai trouvé. »
									","
											Así que terminé en una clase
de historia del arte
											y no sabía nada de historia del arte.
											Pero, cuando entré en esa clase,
ocurrió algo increíble.
											Por primera vez en mi carrera académica,
											necesité mi inteligencia visual.
											Por primera vez.
											El profesor mostró una imagen,
											pinceladas enérgicas azules y amarillas,
y dijo: ""¿Quién es?""
											Y yo pensé: ""Van Gogh,
claramente es Van Gogh.
											Yo lo sé"".
									","
											So landete ich in einem
Kurs der Kunstgeschichte,
											und wusste nichts über Kunstgeschichte.
											Aber etwas tolles passierte,
als ich in die Klasse ging.
											Zum ersten Mal in meiner
akademischen Laufbahn
											wurde meine visuelle Intelligenz
angesprochen.
											Zum ersten Mal.
											Der Professor hing ein Bild auf,
											fette blaue, gelbe Pinselstriche.
											Er fragte: ""Wer ist das?""

											Und ich: ""Das ist Van Gogh.
Ganz klar. Das kenne ich.""
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Laughter)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											I got a B in that class.
											For me, that was amazing.
											In high school, let's just say
I wasn't a great student. OK?
											In high school, my GPA was .65.
									","
											O dersten B ile geçtim.
											Benim için müthiş bir nottu.
											Lisede çok iyi bir öğrenci
olmadığımı söyleyeyim, olur mu.
											Lisede ortalamam 0,65 idi.
(4 üzerinden)
									","
											J'ai eu un B dans ce cours.
											Pour moi, c'était incroyable.
											Au lycée, disons juste que je n'étais pas
un très bon élève, d'accord ?
											Au lycée, ma moyenne
était de 0,65 (ndt : 8/20).
									","
											Obtuve una B en esa clase.
											Para mí, eso fue increíble.
											Digamos que en la secundaria
no era un gran estudiante.
											Mi promedio era 0.65 de 4.
									","
											Ich bekam eine 2 in der Klasse.
											Für mich war das toll.
											Im Gymnasium, war ich kein guter Schüler.
											Im Gymnasium war mein GPA 0,65.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											(Laughter)
									","
											(Kahkaha)
									","
											(Rires)
									","
											(Risas)
									","
											(Lachen)
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
											Decimal point first, six five.
											So me getting a B was huge, huge,
											absolutely huge.
											And because of the fact that I realized
that I was able to learn things visually
											that I couldn't learn in other ways,
											this became my strategy,
this became my tactic
											for understanding everything else.
											I wanted to stay in this relationship.
Things were going well.
									","
											sıfır nokta ve devamı altı, beş.
											Yani benim B almam
dehşet, dehşet bir şeydi,
											kesinlikle dehşetti.
											Diğer yollarla öğrenemediğim şeyleri,
görsel olarak öğrenebildiğimi
											fark ettikten sonra,
											bu benim için bir stratejiye dönüştü,
her şeyi anlayabilmek
											için taktiğim oldu.
											Bu çizgide kalmak istiyordum,
her şey iyi gidiyordu.
									","
											Zéro d'abord, virgule, six cinq.
											Alors recevoir un B était énorme, énorme,
											absolument énorme.
											Et comme j'ai réalisé que je pouvais
apprendre des choses visuellement
											impossibles à apprendre autrement,
											j'ai adopté cette stratégie,
j'ai adopté cette tactique
											pour pouvoir comprendre tout le reste.
											Je voulais continuer cette relation.
									","
											Cero, punto decimal, seis, cinco.
											Así que, para mí, obtener
una B era grandioso,
											absolutamente grandioso.
											Y como me di cuenta de que podía
aprender visualmente
											las cosas que no podía
aprender de otra manera,
											se convirtió en mi estrategia,
											mi táctica para entender todo lo demás.
											Quería mantener esa relación.
Las cosas iban bien.
									","
											Dezimal Punkte zuerst, sechs fünf.
											Eine 2 zu kriegen war enorm, enorm,
											wirklich enorm.
											Weil ich jetzt die Sachen
bildlich lernen konnte,
											dass ich anders lernen konnte,
											wurde das meine Strategie, meine Taktik
											auch alles andere zu verstehen.
											Ich wollte es so lassen. Alles ging gut.
									",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
"
","
","
","
","
",Can art amend history?,Titus Kaphar,12:52,"art,identity,history,painting,inequality,race"
