es,pt,tr,en,fr,de,title,speaker,duration,tags
"
","
","
","
","
","
",The rise of the new global super-rich,Chrystia Freeland,15:24,"business,economics,global issues,inequality,money"
"
											Este es el hecho económico 
más importante de nuestro tiempo.
											Estamos viviendo en una era de 
creciente desigualdad de ingresos,
											sobre todo entre los que están en lo más alto
											y todos los demás.
											Este cambio es más llamativo 
en EE.UU. y en el Reino Unido,
											pero es un fenómeno mundial.
											Está ocurriendo en la China comunista,
											en la Rusia ex-comunista,
											ocurre en India, y en mi Canadá natal.
											Lo vemos incluso en acogedoras 
democracias sociales
											como Suecia, Finlandia y Alemania.
									","
											Este é o facto económico 
mais importante do nosso tempo.
											Vivemos numa era de aumento 
da desigualdade de rendimentos
											especialmente entre os que estão no topo
											e todos os outros.
											Esta mudança é mais chocante 
nos EUA e no Reino Unido
											mas é um fenómeno global.
											Está a acontecer na China comunista,
											na Rússia anteriormente comunista.
											Está a acontecer na Índia 
e no meu país natal, o Canadá.
											Estamos a vê-lo em 
democracias sociais confortáveis
											como a Suécia, a Finlândia e a Alemanha.
									","
											İşte çağımızın en önemli ekonomik gerçeği.
											En tepedekiler ve diğer herkes arasındaki
											gelir eşitsizliğinin giderek tırmandığı
											bir çağda yaşıyoruz.
											Bu durumun en dikkat çekici olduğu yer Amerika ve İngiltere olsa da,
											bu aslında küresel bir sorun.
											Komünist Çin'de de,
											eski komünist Rusya'da da,
											Hindistan'da ve benim ülkem Kanada'da da görülüyor.
											Bu durumla İsveç, Finlandiya ve Almanya gibi
											güvenli sosyal demokrasilerde bile karşılaşıyoruz.
									","
											So here's the most important economic fact of our time.
											We are living in an age of surging income inequality,
											particularly between those at the very top
											and everyone else.
											This shift is the most striking in the U.S. and in the U.K.,
											but it's a global phenomenon.
											It's happening in communist China,
											in formerly communist Russia,
											it's happening in India, in my own native Canada.
											We're even seeing it in cozy social democracies
											like Sweden, Finland and Germany.
									","
											Voici le fait économique majeur
de notre époque :
											nous assistons
à une explosion des inégalités de revenus,
											en particulier entre ceux qui sont au sommet
											et tous les autres.
											Ce glissement est le plus frappant 
aux Etats-Unis et au Royaume-Uni,
											mais c'est un phénomène mondial.
											On le voit en Chine communiste,
											en Russie ex-communiste,
											en Inde,
dans mon pays natal, le Canada,
											et même dans les social-démocraties confortables
											comme la Suède, la Finlande
et l'Allemagne.
									","
											Hier ist der wichtigste wirtschaftliche Fakt unserer Zeit.
											Wir leben in einer Zeit 
steigender Einkommens-Ungleichheit,
											vor allem zwischen denen an der Spitze
											und den anderen.
											Diese Bewegung ist besonders auffallend 
in den USA und Großbritannien,
											aber sie ist ein globales Phänomen.
											Es passiert im kommunistischen China,
											im ehemals kommunistischen Russland,
											in Indien und in meinem Heimatland Kanada.
											Wir sehen es sogar in gemütlichen Sozialdemokratien
											wie Schweden, Finnland und Deutschland.
									",The rise of the new global super-rich,Chrystia Freeland,15:24,"business,economics,global issues,inequality,money"
"
","
","
","
","
","
",The rise of the new global super-rich,Chrystia Freeland,15:24,"business,economics,global issues,inequality,money"
"
											Les daré unas cifras para 
ilustrar lo que está ocurriendo.
											En la década del '70, el 1 % de la población
											representaba un 10 % de la renta nacional
											en Estados Unidos.
											Hoy en día, su participación 
se ha duplicado
											hasta un 20 %.
											Pero aún más sorprendente
											es lo que ocurre bien en la cima
											de la distribución del ingreso.
											El 0,1 % en EE.UU.
											hoy representa más del 8 %
											de la renta nacional.
											Están en el lugar en que 
estaba el 1 % hace 30 años.
											Les daré otra cifra para 
poner eso en perspectiva,
											y esta es una cifra calculada en 2005
											por Robert Reich,
											Secretario de Trabajo de 
la administración Clinton.
											Reich tomó la riqueza de dos 
hombres ciertamente muy ricos,
											Bill Gates y Warren Buffett,
											y halló que su riqueza era equivalente
											a la del 40 % de la población de EE.UU.,
											120 millones de personas.
											Ahora, siendo este el caso,
											Warren Buffett no solo es un plutócrata,
											sino uno de los observadores 
más astutos de ese fenómeno,
											y tiene su cifra favorita.
											A Buffet le gusta señalar que en 1992,
											la riqueza combinada de las personas
											de la lista Forbes 400
											—la lista de los 400 estadounidenses más ricos—
											era de USD 300 mil millones.
											Piensen en eso.
											No se necesitaba ser ultramillonario
											para entrar en esa lista en 1992.
											Bueno, hoy, esa cifra se ha 
más que quintuplicado
											y llega a 1,7 billones
											y probablemente no necesito decirles
											que no hemos visto que ocurra nada parecido
											a la clase media,
											cuya riqueza se ha estancado, 
si acaso no disminuido.
									","
											Vou mostrar-vos alguns números 
para perceberem o que está a acontecer.
											Nos anos 70, o ""1%""
											representava cerca de 10% 
do rendimento nacional
											nos Estados Unidos da América.
											Hoje, a sua parcela mais do que duplicou
											para cima dos 20%.
											O que ainda é mais impressionante
											é o que está a acontecer no topo do topo
											da distribuição de rendimentos.
											O ""0,1%"" nos Estados Unidos da América
											representa hoje mais de 8% 
do rendimento nacional.
											Está onde estava o ""1%"" há 30 anos .
											Vou mostrar-vos outro número 
para pôr isto em perspetiva.
											É um número que foi calculado em 2005
por Robert Reich,
											o Secretário do Trabalho 
na administração Clinton.
											Reich pegou na riqueza de dois homens 
reconhecidamente riquíssimos,
											Bill Gates e Warren Buffett,
											e descobriu que era equivalente
											à riqueza de 40% da população mais pobre 
dos Estados Unidos da América,
											ou seja, 120 milhões de pessoas.
											Na realidade,
											Warren Buffett não é apenas um plutocrata,
											é um dos observadores 
mais astutos deste fenómeno
											e tem o seu próprio número preferido.
											Buffett gosta de dizer que, em 1992,
											a riqueza combinada das pessoas
na lista 400 da Forbes
											— é a lista dos 400 norte-americanos 
mais ricos —
											era de 300 mil milhões de dólares.
											Pensem nisso.
											Nem era preciso ser-se um multimilionário
											para fazer parte daquela lista em 1992.
											Hoje, esse número mais que quintuplicou
											para 1,7 biliões.
											Provavelmente, não preciso dizer-vos
											que não vimos acontecer 
nada de semelhante à classe média,
											cuja riqueza estagnou, 
se é que não diminuiu.
									","
											Daha net olmak için birkaç rakam vereceğim.
											1970'lerde, yüzde birlik en zengin kesim
											Amerika'nın milli gelirinin
											yüzde onunu elinde bulunduruyordu.
											Bugün, payları neredeyse ikiye katlanarak
											yüzde yirminin üzerine fırlamış durumda.
											Ancak daha çarpıcı olan şey ise gelir dağılımının
											en tepesindeki dengesizlikte
											görülüyor.
											Bugün Amerika'da yüzde 0.1
											milli gelirin yüzde sekizinden daha fazla bir payı
											elinde bulunduruyor.
											Bugün, yüzde birlik kesimin otuz yıl önce durduğu yerde duruyorlar.
											Bunu açıklamak için başka bir rakam daha vereceğim:
											Bu rakam 2005'te
											Clinton yönetiminin Çalışma Bakanı
											Robert Reich tarafından hesaplandı.
											Reich iki meşhur ve çok zengin adamın,
											Bill Gates ve Warren Buffet'ın servetlerini inceledi
											ve bu servetlerin Amerikan ulusunun en alt kesimindeki
											yüzde 40'a tekabül eden 120 milyon insanın gelirine
											eşit olduğunu gördü.
											Bu olurken, kendisi sadece bir plutocrat olmakla kalmayıp
											aynı zamanda bu durumun en dikkatli takipçilerinden olan
											Warren Buffet da
											kendi rakamlarına ulaşmıştır.
											Buffet, 1992'de
											en zengin 400 Amerikalının belirlendiği
											Forbes 400 listesindeki kişilerin
											servetlerinin toplamının 300 milyar doları bulduğuna
											değinmekten çok hoşlanır.
											Sadece bir düşünün.
											1992'de o listede yer alabilmek için
											milyarder olmanıza gerek bile yoktu.
											Tabi, bugün, bu rakam beş katından fazlasına,
											1.7 trilyona ulaştı
											ve sanırım söylememe gerek yok ama
											serveti azalmasa da sabit kalan
											orta sınıfta
											bu tarz bir durumla karşılaşmadık.
									","
											Let me give you a few numbers to place what's happening.
											In the 1970s, the One Percent
											accounted for about 10 percent of the national income
											in the United States.
											Today, their share has more than doubled
											to above 20 percent.
											But what's even more striking
											is what's happening at the very tippy top
											of the income distribution.
											The 0.1 percent in the U.S.
											today account for more than eight percent
											of the national income.
											They are where the One Percent was 30 years ago.
											Let me give you another number to put that in perspective,
											and this is a figure that was calculated in 2005
											by Robert Reich,
											the Secretary of Labor in the Clinton administration.
											Reich took the wealth of two admittedly very rich men,
											Bill Gates and Warren Buffett,
											and he found that it was equivalent to the wealth
											of the bottom 40 percent of the U.S. population,
											120 million people.
											Now, as it happens,
											Warren Buffett is not only himself a plutocrat,
											he is one of the most astute observers of that phenomenon,
											and he has his own favorite number.
											Buffett likes to point out that in 1992,
											the combined wealth of the people
											on the Forbes 400 list —
											and this is the list of the 400 richest Americans —
											was 300 billion dollars.
											Just think about it.
											You didn't even need to be a billionaire
											to get on that list in 1992.
											Well, today, that figure has more than quintupled
											to 1.7 trillion,
											and I probably don't need to tell you
											that we haven't seen anything similar happen
											to the middle class,
											whose wealth has stagnated if not actually decreased.
									","
											Permettez-moi de vous donnez quelques chiffres 
pour bien situer les choses.
											Dans les années 1970,
les Un Pour Cent
											représentaient environ 10 pour cent du revenu national
											des Etats-Unis.
											Aujourd'hui, cette part a plus que doublé
											pour dépasser les 20 pour cent.
											Mais ce qui est encore plus frappant,
											c'est ce qui se passe tout en haut
											de la pyramide des revenus.
											Les 0,1 pour cent les plus riches
aux Etats-Unis
											représentent aujourd'hui plus de 8 pour cent
											du revenu national.
											Ils en sont là où étaient les Un Pour Cent
il y a 30 ans.
											Permettez-moi de citer encore un chiffre 
pour mettre cela en perspective,
											un chiffre qui a été calculé en 2005
											par Robert Reich,
											Secrétaire au Travail 
du gouvernement Clinton.
											Reich a pris la richesse de deux personnes
incontestablement très riches,
											Bill Gates et Warren Buffet,
											et a trouvé qu'elle était égale
à la richesse
											des 40 % de la population 
la moins riche des Etats-Unis,
											soit 120 millions de personnes.
											Il s'avère, en l’occurrence,
											que Warren Buffet n'est 
pas seulement un ploutocrate,
											mais aussi l'un des observateurs
les plus perspicaces de ce phénomène,
											et qu'il a lui-même un chiffre de prédilection.
											Buffet se plaît à souligner qu'en 1992
											la richesse totale des individus
											sur la liste Forbes 400,
											la liste des 400 Américains les plus riches,
											s'élevait à 300 milliards de dollars.
											Réfléchissez-y.
											Il n'était même pas nécessaire d'être milliardaire
											pour figurer sur cette liste en 1992.
											Eh bien, aujourd'hui, ce chiffre
a plus que quintuplé
											pour atteindre 1 700 milliards.
											Et je n'ai sans doute pas besoin de vous dire
											qu'on n'a pas vu
la même chose se produire
											pour la classe moyenne,
											dont la richesse a stagné,
si ce n'est diminué.
									","
											Hier ein paar Statistiken 
zur Illustration.
											In den 1970ern verdiente
											das ""Eine Prozent"" 
10 % des nationalen Einkommens
											in den Vereinigten Staaten.
											Heutzutage hat sich ihr Anteil mehr als verdoppelt,
											auf über 20 %.
											Aber noch aufallender ist,
											was ganz oben an der Spitze
											der Einkommensverteilung passiert.
											0,1 % der Menschen in den USA
											verdienen heute mehr als
											8 % des nationalen EInkommens.
											Sie sind da angekommen, 
wo das Eine Prozent vor 30 Jahren war.
											Ich gebe Ihnen noch eine Statistik, 
um das in Relation zu setzen.
											Diese Zahl wurde 2005 errechnet
											von Robert Reich,
											dem Arbeitsminister unter Präsident Clinton.
											Reich nahm das Vermögen zweier 
zugegebenermaßen sehr reicher Männer,
											Bill Gates und Warren Buffett,
											und er fand heraus, 
dass dieses Vermögen
											dem der unteren 40 % 
der US-Bevölkerung entsprach.
											Das sind 120 Millionen Menschen.
											Nun ist es so,
											dass Warren Buffett nicht nur selbst ein Plutokrat ist,
											er ist auch einer der scharfsinnigsten 
Beobachter dieses Phänomens
											und er hat seine eigene Lieblingsstatistik.
											Buffett stellt gern heraus, dass im Jahr 1992
											das gemeinsame Vermögen der Leute
											auf der Forbes-400-Liste –
											der Liste der 400 reichsten Amerikanern –
											300 Milliarden Dollar betrug.
											Denken Sie darüber nach.
											Sie brauchten nicht mal Milliardär zu sein
											um 1992 auf diese Liste zu kommen.
											Nun, heute hat sich diese Zahl mehr als verfünffacht
											auf 1,7 Billionen,
											und ich muss Ihnen wahrscheinlich nicht sagen,
											dass wir keine vergleichbare Entwicklung
											in der Mittelklasse gesehen haben,
											deren Vermögen gleich geblieben, 
wenn nicht sogar gesunken ist.
									",The rise of the new global super-rich,Chrystia Freeland,15:24,"business,economics,global issues,inequality,money"
"
","
","
","
","
","
",The rise of the new global super-rich,Chrystia Freeland,15:24,"business,economics,global issues,inequality,money"
"
											Por eso estamos viviendo en la 
era de la plutocracia mundial,
											pero hemos tardado en darnos cuenta.
											Una de las razones, creo yo,
											es esa especie de fenómeno de la rana hervida.
											Los cambios lentos y graduales
											pueden ser difíciles de notar
											aunque su impacto final 
es bastante drástico.
											Piensen en lo que le pasó, 
después de todo, a la pobre rana.
											Pero creo que hay algo más en juego.
											Hablando de la desigualdad de ingresos,
											estar en la lista Forbes 400,
											puede hacernos sentir incómodos.
											Parece menos positivo, menos optimista,
											hablar de cómo se corta la torta
											que pensar en cómo hacerla más grande.
											Si uno está en la lista Forbes 400,
											y habla de la distribución del ingreso
											e inevitablemente de su prima, 
la redistribución del ingreso,
											eso puede ser francamente amenazante.
									","
											Assim, estamos a viver 
na era da plutocracia global
											mas levámos tempo a dar por isso.
											Uma das razões, penso eu,
											é como a história da rã 
que está a ser cozida.
											As mudanças que são lentas e graduais
											podem ser difíceis de notar,
											mesmo que o seu impacto final 
seja dramático.
											Pensem no que acabou 
por acontecer à pobre rã.
											Mas creio que acontecem outras coisas.
											Falar sobre a desigualdade de rendimentos,
											mesmo que não estejamos 
na lista 400 da Forbes,
											pode fazer-nos sentir desconfortáveis.
											Parece menos positivo, menos otimista
											falar sobre como o bolo é dividido
											do que pensar em como aumentar o bolo.
											E se, por acaso, 
estamos na lista 400 da Forbes,
											pode ser muito ameaçador
											falar sobre a distribuição de rendimentos
											e, inevitavelmente, sobre a sua prima, 
a redistribuição de rendimentos,
									","
											Yani şöyle ki küresel plütokrasi çağında yaşıyoruz,
											ama bunun yavaş yavaş fakına varıyoruz.
											Bence sebeplerinden biri,
											kaynayan kurbağa olayına benziyor.
											Aşamalı ve yavaş olan değişimleri
											fark etmek zor olabiliyor.
											Nihai etkileri oldukça çarpıcı olsa bile.
											Herşeyin sonunda zavallı kurbağaya ne olduğunu hatırlayın.
											Ama aynı zamanda başka bir şey daha oluyor.
											Forbes 400 listesinde yer almasanız bile
											gelir eşitsizliğinden bahsetmek
											bizi rahatsız edebiliyor.
											Pastanın nasıl dilimlendiğinden bahsetmek,
											pastayı nasıl daha da büyütebileceğimizi düşünmekten
											daha az müsbet, daha az iyimser hissetmemize yol açıyor.
											Eğer Forbes 400 listesindeyseniz
											gelir dağılımından ve kaçınılmaz olarak
											onun kuzeni olan gelirin yeniden dağılımından
											söz etmek kelimenin tam anlamıyla endişe vericidir.
									","
											So we're living in the age of the global plutocracy,
											but we've been slow to notice it.
											One of the reasons, I think,
											is a sort of boiled frog phenomenon.
											Changes which are slow and gradual
											can be hard to notice
											even if their ultimate impact is quite dramatic.
											Think about what happened, after all, to the poor frog.
											But I think there's something else going on.
											Talking about income inequality,
											even if you're not on the Forbes 400 list,
											can make us feel uncomfortable.
											It feels less positive, less optimistic,
											to talk about how the pie is sliced
											than to think about how to make the pie bigger.
											And if you do happen to be on the Forbes 400 list,
											talking about income distribution,
											and inevitably its cousin, income redistribution,
											can be downright threatening.
									","
											Nous vivons donc à l'ère 
de la ploutocratie mondiale,
											mais il nous a fallu du temps 
pour nous en rendre compte.
											L'une des raisons, je pense,
											est une forme de syndrome de la grenouille
portée à ébullition.
											Les changements qui sont
lents et graduels
											peuvent être difficiles à percevoir,
											même si leur résultat final est spectaculaire.
											Après tout,
pensez au sort de cette pauvre grenouille.
											Mais je crois qu'il y a autre chose en jeu.
											Parler d'inégalité de revenus,
											même si on ne figure pas
sur la liste Forbes 400,
											peut nous déranger.
											Ça parait moins positif, 
moins optimiste,
											de parler du partage du gâteau
											que de réfléchir à comment
avoir un plus gros gâteau.
											Et s'il s'avère que
vous figurez sur la liste Forbes 400,
											parler de répartition des revenus,
											et, inévitablement, de son proche cousin, 
la redistribution des revenus,
											peut être purement et simplement
une menace pour vous.
									","
											Wir leben also in einem Zeitalter 
der globalen Geldherrschaft,
											aber wir haben dies spät bemerkt.
											Wie ein Frosch,
											der langsam, ohne es zu merken,
gekocht wird.
											Veränderungen, die langsam und stetig sind,
											sind schwer zu bemerken,
											selbst wenn ihre Auswirkungen 
letztlich recht dramatisch sind.
											Denken Sie nur daran 
was mit dem armen Frosch passiert ist.
											Aber hier geschieht etwas anderes.
											Über Einkommens-Ungleichheit zu reden,
											selbst wenn man nicht unter Forbes' 400 ist,
											kann uns ein Gefühl von Unwohlsein geben.
											Es fühlt sich weniger positiv, 
weniger optimistisch an,
											über die Größe der Kuchenstücke zu sprechen,
											als darüber nachzudenken, 
wie man den Kuchen größer macht.
											Und wenn Sie tatsächlich unter Forbes' 400 sind,
											kann ein Gespräch über Einkommensverteilung
											und letztlich auch über ihren Cousin, 
Einkommensneuverteilung,
											schlicht und einfach bedrohlich sein.
									",The rise of the new global super-rich,Chrystia Freeland,15:24,"business,economics,global issues,inequality,money"
"
","
","
","
","
","
",The rise of the new global super-rich,Chrystia Freeland,15:24,"business,economics,global issues,inequality,money"
"
											Estamos viviendo en una era de 
desigualdad de ingresos en alza,
											en especial en la cima.
											¿Qué la provoca? 
¿Qué podemos hacer al respecto?
									","
											Vivemos, pois, na era do aumento 
da desigualdade de rendimentos,
											especialmente no topo.
											O que é que o motiva 
e o que é que podemos fazer?
									","
											Gelir eşitsizliğinin en tepeye tırmandığı
											bir çağda yaşıyoruz.
											Buna ne sebep oluyor ve biz ne yapabiliriz?
									","
											So we're living in the age of surging income inequality,
											especially at the top.
											What's driving it, and what can we do about it?
									","
											Nous vivons donc à l'ère de l'explosion
des inégalités de revenus,
											en particulier au sommet.
											Quel en sont les ressorts,
et que peut-on y faire ?
									","
											Wir leben also im Zeitalter 
der anschwellenden Einkommens-Ungleichheit,
											vor allem an der Spitze.
											Wodurch wird sie angetrieben 
und was können wir dagegen tun?
									",The rise of the new global super-rich,Chrystia Freeland,15:24,"business,economics,global issues,inequality,money"
"
","
","
","
","
","
",The rise of the new global super-rich,Chrystia Freeland,15:24,"business,economics,global issues,inequality,money"
"
											Una serie de causas es política:
											reducción de impuestos, desregulación
—en particular de los servicios financieros—
											privatización, protección legal 
más laxa para los sindicatos,
											todo eso ha contribuído
											a cada vez más ingresos 
en manos de los muy ricos.
									","
											Há um conjunto de causas políticas:
											impostos mais baixos, desregulamentação, 
em particular dos serviços financeiros,
											privatizações, menores proteções legais 
para os sindicatos.
											Todos estes fatores contribuíram
											para os rendimentos se acumularem
cada vez mais para o topo do topo.
									","
											Nedenlerin bir bölümü siyasidir.
											Düşük vergiler, devlet kontrolünün özellikle finansal hizmetlerde azalması,
											özelleştirme, sendikaları koruyan yasaların zayıflatılması,
											tüm bunların hepsi en, en, en tepedekilerin
											daha da çok zenginleşmesine katkıda bulunmuştur.
									","
											One set of causes is political:
											lower taxes, deregulation, particularly of financial services,
											privatization, weaker legal protections for trade unions,
											all of these have contributed
											to more and more income going to the very, very top.
									","
											Certaines des raisons sont politiques :
											impôts en baisse, dérèglementation,
en particulier des services financiers,
											privatisation, affaiblissement des protections 
juridiques pour les syndicats,
											tout cela a contribué
											à ce que de plus en plus de revenus
convergent vers le sommet du sommet.
									","
											Ein Teil der Ursachen ist politisch:
											niedrigere Steuern, Deregulierung, 
vor allem von Finanzdienstleistungen,
											Privatisierung, schwächerer Rechtsschutz 
für Gewerkschaften,
											all dies hat dazu beigetragen,
											dass mehr und mehr Einkommen 
ganz an die Spitze geht.
									",The rise of the new global super-rich,Chrystia Freeland,15:24,"business,economics,global issues,inequality,money"
