en,pt,fr,es,title,speaker,duration,tags
"
","
","
","
",How an old loop of railroads is changing the face of a city,Ryan Gravel,11:26,"infrastructure,cities,environment,garden,urban planning,design,TEDNYC"
"
											This picture
											is from my metro card
											when I spent a year abroad in Paris
in college in the mid-'90s.
											My friend says I look
like a French anarchist —
									","
											Esta fotografia
											é do meu cartão do metro
											de quando passei um ano fora em Paris
numa faculdade no anos 90.
											O meu amigo diz que eu pareço
um anarquista francês.
									","
											Cette photo
											ornait ma carte de métro
											lors de mon année d'études à Paris
à l'université au milieu des années 90.
											Mon ami trouve que je ressemble
à un anarchiste français.
									","
											Esta imagen
											es de mi tarjeta del metro
											cuando pasé un año en París
en la universidad a mediados de los 90's.
											Mi amigo dice que parezco
un anarquista francés.
									",How an old loop of railroads is changing the face of a city,Ryan Gravel,11:26,"infrastructure,cities,environment,garden,urban planning,design,TEDNYC"
"
","
","
","
",How an old loop of railroads is changing the face of a city,Ryan Gravel,11:26,"infrastructure,cities,environment,garden,urban planning,design,TEDNYC"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									","
											(Risas)
									",How an old loop of railroads is changing the face of a city,Ryan Gravel,11:26,"infrastructure,cities,environment,garden,urban planning,design,TEDNYC"
"
","
","
","
",How an old loop of railroads is changing the face of a city,Ryan Gravel,11:26,"infrastructure,cities,environment,garden,urban planning,design,TEDNYC"
"
											But this is still what I see
											when I look in the mirror in the morning.
											Within a month of living in Paris,
I'd lost 15 pounds
											and I was in the best shape of my life
											because I was eating fresh food
											and I was walking wherever I went.
									","
											Mas isto é o que ainda vejo
											quando olho para o espelho de manhã.
											Depois de um mês a viver em Paris,
perdi quase 7 Kg
											e estava na melhor forma
da minha vida
											porque comia comida fresca
											e ia a pé para onde quer que fosse.
									","
											Pourtant, c'est toujours ce que je vois
											le matin quand je regarde dans le miroir.
											Après un mois à Paris,
j'avais perdu 6 kilos.
											Je n'ai jamais été aussi en forme,
											car je mangeais des plats frais
											et je me déplaçais partout à pied.
									","
											Pero esto es lo que aún veo
											cuando miro el espejo en la mañana.
											Luego de un mes de vivir en París,
había perdido 7 kilos
											y estaba en la mejor forma de mi vida
											porque comía comida fresca
											y caminaba a donde iba.
									",How an old loop of railroads is changing the face of a city,Ryan Gravel,11:26,"infrastructure,cities,environment,garden,urban planning,design,TEDNYC"
"
","
","
","
",How an old loop of railroads is changing the face of a city,Ryan Gravel,11:26,"infrastructure,cities,environment,garden,urban planning,design,TEDNYC"
"
											Having grown up in suburban Atlanta,
											a region built largely
by highways and automobiles
											and with a reputation
as a poster child for sprawl,
											Paris fundamentally changed
the way I understood
											the construction of the world around me,
											and I got obsessed with the role
of infrastructure —
											that it's not just the way to move people
from point A to point B,
											it's not just the way to convey water
or sewage or energy,
											but it's the foundation for our economy.
											It's the foundation for our social life
and for our culture,
											and it really matters
to the way that we live.
									","
											Tendo crescido
num subúrbio de Atlanta,
											uma região que tem maioritariamente
vias rápidas e automóveis.
											e com a reputação de ser uma
cidade-tipo para expansão,
											Paris mudou fundamentalmente
a forma como eu entendia
											a construção do mundo à minha volta,
											e fiquei obcecado com o papel
das infra-estruturas,
											que não é apenas a forma de as pessoas
irem do ponto A ao ponto B,
											não é apenas a forma de transportar água
ou esgotos ou energia,
											mas são os alicerces para
a nossa economia.
											São os alicerces para a nossa vida social
e para a nossa cultura,
											e interessa realmente
para a nossa forma de viver.
									","
											Moi qui ai grandi en banlieue d'Atlanta,
											une région dominée
par les autoroutes et les voitures,
											et avec ma réputation de grand paresseux,
											Paris a fondamentalement changé
ma manière de percevoir
											la manière
dont le monde qui m'entoure est construit.
											J'ai développé une obsession
pour le rôle de l'infrastructure :
											ce n'est pas juste une manière de déplacer
des personnes d'un point A à un point B,
											ni de transporter les eaux propres
et usées ou l'énergie,
											mais c'est la base de notre économie.
											C'est la base de notre vie sociale
et de notre culture,
											elle joue un rôle important
dans notre manière de vivre.
									","
											Habiendo crecido en
el suburbio de Atlanta,
											una región construida en gran parte
por carreteras y automóviles
											y con una reputación como ejemplo
de la expansión urbana,
											París fundamentalmente cambió
el modo que entendía
											la construcción del mundo
a mi alrededor,
											y me obsesioné con el rol
de la infraestructura,
											que no sólo es la manera de mover
gente del punto A al punto B,
											ni tampoco la manera de transportar
agua, drenaje o energía,
											sino es la base de nuestra economía.
											Es la base para nuestra vida social
y para nuestra cultura,
											y realmente importa
a la manera en que vivimos.
									",How an old loop of railroads is changing the face of a city,Ryan Gravel,11:26,"infrastructure,cities,environment,garden,urban planning,design,TEDNYC"
"
","
","
","
",How an old loop of railroads is changing the face of a city,Ryan Gravel,11:26,"infrastructure,cities,environment,garden,urban planning,design,TEDNYC"
"
											When I came home,
I was instantly frustrated,
											stuck in traffic as I crossed
the top end of our perimeter highway.
											Not only was I not moving a muscle,
											I had no social interaction
											with the hundreds of thousands of people
that were hurtling past me,
											like me, with their eyes faced forward
and their music blaring.
											I wondered if this was
an inevitable outcome,
											or could we do something about it.
											Was it possible to transform
this condition in Atlanta
											into the kind of place
that I wanted to live in?
									","
											Quando voltei para casa,
fiquei logo frustrado,
											preso no trânsito ao passar
a parte final da nossa via-rápida.
											Não só eu não mexia um músculo,
											Eu não tinha interacção social
											com as centenas de milhar de pessoas
que me ultrapassavam,
											como eu, com os olhos para a frente
e a música aos berros.
											Eu perguntei-me se este seria
o resultado inevitável,
											ou se poderíamos fazer alguma coisa.
											Seria possível transformar
esta situação em Atlanta
											para o tipo de lugar onde eu
gostaria de viver?
									","
											Dès que je suis rentré chez moi,
j'étais frustré,
											coincé dans les bouchons
sur notre périphérique.
											Non seulement
je ne bougeais pas d'un pouce,
											mais je n'avais aucun échange social
											avec les centaines de milliers de gens
qui me dépassaient à toute vitesse,
											comme moi, les yeux braqués devant eux
et la musique à fond.
											Je me suis demandé si c'était une fatalité
											ou si on pouvait changer les choses.
											Était-il possible de transformer
ces conditions de vie à Atlanta
											en le type d'endroit où je voulais vivre ?
									","
											Cuando llegué a casa,
me frustré instantáneamente,
											me atrapó el tráfico ni bien crucé
el final de nuestra carretera perimetral.
											No sólo fue que 
no movía ni un músculo,
											no tenía interacción social
											con los cientos de miles de personas
que pasaban a mi lado,
											como yo, con los ojos hacia adelante
y su música rugiendo.
											Me pregunté si esto era
un resultado inevitable,
											o debíamos hacer
algo al respecto.
											¿Era posible transformar
esta condición en Atlanta
											en la clase de lugar
en la que yo quería vivir?
									",How an old loop of railroads is changing the face of a city,Ryan Gravel,11:26,"infrastructure,cities,environment,garden,urban planning,design,TEDNYC"
