en,es,pt,tr,fr,title,speaker,duration,tags
"
","
","
","
","
","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
"
											This is a painting from the 16th century
from Lucas Cranach the Elder.
											It shows the famous Fountain of Youth.
											If you drink its water or you bathe in it,
you will get health and youth.
											Every culture, every civilization
has dreamed of finding eternal youth.
											There are people like Alexander the Great
or Ponce De León, the explorer,
											who spent much of their life
chasing the Fountain of Youth.
											They didn't find it.
											But what if there was something to it?
											What if there was something
to this Fountain of Youth?
									","
											Esta es una pintura del siglo XVI
de Lucas Cranach el Viejo.
											Muestra la famosa Fuente de la Juventud.
											Si beben de ella o se bañan en ella,
volverán a ser sanos y jóvenes.
											Todas las culturas y civilizaciones
han soñado encontrar la eterna juventud.
											Hay muchos, como Alejandro Magno
o el explorador Ponce de León,
											que pasaron gran parte de sus vidas
buscando la Fuente de la Juventud.
											Y nunca la encontraron.
											Pero ¿y si fuera cierto?
											¿Y si existiera realmente
esta fuente de la juventud?
									","
											Este quadro do século XVI
é de Lucas Cranach, o Velho.
											Mostra a célebre Fonte da Juventude.
											Se se beber ou mergulhar na sua água,
ganha-se saúde e juventude.
											Todas as culturas e civilizações sonharam
com encontrar a juventude eterna.
											Pessoas como Alexandre o Grande
e Ponce de León, o descobridor,
											passaram grande parte da vida
à procura da Fonte da Juventude.
											Não a descobriram.
											Mas, e se fosse verdadeira?
											E se fosse possível descobrir
a Fonte da Juventude?
									","
											Bu tablo, 16. yüzyıldan 
Yaşlı Lucas Cranach'a ait.
											Ünlü Gençlik Çeşmesi'ni anlatıyor.
											Suyu içer ya da içinde yıkanırsanız
sağlığa ve gençliğe kavuşuyorsunuz.
											Her kültür, her uygarlık sonsuz
gençliğe ulaşmanın hayalini kurmuştur.
											Büyük İskender ya da kâşif Ponce De Leon
gibi yaşamlarının çoğunu
											Gençlik Çeşmesi'nin peşinde
harcamış insanlar var.
											Onlar bulamadı.
											Peki, ya bunda bir gerçeklik payı varsa?
											Ya Gençlik Çeşmesi'nin
gerçeklik payı varsa?
									","
											Voici une peinture du XVIème siècle,
de Lucas Cranach l'Ancien.
											Elle représente la Fontaine de Jouvence.
											Boire son eau, ou s'y baigner,
restaure santé et jeunesse.
											Toutes les cultures et civilisations
ont rêvé de trouver la jeunesse éternelle.
											Alexandre le Grand 
ou l'explorateur Ponce De León,
											ont passé leur vie à chercher
la Fontaine de Jouvence.
											En vain.
											Et s'il n'y avait pas de fumée sans feu ?
											Si la Fontaine de Jouvence existait ?
									","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
"
","
","
","
","
","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
"
											I will share an absolutely amazing
development in aging research
											that could revolutionize
the way we think about aging
											and how we may treat age-related
diseases in the future.
											It started with experiments that showed,
											in a recent number
of studies about growing,
											that animals — old mice —
that share a blood supply with young mice
											can get rejuvenated.
											This is similar to what you might see
in humans, in Siamese twins,
											and I know this sounds a bit creepy.
											But what Tom Rando, a stem-cell
researcher, reported in 2007,
											was that old muscle from a mouse
can be rejuvenated
											if it's exposed to young blood
through common circulation.
											This was reproduced by Amy Wagers
at Harvard a few years later,
											and others then showed that similar
rejuvenating effects could be observed
											in the pancreas, the liver and the heart.
											But what I'm most excited about,
and several other labs as well,
											is that this may even apply to the brain.
									","
											Les contaré una novedad
absolutamente increíble
											de la investigación
contra el envejecimiento
											que podría revolucionar la forma
de pensar el envejecimiento
											y cómo tratar enfermedades
relacionadas con la edad en el futuro.
											Todo empezó con experimentos
que mostraron
											en algunos estudios recientes
sobre el crecimiento,
											que animales, como por ejemplo
ratones de edad,
											al serles transfundida sangre
de ratones jóvenes, rejuvenecían.
											Esto es similar a lo que ocurre
											con los seres humanos,
con gemelos siameses
											—y sé que esto suena un poco raro—
											pero Tom Rando, al investigar
células madre, publicó en 2007
											que un músculo de edad avanzada
en un ratón puede rejuvenecer
											si la sangre que transporta
el sistema circulatorio es joven.
											Amy repitió este experimento
en Harvard unos años más tarde,
											y mostró que se pudieron observar
efectos rejuvenecedores similares
											en el páncreas, el hígado y el corazón.
											Pero lo que nos parece más interesante,
a mí y a muchos otros laboratorios,
											es que esto puede incluso
ocurrirle al cerebro.
									","
											Vou partilhar uma descoberta incrível
na investigação do envelhecimento
											que poderá revolucionar
a forma como o encaramos
											e que poderá tratar doenças
relativas ao envelhecimento.
											Começou com experiências
que mostravam,
											em estudos recentes sobre
o envelhecimento,
											que ratos idosos que partilham
fluxos sanguíneos com ratos jovens
											conseguem rejuvenescer.
											É semelhante ao que se vê nas pessoas,
nos gémeos siameses,
											e sei que soa arrepiante.
											Tom Rando, investigador 
em células indiferenciadas relatou em 2007
											que o músculo de um rato idoso
pode rejuvenescer,
											se estiver em contacto com sangue jovem
através da sua circulação mútua.
											Esta descoberta foi reproduzida por
Amy Wagers em Harvard alguns anos depois,
											e outros mostraram que observaram
efeitos de rejuvenescimento semelhantes
											no pâncreas, fígado, e coração.
											Mas o que mais me entusiasma,
e a outros também,
											é que se poderá aplicar
ao cérebro.
									","
											Yaşlanmayla ilgili araştırma hakkında
yaşlanmayla ilgili düşüncelerimizde
											ve yaşlanmaya bağlı hastalıkları nasıl
iyileştirebileceğimiz hakkında
											devrim yaratacak 
bir gelişmeyi paylaşacağım.
											Bu gelişmeye neden olan şey
											büyümeyle ilgili yakın zamanlı
bir dizi çalışmada,
											genç farelerden kan desteği alan 
yaşlı farelerin gençleşebildiğini
											gösteren bir deneydi.
											Bu insanlarda, Siyam ikizlerinde,
görülene benzer bir şey
											ve biliyorum kulağa biraz
ürkütücü geliyor.
											Ama kök hücre araştırmacısı Tom Rando
2007'de, bir fareye ait yaşlı bir kasın
											genel dolaşımda genç bir
kana maruz bırakıldığında
											gençleştiğini söylemiştir.
											Bu birkaç yıl önce Harvard'da Amy Wagers
tarafından tekrar gündeme getirilmişti
											ve diğerleri pankreasta, karaciğerde 
ve kalpte de benzer gençleşme etkilerinin
											gözlemlenebileceğini gösterdiler.
											Ama beni ve aynı zamanda diğer birkaç
laboratuvarı asıl heyecanlandıran şey,
											bunun beyne bile uygulanabilmesi.
									","
											Je vais vous parler de l'évolution 
des recherche sur le vieillissement
											qui pourrait très bien révolutionner 
la manière dont nous envisageons vieillir,
											et la manière dont nous soignerons
les maladies liées à l'âge.
											Tout a commencé avec des expériences
											dans un grand nombre d'études 
sur la croissance,
											que les animaux, des vieilles souris,
qui reçoivent du sang de jeunes souris,
											peuvent être réjuvénées.
											C'est ce que nous pouvons constater aussi 
chez l'homme, chez les jumeaux siamois.
											Ça peut paraître glauque, je sais.
											Tom Rando, un chercheur 
en médecine cellulaire, a constaté en 2007
											que des muscles âgés de souris 
peuvent être réjuvénés
											quand ils sont exposés à du sang jeune
via la circulation sanguine.
											Cette expérience a été reproduite 
par Amy Wagers à Harvard,
											quelques années plus tard.
											D'autres aussi, ont montré 
que des effets rejuvénants similaires
											pouvaient être observés
dans le pancréas, le foie et le cœur.
											Ce qui m'enthousiasme le plus,
avec d'autres chercheurs,
											ce sont les implications pour le cerveau.
									","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
"
","
","
","
","
","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
"
											So, what we found is that an old mouse
exposed to a young environment
											in this model called parabiosis,
											shows a younger brain —
											and a brain that functions better.
											And I repeat:
											an old mouse that gets young blood
through shared circulation
											looks younger and functions
younger in its brain.
											So when we get older —
											we can look at different aspects
of human cognition,
											and you can see on this slide here,
											we can look at reasoning,
verbal ability and so forth.
											And up to around age 50 or 60,
these functions are all intact,
											and as I look at the young audience
here in the room, we're all still fine.
									","
											Por lo tanto, descubrimos que un ratón
viejo, expuesto a un ambiente joven,
											durante un proceso llamado parabiosis,
											muestra tener un cerebro más joven
y que funciona mejor.
											Y repito:
											Un ratón viejo cuyo sistema circulatorio
transporta sangre de un ratón joven
											parece más joven y sus funciones
cerebrales son rejuvenecidas.
											Al envejecer,
											podemos analizar diferentes aspectos
de la cognición humana,
											y en esta diapositiva aquí pueden ver
											que hemos observado el razonamiento,
la habilidad verbal, etc.
											Y hasta alrededor de los 50 o 60 años
estas funciones se mantienen intactas,
											y basta mirar el público joven
aquí presente para ver que todo está bien.
									","
											Descobrimos que um rato idoso
exposto a um agente jovem,
											por um processo chamado
""parabiose""
											exibe um cérebro mais jovem,
											e que funciona melhor.
											Repito:
											um rato idoso que receba sangue jovem
por circulação partilhada
											parece mais jovem e o seu cérebro
funciona de forma mais jovem.
											Quando se envelhece,
											olhamos para vários aspetos
cognitivos humanos,
											como se pode ver neste diapositivo,
											vendo raciocínio, capacidade verbal,
e outros.
											Até cerca dos 50 ou 60 anos,
estas funções estão intactas
											e, como vejo aqui uma plateia jovem,
ainda estamos todos bem.
									","
											Yani, bu parabiosis denilen modelde
genç çevreye maruz bırakılmış
											yaşlı farenin genç bir beyne—
											işlevlerini daha iyi yerine getiren
											bir beyne sahip olduğunu bulduk.
											Tekrar ediyorum:
											Dolaşımına genç kanı dâhil edilen
yaşlı fare daha genç görünür
											ve beyninde daha genç
işlevler gerçekleşir.
											Yani yaşlandığımızda,
											insanın bilme yetisinin farklı
yönlerine bakabileceğiz
											ve bu slaytta
											muhakemeyi, konuşma yeteneğini vb.
inceleyebildiğimizi göreceksiniz.
											50-60 yaşa kadar bu işlevler tastamamdır
											ve odadaki genç seyircilere bakarak 
söylüyorum ki hâlâ hiçbir problemimiz yok.
									","
											Nous avons constaté qu'une vieille souris 
exposée à un environnement jeune,
											un modèle appelé parabiose,
											présente un cerveau plus jeune, 
qui fonctionne mieux.
											Je répète :
											une vieille souris qui reçoit 
du sang jeune à travers la circulation,
											montre un aspect et un fonctionnement 
cérébral plus jeune.
											Quand nous vieillissons,
											nous pouvons évaluer l'évolution
de nos différentes capacités cognitives,
											le raisonnement ou l'éloquence,
comme par exemple, sur ce tableau.
											Jusqu'à 50 ou 60 ans, 
ces facultés sont intactes.
											Au vu de la jeunesse de l'audience,
tout va encore bien pour nous.
									","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
"
","
","
","
","
","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gülüşmeler)
									","
											(Rires)
									","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
"
","
","
","
","
","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
"
											But it's scary to see
how all these curves go south.
											And as we get older,
											diseases such as Alzheimer's
and others may develop.
											We know that with age,
the connections between neurons —
											the way neurons talk to each other,
the synapses — they start to deteriorate;
											neurons die, the brain starts to shrink,
											and there's an increased susceptibility
for these neurodegenerative diseases.
									","
											Pero da miedo ver cómo todas
estas curvas empiezan a bajar.
											Y a medida que envejecemos,
											las enfermedades, puede desarrollarse
Alzheimer y otras enfermedades.
											Sabemos que con la edad,
las conexiones entre neuronas
											—la forma de comunicación
entre neuronas, las sinapsis—
											empiezan a deteriorarse;
											las neuronas mueren, el cerebro
empieza a encogerse,
											y aumentan las posibilidades de contraer
estas enfermedades neurodegenerativas.
									","
											Mas é assustador ver o
declínio de todas essas curvas.
											À medida que envelhecemos,
											doenças como o Alzheimer
começam a desenvolver-se.
											Sabemos que, com a idade,
as ligações entre neurónios,
											a forma como comunicam, as sinapses,
começam a deteriorar-se,
											os neurónios morrem e
o cérebro começa a encolher,
											aumentando a suscetibilidade de
doenças neurodegenerativas.
									","
											Ama bu yayların güneye
doğru gittiğini görmek korkutucu.
											Yaşlandıkça,
											Alzheimer ve diğer hastalıklar
ortaya çıkabiliyor.
											Biliyoruz ki yaşla beraber,
nöronlar arasındaki bağlantılar—
											nöronların birbiriyle konuşma biçimi,
sinapslar— kötüye gitmeye başlar;
											nöronlar ölür, beyin ufalmaya başlar
											ve bu sinir dokusunun bozulumuyla ilgili
hastalıklara karşı hassasiyet artar.
									","
											Les courbes de toutes nos facultés
ont de quoi faire paniquer.
											Quand on vieillit,
											des maladies comme Alzheimer
peuvent se développer.
											Nous savons qu'avec l'âge,
la connexion entre nos neurones,
											les voies de communication,
les synapses, commencent à se détériorer.
											Les neurones meurent, 
le volume du cerveau diminue.
											Notre sensibilité aux maladies 
neuro-dégénératives grandit.
									","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
"
","
","
","
","
","How young blood might help reverse aging. Yes, really",Tony Wyss-Coray,13:35,"aging,brain,medical research,neuroscience,science,bioethics,youth,medicine,molecular biology,biology,memory,innovation,disease"
