en,es,tr,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
","
",The mysterious lives of giant trees,Richard Preston,19:31,"complexity,exploration,nature,science,trees,writing,fungi"
"
											The north coast of California has rainforests —
											temperate rainforests — where it can rain more than 100 inches a year.
											This is the realm of the Coast Redwood tree.
											Its species name is Sequoia sempervirens.
											Sequoia sempervirens is the tallest living organism on Earth.
											The range of the species goes up to as much as 380 feet tall.
											That's 38 stories tall.
											These are trees that would stand out in midtown Manhattan.
											Nobody knows how old the oldest living Coast Redwoods are
											because nobody has ever drilled into any of them
											to count their annual growth rings, and, in any case,
											the centers of the oldest individuals appear to be hollow.
											But it's believed that the oldest living Redwoods
											are perhaps 2,500 years old — roughly the age of the Parthenon —
											although it's also suspected that there may be individual trees
											that are older than that.
									","
											La costa norte de California tiene selvas,
											selvas templadas, en las que puede llover más de 2,5 metros al año.
											Este es el reino de la secuoya roja de California
											y su nombre de especie es Sequoia sempervirens.
											La sequoia sempervirenses es el organismo vivo que crece más alto sobre la Tierra,
											llegando hasta los 115 metros de alto.
											Esos son 38 pisos de altura;
											hay árboles que sobresaldrían en medio de Manhattan.
											Nadie sabe la edad de las secuoyas vivas más antiguas
											porque nadie nunca ha perforado una de ellas
											para contar sus anillos de crecimiento anuales;
											y, de todos modos, los centros de los árboles más antiguos parecen estar huecos.
											Sin embargo se cree que las secuoyas más viejas tienen
											quizá 2.500 años -más o menos la edad del Partenón-
											aunque también se sospecha que algunos árboles
											pueden ser aún más antiguos.
									","
											Kaliforniya'nın kuzey kıyıları yağmur ormanlarıyla kaplı.
											Bu ormanlar, yılda 2.5 metreden daha fazla yağış alan ılıman kuşakta yer alıyor.
											Burası, Sahil Sekoya ağacının diyarıdır.
											Latinca tür ismi, Sequoia sempervirens'tir.
											Sequoia sempervirens, Dünya üzerinde yaşayan en uzun canlı organizmadır.
											Bu türün, 116 metre yüksekliğe ulaşan bireyleri vardır.
											Neredeyse 38 katlı bir bina yüksekliğinde.
											Bunlar, Manhattan şehir merkezinde bile göze çarpabilecek ağaçlardır.
											Yaşayan en yaşlı Sahil Sekoyasının yaşını kimse bilmiyor
											çünkü bugüne kadar kimse ağaçların içini delip
											yıllık büyüme halkalarını saymadı. Ancak her halükarda,
											en yaşlı bireylerin ortaları boş görünüyor.
											Ancak yaşayan en yaşlı Sekoyanın
											2500 yaşında olduğu düşünülüyor; neredeyse Partenon Tapınağı kadar eski.
											Fakat ondan daha yaşlı ağaçların
											olduğu da düşünülüyor.
									","
											La côte nord de la Californie possède des forêts tropicales —
											des forêts tropicales tempérées — où il peut pleuvoir plus de 2500 mm par an.
											C'est le domaine du séquoia côtier,
											de l'espèce Sequoia sempervirens.
											Le Sequoia sempervirens est le plus grand être vivant terrestre.
											Les membres de cette espèce peuvent atteindre 115 m de haut.
											C'est l'équivalent de 38 étages.
											Ces arbres domineraient le centre-ville de Manhattan.
											Personne ne sait quel âge ont les plus anciens séquoias côtiers
											parce que personne ne les a jamais sondés
											pour compter leurs anneaux de croissance, et d'ailleurs,
											il semblerait que le cœur des plus vieux individus soit creux.
											Mais on pense que les plus vieux séquoias vivants
											peuvent avoir 2 500 ans — à peu près l'âge du Parthénon —
											même si on soupçonne que certains individus
											soient encore plus vieux.
									","
											An der Nordküste von Kalifornien gibt es Regenwälder,
											gemäßigte Regenwälder, wo es über 2.500 mm im Jahr regnen kann.
											Dies ist das Reich des Coast Redwood – des Küstenmammutbaums.
											Sein Artenname ist Sequoia sempervirens.
											Sequoia sempervirens ist die größte Lebensform der Erde.
											Die Art kann eine Höhe von bis zu 116 m erreichen.
											Das sind 38 Stockwerke.
											Diese Bäume wären nicht mal im Zentrum Manhattens zu übersehen.
											Wie alt die ältesten lebenden Coast Redwoods sind, weiß niemand,
											weil sie noch keiner jemals angebohrt hat,
											um ihre Jahresringe zu zählen – und überhaupt
											scheinen die ältesten Exemplare innen hohl zu sein.
											Man glaubt aber, dass die ältesten lebenden Redwoods
											vielleicht 2.500 Jahre alt sind – etwa so alt wie der Parthenon –
											obwohl auch vermutet wird, dass einzelne von ihnen
											sogar noch älter sind.
									","
											A costa norte da Califórnia
tem florestas tropicais, temperadas,
											onde pode chover
mais de 2,5 metros por ano.
											É o reino da sequoia-vermelha.
											O nome científico da espécie
é ""Sequoia sempervirens"".
											A ""Sequoia sempervirens""
é o organismo vivo mais alto da Terra.
											Chega aos 115 metros de altura.
											O equivalente a 38 andares.
											São árvores que se destacariam 
entre os arranha-céus de Manhattan.
											Ninguém sabe a idade das
sequoias-vermelhas mais antigas
											porque nunca se perfurou nenhuma
											para contar os anéis de crescimento
anual e, de qualquer forma,
											os centros dos exemplares mais antigos
parecem ser ocos.
											Mas acredita-se
que as sequoias-vermelhas mais velhas
											tenham talvez 2500 anos,
mais ou menos a idade do Partenon,
											embora também se suspeite
que pode haver árvores mais velhas.
									",The mysterious lives of giant trees,Richard Preston,19:31,"complexity,exploration,nature,science,trees,writing,fungi"
"
","
","
","
","
","
",The mysterious lives of giant trees,Richard Preston,19:31,"complexity,exploration,nature,science,trees,writing,fungi"
"
											You can see the range of the Coast Redwoods. It's here, in red.
											The largest individuals of this species,
											the dreadnoughts of their kind, live just on the north coast of California,
											where the rain is really intense.
											In recent historic times, about 96 percent of the Coast Redwood forest
											was cut down, especially in a series of bursts of intense liquidation logging,
											clear-cutting that took place in the 1970s through the early 1990s.
											Even so, about four percent of the primeval Redwood rainforest remains intact,
											wild and now protected — entirely protected —
											in a chain of small parks strung out like pearls
											along the north coast of California, including Redwood National Park.
											But curiously, Redwood rainforests, the fragments that we have left,
											to this day remain under-explored.
											Redwood rainforest is incredibly difficult to move through,
											and even today, individual trees are being discovered
											that have never been seen before, including, in the summer of 2006,
											Hyperion, the world's tallest tree.
									","
											Pueden ver donde aún existen secuoyas, aquí en rojo.
											Los especímenes más grandes de esta especie,
											los acorazados de su tipo, viven sólo en la costa norte de California
											donde la lluvia es verdaderamente intensa.
											En épocas recientes, cerca del 96 por ciento del bosque de secuoyas de California
											fue cortado, en especial en una serie de arranques de intensa explotación forestal,
											una erradicación que empezó en los 70s y se extendió hasta inicios de los 90s.
											Aún así, cerca del 4% del bosque original de secuoya permanece intacto,
											salvaje y ahora protegido -totalmente protegido-
											en una cadena de pequeños parques que son como perlas en un collar
											a lo largo de la costa norte de California, que incluyen el parque nacional Redwood (de la Secuoya).
											Curiosamente hasta el día de hoy los bosques de secuoya, o los fragmentos que nos quedan,
											siguen estando sub-explorados.
											Es increíblemente difícil moverse a través de un bosque de secuoyas
											e incluso hoy se están descubriendo especímenes
											que no se conocían anteriormente; incluyendo a Hyperion,
											el árbol más alto del mundo, en el verano del 2006.
									","
											Sahil Sekoyalarının dağılımını, kırmızıyla işaretli yerde görebilirsiniz.
											Bu türlerin en iri bireyleri,
											yani türün en dayanıklıları, Kaliforniya'nın kuzey sahillerinde bulunur.
											Yağmurun en yoğun olduğu bölgede...
											Yakın geçmişte, Sahil Sekoyalarının yaklaşık yüzde 96'sı,
											yoğun tomrukçuluk faaliyetleri nedeniyle kesildi;
											özellikle de 1970'lerden 1990'ların başına kadar olan tıraşlama sürecinde...
											Yine de, kadim Sekoya yağmur ormanlarının yüzde 4'ü hala el değmemiş halde duruyor.
											Yabani ve tamamı koruma altında olan,
											inci gibi sıralanmış küçük park dizileri şeklinde,
											Redwood Ulusal Parkı'nı da içine alarak, Kaliforniya'nın kuzey sahillerinde uzanıyor.
											Ama ilginç bir şekilde, parça parça kalan Sekoya yağmur ormanları,
											bugüne kadar hala yeterince keşfedilemedi.
											Sekoya yağmur ormanlarında ilerlemek oldukça güçtür
											ve bugün bile, daha önce hiç görülmemiş yeni yeni bireyler keşfediliyor.
											Bunlar arasında, 2006 yazında farkedilen,
											dünyanın en uzun ağacı Hyperion da var.
									","
											Ici, en rouge, c'est l'aire de répartition du séquoia côtier.
											Les plus gros individus de cette espèce,
											les cuirassés, vivent sur la côte nord de la Californie,
											où la pluie est vraiment intense.
											Il n'y a pas si longtemps, environ 96% des forêts de séquoias côtiers
											ont été abattus, en partie à cause d'exploitations intensives en série,
											de coupes à blanc, des années 70 jusqu'au début des années 90.
											Malgré cela, environ 4% de la forêt primitive de séquoias est intacte,
											sauvage et maintenant protégée — entièrement protégée —
											par une chaîne de petits parcs alignés comme des perles
											le long de la côte nord californienne, dont le Redwood National Park.
											Curieusement, ce qui nous reste des forêts tropicales de séquoias
											est encore aujourd'hui largement inexploré.
											Il est très difficile de se déplacer dans une forêt de séquoias,
											et on découvre encore aujourd'hui des arbres
											qu'on n'avait jamais vus, y compris, durant l'été 2006,
											Hyperion, l'arbre le plus haut du monde.
									","
											Hier sehen Sie, in rot, die Verbreitung des Küstenmammutbaums.
											Die größten Exemplare seiner Art,
											die Kolosse seiner Art, leben genau an der Nordküste Kaliforniens,
											wo es sehr starke Regenfälle gibt.
											In jünster Geschichte wurden ca. 96 Prozent des Coast-Redwood-Waldes
											abgeholzt, insbesondere in einer Reihe intensiver Ausverkaufs-Rodungen,
											Kahlschläge, die von den 1970ern bis in die frühen 1990er stattfanden.
											Trotzdem sind vier Prozent des urzeitlichen Redwood-Regenwaldes erhalten geblieben,
											ungezähmt und mittlerweile geschützt – vollständig geschützt –
											in einer Kette kleiner Parks, die wie eine Perlenkette
											die Nordküste Kaliforniens säumen – unter ihnen der Redwood-Nationalpark.
											Seltsamerweise sind die Reste der Redwood-Regenwälder, die wir noch haben,
											bis heute wenig erforscht.
											Dieser Regenwald ist extrem schwer zugänglich
											und selbst heute werden noch einzelne Bäume entdeckt,
											die zuvor keiner gesehen hatte, so wie im Sommer 2006...
											Hyperion, der größte Baum der Welt.
									","
											Podem ver a distribuição
das sequoias-vermelhas aqui, a vermelho.
											Os maiores exemplares desta espécie,
											os gigantes do seu género,
só vivem na costa norte da Califórnia,
											onde a chuva é verdadeiramente intensa.
											Na história recente, foram abatidos
											96% da floresta de sequoias-vermelhas
											em especial numa série
de iniciativas de abate intensivo,
											de corte raso executado
entre os anos 70 e o início dos anos 90.
											Apesar disso, cerca de 4%
da floresta primitiva de sequoia-vermelha
											continua intacta,
											selvagem e agora protegida, 
completamente protegida,
											numa corrente de pequenos parques 
ligados como pérolas
											ao longo da costa norte da Califórnia,
											incluindo o Parque Nacional
da sequoia-vermelha.
											Mas, curiosamente, os fragmentos que
ainda restam da floresta de sequoias,
											permanecem até hoje mal explorados.
											É muito difícil deslocar-nos nas florestas
tropicais de sequoias-vermelhas,
											e mesmo hoje, estão a ser descobertas
											árvores que nunca foram vistas antes, 
incluindo, no verão de 2006,
											a Hyperion, a árvore mais
alta do mundo.
									",The mysterious lives of giant trees,Richard Preston,19:31,"complexity,exploration,nature,science,trees,writing,fungi"
"
","
","
","
","
","
",The mysterious lives of giant trees,Richard Preston,19:31,"complexity,exploration,nature,science,trees,writing,fungi"
"
											I'm going to do a little Gedanken experiment.
											I'm going to ask you to imagine what a Redwood really is as a living organism.
											And, Chris, if I could have you up here? I have a tape measure.
											It's a kind loaner from TED.
											And Chris, if you could take the end of that tape measure?
											We're going to show you what the diameter
											at breast height of a big Redwood is.
											Unfortunately, this tape isn't long enough — it's only a 25-foot tape.
											Chris, could you extend your arm out that way? There we go. OK.
											And maybe about here, about 30 feet, is the diameter of a big Redwood.
											Now, let your imagination go upward into space.
											Think about this tree, rising upward into Redwood space, 325 feet,
											32 stories, an individual living organism articulating its forms
											upward into space over long periods of time.
									","
											Voy a hacer un pequeño experimento mental,
											les pediré que imaginen a la secuoya como lo que realmente es; un organismo vivo.
											Chris, ¿me podrías ayudar aquí? Tengo una cinta métrica
											que amablemente me prestaron de TED.
											Chris, si pudieras tomar el extremo de la cinta
											les vamos a mostrar el diámetro,
											a la altura del pecho, de una secuoya grande.
											Desafortunadamente, esta cinta no alcanza pues sólo tiene poco más de 7 metros.
											Chris ¿podrías extender tu brazo hacia fuera? Ahí vamos, bien.
											Y más o menos esto, cerca de 9 metros, es el diámetro de una secuoya grande.
											Ahora, dejen que su imaginación viaje hacia el espacio
											y piensen en este árbol creciendo hacia el espacio de la secuoya, a 100 metros,
											32 pisos, un organismo vivo que desarrolla su forma
											verticalmente durante períodos muy largos de tiempo.
									","
											Şimdi ufak bir Gedanken deneyi yapacağım.
											Sekoyayı, yaşayan canlı bir organizma olarak nasıl hayat ettiğinizi öğrenmek istiyorum.
											Chris, yardım eder misin? Mezurayla bir ölçüm yapalım.
											Mezurayı, oldukça düşünceli davranan TED ekibinden ödünç aldım.
											Chris, ucundan tutabilir misin?
											Şimdi size, göğüs hizasındayken
											bir Sekoyanın çapının ne kadar büyük olduğunu göstereceğiz.
											Maalesef bu mezura yalnızca 7.62 metre; yeteri kadar uzun değil.
											Chris, o yöne doğru kolunu uzatır mısın? Tamam, şimdi oldu.
											Belki biraz da bu tarafa doğru gidersek, büyük bir Sekoya'nın yarıçapının yaklaşık 9 metre olduğunu gösterebiliriz.
											Şimdi hayalgücünüzü serbest bırakmanızı istiyorum.
											99 metre uzunluğuyla Sekoya evrenine uzayıp giden bu ağacı düşünün.
											32 katlı bir bina yüksekliğindeki kendine özgü bu canlı organizma,
											yüzyıllardır gökyüzüne doğru yol alıyor.
									","
											Je vais tenter une petite expérience théorique.
											Imaginez ce qu'est vraiment un séquoia en tant qu'être vivant.
											Chris, peux-tu venir ici ? Voici un mètre-ruban.
											Gracieusement prêté par TED.
											Chris, peux-tu tenir le bout de ce mètre-ruban ?
											On va vous montrer le diamètre
											à hauteur de poitrine d'un séquoia géant.
											Hélas, ce mètre n'est pas assez long — seulement 7,50 m.
											Chris, peux-tu tendre le bras ? Voilà. Bien.
											Voilà à peu près 9 m, c'est le diamètre d'un séquoia géant.
											Maintenant laissez votre imagination grimper vers le ciel.
											Pensez à cet arbre, poussant dans le monde Séquoia, jusqu'à 100 m,
											32 étages, un organisme vivant qui se structure
											en hauteur et sur une longue période de temps.
									","
											Ich machen mit Ihnen ein kleines Gedankenexperiment.
											Stellen Sie sich vor, was ein Redwood eigentlich für ein Lebewesen ist.
											Chris, kannst du mal hier hochkommen? Ich habe ein Maßband –
											eine nette Leihgabe von TED.
											Chris, könntest du das Ende des Maßbands nehmen?
											Wir zeigen Ihnen jetzt den Durchmesser
											eines Coast Redwood in Brusthöhe.
											Leider ist das Maßband nicht lang genug – nur 25 Fuß.
											Chris, könntest du deinen Arm nach da strecken? Gut, OK.
											Und ungefähr hier, etwas über 9 m, das ist der Durchmesser eines großen Redwood.
											Jetzt lassen Sie Ihre Fantasie nach oben steigen.
											Denken Sie sich diesen Baum, wie er sich in den Redwood-Raum erstreckt – 99 Meter,
											32 Stockwerke – ein einzelnes Lebewesen, dass seine Formen
											über lange Zeiträume hinweg in den Himmel ausstreckt.
									","
											Vou fazer uma pequena
experiência conceptual.
											Peço-vos que imaginem como é que é uma
sequoia realmente, como organismo vivo.
											Chris, se puderes vir até aqui acima,
tenho uma fita métrica.
											É um amável empréstimo da TED.
											Chris, podes pegar
na ponta da fita métrica?
											Vamos mostrar-vos o diâmetro
											de uma sequoia vermelha grande
à altura do peito.
											Infelizmente,
											esta fita métrica não é suficientemente
longa, só tem 7,5 metros.
											Chris, podes estender o braço? Isso. Ok.
											E talvez aqui, nos cerca de 9 metros,
											esteja o diâmetro de uma grande sequoia.
											Agora, deem asas à vossa imaginação.
											Pensem nesta árvore,
											erguendo-se até o
espaço da sequoia, 100 metros
											— 32 andares — um organismo individual
articulando as suas formas
											em direção ao espaço
durante um longo período de tempo.
									",The mysterious lives of giant trees,Richard Preston,19:31,"complexity,exploration,nature,science,trees,writing,fungi"
"
","
","
","
","
","
",The mysterious lives of giant trees,Richard Preston,19:31,"complexity,exploration,nature,science,trees,writing,fungi"
"
											The Redwood species seems to exist in another kind of time:
											not human time, but what we might call Redwood time.
											Redwood time moves at a more stately pace than human time.
											To us, when we look at a Redwood tree, it seems to be motionless and still,
											and yet Redwoods are constantly in motion,
											moving upward into space, articulating themselves
											and filling Redwood space over Redwood time, over thousands of years.
											Plant this small seed, wait 2,000 years, and you get this:
											the Lost Monarch.
											It dwells in the Grove of Titans on the north coast,
											and was discovered in 1998.
											And yet, when you look at the base of a Redwood tree,
											you're not seeing the organism.
											You're like a mouse looking at the foot of an elephant,
											and most of the organism is overhead, unseen.
									","
											La especie de la secuoya parece existir en otra dimensión de tiempo:
											no en tiempo humano sino en lo que podríamos llamar tiempo de la secuoya,
											el cual se mueve a un paso más majestuoso que el tiempo humano.
											Para nosotros, cuando vemos una secuoya, parece estar quieta
											y sin embargo las secuoyas están constantemente moviéndose,
											moviéndose hacia el espacio, ramificándose
											y llenando el espacio de secuoya en tiempo de secuoya, a través de miles de años.
											Planten esta pequeña semilla, esperen 2 mil años y esto es lo que obtienen:
											el Monarca Perdido,
											el cual habita en el Bosque de los Titanes de la Costa Norte
											descubierto en 1998.
											Y sin embargo, cuando miran la base de una secuoya
											no están viendo al organismo.
											Eres como un pequeño ratón que mira el pie de un elefante
											y la mayor parte del organismo está arriba, escondida.
									","
											Sekoya türleri bambaşka bir zaman diliminde yaşıyor gibidir:
											Bizim algıladığımız insan zamanında değil, kendilerine özgü bir Sekoya zamanında...
											Sekoya zamanı, bildiğimiz insan zamanından çok daha heybetli bir hızda işliyor.
											Bir Sekoyaya baktığımızda, onun hareketsiz ve sabit olduğunu düşünürüz
											ama aslında Sekoyalar sürekli hareket halindedir;
											gökyüzüne doğru ilerler ve binlerce yıllık Sekoya zamanı süresince
											Sekoya evrenini bir bir doldururlar.
											Bu ufak tohumu ekip 2000 yıl beklerseniz, sonunda
											bir ""Lost Monarch""ınız olur.
											1998 yılında keşfedilen bu ""Kayıp Hükümdar"",
											kuzey sahilinde yer alan Titan Koruluğu'nda (Grove of Titans) yaşıyor.
											Bir Sekoyanın tabanına baktığınızda
											bu canlının tamamına hakim olamazsınız.
											Daha çok kendinizi, bir filin ayağına bakan fare gibi hissedersiniz
											çünkü bu canlının görülemeyen çok daha büyük bir bölümü tepenizdedir.
									","
											Les séquoias semblent exister dans un autre type de temps:
											pas le temps humain mais ce qu'on appellerait le temps séquoia.
											Ce temps passe plus lentement que le temps humain.
											Quand on regarde un séquoia, il nous parait immobile,
											et pourtant les séquoias sont constamment en mouvement,
											poussant vers le haut, se structurant
											peuplant l'espace séquoia dans le temps séquoia, sur des millénaires.
											Plantez cette graine, attendez 2 000 ans et voici le résultat:
											le Lost Monarch, le monarque perdu.
											Il est situé sur la côte nord, dans le ""Bois des Titans"",
											il a été découvert en 1998.
											Pourtant, quand on regarde au pied d'un séquoia,
											on ne voit pas l'organisme.
											On est comme une souris au pied d'un éléphant,
											la plus grande partie de l'organisme est au-dessus, invisible.
									","
											Die Mammutbäume scheinen in einer anderen Zeit zu existieren:
											nicht in menschlicher Zeit, sondern in etwas wie der Redwood-Zeit.
											Redwood-Zeit vergeht in gemächlicherem Tempo als menschliche Zeit.
											Wenn wir uns einen Mammutbaum ansehen, scheint er unbeweglich und still,
											und doch ist er ständig in Bewegung,
											er bewegt sich in die Höhe, streckt seine Glieder aus
											und füllt Redwood-Raum in Redwood-Zeit über tausende von Jahren hinweg.
											Pflanzen Sie diesen kleinen Samen und nach 2.000 Jahren erhalten Sie dies:
											den Lost Monarch.
											Er wächst in Grove of Titans an der Nordküste
											und wurde 1998 entdeckt.
											Doch wenn Sie den Stamm eines Redwoods ansehen,
											sehen Sie kein Lebewesen.
											Sie sind wie eine Maus, die den Fuß eines Elefanten ansieht,
											und der größte Teil über Ihnen bleibt Ihnen verborgen.
									","
											Estas espécies parecem existir 
noutra espécie de tempo:
											não no tempo humano, mas naquilo
a que podemos chamar tempo da sequoia.
											O tempo da sequoia move-se a um ritmo 
mais majestoso do que o tempo humano.
											Para nós, ao vermos uma sequoia,
ela parece imóvel e parada.
											No entanto, as sequoias estão
constantemente em movimento,
											elevando-se no espaço, articulando-se
											e preenchendo o espaço da sequoia em
tempo de sequoia, por milhares de anos.
											Plantem esta sementinha,
esperem 2000 anos, e obtêm isto:
											a Monarca Perdida.
											Vive no Bosque dos Titãs 
na costa norte,
											e foi descoberta em 1998.
											Porém, quando vemos
a base do tronco de uma sequoia,
											não vemos o organismo.
											Somos como um rato a olhar
para a pata de um elefante,
											e a maior parte do organismo
está lá no alto, sem ser vista.
									",The mysterious lives of giant trees,Richard Preston,19:31,"complexity,exploration,nature,science,trees,writing,fungi"
"
","
","
","
","
","
",The mysterious lives of giant trees,Richard Preston,19:31,"complexity,exploration,nature,science,trees,writing,fungi"
"
											I became very interested, and I wrote about a couple.
											Steve Sillett and Marie Antoine are the principal explorers
											of the Redwood forest canopy. They're world-class athletes,
											and they also are world-class forest ecology scientists.
											Steve Sillett, when he was a 19-year-old college student
											at Reed College, had heard that the Redwood forest canopy
											is considered to be a so-called Redwood desert.
											That is to say, at that time it was believed
											that there was nothing up there except the branches of Redwood trees.
											And with a friend of his, he took it upon himself to free-climb a Redwood
											without ropes or any equipment to see what was up there.
											He climbed up a small tree next to this giant Redwood,
											and then he leaped through space and grabbed a branch with his hands,
											and ended up hanging, like catching a bar of a trapeze.
											And then, from there, he climbed directly up the bark
											until he got to the top of the tree.
									","
											Me interesé muchísimo en esto y escribí acerca de una pareja,
											Steve Sillett y Marie Antoine, los principales exploradores
											del techo del bosque de secuoyas; son atletas de clase mundial
											y también son científicos ecológicos de clase mundial.
											Cuando Steve Sillett era un estudiante universitario de 19 años
											en la universidad Reed College escuchó que el techo del bosque de secuoya
											se consideraba un ""desierto de secuoya"".
											Es decir, en aquella época se creía que
											no había nada allá arriba excepto ramas de secuoyas.
											Entonces, con un amigo suyo, se atrevió a escalar una secuoya
											sin cuerdas ni equipo para ver qué había allá arriba.
											Escaló un árbol pequeño al lado de esta secuoya gigante
											y luego saltó hacia el espacio para agarrar una rama con sus manos
											y terminó colgando como si estuviera atrapando la barra de un trapecio.
											Desde ahí, escaló directamente por el tronco
											hasta que llegó a la cima del árbol.
									","
											Yakın zamanda ilgimi çeken bir çift hakkında bir yazı yazdım.
											Steve Sillett ve Marie Antoine, Sekoya ormanlarının zirvelerini keşfeden
											en önemli kişilerdir. Yalnızca dünya standartlarında atletler değil,
											aynı zamanda birinci sınıf orman ekologlarıdır.
											Steve Sillett, 19 yaşında Reed Üniversitesi'nde okurken,
											Sekoya tepelerinin ""Sekoya çölü""
											olarak anıldığını öğrenmiş.
											Yani, o zamanlarda Sekoya dalları dışında
											bu bölgede başka hiçbir şeyin olmadığı sanılırmış.
											Bir gün, bir arkadaşını da yanına alarak, yukarıda ne olduğunu görmek için
											hiç halat ve alet kullanmadan bir Sekoya'nın tepesine tırmanmaya karar vermiş.
											Önce, dev Sekoya'nın yanında dikilen ufak bir ağaca tırmanmış
											ve kendini boşluğa bırakarak yandaki bir dala tutunmuş
											ve trapez çubuğuna tutunur gibi, öylece havada asılı kalmış.
											Oradan da ağacın gövdesine geçiş yaparak
											sonunda en tepeye ulaşmış.
									","
											Ça m'a fasciné puis j'ai écrit à propos d'un couple.
											Steve Sillett et Marie Antoine sont les explorateurs principaux
											de la canopée des séquoias. Ce sont de véritables athlètes
											et des scientifiques éminents en écologie forestière.
											Quand Steve Sillett avait 19 ans et qu'il faisait ses études
											au Reed College, il a appris que la canopée des séquoias
											était considérée comme un soi-disant désert.
											C'est-à-dire qu'à l'époque, on pensait
											qu'il n'y avait rien là-haut à part des branches de séquoias.
											Avec un ami, il décida d'escalader un séquoia
											sans cordes, sans matériel, pour voir ce qu'il y avait là-haut.
											Il escalada un petit arbre près de ce séquoia géant,
											et sauta dans le vide pour attraper une branche,
											pour finir suspendu, comme sur un trapèze.
											De là, il grimpa directement sur l'écorce
											jusqu'au sommet de l'arbre.
									","
											Das hat mich sehr interessiert und ich habe über ein Paar geschrieben:
											Steve Sillett und Marie Antoine, die Haupterforscher
											der Redwood-Baumkronen. Sie sind Spitzenathleten
											und außerdem erstklassige Waldökologen.
											Steve Sillett war 19 Jahre alt und studierte am Reed College,
											als er hörte, dass das Blätterdach des Redwood-Waldes
											als sogenannte Redwood-Wüste angesehen wird.
											Was bedeutet, dass man damals dachte,
											dass es dort oben nichts als die Zweige der Redwoods gäbe.
											Zusammen mit einem Freund entschloss er sich, ohne Seile oder Ausrüstung
											auf einen Redwood zu steigen, um zu sehen, was dort oben war.
											Er kletterte auf einen kleinen Baum neben dem riesigen Redwood,
											sprang durch die Luft und ergriff einen Ast mit seinen Händen.
											Er hing dort wie ein Artist am Trapez.
											Von dort aus kletterte er direkt an der Borke hoch,
											bis er an die Spitze gelangte.
									","
											Eu fiquei muito interessado, 
e escrevi sobre um casal.
											Steve Sillett e Marie Antoine
são os exploradores principais
											da copa da floresta de sequoias.
											São atletas de classe mundial
											e cientistas de ecologia florestal
também de classe mundial.
											Steve Sillett, 
quando era um estudante de 19 anos
											no colégio Reed, tinha ouvido dizer
que a copa da floresta de sequoias
											é considerada ser,
um ""deserto de sequoias"".
											Ou seja, naquela altura acreditava-se
											que não haveria lá nada
além dos ramos das sequoias vermelhas.
											E com um amigo dele, ele resolveu
escalar uma sequoia
											sem cordas ou equipamento
para ver o que havia lá no alto.
											Ele escalou uma pequena árvore ao lado 
de uma sequoia gigante,
											e depois saltou no vazio e agarrou-se
a um ramo com as mãos.
											Ficou pendurado, como se estivesse
a segurar uma barra de trapézio.
											E depois, subiu diretamente
pela casca da árvore
											até chegar ao topo da árvore.
									",The mysterious lives of giant trees,Richard Preston,19:31,"complexity,exploration,nature,science,trees,writing,fungi"
