en,es,de,title,speaker,duration,tags
"
","
","
",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
"
											Thank you very much. Good evening.
									","
											Muchas gracias. Buenas tardes.
									","
											Vielen herzlichen Dank. Guten Abend.
									",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
"
","
","
",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
"
											Some of you may have noticed
that my last name is Nutt.
											And if you did,
you are forgiven for wondering
											how a Nutt managed
to end up in a war zone.
											I actually was offered, right out
of medical school, and accepted
											a volunteer contract to work
with UNICEF in war-torn Somalia,
											that was worth one dollar.
											And, you see, I had to be paid this dollar
											in the event that the UN needed
to issue an evacuation order,
											so that I would be covered.
											I was, after all, heading into one
of the world's most dangerous places.
											And by now, some of you
may be asking yourselves,
											and I just want to reassure you,
											that I did get half the money up front.
									","
											Algunos de Uds. pueden haber notado
que mi apellido es Nutt.
											Y como en inglés eso significa 'Loca',
											se preguntarán cómo una loca 
terminó en una zona de guerra.
											De hecho, me lo ofrecieron 
tras acabar medicina y acepté
											un contrato de voluntaria 
para trabajar con UNICEF
											por valor de un dólar en la 
Somalia desgarrada por la guerra,
											Y, me tenían que pagar ese dólar
											en el caso de que la ONU tuviera 
que emitir una orden de evacuación,
											así estaría completamente asegurada.
											Yo iba, después de todo, a uno de 
los lugares más peligrosos del mundo.
											Y a estas alturas, algunos de Uds. 
puede que se pregunte
											y solo quiero asegurarles,
											que me hicieron llegar la mitad 
del dinero por adelantado.
									","
											Vielleicht ist Ihnen aufgefallen, 
dass ich Nutt [Nuss] heiße.
											Falls ja, verzeihe ich Ihnen die Frage,
											wie eine Nuss in einem
Kriegsgebiet landen konnte.
											Direkt nach dem Medizinstudium
nahm ich das Angebot an,
											als Freiwillige mit UNICEF im
vom Krieg verwüsteten Somalia zu arbeiten,
											wofür es einen Dollar gab.
											Man musste mir diesen Dollar bezahlen,
											damit ich im Falle eines
Evakuierungsbefehls der UNO
											Versicherungsschutz hätte.
											Ich war immerhin auf dem Weg in eines 
der gefährlichsten Länder der Welt.
											Einige von Ihnen fragen sich sicher,
											und ich möchte Ihnen versichern,
											dass ich die Hälfte des Geldes
vorab bekommen hatte.
									",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
"
","
","
",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
"
											(Laughter)
									","
											(Risas)
									","
											(Lachen)
									",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
"
","
","
",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
"
											But you see, this is how,
with 50 cents in my pocket,
											I ended up in Baidoa, Somalia.
											Journalists called it the ""city of death.""
											And they called it the city of death
											because 300,000 people
had lost their lives there —
											300,000 people,
											mostly as a result
of war-related famine and disease.
									","
											Así es como,
con 50 centavos en el bolsillo,
											aterricé en Baidoa, Somalia.
											Los periodistas la llamaban 
""la ciudad de la muerte"".
											Y la llamaban ciudad de la muerte
											porque 300 000 personas
habían perdido la vida allí.
											300 000 personas,
											como resultado del hambre y 
enfermedades relacionadas con la guerra.
									","
											So landete ich mit 50 Cent
in meiner Tasche in Baidoa in Somalia.
											Journalisten nannten es 
die ""Stadt des Todes"".
											Sie nannten sie die Stadt des Todes,
											weil 300 000 Menschen dort
gestorben sind —
											300 000 Menschen,
											größtenteils aufgrund von Hungersnot und 
Krankheiten, die vom Krieg herrührten.
									",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
"
","
","
",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
"
											I was part of a team that was tasked
with trying to figure out
											how best to respond
to this humanitarian catastrophe.
											It was right on the heels
of the Rwandan genocide,
											and aid money to the region was drying up.
											Many aid organizations, unfortunately,
											had been forced to close their doors.
											And so the question that I was asked
to specifically help answer,
											which is one that aid workers ask
themselves in war zones the world over,
											is: What the hell do we do now?
											You know, the security environment
in Somalia at that moment in time —
											and nothing has really changed too much —
											can best be described as ""Mad Max""
by way of ""A Clockwork Orange.""
									","
											Yo era parte de un equipo 
encargado de averiguar
											la mejor manera de responder 
a esta catástrofe humanitaria.
											Estaba justo en la antesala 
del genocidio de Ruanda,
											y el dinero de la ayuda 
a la región se estaba agotando.
											Muchas organizaciones 
de ayuda, por desgracia,
											habían sido obligadas 
a cerrar sus puertas.
											Así que la pregunta que se me planteó
a esa llamada de ayuda específica
											es la que los cooperantes 
también se plantean
											en zonas de guerra en todo el mundo:
											¿Qué demonios hacemos ahora?
											El ambiente de seguridad en Somalia 
en ese momento,
											y realmente nada ha cambiado 
demasiado hasta ahora,
											puede describirse como ""Mad Max""
a modo de ""La naranja mecánica"".
									","
											Ich war Teil eines Teams,
das herausfinden sollte,
											wie man am besten auf 
diese Katastrophe reagieren sollte.
											Es kam direkt nach dem Genozid in Ruanda,
											und Hilfsgelder für
die Region wurden knapp.
											Leider mussten viele Hilfsorganisationen
ihre Arbeit einstellen.
											Die Frage, bei deren Antwort
ich mithelfen sollte —
											und die fragen sich Helfer 
in den Kriegszonen der Welt —
											ist: Was zur Hölle machen wir nun?
											Die Sicherheitslage in Somalia
zu jenem Zeitpunkt —
											und es hat sich fast nichts verändert —
											kann man am besten mit ""Mad Max""
											in Form von 
""A Clockwork Orange"" beschreiben.
									",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
"
","
","
",The real harm of the global arms trade,Samantha Nutt,13:34,"activism,Africa,big problems,business,children,community,death,economics,guns,global issues,inequality,humanity,security,society,war,violence"
