en,tr,pt,fr,title,speaker,duration,tags
"
","
","
","
","Why should you read Shakespeare's ""The Tempest""?",Iseult Gillespie,4:35,"animation,play,TED-Ed,literature,writing,theater,history,books,book,novel,culture,education,world cultures"
"
											Claps of thunder and flashes of lightning
illuminate a swelling sea,
											as a ship buckles beneath the waves. 

											This is no ordinary storm, 
but a violent and vengeful tempest,
											and it sets the stage for Shakespeare’s
most enigmatic play.
											As the skies clear, 
we are invited into a world
											that seems far removed from our own,
but is rife with familiar concerns
											about freedom, power, and control.

									","
											Gök gürültüleri ve şimşek patlamaları,
kabarık bir denizi aydınlatıyor,
											bir gemi dalgaların altında kalıyor.
											Bu sıradan bir fırtına değil,
şiddetli ve hınçlı bir fırtına
											ve Shakespeare'in en esrarengiz
oyunu için zemin hazırlıyor.
											Gökyüzü belirginleştikçe
bizimkinden çok uzak gibi görünen
											bir dünyaya davet ediliyoruz,
fakat özgürlük, güç ve kontrolle ilgili
											benzer kaygılarla dolu bir dünya.
									","
											Estrondos de trovões e relâmpagos
que iluminam um mar revolto,
											enquanto um navio soçobra sob as vagas.
											Não é uma tempestade vulgar,
mas um temporal violento e vingativo
											e prepara o cenário para a peça
mais enigmática de Shakespeare.
											À medida que o céu clareia
somos convidados para um mundo
											que parece muito distante do nosso,
mas repleto de preocupações familiares
											sobre liberdade, poder e controlo.
									","
											Des coups de tonnerre et des éclairs
illuminent une mer gonflée,
											alors qu'un navire est
ballotté par les vagues.
											Ce n'est pas un orage ordinaire,
mais une tempête violente et vengeresse,
											et elle est le décor de la pièce
la plus énigmatique de Shakespeare.
											Lorsque les cieux se dégagent,
nous sommes invités dans un monde
											qui semble très éloigné du nôtre, mais 
qui est plein de préoccupations connues
											sur la liberté, le pouvoir et le contrôle.
									","Why should you read Shakespeare's ""The Tempest""?",Iseult Gillespie,4:35,"animation,play,TED-Ed,literature,writing,theater,history,books,book,novel,culture,education,world cultures"
"
","
","
","
","Why should you read Shakespeare's ""The Tempest""?",Iseult Gillespie,4:35,"animation,play,TED-Ed,literature,writing,theater,history,books,book,novel,culture,education,world cultures"
"
											The Tempest is set on a desert island,
exposed to the elements
											and ruled with magic and might by 
Prospero, the exiled Duke of Milan.
											Betrayed by his brother Antonio, 
Prospero has been marooned on the island
											for twelve years with his daughter Miranda
and his beloved books.
											In this time he’s learned the 
magic of the island
											and uses it to harness its 
elementary spirits.
											He also rules over the island’s
only earthly inhabitant,
											the dejected and demonized Caliban.

									","
											""Fırtına"" doğa olaylarına
maruz kalan ıssız bir adada geçiyor
											ve sürgün edilmiş Milan Dükü Prospero'nun
büyüsüyle ve gücüyle yönetiliyor.
											Erkek kardeşi Antonio tarafından
ihanete uğrayan Prospero,
											adada kızı Miranda ve sevgili
kitaplarıyla on iki yıl mahsur kalıyor.
											Zamanında adanın büyüsünü öğrenmiş
											ve bunu, adanın doğal ruhunu
dizginlemek için kullanıyor.
											Ayrıca tek dünyevi yerli olan,
kederli ve şeytanlaştırılmış
											Caliban'ı da yönetiyor.
									","
											""A Tempestade"" decorre numa ilha deserta
fustigada pelos elementos
											e governada com magia e poder
por Próspero, o exilado Duque de Milão.
											Traído pelo seu irmão António,
Próspero foi abandonado na ilha
											durante 12 anos, com a sua filha
Miranda, e os seus amados livros.
											Durante esse tempo,
descobriu a magia da ilha
											e usa-a para dominar
os espíritos dos elementos.
											Também controla o único habitante
terreno da ilha,
											o desalentado e demonizado Calibã.
									","
											La Tempête se déroule sur une île déserte,
exposée aux éléments
											et gouvernée avec magie et force
par Prospéro, le Duc de Milan exilé.
											Trahi par son frère Antonio, Prospéro
a été abandonné sur l’île
											il y a douze ans avec sa fille Miranda
et ses livres bien-aimés.
											En douze ans, il a compris
la magie de l’île
											et il l'utilise pour maîtriser
ses esprits élémentaires.
											Il gouverne aussi sur le seul
habitant terrestre de l’île,
											le découragé et diabolisé Caliban.
									","Why should you read Shakespeare's ""The Tempest""?",Iseult Gillespie,4:35,"animation,play,TED-Ed,literature,writing,theater,history,books,book,novel,culture,education,world cultures"
"
","
","
","
","Why should you read Shakespeare's ""The Tempest""?",Iseult Gillespie,4:35,"animation,play,TED-Ed,literature,writing,theater,history,books,book,novel,culture,education,world cultures"
"
											But after years of plotting revenge,
Prospero’s foe is finally in sight.
											With the help of the 
fluttering sprite Ariel,
											the magician destroys his brother’s ship
and washes its sailors ashore.
											Prospero’s plotting even extends to his
daughter’s love life,
											whom he plans to fall for 
stranded prince Ferdinand.
											And as Prospero and Ariel
close in on Antonio,
											Caliban joins forces with some 
drunken sailors,
											who hatch a comic plot 
to take the island.
									","
											Fakat yıllarca birikmiş intikamdan sonra,
Prospero'nun düşmanı ortaya çıkıyor.
											Büyücü, çırpınan
hayalet Ariel'in yardımıyla
											erkek kardeşinin gemisini yok ediyor
ve denizcilerini de kıyıya atıyor.
											Prospero'nun entrikası, kızının
aşk hayatına bile uzanıyor,
											kızının, sahile vurmuş prens
Ferdinand'a aşık olmasını planlıyor.
											Prospero ve Ariel, Antonio'ya yaklaştıkça
											Caliban, adayı almak için
komik bir plan yapan
											birkaç sarhoş gemiciyle birlik oluyor.
									","
											Mas, após anos a preparar a vingança,
											o inimigo de Próspero
está finalmente à vista.
											Com a ajuda do espírito esvoaçante Ariel,
											o mágico destrói o barco do seu irmão
e atira os marinheiros para a costa.
											A conspiração de Próspero estende-se
à vida amorosa da sua filha,
											que ele planeia que se apaixone
pelo príncipe Ferdinando naufragado.
											Quando Próspero e Ariel
cercam António,
											Calibã junta forças
com marinheiros embriagados
											que congeminam uma conspiração
cómica para se apoderarem da ilha.
									","
											Mais après des années
à préparer sa vengeance,
											l'ennemi de Prospéro est enfin en vue.
											Avec l'aide du lutin aérien Ariel,
											le magicien détruit le navire de son frère
et échoue ses marins sur le rivage.
											Le complot de Prospéro s'étend même
à la vie amoureuse de sa fille,
											qu'il veut faire tomber amoureuse
du prince naufragé Ferdinand.
											Et lorsque Prospéro et Ariel
se rapprochent d'Antonio,
											Caliban unit ses forces
avec quelques marins ivres,
											qui fomentent un complot comique
pour s'approprier de l’île.
									","Why should you read Shakespeare's ""The Tempest""?",Iseult Gillespie,4:35,"animation,play,TED-Ed,literature,writing,theater,history,books,book,novel,culture,education,world cultures"
"
","
","
","
","Why should you read Shakespeare's ""The Tempest""?",Iseult Gillespie,4:35,"animation,play,TED-Ed,literature,writing,theater,history,books,book,novel,culture,education,world cultures"
"
											The play strips society down
to its basest desires,
											with each faction in hot pursuit of power-
be it over the land, other people,
											or their own destiny.
											But Shakespeare knows that power is
always a moving target;
											and as he reveals
these characters’ dark histories,
											we begin to wonder if this
vicious cycle will ever end.
									","
											Oyun, toplumu en temel
arzularına kadar götürüyor,
											her grup - ada, diğer insanlar veya
kendi kaderleri üzerinde kuracakları -
											gücün sıcak takibinde.
											Fakat Shakespeare, gücün her zaman
hareket eden bir hedef olduğunu biliyor
											ve karakterlerin karanlık
geçmişini ortaya çıkardıkça
											bu korkunç döngünün bitip
bitmeyeceğini merak ediyoruz.
									","
											A peça despoja a sociedade
dos seus desejos mais básicos,
											com cada fação numa acesa
disputa pelo poder
											— seja pela terra, por outras pessoas
ou pelo seu próprio destino.
											Mas Shakespeare sabe que o poder
é sempre um alvo movediço:
											e, à medida que revela
as histórias sombrias das personagens,
											começamos a duvidar de que
este ciclo vicioso venha a ter um fim.
									","
											La pièce met à nu la société
dans ses désirs les plus basiques,
											chaque faction étant à la poursuite
du pouvoir ; que ce soit sur la terre,
											sur d'autres gens
ou sur leur propre destin.
											Mais Shakespeare sait que le pouvoir
est toujours une cible mobile ;
											et alors qu'il révèle les sombres
histoires de ces personnages,
											nous nous demandons
si ce cercle vicieux va jamais s’arrêter.
									","Why should you read Shakespeare's ""The Tempest""?",Iseult Gillespie,4:35,"animation,play,TED-Ed,literature,writing,theater,history,books,book,novel,culture,education,world cultures"
"
","
","
","
","Why should you read Shakespeare's ""The Tempest""?",Iseult Gillespie,4:35,"animation,play,TED-Ed,literature,writing,theater,history,books,book,novel,culture,education,world cultures"
"
											Although Prospero was wronged by Antonio,
											he has long inflicted his
own abuses on the island,
											hoarding its magical properties
and natural re-sources for himself.
											Caliban especially resents
this takeover.
											The son of Sycorax,

											a witch who previously
ruled the island,
											he initially helped the 
exiles find their footing.
											But he’s since become their slave,
and rants with furious regret:
											“And then I loved thee,/
And showed thee
											all the qualities o’ th’ isle/
The fresh springs,
											brine pits, barren place 
and fertile./
											Cursed be I that did so!”
									","
											Antonio, Prospero'ya
haksızlık etmiş olsa da
											Prospero uzun süredir adayı
kendi emellerine alet etmiş,
											büyülü mülklerini ve doğal
kaynaklarını kendisi için saklamıştır.
											Özellikle Caliban,
bu ele geçirişi arzuluyor.
											Adayı daha önce yönetmiş
											bir cadı olan Sycorax'ın oğlu,
											ilk başlarda sürgünlere
yer bulmaları için yardım ediyordu.
											Fakat onların kölesi haline geldi
ve öfkeli pişmanlıkla söyleniyor:
											""Ve sonra sizi sevdim,/
Ve sizlere adanın
											tüm özelliklerini gösterdim/
Serin kaplıcalar,
											tuzlu sular, çorak yerler
ve bereketliler./
											Böyle yaptığım için lanetlendim!""
									","
											Embora Próspero tenha sido
enganado por António,
											há muito que tem infligido
a sua prepotência na ilha,
											apropriando-se das suas propriedades
mágicas e dos recursos naturais.
											Calibã, em particular,
ressente-se desse açambarcamento.
											Filho de Sicorax
											— uma feiticeira que governava
a ilha, anteriormente —
											ajudou inicialmente os exilados
a encontrarem a sua posição,
											mas acabou por ser escravo deles
e queixa-se com um desgosto furioso:
											""Eu tinha-te amizade, e mostrei-te
todas as qualidades da ilha,
											""as fontes de água pura/
os poços de água salgada,
											""os locais áridos e os férteis.
											""Maldito seja eu por ter feito isso!""
									","
											Même si Prospéro a été lésé par Antonio,
											il a longtemps infligé
ses violences sur l’île,
											en réservant les propriétés magiques
et ressources naturelles pour lui-même.
											Caliban, en particulier,
lui en veut pour ça.
											Le fils de Sycorax,
											une sorcière qui gouvernait
l’île auparavant,
											aidait au début les exilés à s'adapter.
											Mais depuis il est devenu leur esclave,
et il râle d'un regret furieux :
											« Moi, je t'aimais alors, je te montrais
											toutes les qualités de l’île.
Les eaux douces,
											les puits salés,
les lieux ingrats et fertiles.
											Maudit sois-je pour l'avoir fait ! »
									","Why should you read Shakespeare's ""The Tempest""?",Iseult Gillespie,4:35,"animation,play,TED-Ed,literature,writing,theater,history,books,book,novel,culture,education,world cultures"
