en,pt,fr,title,speaker,duration,tags
"
","
","
",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
											I am British.
									","
											Eu sou britânico.
									","
											Je suis britannique.
									",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
","
","
",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
","
","
",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
											(Applause)
									","
											(Aplausos)
									","
											(Applaudissements)
									",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
","
","
",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
											Never before has the phrase
""I am British"" elicited so much pity.
									","
											Nunca esta frase ""Eu sou britânico""
provocou tanta pena.
									","
											Jamais auparavant cette phrase
n'a attiré autant de pitié.
									",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
","
","
",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
","
","
",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
"
											I come from an island
where many of us like to believe
											there's been a lot of continuity
over the last thousand years.
											We tend to have historically
imposed change on others
											but done much less of it ourselves.
									","
											Venho de uma ilha
onde muitos de nós gostam de acreditar
											que tem havido imensa continuidade
nos últimos mil anos.
											Historicamente impusemos
mudanças em terceiros,
											porém pouco fizemos por nós próprios.
									","
											Je viens d'une île
où nombre d'entre nous croient
											qu'il y a eu beaucoup de continuité
au cours du dernier millénaire.
											Historiquement, nous avons imposé
des changements aux autres
											mais n'en avons pas fait autant.
									",Why Brexit happened — and what to do next,Alexander Betts,17:22,"global issues,global development,big problems,choice,collaboration,communication,community,democracy,future,government,history,humanity,identity,immigration,inequality,Europe,news,policy,politics,refugees,social change,society"
