en,es,pt,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
											Why do we think
											that stories by men are deemed
to be of universal importance,
											and stories by women are thought
to be merely about women?
									","
											¿Por qué pensamos
											que las historias de los hombres
son de importancia universal,
											y las de las mujeres se piensa
que son meramente sobre mujeres?
									","
											Porque é que pensamos
											que as histórias contadas por homens
são de importância universal,
											e as histórias contadas pelas mulheres 
são meramente sobre mulheres?
									","
											Pourquoi pensons-nous
											que les histoires des hommes
sont d'importance universelle
											et les histoires des femmes
ne concernent que les femmes ?
									","
											Neden acaba,
											erkeklerin anlattığı hikâyelerin
evrensel bir önemi olduğu varsayılırken,
											kadınların hikâyelerinin sadece
kadınlarla ilgili olduğunu düşünülüyor?
									",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
","
","
","
","
",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
											My grandmother left school
when she was 12.
											She had 14 children.
											My mother left school when she was 15.
											She was a secretary.
											I graduated from university
to become a theater director,
											and that progress is entirely to do
with the fact that people I'll never meet
											fought for women to have rights,
											get the vote, get education,
have progress.
											And I'm determined to do the same,
and obviously you are, too.
											Why not?
									","
											Mi abuela dejó la escuela a los 12.
											Tuvo 14 hijos.
											Mi madre dejó la escuela a los 15.
											Fue secretaria.
											Me gradué de la universidad 
para ser directora teatral,
											y ese progreso se dio porque
gente que nunca conoceré
											luchó por los derechos de las mujeres,
											por su voto, su educación,
por su progreso.
											Estoy determinada a hacer lo mismo, 
obviamente Uds. también.
											¿Por qué no?
									","
											A minha avó abandonou 
a escola aos 12 anos.
											Ela teve 14 filhos.
											A minha mão abandonou
a escola aos 15 anos.
											Era secretária.
											Eu tirei um curso superior
para vir a ser diretora de teatro,
											Esta evolução tem tudo a ver com o facto 
de que pessoas que nunca conhecerei,
											lutaram para que as mulheres
tivessem direitos,
											direito ao voto, à educação
e ao progresso.
											E estou determinada a fazer o mesmo,
e obviamente vocês também.
											E porque não?
									","
											Ma grand-mère a quitté l'école
quand elle avait 12 ans.
											Elle a eu 14 enfants.
											Ma mère a quitté l'école à 15 ans.
											Elle était secrétaire.
											J'ai été diplômée à l'université
pour devenir directrice de théâtre
											et ce progrès a tout à voir avec le fait
que des gens que je ne rencontrerai jamais
											se sont battus pour les droits des femmes,
											qu'elles puissent voter,
avoir accès à l'éducation, progresser.
											Je suis déterminée à en faire de même
et, manifestement, vous aussi.
											Pourquoi pas ?
									","
											Anneannem 12 yaşında okulu bırakmış.
											14 çocuğu olmuş.
											Annem 15 yaşında okulu bırakmış.
											Sekreter olarak çalıştı.
											Ben ise tiyatro yönetmeni olmak 
için üniversite okudum.
											Bu ilerleme, kadın hakları için,
oy verme ve eğitim hakkı için
											mücadele eden ve hiç tanışamayacağım
											insanların sayesinde oldu.
											Ben de aynısını yapmaya kararlıyım
ve anlaşılan sizler de.
											Neden olmasın?
									",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
","
","
","
","
",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Alkış)
									",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
","
","
","
","
",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
											So I started a festival called WOW,
Women of the World, seven years ago,
											and it's now in 20 countries
across five continents.
											And one of those countries
is Somaliland in Africa.
											So I traveled there last year,
											and part of the joy I had in going there
was going to these caves.
											The Laas Geel caves.
											Now, these caves contain some
of the oldest cave paintings in the world.
											These paintings are thought to be
round about 9,000 to 11,000 years old.
											Art:
											what humanity has done
ever since it evolved.
											It's how we speak about ourselves,
											how we understand our identity,
											how we look at our surroundings,
											who we find out about each other
											because of the meaning of our lives.
											That's what art is for.
									","
											Comencé un festival llamado WOW,
Mujeres del Mundo, hace 7 años,
											y ahora está en 20 países
a través de cinco continentes.
											Uno de esos países 
es Somalilandia en África.
											Viajé para allá el año pasado,
											una de las alegrías que me daba de ir
era visitar las cuevas.
											Las cuevas Laas Geel.
											En estas cuevas hay algunas de las 
pinturas rupestres más antiguas del mundo.
											Se cree que tienen entre
9000 y 11 000 años de antigüedad.
											Arte:
											lo que la humanidad ha hecho 
desde entonces ha evolucionado.
											Es lo que nos decimos 
a nosotros mismos,
											cómo entendemos nuestra identidad,
											cómo miramos nuestro alrededor,
											lo que descubrimos de los demás
											por el significado de nuestra vida.
											Para esos sirve el arte.
									","
											Então criei um festival chamado WOW,
Mulheres de Todo o Mundo, há 7 anos,
											que atualmente está em 20 países,
em cinco continentes.
											Um desses países
é a Somalilândia, em África.
											Fui para lá no ano passado,
											Parte do prazer que ali tive
foi visitar estas grutas.
											As grutas Laas Geel.
											Estas grutas contêm uma das pinturas
rupestres mais antigas do mundo.
											Calcula-se que estas pinturas
tenham entre 9 a 11 mil anos.
											Arte:
											o que a humanidade tem feito
desde que evoluiu.
											É como nós falamos de nós mesmos,
											como entendemos a nossa identidade,
											como olhamos para o nosso meio,
											o que descobrimos uns nos outros,
											por causa do significado das nossas vidas.
											É para isso que serve a arte.
									","
											Il y a 7 ans, j'ai lancé le festival WOW,
Women of the World (Femmes du monde),
											qui existe aujourd'hui
dans 20 pays de 5 continents.
											Un de ces pays est
le Somaliland en Afrique.
											J'y suis allée l'année dernière
											et une partie de la joie d'y aller
était de pouvoir voir ces grottes.
											Les grottes de Laas Geel.
											Ces grottes contiennent certaines
des peintures les plus vieilles au monde.
											On pense que ces peintures datent
d'il y a entre 9 000 et 11 000 ans.
											L'art :
											ce que l'humanité fait
depuis qu'elle a évolué.
											C'est ainsi que nous parlons
de nous-mêmes,
											que nous comprenons notre identité,
											que nous observons notre environnement,
											ce que nous découvrons sur l'autre
											du fait du sens de notre vie.
											Voilà à quoi sert l'art.
									","
											7 yıl önce WOW festivalini başlattım;
Dünyanın Kadınları
											ve şimdi 20 ülke ve 5 kıtada varız.
											O ülkelerden biri Afrika'daki Somaliland.
											Geçen yıl oraya gittim.
											Orada zevk aldığım şeylerden biri de
bu mağaralara gitmekti;
											Laas Geel Mağaraları.
											Dünyanın en eski resimlerinin
bir kısmı bu mağaralarda.
											Bu resimlerin 9.000 ila 11.000 yıllık
olduğu düşünülüyor.
											Sanat:
											İnsanlığın bütün gelişimi
boyunca yaptığı şey.
											Kendimizden nasıl bahsediyoruz?
											Kimliğimizi nasıl anlıyoruz?
											Etrafımıza nasıl bakıyoruz?
											Birbirimizde kimi görüyoruz?
											Hayatlarımızın anlamı nedir?
											Sanat bunun için var.
									",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
","
","
","
","
",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
											So look at this little picture.
											I think it's a little girl.
											I thought it was a bit like me
when I was a little girl.
											And I thought, well, who painted
this joyful, youthful figure?
											And I asked the curator of the caves.
											I said, ""Tell me about the men
and women who painted these.""
											And he looked at me
absolutely askance, and he said,
											""Women didn't paint these pictures.""
											And I said, ""Well,
it was 11,000 years ago.""
											I said, ""How do you know?""
									","
											Miren esta pequeña foto.
											Creo que es una niña pequeña.
											Creo que se parece a cuando 
yo era niña.
											Pensé, ¿quién pintó esta alegre,
y joven figura?
											Le pregunté al curador de las cuevas.
											Le dije, ""Hábleme de los hombres
y mujeres que pintaron esto"".
											Me miró con recelo y dijo,
											""Ninguna mujer pintó nada de esto"".
											Y dije ""Bueno, pasó hace 11 000 años"".
											Dije, ""¿Cómo lo sabe?""
									","
											Então olhem para esta pequena imagem:
											Acho que é uma menina.
											Achei que se parecia comigo
quando eu era uma menina
											e pensei: Bom, quem pintou
esta figura jovem e alegre?
											E perguntei ao curador das grutas:
											""Fale-me dos homens
e mulheres que pintaram isto"".
											Ele olhou para mim 
absolutamente desconfiado, e disse:
											""As mulheres não fizeram estas pinturas.""
											E eu disse:
""Bom, foi há onze mil anos.
											""Como é que sabe isso?""
									","
											Regardez ce petit dessin.
											Je pense que c'est une fille.
											Je trouve que cela ressemble
à moi quand j'étais petite.
											Je me suis demandé qui avait peint
ce jeune personnage enjoué.
											J'ai demandé au conservateur des grottes.
											J'ai dit : « Parlez-moi des hommes
et des femmes qui les ont peintes. »
											Il m'a regardée,
interrogateur, et il a dit :
											« Les femmes n'ont pas peint
ces illustrations. »
											J'ai dit : « C'était il y a 11 000 ans,
											comment le savez-vous ? »
									","
											Şu minik resme bakın.
											Galiba bu küçük bir kız.
											Benim küçüklük hâlime
benzediğini düşünmüştüm.
											Bu neşeli, genç figürü kim
çizmiş diye merak ettim
											ve mağara uzmanına sordum:
											""Bunları çizen erkekler ve kadınlar
nasıl insanlardı acaba?"" dedim.
											Yüzüme yan yan bakıp cevapladı:
											""Bu resimleri kadınlar yapmadı"" dedi.
											""Şey, bu 11.000 yıl önceydi,
											nereden biliyorsunuz?"" dedim.
									",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
","
","
","
","
",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Rires)
									","
											(Kahkaha)
									",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
","
","
","
","
",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
											And he said, ""Women don't do these things.
											Men made these marks. Women don't.""
									","
											Y él dijo, ""Las mujeres no hacen 
cosas así.

											Los hombres las hicieron. 
Las mujeres no"".
									","
											E ele disse:
""As mulheres não fazem estas coisas.
											""Os homens fizeram estas marcas.
As mulheres não.""
									","
											Il a dit : « Les femmes ne font pas ça.
											Les hommes ont fait ces marques,
pas les femmes. »
									","
											""Kadınlar böyle şeyler yapmazlar.
											Bu çizimleri erkekler yapar, 
kadınlar değil"" dedi.
									",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
"
","
","
","
","
",Why women should tell the stories of humanity,Jude Kelly,13:22,"activism,children,communication,art,entertainment,humanity,gender equality,inequality,performance art,literature,motivation,social change,women,poetry,theater"
