en,tr,fr,title,speaker,duration,tags
"
","
","
","To transform child welfare, take race out of the equation",Jessica Pryce,7:41,"children,social change,activism,TED Residency,race,family"
"
											I want you to imagine that you are
a Child Protective Services worker.
											And you have to respond
to a report of child abuse.
											You walk into a home, unannounced,
unexpected, certainly uninvited.
											The first thing you see is a mattress
in the middle of the room, on the floor.
											Three kids lying on it, asleep.
											There's a small table nearby
with a couple of ashtrays,
											empty beer cans.
											Large rat traps are set in the corner,
											not too far from where
the kids lie asleep.
											So you make a note.
											A part of your job is walking
through the entire home.
											So you start with the kitchen,
where there's very little food.
											You notice another mattress
in the bedroom, on the floor,
											that the mother shares
with her infant child.
									","
											Çocuk Koruma Hizmetleri çalışanı
olduğunuzu hayal etmenizi istiyorum.
											Şimdi bir çocuk istismarı ihbarını
yanıtlamanız gerekiyor.
											Bir eve haber vermeden, beklenmedik ve
muhtemelen davetsiz giriyorsunuz.
											Odaya girdiğinizde ilk gördüğünüz şey,
döşemeye uzatılmış bir şilte oluyor.
											Üzerinde üç çocuk uyuyakalmış.
											Yakında küçük bir masa var,
üzerinde birkaç küllük,
											boş bira şişeleri.
											Köşede fare kapanları var,
											çocukların uyuduğu yerden uzakta değil.
											Bir not alıyorsunuz.
											İşinizin bir kısmı tüm evi 
dolaşmanızı gerektiriyor.
											Az miktarda yemek bulunan
mutfakla başlıyorsunuz.
											Yatak odasında, tabanda
başka bir şilte farkediyorsunuz,
											annesi şilteyi bebekle paylaşıyor.
									","
											Imaginez un instant que vous travailliez 
pour la protection de l'enfance
											et que vous deviez prendre en charge
un cas de maltraitance.
											Vous pénétrez dans un foyer sans prévenir,
sans être attendu, ni bienvenu.
											Vous voyez tout d'abord un matelas au
milieu de la pièce, à même le sol.
											Trois enfants y sont endormis.
											A côté, une petite table, des cendriers,
											des canettes de bière vides,
											des pièges à rats présents
											à proximité des enfants.
											Alors, vous rédigez un rapport.
											Vous inspectez la maison.
											Vous commencez par la cuisine
où il n'y a que peu de nourriture.
											Vous repérez un autre matelas
sur le sol de la chambre
											que la mère partage avec son nourrisson.
									","To transform child welfare, take race out of the equation",Jessica Pryce,7:41,"children,social change,activism,TED Residency,race,family"
"
","
","
","To transform child welfare, take race out of the equation",Jessica Pryce,7:41,"children,social change,activism,TED Residency,race,family"
"
											Now, generally, at this point,
two things may happen.
											The children are deemed unsafe
and removed from the home,
											and placed in state custody
for a specified period of time.
											Or the children remain with their family
											and the child welfare system
provides help and support.
									","
											Genellikle bu noktada iki şey olabilir.
											Çocuklar güvensiz
addedildikleri için evden alınır
											ve belli bir süre için
devlet himayesinde olur.
											Ya da çocuklar aileleriyle kalır
											ve çocuk esirgeme onlara
yardım ve destek sunar.
									","
											Dans une telle situation,
deux possibilités.
											Vous estimez les enfants en danger ;
ils sont retirés de leur famille
											et placés à l'aide sociale à l'enfance
pour un temps donné.
											Ou les enfants peuvent rester
auprès de leur famille
											et les services sociaux apportent
alors aide et soutien.
									","To transform child welfare, take race out of the equation",Jessica Pryce,7:41,"children,social change,activism,TED Residency,race,family"
"
","
","
","To transform child welfare, take race out of the equation",Jessica Pryce,7:41,"children,social change,activism,TED Residency,race,family"
"
											When I was a Child
Protective Services worker,
											I saw things like this all the time.
											Some far better, some far worse.
											I asked you to imagine
yourself in that home,
											because I wonder what crossed your mind.
											What guides your decisions?
											What's going to impact
your opinion of that family?
											What race, ethnicity,
did you think the family was?
									","
											Çocuk Koruma Hizmetleri'nde çalıştığımda
											bu gibi şeylere her zaman rastlıyordum.
											Bazıları çok daha iyi,
bazıları çok daha kötü.
											Sizden kendinizi o evde
hayal etmenizi istedim,
											çünkü aklınızı karıştıran şeyi 
merak ettim.
											Kararlarınıza rehberlik yapan nedir?
											O aile hakkında düşünceleriniz
nelerden etkilenecek?
											O ailenin hangi ırk, hangi etnik kökenden
olduğunu düşündünüz?
									","
											À la protection de l'enfance,
											j'ai été régulièrement témoin 
de ces situations.
											Certaines meilleures, d'autres pires.
											Qu'est-ce qui vous passe par la tête
											dans une telle situation ?
											Qu'est-ce qui va guider vos choix ?
											Qu'est-ce qui fonde votre opinion ?
											De quelle ethnie sont-ils ?
									","To transform child welfare, take race out of the equation",Jessica Pryce,7:41,"children,social change,activism,TED Residency,race,family"
"
","
","
","To transform child welfare, take race out of the equation",Jessica Pryce,7:41,"children,social change,activism,TED Residency,race,family"
"
											I want you to realize
that if those children were white,
											it is more likely that their family
stays together after that visit.
											Research done at
the University of Pennsylvania
											found that white families, on average,
have access to more help and more support
											from the child welfare system.
											And their cases are less likely
to go through a full investigation.
											But on the other hand,
if those kids are black,
											they are four times
more likely to be removed,
											they spend longer periods
of time in foster care,
											and it's harder to find them
a stable foster placement.
									","
											Bilmenizi istiyorum ki
eğer o çocuklar beyaz tenliyse
											ziyaretten sonra ailelerinin
birlikte kalması daha muhtemeldir.
											Pensilvanya Üniversitesi'nde
yapılan araştırma
											beyaz ailelerin ortalama olarak 
çocuk esirgeme sisteminden daha çok yardım
											ve destek alabildiğini gösterdi.
											Bu davalarda tam inceleme
yapılma ihtimali de çok düşük.
											Diğer taraftan, o çocuklar eğer siyahi ise
											uzaklaştırılmaya dört kat daha yakınlar,
											koruyucu bakımda
daha uzun zaman geçiriyorlar
											ve onlar için uzun süreli
koruyucu bakım merkezi bulmak daha zor.
									","
											Si ces enfants sont blancs,
											ils resteront probablement 
dans leur famille.
											Selon l'Université de Pennsylvanie,
											les familles blanches accèdent à davantage
d'aide et de soutien des services sociaux
											de la protection de l'enfance.
											Elles sont aussi moins susceptibles d'être
soumises à une enquête sociale.
											Mais si ces enfants sont noirs,
											ils ont alors quatre fois plus
de risques d'être placés,
											de rester plus longtemps
en famille d'accueil,
											et il est plus difficile de
leur trouver un placement stable.
									","To transform child welfare, take race out of the equation",Jessica Pryce,7:41,"children,social change,activism,TED Residency,race,family"
"
","
","
","To transform child welfare, take race out of the equation",Jessica Pryce,7:41,"children,social change,activism,TED Residency,race,family"
"
											Foster care is meant to be
an immediate shelter of protection
											for kids who are at high risk.
											But it's also a confusing
and traumatic exit from the family.
											Research done at
the University of Minnesota
											found that kids
who went through foster care
											had more behavioral problems
and internalized issues
											than kids who remain with their families
while receiving help and support.
									","
											Koruyucu bakım
büyük tehlikede olan çocuklar için
											birincil koruma barınağı.
											Ama bu ayrıca aileden
şaşırtıcı ve travmatik bir ayrılma.
											Minnesota Üniversitesi'nde
yapılan bir araştırma,
											koruyucu bakımda olan çocukların
											kendi aileleriyle kalan çocuklara kıyasla
											daha çok davranış ve iletişim
problemleri yaşadığını gösteriyor.
									","
											Le placement ne devrait intervenir
que pour mettre à l'abri
											des enfants en grave danger.
											Cette séparation est aussi
un traumatisme pour la famille.
											L'Université du Minnesota
											a montré que les enfants placés en foyer

											ont plus de problèmes comportementaux
											que ceux maintenus en famille,
aidée et soutenue.
									","To transform child welfare, take race out of the equation",Jessica Pryce,7:41,"children,social change,activism,TED Residency,race,family"
