en,fr,tr,pt,title,speaker,duration,tags
"
","
","
","
",How this disease changes the shape of your cells,Amber M. Yates,4:34,"TED-Ed,animation,disease,healthcare,medical research,medicine,human body,science,health,illness,physiology,health care,public health,genetics"
"
											What shape are your cells?
											Squishy cylinders? Jagged zig-zags?
											You probably don’t think much about
the bodies of these building blocks,
											but at the microscopic level, small 
changes can have huge consequences.
											And while some adaptations change 
these shapes for the better,
											others can spark a cascade of 
debilitating complications.
											This is the story of sickle-cell disease.
									","
											Quelle forme ont vos cellules ?
											Des cylindres mous ?
Des zig-zag dentelés ?
											Vous ne pensez probablement pas
à la forme de ces éléments de base,
											mais à l'échelle microscopique, de petits
changements ont de grandes conséquences.
											Et même si certaines adaptations
changent ces formes positivement,
											d'autres peuvent provoquer une cascade
de complications invalidantes.
											Voici l'histoire de la drépanocytose.
									","
											Hücrelerinizin şekli nasıl?
											Yumuşak silindirler, sivri zikzaklar mı?
											Muhtemelen bu yapıtaşlarının şekli 
üzerine pek düşünmüyorsunuz
											fakat mikroskobik seviyedeki küçük 
değişiklikler devasa sonuçlar doğurabilir.
									","
											Qual é a forma das nossas células?
											Cilindros achatados?
Ziguezagues recortados?
											Provavelmente, nunca pensaram muito
nos corpos destes blocos de construção
											mas, a nível microscópico,
											pequenas alterações podem ter
enormes consequências.
											Enquanto algumas adaptações mudam
essas formas para melhor,
											outras podem provocar uma cascata
de complicações debilitantes.
											Esta é a história da doença
das células falciformes.
									",How this disease changes the shape of your cells,Amber M. Yates,4:34,"TED-Ed,animation,disease,healthcare,medical research,medicine,human body,science,health,illness,physiology,health care,public health,genetics"
"
","
","
","
",How this disease changes the shape of your cells,Amber M. Yates,4:34,"TED-Ed,animation,disease,healthcare,medical research,medicine,human body,science,health,illness,physiology,health care,public health,genetics"
"
											Sickle-cell disease affects the 
red blood cells,
											which transport oxygen from the lungs 
to all the tissues in the body.
											To perform this vital task,
											red blood cells are filled with hemoglobin
proteins to carry oxygen molecules.
											These proteins float independently
											inside the red blood cell’s pliable, 
doughnut-like shape,
											keeping the cells flexible enough
											to accommodate even the 
tiniest of blood vessels.
											But in sickle cell disease,
											a single genetic mutation alters
the structure of hemoglobin.
											After releasing oxygen to tissues,
											these mutated proteins lock 
together into rigid rows.
											Rods of hemoglobin cause the cell 
to deform into a long, pointed sickle.
											These red blood cells are 
harder and stickier,
											and no longer flow smoothly through 
blood vessels.
											Sickled cells snag and pile up–
											sometimes blocking the vessel completely.
											This keeps oxygen from reaching
a variety of cells,
											causing the wide range of symptoms
											experienced by people 
with sickle-cell disease.
									","
											La drépanocytose a un effet
sur les globules rouges,
											qui transportent l'oxygène des poumons
vers tous les tissus du corps.
											Pour remplir cette fonction vitale,
											les globules rouges sont remplies
de protéines d'hémoglobine
											pour transporter les molécules d'oxygène.
											Ces protéines flottent indépendamment
											à l'intérieur du globule rouge,
qui a une forme souple de donut,
											gardant les cellules assez flexibles
											pour passer même
dans les vaisseaux sanguins les plus fins.
											Mais avec la drépanocytose,
											une seule mutation génétique modifie
la structure de l'hémoglobine.
											Après avoir relâché
l'oxygène dans les tissus,
											ces protéines mutantes se bloquent
ensemble en rangées rigides.
											Des bâtons d'hémoglobine déforment
la cellule en une longue faucille pointue.
											Ces globules rouges
sont plus durs et collants,
											et ne circulent plus facilement
dans les vaisseaux sanguins.
											Ces cellules malades
s'accrochent et s'empilent,
											bloquant parfois complètement le vaisseau.
											Cela empêche l'oxygène de parvenir
à une variété de cellules,
											entraînant une vaste gamme de symptômes
											subis par les victimes
de la drépanocytose.
									","
											Bazı adaptasyonlar bu şekilleri 
daha iyi hale getirse de
											diğerleri birtakım olumsuz
komplikasyonları tetikleyebilir.
											Bu, orak hücreli aneminin hikayesi.
											Orak hücreli anemi, akciğerlerden
vücudun tüm dokularına
											oksijen taşıyan alyuvarları etkiler.
											Alyuvarlar, bu hayati görevi
gerçekleştirebilmek için
											oksijen taşıyan hemoglobin 
proteinleriyle doludur.
											Bu proteinler, alyuvarın çembersel
yapısının içinde bağımsız hareket eder
											ve alyuvarların en küçük damarda bile
											rahat hareket etmeleri için 
esnek kalmalarını sağlar.
											Ama orak hücreli anemide
											tek bir genetik mutasyon 
hemoglobin yapısını değiştirir.
											Bu bozulmuş proteinler,
											oksijeni dokulara dağıttıktan sonra
sert çubuklar halinde birleşirler.
											Hemoglobin çubukları hücrenin şeklinin
sivri bir orağa benzemesine sebep olur.
											Şekli değişen alyuvarlar,
daha sert ve katı olurlar.
											Böylece damarlar içinde rahat 
hareket edemez hale gelirler.
											Bu hücreler, bazen damarı tamamen 
tıkayacak kadar takılır ve birikirler.
									","
											A anemia falciforme afeta
os glóbulos vermelhos
											que transportam o oxigénio dos pulmões
para todos os tecidos do corpo.
											Para desempenhar esta tarefa vital,
											os glóbulos vermelhos estão cheios
de proteínas de hemoglobina
											para transportarem moléculas de oxigénio.
											Estas proteínas flutuam independentes
											no interior da forma flexível
e arredondada do glóbulo vermelho,
											mantendo as células
suficientemente flexíveis
											para se adaptarem aos vasos sanguíneos
mais minúsculos.
											Mas, na anemia falciforme,
											uma simples mutação altera
a estrutura da hemoglobina.
											Depois de entregar o oxigénio aos tecidos,
											essas proteínas alteradas
juntam-se em filas rígidas.
											As barras de hemoglobina deformam
a célula numa foice longa e pontiaguda.
											Estes glóbulos vermelhos
são mais rígidos e mais viscosos
											e já não fluem facilmente
pelos vasos sanguíneos.
											As células falciformes acumulam-se,
											por vezes bloqueando o vaso totalmente.
											Isso impede que o oxigénio
chegue a uma série de células,
											provocando uma ampla série de sintomas
											sentidos pelas pessoas
com anemia falciforme.
									",How this disease changes the shape of your cells,Amber M. Yates,4:34,"TED-Ed,animation,disease,healthcare,medical research,medicine,human body,science,health,illness,physiology,health care,public health,genetics"
"
","
","
","
",How this disease changes the shape of your cells,Amber M. Yates,4:34,"TED-Ed,animation,disease,healthcare,medical research,medicine,human body,science,health,illness,physiology,health care,public health,genetics"
"
											Starting when they’re 
less than a year old,
											patients suffer from repeated episodes of
stabbing pain in oxygen-starved tissues.
											The location of the clogged vessel
											determines the specific 
symptoms experienced.
											A blockage in the spleen, 
part of the immune system,
											puts patients at risk for 
dangerous infections.
											A pileup in the lungs can produce 
fevers and difficulty breathing.
											A clog near the eye can cause vision 
problems and retinal detachment.
											And if the obstructed vessels 
supply the brain
											the patient could even 
suffer a stroke.
									","
											Cela commence quand ils ont
moins d'un an,
											les patients souffrent d'épisodes
répétitifs de douleurs fulgurantes
											dans les tissus privés d'oxygène.
											L'emplacement du vaisseau bouché
											détermine les symptômes subis.
											Un blocage sur la rate,
une partie du système immunitaire,
											entraîne un risque
de dangereuses infections.
											Un empilement dans les poumons
											peut donner des fièvres
et difficultés respiratoires.
											Un obstruction près de l’œil peut causer

											des problèmes de vision
et un décollement de la rétine.
											Si le vaisseau bouché alimente le cerveau,
											le patient pourrait même faire un AVC.
									","
											Bu durum bazı hücrelere 
oksijen ulaşmasını engelleyerek
											orak hücreli anemi hastalarında 
görülen birçok belirtinin
											ortaya çıkmasına sebep olur.
											Hastalar, henüz 1 yaşına girmeden
											oksijen açlığı çeken dokulardan ötürü
											tekrarlayan, dayanması zor
acı nöbetleri çekerler.
											Tıkanan damarın konumu
											hangi belirtilerin yaşanacağını belirler.
											Bağışıklık sisteminin bir parçası olan
dalaktaki bir tıkanma
											hastayı enfeksiyon riskine sokar.
											Akciğerlerdeki bir tıkanmaysa ateşlenme 
ve nefes zorluğuna sebep olabilir.
									","
											Começando quando têm
menos de um ano,
											os doentes sofrem de repetidos
episódios de dores lancinantes
											nos tecidos privados de oxigénio.
											A localização do vaso obstruído
											determina os sintomas
específicos sofridos.
											Um bloqueio no baço
— uma parte do sistema imunitário —
											coloca os doentes em risco
de perigosas infeções.
											A acumulação nos pulmões pode produzir
febres e dificuldade na respiração.
											Uma obstrução no olho pode provocar
											problemas de visão
e descolamento da retina.
											E, se os vasos obstruídos
alimentam o cérebro,
											o doente até pode sofrer um AVC.
									",How this disease changes the shape of your cells,Amber M. Yates,4:34,"TED-Ed,animation,disease,healthcare,medical research,medicine,human body,science,health,illness,physiology,health care,public health,genetics"
"
","
","
","
",How this disease changes the shape of your cells,Amber M. Yates,4:34,"TED-Ed,animation,disease,healthcare,medical research,medicine,human body,science,health,illness,physiology,health care,public health,genetics"
"
											Worse still, sickled red blood cells 
also don’t survive very long—
											just 10 or 20 days, versus a 
healthy cell’s 4 months.
											This short lifespan
											means that patients live with a constantly
depleted supply of red blood cells;
											a condition called sickle-cell anemia.
									","
											Pire, les globules rouges malades
ne survivent pas longtemps,
											seulement 10 ou 20 jours,
contre 4 mois pour une cellule saine.
											Cette courte durée de vie
											signifie que les patients vivent avec
une réserve de globules rouges basse,
											une pathologie nommée anémie falciforme.
									","
											Göze yakın bir tıkanma görüş problemleri
ve retina tıkanmasına sebep olabilir.
											Eğer tıkalı damarlar beyni besliyorsa
											hasta felç bile geçirebilir.
											Yine de orak alyuvarlar 
çok uzun süre yaşamaz,
											sağlıklı bir hücrenin 4 aylık ömrüne karşı
sadece 10 veya 20 günlük ömürleri vardır.
									","
											Pior ainda, as células falciformes
também não sobrevivem muito tempo
											— só 10 ou 20 dias, em comparação
com os 4 meses de um glóbulo saudável.
											Este curto tempo de vida
											significa que os doentes vivem com
uma falta permanente de glóbulos vermelhos
											uma situação que se chama
anemia falciforme.
									",How this disease changes the shape of your cells,Amber M. Yates,4:34,"TED-Ed,animation,disease,healthcare,medical research,medicine,human body,science,health,illness,physiology,health care,public health,genetics"
"
","
","
","
",How this disease changes the shape of your cells,Amber M. Yates,4:34,"TED-Ed,animation,disease,healthcare,medical research,medicine,human body,science,health,illness,physiology,health care,public health,genetics"
"
											Perhaps what’s most surprising 
about this malignant mutation
											is that it originally evolved
as a beneficial adaptation.
											Researchers have been able to trace
the origins of the sickle cell mutation
											to regions historically ravaged 
by a tropical disease called malaria.
											Spread by a parasite found 
in local mosquitoes,
											malaria uses red blood cells as incubators
											to spread quickly and lethally 
through the bloodstream.
									","
											Le plus surprenant peut-être
avec cette mutation maligne
											est qu'elle est tout d'abord apparue
comme une adaptation favorable.
											Les chercheurs ont pu tracer les origines
de la drépanocytose
											à des régions ravagées historiquement
par une maladie tropicale
											appelée le paludisme.
											Propagé par un parasite
des moustiques locaux,
											le paludisme utilise les globules rouges
comme des incubateurs
											pour se répandre rapidement et
mortellement dans la circulation sanguine.
									","
											Bu kısa yaşam süresi,
											hastaların orak hücreli anemi 
adı verilen alyuvar eksikliği kaynaklı
											bir hastalıkla yaşamasına sebep olur.
											Bu kötü huylu mutasyonun 
belki de en ilginç yanı
											aslında yararlı bir adaptasyon olarak 
evrimleşmiş olmasıdır.
											Araştırmacılar, orak hücreli 
aneminin kökenini
											sıtma adı verilen eski bir tropik bölge
hastalığına kadar vardırdılar.
									","
											Talvez o mais surpreendente
sobre esta mutação maligna
											é que evoluiu inicialmente
como adaptação benéfica.
											Os investigadores conseguiram descobrir
											as origens da mutação da célula falciforme
											em regiões historicamente infestadas
por uma doença tropical chamada malária.
											Disseminada por um parasita 
encontrado em mosquitos locais,
											a malária usa os glóbulos vermelhos
como incubadoras
											para se espalhar rápida e mortalmente
pela corrente sanguínea.
									",How this disease changes the shape of your cells,Amber M. Yates,4:34,"TED-Ed,animation,disease,healthcare,medical research,medicine,human body,science,health,illness,physiology,health care,public health,genetics"
