en,fr,pt,tr,de,title,speaker,duration,tags
"
","
","
","
","
",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
											Off the rugged coast 
of the pacific northwest,
											pods of killer whales 
inhabit the frigid waters.
											Each family is able to survive here
											thanks mainly to one member,
											its most knowledgeable hunter:
											the grandmother.
									","
											Au loin de la côte sauvage
du Nord-ouest Pacifique,
											des bancs d'orques
habitent les eaux glacées.
											Chaque famille peut y survivre
											surtout grâce à un membre,
											son chasseur le plus savant :
											la grand-mère.
									","
											Ao largo da costa escarpada
do noroeste do Pacífico,
											grupos familiares de orcas
povoam as águas frígidas.
											Cada família consegue sobreviver ali
											graças principalmente
a um dos seus membros,
											a caçadora mais experiente:
											a avó.
									","
											Pasifik'in kuzey batısının
fırtınalı kıyılarının ötesindeki
											soğuk sularda katil balina sürüleri yaşar.
											Her aile burada genelde bir üyesi,
											en bilgili avcısı olan
											büyükanneler sayesinde
											yaşamını sürdürür.
									","
											Vor der zerklüfteten Küste
des Nordwestpazifiks
											bewohnen Schwertwalschulen
die eisigen Gewässer.
											Jede Familie überlebt hier
vor allem dank eines Mitglieds,
											ihrer erfahrensten Jägerin:
											der Großmutter.
									",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
","
","
","
","
",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
											These matriarchs can live eighty years 
or more,
											while most males die off 
in their thirties.
											Though killer whales inhabit 
every major ocean,
											until recently we knew 
very little about them.
											The details of their lives 
eluded scientists
											until an organization called 
the Center for Whale Research
											began studying a single population
											near Washington State and 
British Columbia in 1976.
											Thanks to their ongoing work,
											we’ve learned a great deal 
about these whales,
											known as the Southern Residents.
											And the more we learn,
											the more this population’s elders’ 
vital role comes into focus.
									","
											Ces matriarches peuvent vivre
80 ans ou plus,
											tandis que la majorité des mâles
meurent dans la trentaine.
											Meme si les orques habitent
tous les plus grands océans,
											jusqu'à récemment,
on en savait très peu sur elles.
											Les détails de leur vie
échappaient aux scientifiques
											jusqu'à ce qu'une organisation appelée
Center for Whale Research
											commença à étudier une seule population
											près de l’État de Washington
et de la Colombie-Britannique en 1976.
											Grace à leur travail continu,
											on a appris beaucoup sur ces orques,
											connues sous le nom de résidentes du Sud.
											Et plus on en apprend,
											plus le rôle vital des doyennes
de cette population devient clair.
									","
											Estas matriarcas podem viver
80 anos ou mais
											enquanto a maioria dos machos
morre por volta dos 30 anos.
											Embora as orcas povoem
todos os grandes oceanos,
											até há pouco tempo
pouco sabíamos sobre elas.
											Os pormenores da vida delas
escapavam aos cientistas
											até uma organização chamada
Centro para Investigação das Baleias
											ter começado a estudar uma população
											perto do estado de Washington
e da Colúmbia Britânica, em 1976.
											Graças ao seu trabalho em curso,
											aprendemos muito sobre estes golfinhos,
											conhecidos como residentes do sul.
											Quanto mais vamos sabendo,
											mais se destaca o papel vital
das anciãs desta população.
									","
											Bu aile reisi dişiler 80 sene 
ya da daha fazla süre yaşarlar,
											erkeklerse 30'larında ölürler.
											Katil balinalar her ana okyanusta
yaşamalarına rağmen,
											yakın zamana kadar haklarında 
pek az şey biliyorduk.
											Hayatlarının detayları bilim insanları 
tarafından araştırılmamıştı,
											ta ki Balina Araştırma Merkezi 
adındaki organizasyon
											1976'da Washington eyaleti 
ve British Columbia yakınlarında
											tek bir popülasyonu araştırmaya 
başlayıncaya dek.
											Devam eden çalışmaları sayesinde
											Güney Sakinleri diye bilinen 
bu balinalar hakkında
											pek çok şey öğrendik.
											Daha fazla şey öğrendikçe
											bu popülasyonun yaşlılarının oynadığı 
hayati rol odağa yerleşti.
									","
											Diese Matriarchinnen können
über 80 Jahre alt werden,
											während die meisten Männchen
in den Dreißigern sterben.
											Obwohl Schwertwale
sämtliche Weltmeere bewohnen,
											wussten wir bis vor Kurzem
nur sehr wenig über sie.
											Die Details ihres Lebens
blieben der Forschung verborgen,
											bis das Zentrum für Walforschung
im Jahr 1976 begann,
											eine einzelne Population
nahe dem Bundesstaat Washington
											und British Columbia zu erforschen.
											Dank ihrer unermüdlichen Arbeit
											wissen wir inzwischen
sehr viel über diese Wale,
											auch bekannt als ""südliche Ortstreue"".
											Je mehr wir erfahren,
											desto klarer wird die maßgebliche Rolle
der Älteren dieser Population.
									",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
","
","
","
","
",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
											Each grandmother starts her life as a calf
											born into her mother’s family group, 
or matriline.
											The family does everything together,
											hunting and playing, even communicating 
through their own unique set of calls.
											Both sons and daughters spend their entire
lives with their mothers’ families.
									","
											Chaque grand-mère commence
sa vie en tant que baleineau
											née dans le groupe familiale
de sa mère, dit matriligne.
											La famille fait tout ensemble,
											elles chassent et jouent, et communiquent
avec un langage qui leur est propre.
											Les filles et les fils passent toute
leur vie avec la famille de leur mère.
									","
											Cada avó começa a sua vida como uma cria
											nascida no grupo familiar da sua mãe,
ou seja, numa linha matrilinear.
											A família faz tudo em conjunto,
											caçando e brincando, e até comunicando
											através do seu conjunto único
de chamamentos.
											Tanto os filhos como as filhas
											passam toda a vida
com as famílias da mãe.
									","
											Her büyükanne yaşamına 
bir yavru olarak başlar,
											annesinin aile grubu içinde 
veya ana erkil olarak doğar.
											Aile her şeyi birlikte yapar,
											avlanma ve oynama, hatta kendilerine 
has çağrı setiyle iletişim kurma.
											Hem kızlar, hem de oğullar bütün 
yaşamlarını annenin ailesi ile geçirir.
									","
											Jede Großmutter wird als Kalb
in die Familie der Mutter geboren,
											auch Mutterlinie genannt.
											Die Familie tut alles gemeinsam,
etwa jagen und spielen,
											und kommuniziert sogar miteinander
über eine Reihe einzigartiger Rufe.
											Söhne und Töchter bleiben
ein Leben lang in der Familie der Mutter.
									",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
","
","
","
","
",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
											That doesn’t mean a young whale 
only interacts with her relatives.
											Besides their own special calls,
											her matriline shares a dialect 
with nearby families,
											and they socialize regularly.
											Once a female reaches age fifteen or so,
											these meetings become opportunities 
to mate with males from other groups.
											The relationships don’t go much 
beyond mating—
											she and her calves stay with her family,
											while the male returns to his own mother.
									","
											Cela ne signifie pas qu'une jeune orque
interagit seulement avec sa famille.
											Hormis leurs appels spéciaux,
											sa matriligne partage un dialecte
avec les familles voisines,
											avec qui elles socialisent régulièrement.
											Lorsqu'une femelle atteint l'age
de quinze ans environ,
											ces rencontres deviennent des occasions
											pour s'accoupler avec
les mâles des autres groupes.
											Les relations ne vont pas
beaucoup au-delà de l'accouplement —
											elle et ses bébés restent avec sa famille,
											tandis que le mâle retourne
chez sa propre mère.
									","
											Isso não significa que um jovem golfinho
só interaja com os seus parentes.
											Para além dos seus chamamentos especiais,
											a família matrilinear partilha
um dialeto com as famílias vizinhas
											e socializa com regularidade.
											Quando uma fêmea chega
à idade dos 15 anos,
											estes encontros tornam-se oportunidades
											para acasalar com os machos
de outros grupos.
											As relações não duram muito
para além do acasalamento.
											A fêmea e as suas crias
mantêm-se junto da família,
											enquanto o macho regressa
para junto da mãe.
									","
											Bu genç balinalar sadece yakınlarıyla
birlikte oluyor anlamında değildir.
											Kendi özel çağrıları yanında,
											ana erkil aile yakınındaki 
ailelerle diyalekt paylaşır
											ve düzenli olarak sosyalleşirler.
											Bir dişi 15 yaşlarına eriştiğinde
											bu toplantılar diğer 
gruplardan erkeklerle
											çiftleşmek için bir imkân sağlar.
											İlişki çiftleşmekten öteye gitmez —
											dişi ve yavruları aile ile kalır,
											erkek de kendi annesine döner.
									","
											Das bedeutet nicht,
											dass junge Walweibchen nur
mit ihren Verwandten kommunizieren.
											Neben den eigenen spezifischen Rufen
											teilt ihre Mutterlinie einen Dialekt
mit benachbarten Familien,
											und sie pflegen regelmäßig Kontakt.
											Sobald ein Weibchen
ein Alter von etwa 15 erreicht,
											nutzt sie diese Treffen,
											um sich mit den Männchen
anderer Gruppen zu paaren.
											Die Beziehung beschränkt sich
auf die Paarung:
											Das Weibchen bleibt
mit ihrem Kalb bei ihrer Familie,
											während das Männchen
zu seiner Familie zurückkehrt.
									",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
","
","
","
","
",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
											Until approximately age forty,
											she gives birth every 6 years on average.
											Then, she goes through menopause—
											which is almost unheard of 
in the animal kingdom.
											In fact, humans, killer whales and 
a few other whales
											are the only species whose females 
continue to live for years
											after they stop reproducing.
									","
											Jusqu'à l'âge d'environ quarante ans,
											elle accouche en moyenne tous les six ans.
											Après, elle va entrer en ménopause,
											dont on n'entend presque jamais
parler dans le royaume animal.
											En effet, les êtres humains, les orques
et quelques autres baleines
											sont les seules espèces dont les femelles
continuent à vivre pendant des années
											après avoir terminé de se reproduire.
									","
											Até cerca dos 40 anos,
											uma fêmea dá à luz
de seis em seis anos, em média.
											Depois, passa pela menopausa
											o que é quase uma exceção no reino animal.
											Com efeito, os seres humanos,
as orcas e algumas outras baleias
											são as únicas espécies cujas fêmeas
continuam a viver durante anos
											depois de deixarem de se reproduzir.
									","
											Yaklaşık 40 yaşlarına kadar
											ortalamada altı senede bir yavru doğurur.
											Sonra menapoza girer —
											bu, hayvanlar aleminde 
neredeyse hiç yoktur.
											Aslında insanlar, katil balinalar 
ve birkaç balina türü daha
											dişileri üremeyi bitirdikten 
sonra yıllarca yaşamaya
											devam eden tek türlerdir.
									","
											Bis zum Alter von etwa 40
											bringt das Weibchen im Schnitt
alle 6 Jahre ein Junges zur Welt.
											Dann durchläuft es die Wechseljahre,
											ein in der Tierwelt
fast unbekanntes Phänomen.
											Tatsächlich sind Menschen, Schwertwale
und einige andere Walarten die Einzigen,
											deren Weibchen nach der Fortpflanzung
noch Jahre weiterleben.
									",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
","
","
","
","
",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
											After menopause,
											grandmothers take the lead 
hunting for salmon,
											the Southern Residents’ main food source.
											Most of the winter they forage offshore,
											supplementing salmon with other fish.
											But when the salmon head 
towards shore in droves to spawn,
											the killer whales follow.
											The matriarch shows the younger whales
											where to find the most fertile 
fishing grounds.
											She also shares up to 90% of 
the salmon she catches.
											With each passing year,
											her contributions become more vital:
											overfishing and habitat destruction have 
decimated salmon populations,
											putting the whales at near-constant 
risk of starvation.
									","
											Après la ménopause,
											les grand-mères dirigent
la chasse au saumon,
											la principale source de nourriture
des résidentes du Sud.
											Pendant l'hiver, elles cherchent
la nourriture au large,
											complétant le saumon
avec d'autres poissons.
											Mais quand le saumon se dirige
vers la côte en troupeau pour pondre,
											les orques le suivent.
											La matriarche montre aux jeunes baleines
											où trouver les zones de pêche
les plus fertiles.
											Elle partage aussi jusqu'à 90%
du saumon qu'elle attrape.
											Chaque année,
											ses contributions
deviennent plus vitales :
											la surpêche et la destruction d'habitat
ont décimé les populations de saumon,
											et les orques risquent presque
constamment de mourir de faim.
									","
											Depois da menopausa,
											as avós assumem a chefia
da caça ao salmão,
											a principal fonte de alimento
das residentes do sul.
											Durante a maior parte do inverno,
procuram comida no mar alto,
											complementando o salmão com outros peixes.
											Mas, quando os salmões se dirigem
para a costa, aos magotes, para desovar,
											as orcas vão atrás deles.
											A matriarca mostra às jovens baleias
											onde encontrar os terrenos
de caça mais férteis.
											Também partilha com elas
mais de 90% dos salmões que apanha.
											A cada ano que passa,
											esta contribuição torna-se mais vital.
											A pesca excessiva
e a destruição do ""habitat""
											têm dizimado a população dos salmões,
											pondo as baleias em risco quase
permanente de morrerem à fome.
									","
											Menapozdan sonra
											büyükanneler Güney Sakinleri'nin 
ana besin kaynağı
											olan somon avlamada liderlik ederler.
											Kışın büyük bir bölümünde 
açıkta araştırma yaparak
											somona diğer balıklarla katkı sağlarlar.
											Ancak somon yumurtlamak için sürüyle 
kıyıya yaklaştığında
											katil balinalar takip eder.
											Aile reisi dişi genç balinalara
											nerede en verimli balık alanlarını 
bulacağını gösterir.
											Aynı zamanda yakaladığı somonların 
%90'ınını paylaşır.
											Her geçen sene
											katkıları daha hayati hâle gelir:
											Fazla avlanma ve habitat yıkımı 
somon popülasyonlarını azaltarak
											balinaları hep açlık riskine 
yakın hâle getirir.
									","
											Nach den Wechseljahren
											übernehmen die Großmütter
die Führung bei der Jagd auf Lachse,
											die Hauptnahrungsquelle
der südlichen Ortstreuen.
											Im Winter suchen sie vor allem
in Küstennähe nach Futter
											und ergänzen Lachs durch andere Fische.
											Aber wenn die Lachse zum Laichen
in Scharen auf die Küsten zusteuern,
											folgen ihnen die Schwertwale.
											Die Matriarchin zeigt den jüngeren Walen
die ergiebigsten Fischgründe.
											Außerdem teilt sie
bis zu 90 % ihres Lachsfangs.
											Ihr Beitrag wird mit jedem Jahr wichtiger:
											Überfischung und die Zerstörung
von Lebensräumen
											haben die Lachsbestände dezimiert,
											sodass die Wale ständig der Gefahr
des Verhungerns ausgesetzt sind.
									",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
","
","
","
","
",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
											These grandmothers’ expertise
											can mean the difference between 
life and death for their families–
											but why do they stop having calves?
											It’s almost always advantageous for a
female to continue reproducing,
											even if she also cares for her existing 
children and grandchildren.
											A couple unique circumstances 
change this equation for killer whales.
									","
											L'expertise de ces grand-mères
											peut faire la différence entre
la vie et la mort pour leur famille,
											mais pourquoi n'engendrent-elles
plus de baleineaux ?
											Il est presque toujours profitable
pour une femelle
											de continuer à se reproduire,
											meme si elle s'occupe déjà
de ses enfants et petits-enfants.
											Des circonstances uniques
change cette équation pour les orques.
									","
											A competência destas avós
											pode significar a diferença
entre a vida e a morte da família
											mas porque é que deixam de ter crias?
											É quase sempre vantajoso
que uma fêmea continue a reproduzir-se,
											apesar de ela cuidar das filhas
e das netas existentes.
											Algumas circunstâncias especiais
alteram esta equação para as orcas.
									","
											Büyükannelerin uzmanlıkları
											aileleri için yaşam ve ölüm arasındaki 
fark anlamına gelebilir –
											peki neden yavru doğurmayı bırakırlar?
											Bir dişi için üremeye devam etmek 
her zaman daha avantajlıdır,
											mevcut çocuklarına
ve torunlarına bakıyor olsa bile.
											Birkaç özel durum bu denklemi 
katil balinalar için değiştiriyor.
									","
											Die Erfahrung der Großmütter
											kann für die Familien den Unterschied
zwischen Leben und Tod bedeuten —
											doch warum bekommen sie keine Jungen mehr?
											Es ist fast immer von Vorteil,
wenn sich Weibchen weiter fortpflanzen,
											auch wenn sie zusätzlich
für ihre Kinder und Enkel sorgen.
											Eine Reihe einzigartiger Umstände
verändert diese Gleichung für Schwertwale.
									",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
","
","
","
","
",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
											The fact that neither sons or daughters
											leave their families of origin 
is extremely rare—
											in almost all animal species,
											one or both sexes disperse.
											This means that as a female 
killer whale ages,
											a greater percentage of her family
											consists of her children 
and grandchildren,
											while more distant relatives die off.
											Because older females are more closely 
related to the group than younger females,
											they do best to invest in the family 
as a whole,
											whereas younger females should 
invest in reproducing.
									","
											Le fait que ni les fils ni les filles
											ne laissent leur famille d'origine
est extrêmement rare ;
											dans presque toutes les espèces animales,
											l'un ou les deux sexes s'en vont.
											Cela signifie que,
lorsqu'une femelle vieillit,
											un pourcentage majeur de sa famille
											consiste en ses enfants et grands-enfants,
											tandis que les parents éloignés meurent.
											Vu que les femelles plus âgées sont
plus strictement liées au groupe
											que les femelles plus jeunes,
											elles font de leur mieux pour investir
dans la famille dans son ensemble,
											alors que les femelles plus jeunes
devraient investir dans la reproduction.
									","
											O facto de os filhos e as filhas
											nunca abandonarem as suas famílias
de origem é extremamente raro.
											Em quase todas as espécies animais,
											um ou os dois sexos afastam-se.
											Isso significa que, à medida
que uma baleia assassina envelhece,
											uma maior percentagem da sua família
											é formada pelos seus filhos e netos
											enquanto os parentes mais distantes
vão morrendo.
											Como as fêmeas mais velhas 
estão mais ligadas ao grupo
											do que as fêmeas mais novas,
											investem melhor na família,
enquanto grupo,
											e as fêmeas mais novas
investem mais na reprodução.
									","
											Ne oğulların
ne de kızların aile kökenlerini
											terk etmemesine çok nadir rastlanır —
											neredeyse tüm hayvan türlerinde
											bir ya da iki cins ayrılır.
											Bunun anlamı şudur,
dişi katil balina yaşlandıkça
											ailesinin büyük bir bölümünü
											çocukları ve torunları oluşturur,
											daha uzak akrabalarsa ölür.
											Yaşlı dişiler gruba genç dişilerden 
daha yakın oldukları için
											bütün aile ile ilgilenmeleri daha iyidir,
											buna karşılık genç dişiler 
üremeyle ilgilenmelidir.
									","
											Dass weder Söhne noch Töchter
ihre Herkunftsfamilie verlassen,
											ist extrem selten —
											bei fast jeder Tierart verlässt
mindestens ein Geschlecht die Familie.
											Je älter ein Schwertwalweibchen wird,
											desto höher wird in ihrer Familie also
der Anteil an Kindern und Enkeln
											und desto mehr
entfernte Verwandte sterben.
											Weil die älteren Weibchen
näher verwandt mit der Gruppe sind
											als die jüngeren,
											setzen sie sich am besten
für die Familie als Ganzes ein,
											während sich jüngere Weibchen
auf die Fortpflanzung konzentrieren.
									",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
"
","
","
","
","
",Inside the killer whale matriarchy,Darren Croft,4:49,"TED-Ed,oceans,climate change,nature,water,animals,animation,natural resources"
