en,pt,es,tr,title,speaker,duration,tags
"
","
","
","
",Inventing is the easy part. Marketing takes work,Daniel Schnitzer,5:38,"TEDx,alternative energy,global issues,green,poverty,technology"
"
											So, without romanticizing this too much:
											imagine that you light your home
with kerosene and candles every night,
											and that you do all of your cooking
											with charcoal.
											This is how the world's
two billion poorest people
											cook and light their homes every day.
											This isn't just inconvenient,
											this is inefficient,
											it's expensive,
											it's harmful to human health,
harmful to the environment,
											and it's unproductive.
											And that's energy poverty.
									","
											Sem romantizar muito,
											imaginem que iluminam a vossa casa
com petróleo e velas todas as noites,
											e que cozinham sempre a carvão.
											É assim que os dois mil milhões
de pessoas mais pobres do mundo
											cozinham e iluminam a casa
todos os dias.
											Isso não só é inconveniente,
											é ineficaz, é caro,
											é nocivo para a saúde humana,
é nocivo para o meio ambiente,
											e é improdutivo.
											Isso é pobreza energética.
									","
											Por lo tanto, sin idealizar demasiado:
											imaginen que iluminan sus hogares
con querosén y velas cada noche,
											y que cocinan todo
											con carbón vegetal.
											Así es como los dos mil millones
de personas más pobres del mundo
											cocinan e iluminan
sus hogares cada día.
											Esto no sólo es inconveniente,
											sino también ineficiente,
											caro,
											perjudicial para la salud,
nocivo para el medio ambiente
											e improductivo.
											Y eso es pobreza energética.
									","
											Bunu fazla romantikleştirmeden:
											Evinizi her gece gaz yağı ve 
mumla aydınlattığınızı,
											bütün yemeklerinizi kömürle
											pişirdiğinizi düşünün.
											Bu, dünyadaki en fakir 2 milyar insanın 
her gün yemek pişirme
											ve evlerini aydınlatma biçimidir.
											Sadece elverişsiz olmamakla beraber
											tesirsiz,
											pahalı,
											insan sağlığına zararlı, çevreye zararlı
											ve verimsizdir.
											Ve bu enerji fakirliğidir.
									",Inventing is the easy part. Marketing takes work,Daniel Schnitzer,5:38,"TEDx,alternative energy,global issues,green,poverty,technology"
"
","
","
","
",Inventing is the easy part. Marketing takes work,Daniel Schnitzer,5:38,"TEDx,alternative energy,global issues,green,poverty,technology"
"
											So let me give you a couple of examples.
											I work in Haiti,
											where about 80% of the population
lives in energy poverty.
											The average household
spends 10% of its income
											on kerosene for lighting –
											that's an order of magnitude greater
than what the average US household spends
											on electricity to light their homes.
											The 2008 hurricane season in Haiti caused
											about one billion dollars in damage.
											That was a sixth of their GDP.
											The damage was so severe
											because the primary energy fuel
in Haiti is charcoal,
											which is made from trees,
											and has left the country
almost completely deforested.
											Without trees, the country can't absorb
heavy rains and massive flooding,
											as a result.
											So in the industrialized world,
											we built walls that protect us
from the externalities of our energy use;
											we can afford to clean up acute
environmental disasters;
											and we can also afford
to adapt to chronic conditions
											like climate change.
											That's not the case for Haiti.
They can't afford this.
											The only way they're going to lift
themselves out of energy poverty
											is by adapting fuels
that are more efficient,
											that are less expensive,
											that are better for human health,
better for the environment
											and that are more productive.
									","
											Vou dar-vos alguns exemplos.
											Eu trabalho no Haiti,
											onde cerca de 80% da população
vive em pobreza energética.
											O núcleo familiar médio
gasta 10% dos seus rendimentos
											em petróleo para iluminação.
											Isso é uma ordem de grandeza maior
do que gasta uma família média nos EUA
											em eletricidade para iluminar a casa.
											A estação de furacões de 2008 no Haiti
											causou cerca de mil milhões 
de dólares em danos.
											Isso representa um sexto do seu PIB.
											Os danos foram tão graves
											porque a fonte de energia primária
no Haiti é o carvão,
											que é feito da madeira das árvores,
											e deixou o país quase 
totalmente desflorestado.
											Sem árvores, o país não consegue absorver
chuvas pesadas e inundações maciças.
											Então, no mundo industrializado,
											construímos muros que nos protegem
das externalidades do uso de energia.
											Conseguimos limpar 
desastres ambientais profundos
											e também podemos adaptar-nos
a situações crónicas
											como a alteração climática.
											Não é o caso do Haiti.
Eles não têm dinheiro para isso.
											A única forma de saírem 
da situação de pobreza energética
											é adotar combustíveis mais eficientes,
											mais baratos,
											melhores para a saúde humana,
melhores para o meio ambiente
											e mais produtivos.
									","
											Permítanme darles un par de ejemplos.
											Trabajo en Haití,
											donde cerca del 80% de la población
vive en pobreza energética.
											El hogar promedio gasta
el 10% de sus ingresos
											en querosén para la iluminación,
											es un porcentaje mayor que el que gasta
una familia estadounidense promedio
											en electricidad para iluminar su hogar.
											La temporada de huracanes
de 2008 en Haití causó
											alrededor de mil millones
de dólares en daños.
											Esa fue una sexta parte de su PIB.
											Los daños fueron tan severos
											porque el combustible de energía
primaria en Haití es el carbón vegetal,
											que está hecho de árboles
											y ha dejado al país
casi completamente deforestado.
											Sin árboles, el país no puede absorber
las fuertes lluvias e inundaciones,
											como resultado.
											Así, en el mundo industrializado,
											construimos muros que nos protegen
de externalidades del uso energético;
											podemos darnos el lujo de limpiar
desastres ambientales agudos;
											y también podemos darnos el lujo
de adaptarnos a condiciones crónicas
											como el cambio climático.
											Ese no es el caso de Haití.
No pueden costearlo.
											La única manera de salir
de la pobreza energética
											es adaptando combustibles
más eficientes,
											menos costosos,
											mejores para la salud humana,
mejores para el medio ambiente
											y más productivos.
									","
											Size birkaç örnek vereyim.
											Haiti'de çalışıyorum,
											nüfusun %80'inin enerji fakirliğiyle
yaşadığı bir yerde.
											Normal bir ev kazandıklarının %10'unu
ışıklandırma için
											gazyağı almaya harcıyor-
											bu ortalama bir Amerikan evinin 
ışıklandırma için harcadığı elektrik
											parasından kat ve kat daha fazla.
											Haite'deki 2008 kasırga sezonu,
											yaklaşık 1 milyon dolar zarara mal oldu.
											Bu onların gsyih'lerinin
altıda biri kadar.
											Hasar çok ağırdı,
											çünkü Haite'deki birincil enerji 
yakıtı, ağaçlardan yapılan
											orman kömürüdür.
											Ve bu kasırga ülkeyi neredeyse 
ormansız bıraktı.
											Ağaçlar olmadan bu ülke
ağır yağmurları ve sebep oldukları
											muazzam selleri ememez.
											Şöyle ki endüstrileşmiş dünyada
											biz, kendimizi enerji kullanımımızın 
dışsallığından koruyan duvarlar ördük;
											kronik olmayan doğal afetleri 
temizlemeyi karşılayabiliriz
											ve aynı zamanda iklim değişimi 
gibi kronik durumlara da
											adapte olabiliriz.
											Haiti'nin durumu böyle değil. 
Bunu karşılayamazlar.
											Kendilerini bu enerji fakirliğinden
çıkarmalarının tek yolu
											daha verimli
											daha ucuz,
											insan sağlığı ve doğa için 
daha iyi olan
											ve daha üretken yakıtlardır.
									",Inventing is the easy part. Marketing takes work,Daniel Schnitzer,5:38,"TEDx,alternative energy,global issues,green,poverty,technology"
"
","
","
","
",Inventing is the easy part. Marketing takes work,Daniel Schnitzer,5:38,"TEDx,alternative energy,global issues,green,poverty,technology"
"
											So it turns out that those fuels
and technologies exist,
											and this is an example of that.
											This is a solar LED lightbulb
											that we sell for a retail price
of about 10 dollars in rural Haiti.
											That's a payback period
of less than three months
											for the average Haitian household.
											The prescriptions to solve energy poverty
seems pretty straightforward:
											you develop these technologies
that have a great return on investment,
											and people should be snatching them up.
											But that's not the case.
									","
											Acontece que esses combustíveis
e essa tecnologia já existem,
											e este é um exemplo disso.
											Esta é uma lâmpada solar LED
											que vendemos a retalho
por uns 10 dólares na zona rural do Haiti.
											Tem um período de retorno financeiro
de menos de três meses
											num agregado familiar médio do Haiti.
											A receita para resolver 
a pobreza energética parece simples.
											Desenvolvemos estas tecnologias
com um ótimo retorno de investimento,
											e as pessoas deviam comprar.
											Mas não é o caso.
									","
											Y resulta que esos combustibles
y tecnologías existen,
											y este es un ejemplo de ello.
											Se trata de una bombilla solar LED
											que vendemos al detal en unos
10 dólares en la zona rural de Haití.
											Es un período de amortización
de menos de tres meses
											para el hogar haitiano promedio.
											La receta para resolver la pobreza
energética parece bastante sencilla:
											se desarrollan estas tecnologías
con un gran retorno de la inversión,
											y la gente debería arrebatárselas.
											Pero ese no es el caso.
									","
											Anlaşılan o ki bu yakıtlar
ve teknolojiler var
											ve bu da onun bir örneği.
											Bu bizim 10 dolarlık
											perakende fiyatına sattığımız
güneş enerjili LED ampulü.
											Bu normal bir Haiti ailesi
için 3 aydan daha az
											bir geri ödeme dönemi
anlamına gelir.
											Enerji fakirliğini çözmenin
talimatları bayağı açık görünüyor:
											Kârları yüksek olan bu
teknolojileri geliştiriyorsun
											ve insanların onları kapması gerekiyor.
											Ama durum böyle değil.
									",Inventing is the easy part. Marketing takes work,Daniel Schnitzer,5:38,"TEDx,alternative energy,global issues,green,poverty,technology"
"
","
","
","
",Inventing is the easy part. Marketing takes work,Daniel Schnitzer,5:38,"TEDx,alternative energy,global issues,green,poverty,technology"
"
											The first time I ever went down to Haiti
was in August of 2008,
											sort of on a whim,
											and I was fielding surveys
in the rural south of the country
											to assess the extent of energy poverty.
											And at night, I would go around sometimes
											and I would speak with the street vendors
											and see if they were interested
in buying these solar LED lamps.
											One woman who I encountered
turned down my offer,
											and she said, “Mon chéri,
c'est trop Cher,”
											which basically means,
“My dear, it's too expensive.”
											But I tried to explain to her,
											“Look, this is going to save you
a lot of money,
											and it's going to give
you even better light
											than what you're using
now with the kerosene.”
											So I didn't make the sale,
											but I did learn a really important lesson,
											which is that technology, products,
											were not going to end energy poverty.
											Instead, access was going to.
									","
											A primeira vez que fui ao Haiti
foi em agosto de 2008,
											numa espécie de impulso.
											Eu andava a fazer pesquisas de campo
na zona rural do sul do país
											para avaliar a dimensão
da pobreza energética.
											À noite, por vezes eu andava por ali
											e conversava com vendedores de rua
											e via se eles estavam interessados
em comprar essas lâmpadas LED.
											Uma mulher que encontrei
recusou a minha oferta e disse:
											""Mon chéri, c'est trop cher,""
											o que quer dizer:
""Meu querido, é muito caro.""
											Eu tentei explicar-lhe:
											""Olha, isto vai fazer-lhe poupar
muito dinheiro,
											""e vai dar-lhe uma iluminação ainda melhor
											""do que a que tem com o petróleo.""
											Eu não fiz a venda,
											mas aprendi uma lição importante,
											que é: a tecnologia e os produtos
											não vão resolver a pobreza energética.
											Porém, o seu acesso vai resolver.
									","
											La primera vez que fui a Haití
fue en agosto de 2008,
											como por capricho,
											y estaba realizando estudios
de campo en el sur rural del país
											para evaluar la magnitud
de la pobreza energética.
											Y por la noche, iba de vez en cuando
											y hablaba con los vendedores ambulantes
											para ver si estaban interesados
en comprar estas lámparas LED solares.
											Una mujer que encontré
rechazó mi oferta
											y me dijo: ""Mon chéri, c'est trop Cher"",
											que básicamente significa:
""Querido, es demasiado caro"".
											Pero traté de explicarle:
											""Mira, esto te ahorrará mucho dinero
											y te dará una luz aún mejor
											que la que obtienes
ahora con querosén"".
											Así que no hice la venta,
											pero aprendí una lección
realmente importante,
											que es que la tecnología, los productos,
											no iban a acabar
con la pobreza energética.
											En vez de eso, el acceso iba a hacerlo.
									","
											Haiti'ye ilk gittiğim zaman 
2008'in Ağustos'uydu,
											bir heves üzerineydi
											ve ülkenin kırsal güneyindeki 
enerji fakirliğini
											incelemek için alan çalışması yapıyordum.
											Ve bazen gece vakti etrafta dolaşıp
											sokak satıcılarıyla konuşurdum
											ve bu LED ampüllerini almaya ne 
kadar ilgi gösterdiklerine bakardım.
											Karşılaştığım bir kadın 
teklifimi reddederken
											bana “Mon chéri,
c'est trop Cher,” demişti,
											ki bu kısacası ""Canım, bu çok pahalı"" 
anlamına gelir.
											Ama ona açıklamaya çalıştım,
											""Bak, bu para tasarufuna 
çok yardımcı olup,
											size gaz lambasıyla kullandığınızdan
											daha iyi bir ışıklandırma sağlayacak.""
											Satışı yapamadım,
											ama çok önemli bir ders öğrendim,
											o da teknolojinin, ürünlerin,
											enerji fakirliğini sonlandırmayacağıydı.
											Onun yerine, bunu erişim yapacktı.
									",Inventing is the easy part. Marketing takes work,Daniel Schnitzer,5:38,"TEDx,alternative energy,global issues,green,poverty,technology"
"
","
","
","
",Inventing is the easy part. Marketing takes work,Daniel Schnitzer,5:38,"TEDx,alternative energy,global issues,green,poverty,technology"
"
											Specifically, there are
two types of access
											that are going to end energy poverty:
											there's physical access,
and there's financial access.
											So, physical access —
											what does that mean?
											It's very expensive for low-income
households in developing countries
											to reach major centers of commerce.
											And it's basically impossible for them
to order something off Amazon.com.
											“The last mile” is a phrase
that's normally associated
											with the telecommunications industry.
											It means that last bit
of wire that's necessary
											to connect the customer to the provider.
											What we need for ending energy poverty
are last-mile retailers
											that bring these clean energy
products to the people.
											The kerosene and charcoal value chains
already figured this out:
											those fuels are ubiquitous
across the entire country.
											You can go to the most remote
village in Haiti
											and you will find somebody
selling kerosene and charcoal.
									","
											Especificamente,
há dois tipos de acesso
											que irão resolver a pobreza energética:
											há o acesso físico,
e há o acesso financeiro.
											O que significa acesso físico?
											Em países em desenvolvimento
											é muito caro para famílias
de baixos rendimentos
											irem a grandes centros comerciais
											e é praticamente impossível
eles encomendarem na Amazon.com.
											""A última milha"" é uma expressão
normalmente associada
											à indústria de telecomunicações.
											Representa o último trecho
de fio necessário
											para ligar o utilizador ao fornecedor.
											Para resolver esta pobreza energética
precisamos de ""vendedores da última milha""
											que levem esses produtos 
de energia limpa às pessoas.
											As grandes redes de petróleo e carvão
já descobriram isso:
											esses combustíveis estão presentes
em todo o país.
											Podemos ir até à vila 
mais remota do Haiti
											e encontramos alguém a vender
petróleo e carvão.
									","
											Específicamente,
hay dos tipos de acceso
											que terminarán
con la pobreza energética:
											el acceso físico y el acceso financiero.
											Entonces, acceso físico,
											¿qué significa eso?
											Es muy caro para los hogares de bajos
ingresos en los países en desarrollo
											llegar a los grandes centros de comercio.
											Y es básicamente imposible
que pidan algo de Amazon.com.
											""La última milla"" es una frase
que normalmente está asociada
											a la industria de telecomunicaciones.
											Significa el último trozo
de cable necesario
											para conectar al cliente
con el proveedor.
											Para acabar con la pobreza energética
necesitamos minoristas
											que lleven estos productos
de energía limpia a la gente.
											Las cadenas de valor del querosén
y el carbón vegetal lo entendieron:
											esos combustibles son 
omnipresentes en todo el país.
											Pueden ir a la aldea
de Haití más remota
											y encontrarán a alguien
vendiendo querosén y carbón vegetal.
									","
											Spesifik olursak, enerji fakirliğini
											sonlandıracak iki tür erişim var:
											fiziksel erişim ve finansal erişim.
											Peki, fiziksel erişim —
											bu ne anlama geliyor?
											Büyük ticari merkezlere ulaşmak, 
gelişmekte olan ülkelerdeki
											az gelirli aileler için çok pahalı.
											Ve Amazon.com'dan birşey sipariş etmeleri
onlar için neredeyse imkânsız.
											""Son mil"", genellikle telekomünikasyon 
sanayisiyle
											ilişkilendirilen bir ifadedir.
											Bu, alıcıyla satıcı arasındaki 
iletişim için
											gerekli olan son tel 
anlamına gelir.
											Enerji fakirliğini sonlandırmak için bize
gereken şey, bu temiz enerji ürünlerini
											insanlara getirebilecek son-mil
bayileridir.
											Gazyağı ve kömür değer zincirleri,
bunu çoktan çözmüşler:
											bu yakıtlar bütün ülke genelinde kolayca
bulunur.
											Haiti'nin en ücra köyüne bile gidip
											gazyağı ve kömür satan biri 
bulabilirsiniz.
									",Inventing is the easy part. Marketing takes work,Daniel Schnitzer,5:38,"TEDx,alternative energy,global issues,green,poverty,technology"
