fr,de,title,speaker,duration,tags
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											J'ai senti un enterrement 
dans ma tête
											Et les amis du défunt
allaient et venaient,
											Continuaient à marcher, 
jusqu'à ce qu'il me semble
											Que ma raison s'en allait.
											Et quand ils s'étaient tous assis
											Un office comme un tambour
											battait, battait, 
jusqu'à ce qu'il me semblait que
											mon esprit devenait paralysé.
											Et puis, je les ai entendus 
soulever une boîte
											et traverser mon âme en grinçant,
											avec encore ces mêmes bottes de plomb,
											puis tout s'est mis à sonner,
											comme si les cieux 
n'étaient qu'une cloche
											et l'existence 
n'était qu'une oreille
											et moi, et le silence, 
une espèce d'étrange race
											anéantie, solitaire, ici.
											D'un coup, une planche 
de la raison se brisa,
											et je tombai, sans arrêt
											et heurtai un monde, 
à chaque chute
											et puis finis alors 
d'être consciente. »
									","
											""Ich fühlt' Begräbnis im Gehirn
											und Trauergäste — her und hin —
											die trampelten und trampelten 
in meinem Kopfe schwer, bis ich fühlte,
											dass ich wieder zu Sinnen kam.
											Und sobald sie alle saßen,
											ertönt eine Andacht, trommelgleich,
											sie hörte nicht auf zu schlagen, schlagen,
											und schlug das Hirn mir weich.
											Ich hörte sie heben eine Kiste
											und über meine Seele knarzen
											wieder mit den gleichen Bleistiefeln,
											dann begann der Raum zu klingen,
											als wäre der Himmel eine Glocke
											und die Existenz ein Ohr,
											und ich und die Stille 
eine sonderbare Rasse,
											ruiniert, einsam, hier.
											Genau dann bricht 
eine Planke in der Vernunft
											und ich fiel immer tiefer
											und treffe bei jedem Fall 
auf eine andere Welt
											und hörte damit auf, zu wissen.""
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Nous comprenons la dépression
à travers les métaphores.
											Emily Dickinson arrivait 
à la communiquer par des mots,
											Goya par une image.
											Le but de l'art est, en partie,
											de décrire 
de tels états iconiques.
									","
											Wir kennen Depressionen durch Metaphern.
											Emily Dickinson konnte es 
durch Sprache vermitteln,
											Goya mittels eines Bildes.
											Die Intention von Kunst ist zur Hälfte,
											solche ikonischen Zustände zu beschreiben.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Quant à moi, 
je m'étais toujours trouvé fort,
											parmi ceux qui 
pourraient survivre
											si on m'avait envoyé 
dans un camp de concentration.
									","
											Ich selbst hielt mich immer für taff,
											für einen der Menschen, 
der überleben würde,
											wenn er in ein Konzentrationslager 
geschickt würde.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											En 1991, j'ai subi 
une série de pertes.
											Ma mère est morte,
											une relation s'est terminée,
											je suis rentré aux États-Unis
											après quelques années à l'étranger,
											et je m'en suis sorti intact.
									","
											1991 erlitt ich zahlreiche Verluste.
											Meine Mutter starb,
											meine Beziehung endete,
											ich zog, nach einigen Jahren im Ausland,
											in die USA zurück,
											und ich überstand all 
diese Erfahrungen unversehrt.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
","
","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
"
											Mais en 1994, trois ans après,
											j'ai constaté que
je me désintéressais de tout.
											Je ne voulais plus 
faire les choses
											que j'avais voulu faire 
auparavant,
											et je ne savais pas pourquoi.
											Le contraire de la dépression
											n'est pas le bonheur, 
mais la vitalité,
											et c'était la vitalité
											qui paraissait me fuir 
à ce moment-là.
											Tout ce que j'avais à faire
											me semblait trop.
											Je rentrais à la maison
											et je voyais la lumière rouge 
du répondeur clignoter,
											et au lieu d'être ravi 
d'avoir des nouvelles des amis,
											je pensais :
											« Ça fait beaucoup de monde 
à rappeler. »
											Ou je décidais 
de prendre mon déjeuner,
											sauf qu'après, je pensais 
qu'il me faudrait sortir la nourriture,
											la mettre sur une assiette,
											la découper, la mastiquer,
l'avaler,
											et c'était pour moi 
un supplice.
									","
											Aber 1994, drei Jahre später,
											verlor ich das Interesse 
an fast allen Dingen.
											Ich wollte nichts mehr 
von den Dingen machen,
											die ich zuvor tun wollte,
											und ich wusste nicht warum.
											Das Gegenteil von Depressionen
											ist nicht Glück, sondern Vitalität,
											und gerade die Vitalität
											schien in diesem Moment 
aus mir heraus zu sickern.
											Alles, was zu tun war,
											schien zu viel Arbeit.
											Wenn ich nach Hause kam
											und das rote Licht meines 
Anrufbeantworters blinken sah,
											war ich nicht begeistert 
von meinen Freunden zu hören,
											sondern dachte:
											""Das sind viele Leute, 
die ich zurückrufen muss.""
											Oder ich entschied zu Mittag zu essen,
											und dann dachte ich, dass ich 
dafür das Essen rausholen
											und es auf einen Teller tun muss,
											es schneiden und kauen 
und schlucken muss,
											und das fühlte sich für mich 
wie ein Kreuzweg an.
									","Depression, the secret we share",Andrew Solomon,29:21,"TEDx,culture,depression,medicine,mental health,suicide"
