en,tr,es,title,speaker,duration,tags
"
","
","
",Reducing corruption takes a specific kind of investment,Efosa Ojomo,11:45,"global issues,investment,development,social change,corruption,Africa,business,poverty,innovation"
"
											So in 2011,
											someone broke into my sister's office
											at the university
where she teaches in Nigeria.
											Now thankfully, the person was caught,
arrested and charged to court.
											When I get into court,
											the clerks who were assigned
to my sister's case informed her
											that they wouldn't be able
to process the paperwork
											unless she paid a bribe.
											Now, at first she thought
it was part of a practical joke.
											But then she realized they were serious.
											And then she became furious.
											I mean, think about it: here she was,
the recent victim of a crime,
											with the very people
who were supposed to help her,
											and they were demanding a bribe from her.
											That's just one of the many ways
											that corruption impacts
millions of people in my country.
									","
											2011'de
											Nijerya'da kardeşimin 
öğretmenlik yaptığı bir üniversitede
											birisi ofisine zorla girdi.
											Neyse ki zorla giren kişi yakalandı,
tutuklandı ve mahkemeye çıkarıldı.
											Mahkemeye gittiğimde
											kardeşimin davasına atanan kâtipler,
											rüşvet ödemediği takdirde evrak işlerini
işlemden geçirmeyeceklerini söyledi.
											İlk önce bunun eşek şakasının 
bir parçası olduğunu düşündü.
											Ama daha sonra ciddi olduklarını fark etti
											ve çok öfkelendi.
											Yani, bir düşünün: 
Ona yardım etmesi gereken insanlarla
											bir suçun kurbanı olan kardeşim var
											ve ondan rüşvet talep ediyorlar.
											Ülkemdeki milyonlarca insanı etkileyen
yolsuzluğun birkaç yolundan sadece biri.
									","
											En el año 2011,
											un ladrón entró a la oficina de mi hermana
											en la universidad donde enseña en Nigeria.
											Afortunadamente fue capturado,
arrestado y llevado a juicio.
											Cuando yo llego a la corte,
											el encargado del caso 
de mi hermana le informa
											que no podrían realizar los trámites
											a menos que pagara un soborno.
											Al principio pensó que era una broma.
											Pero luego se dio cuenta
de que hablaban en serio.
											Y se puso furiosa.
											Piénsenlo: acababa de ser
víctima de un delito,
											y las mismas personas que debían ayudarla
											le estaban pidiendo un soborno.
											Esa es solo una de las formas
											en que la corrupción afecta 
a millones de personas en mi país.
									",Reducing corruption takes a specific kind of investment,Efosa Ojomo,11:45,"global issues,investment,development,social change,corruption,Africa,business,poverty,innovation"
"
","
","
",Reducing corruption takes a specific kind of investment,Efosa Ojomo,11:45,"global issues,investment,development,social change,corruption,Africa,business,poverty,innovation"
"
											You know, growing up in Nigeria,
											corruption permeated
virtually every element of the society.
											Reports of politicians embezzling
millions of dollars were common.
											Police officers stealing money
											or extorting money
from everyday hardworking citizens
											was routine practice.
											I felt that development
could never actually happen,
											so long as corruption persisted.
											But over the past several years,
											in my research on
innovation and prosperity,
											I've learned that corruption is actually
not the problem hindering our development.
											In fact,
											conventional thinking on corruption
and its relationship to development
											is not only wrong, but it's holding
many poor countries backwards.
									","
											Nijerya'da büyürken şunu anladım ki
											yolsuzluk toplumun neredeyse
her bölümüne yayılmış.
											Milyonlarca doları zimmetine geçiren
siyasetçilerin haberleri çok yaygın.
											Para çalmak veya her gün çok çalışan 
vatandaşların parasını sızdırmak
											polis memurlarının rutin bir uygulaması.
											Yolsuzluk sürdüğü sürece
											gelişimin asla gerçekten 
gerçekleşmeyeceğini hissettim.
											Ancak son birkaç senedir
											yenilik ve refah üzerine
yaptığım araştırmayla
											yolsuzluğun aslında gelişimimizi
engelleyen bir sorun olmadığını öğrendim.
											Aslında yolsuzluk, üzerine basmakalıp 
düşünceler ve gelişimle olan ilişkisi
											sadece yanlış değil, aynı zamanda 
birçok yoksul ülkeyi geride tutuyor.
									","
											Yo me crié en Nigeria,
											y allí la corrupción impregnaba casi todo.
											Era común ver noticias sobre políticos 
que malversaban millones de dólares.
											Ver que oficiales de policía
robaban dinero
											o extorsionaban a los ciudadanos
que trabajan duro
											era parte de la rutina.
											Yo sentía que el desarrollo
nunca sucedería
											mientras existiera corrupción.
											Pero estos últimos años,
											en mi investigación
sobre innovación y prosperidad,
											he descubierto que la corrupción no es 
el problema que limita nuestro desarrollo.
											De hecho,
											el razonamiento típico sobre la corrupción
y su relación con el desarrollo
											no solo es incorrecto, sino que además
sume a muchos países en el atraso.
									",Reducing corruption takes a specific kind of investment,Efosa Ojomo,11:45,"global issues,investment,development,social change,corruption,Africa,business,poverty,innovation"
"
","
","
",Reducing corruption takes a specific kind of investment,Efosa Ojomo,11:45,"global issues,investment,development,social change,corruption,Africa,business,poverty,innovation"
"
											So, the thinking goes like this:
											in a society that's poor and corrupt,
											our best shot at reducing corruption
is to create good laws,
											enforce them well,
											and this will make way for development
and innovation to flourish.
											Now, it makes sense on paper,
											which is why many governments
and development organizations
											invest billions of dollars annually
											on institutional reform
and anti-corruption programs.
											But many of these programs
fail to reduce corruption,
											because we have the equation backwards.
											You see, societies don't develop
because they've reduced corruption.
											They're able to reduce corruption
because they've developed.
											And societies develop
through investments in innovation.
									","
											Düşünme şöyle gerçekleşiyor:
											Yoksul ve yolsuzluk olan bir toplumda
											yolsuzluğu azaltmada elimizdeki
en iyi fırsat iyi kanunlar yapmak
											ve onları iyi bir şekilde uygulamak,
											böylece gelişim ve yeniliğin 
ilerlemesi için yol açılacak.
											Kağıt üzerinde mantıklı,
											işte bu yüzden birçok hükümet
ve gelişim organizasyonları
											her yıl milyarlarca doları kurumsal reform
											ve yolsuzluk karşıtı 
programlara yatırıyor.
											Ancak bu programların çoğu
yolsuzluğu azaltmada başarısız oluyor
											çünkü ters bir denklemimiz var.
											Gördüğünüz üzere toplumlar yolsuzluğu
düşürdükleri için gelişmiyor.
											Geliştikleri için yolsuzluğu
düşürebiliyorlar.
											Toplumlar yenilik üzerine yapılan
yatırımlarla gelişiyor.
									","
											La lógica es la siguiente:
											en una sociedad pobre y corrupta,
											nuestra mejor opción para reducir
la corrupción es crear buenas leyes,
											aplicarlas correctamente,
											y esto propiciará 
el desarrollo y la innovación.
											En la teoría, tiene sentido,
											y es por eso que muchos gobiernos
y organizaciones para el desarrollo
											invierten miles de millones 
de dólares al año
											en reformas institucionales
y programas contra la corrupción.
											Pero muchos de esos programas
no logran reducir la corrupción
											porque nuestra lógica está al revés.
											En realidad, las sociedades no 
se desarrollan por reducir la corrupción,
											sino que logran reducir la corrupción 
porque son desarrolladas.
											Y las sociedades se desarrollan
por medio de la inversión en innovación.
									",Reducing corruption takes a specific kind of investment,Efosa Ojomo,11:45,"global issues,investment,development,social change,corruption,Africa,business,poverty,innovation"
"
","
","
",Reducing corruption takes a specific kind of investment,Efosa Ojomo,11:45,"global issues,investment,development,social change,corruption,Africa,business,poverty,innovation"
"
											Now, at first, I thought
this was impossible.
											Why would anyone in their right mind
											invest in a society where,
at least on the surface,
											it seems a terrible place to do business?
											You know, a society where
politicians are corrupt
											and consumers are poor?
											But then, the more I learned about
											the relationship
between innovation and corruption,
											the more I started
to see things differently.
									","
											İlk başta bunun imkânsız 
olduğunu düşünmüştüm.
											Aklı başında biri neden iş yapmak için
											en azından görünürde berbat bir yer gibi
görünen bir topluma yatırım yapar ki?
											Anlarsınız ya, siyasetçilerin yozlaşmış
ve tüketicilerin de yoksul olduğu
											bir toplumda neden yapsınlar ki?
											Ancak daha sonra yenilik ve yolsuzluk
arasındaki ilişkiyi daha fazla öğrendikçe
											olayları daha farklı görmeye başladım.
									","
											Al principio pensé que era imposible.
											Nadie en su sano juicio
invertiría en una sociedad
											donde, aparentemente,
hacer negocios es una pésima idea.
											Me refiero a una sociedad 
donde los políticos son corruptos
											y los consumidores son pobres.
											Pero entre más investigaba sobre
la relación entre innovación y corrupción,
											más veía las cosas 
desde un ángulo diferente.
									",Reducing corruption takes a specific kind of investment,Efosa Ojomo,11:45,"global issues,investment,development,social change,corruption,Africa,business,poverty,innovation"
"
","
","
",Reducing corruption takes a specific kind of investment,Efosa Ojomo,11:45,"global issues,investment,development,social change,corruption,Africa,business,poverty,innovation"
"
											Here's how this played out
in sub-Saharan Africa
											as the region developed
its telecommunications industry.
											In the late 1990s,
											fewer than five percent of people
in sub-Saharan Africa had phones.
											In Nigeria, for example, the country
had more than 110 million people
											but fewer than half a million phones
in the whole nation.
											Now, this scarcity fueled
widespread corruption in the industry.
											I mean, public officials who worked
for the state-owned phone companies
											demanded bribes from people
who wanted phones.
											And because most people
couldn't afford to pay the bribes,
											phones were only available
to those who were wealthy.
									","
											Bölge telekomünikasyon 
endüstrisini geliştirdikçe
											Sahra Altı Afrika'da 
işler işte böyle değişti.
											1990'ların sonlarında
											Sahra Altı Afrika'daki insanların 
%5'inden azının telefonları vardı.
											Nijerya'da, örneğin,
110 milyondan fazla insan vardı
											ama tüm ülkede yarım milyondan 
daha azının telefonu vardı.
											Bu azlık, endüstrideki 
yaygın yolsuzluğu arttırdı.
											Demek istiyorum ki devlete ait telefon 
şirketleri için çalışan kamu görevlileri
											telefon isteyen insanlardan
rüşvet talep etti.
											Birçok insan rüşveti ödemeye
gücü yetmediği için
											telefonlar sadece varlıklı 
olanlarda mevcuttu.
									","
											Así fue como sucedieron las cosas
en el África subsahariana
											cuando la región desarrollaba
su industria de telecomunicaciones.
											A finales de los años 90,
											menos del 5 % de las personas 
tenía teléfono en el África subsahariana.
											En Nigeria, por ejemplo,
había más de 110 millones de personas,
											pero menos de 500 mil teléfonos
en todo el país.
											Esta escasez alimentó la corrupción
generalizada en la industria.
											Es decir, los empleados públicos
de empresas estatales de telefonía
											pedían sobornos a quienes
que querían teléfonos.
											Como casi nadie podía pagar los sobornos,
											los teléfonos solo eran 
asequibles para los ricos.
									",Reducing corruption takes a specific kind of investment,Efosa Ojomo,11:45,"global issues,investment,development,social change,corruption,Africa,business,poverty,innovation"
