en,fr,tr,es,title,speaker,duration,tags
"
","
","
","
",Bridges should be beautiful,Ian Firth,14:01,"architecture,beauty,community,engineering,identity,creativity,infrastructure,public spaces,innovation"
"
											The world needs bridges.
											Have you ever thought about
what it would be like not to have any?
											It's hard to imagine
a civilization without bridges
											because they're so essential
											for growth and development
of human society,
											but they're not just about a safe way
across a river or an obstacle.
											They shout about connectivity —
											community.
											They reveal something about creativity,
											our ingenuity —
											they even hint at our identity.
											And when bridges fail,
											or are destroyed in conflict,
											communities struggle,
											development stagnates, people suffer.
											Even today,
											there are over one billion people
living in poor, rural communities
											around the world
											that do not have safe, year-round access
											to the things that you
and I take for granted:
											education, medical care,
access to markets ...
											which is why wonderful organizations
like Bridges to Prosperity
											build bridges in this kind of place —
this is in Rwanda.
											And they make such a difference,
											not only to those lives
immediately around the bridge,
											but the impact of these bridges is huge,
											and it spreads over the whole community,
											far, far away.
									","
											Notre monde a besoin de ponts.
											Avez-vous déjà imaginé
ce que serait une vie sans ponts ?
											Il est difficile d'imaginer
une civilisation sans ponts
											car ils sont essentiels
											pour la croissance et le développement
de notre société humaine,
											mais ils ne sont pas qu'un moyen sûr
de traverser une rivière ou un obstacle.
											Il est surtout question de connectivité —
											de communauté.
											Ils témoignent de notre créativité,
											notre ingéniosité —
											ils sont même indices
de notre identité.
											Et quand les ponts s'effondrent,
											ou sont détruits dans un conflit,
											les communautés sont en difficulté,
											le développement stagne,
les gens souffrent.
											Même aujourd'hui,
											plus d'un milliard de personnes vivent
dans des communautés rurales pauvres
											à travers le monde
											et n'ont pas un accès sûr toute l'année
											à des choses que vous et moi
prenons pour acquises :
											l'éducation, les soins médicaux,
l'accès aux marchés...
											C'est pourquoi d'admirables organismes
comme Bridges to Prosperity
											construisent des ponts dans ce genre
d'endroits — c'est au Rwanda.
											Et ils font vraiment la différence,
											pas seulement pour les personnes
vivant aux abords du pont,
											mais l'impact de ces ponts est immense,
											et il se répand dans toute la communauté,
											loin, très loin.
									","
											Dünyanın köprülere ihtiyacı var.
											Hiç köprü olmayan bir dünya düşündünüz mü?
											Köprünün olmadığı
bir toplum düşünmek çok zor
											çünkü insan topluluğu için
											büyüme ve gelişmede çok önemliler,
											ama yalnızca bir nehir veya engel üstünden
güvenli geçişten çok daha öteler.
											Bağlantı anlamına geliyorlar;
											yani topluluk.
											Yaratıcılığımızı ortaya koyuyorlar
											ve marifetlerimizi.
											Hatta kimliğimizi bile işaret ediyorlar.
											Köprüler başarısız olduğunda
											veya savaş hâlinde yıkıldığında da
											topluluklar zorluk çekiyor,
											gelişim duraksıyor, insanlar acı cekiyor.
											Bugün bile
											dünyanın her bir yanında,
kırsal kesimlerde yaşayan
											bir milyonun üstünde insan var,
											bizlerin değerini bilmediği şeylere
											yıl boyunca ve güven içinde erişemiyorlar:
											eğitim, tıbbi bakım, pazarlara erişim...
											Bu yüzden Bridges to Prosperity gibi
harika organizasyonlar
											böyle yerlerde köprü inşa ediyor;
burası Rwanda.
											Öylesine fark yaratıyor ki...
											Yalnızca köprünün
yakınında olanlara değil,
											bu köprülerin etkisi gerçekten çok büyük
											ve tüm topluluk üzerinde etki yapıyor,
											çok geniş bir kitle üzerinde.
									","
											El mundo necesita puentes.
											¿Se imaginan cómo sería
si no los tuviésemos?
											Es difícil imaginar 
una civilización sin puentes
											porque son esenciales
											para el crecimiento y el desarrollo
de la sociedad humana,
											pero no son solo una vía segura
para cruzar un río o un obstáculo.
											Nos hablan de conectividad,
											de comunidad.
											Nos revelan algo sobre la creatividad,
											sobre nuestro ingenio,
											incluso dejan entrever nuestra identidad.
											Y cuando fallan
											o se destruyen en un conflicto,
											las comunidades pasan dificultades,
											no hay desarrollo, los pueblos sufren.
											Aun hoy en día
											hay más de mil millones de personas
en comunidades rurales pobres
											en todo el mundo
											que no siempre tienen un acceso seguro
											a las cosas que nosotros
damos por sentado:
											educación, cuidados sanitarios,
acceso a los mercados.
											Por eso organizaciones maravillosas
como Puentes a la Prosperidad
											construyen puentes en estos sitios...
esto es Ruanda.
											Hacen una gran diferencia
											no solo para los que 
viven cerca del puente,
											sino que el impacto es gigantesco
											y se extiende a toda la comunidad
											e incluso más allá.
									",Bridges should be beautiful,Ian Firth,14:01,"architecture,beauty,community,engineering,identity,creativity,infrastructure,public spaces,innovation"
"
","
","
","
",Bridges should be beautiful,Ian Firth,14:01,"architecture,beauty,community,engineering,identity,creativity,infrastructure,public spaces,innovation"
"
											Of course bridges have been around
for an awfully long time.
											The oldest ones are stone
because it's a very durable material.
											I don't know about you —
											I love to look at
the development of technology
											to learn about what people did
with the materials
											and tools available to them at the time.
											So the Pont Du Gard in the center
is a wonderful example —
											Roman aqueduct in the South of France —
											fantastic piece of technology
built using massive stones put together,
											dry — there's no mortar in those joints.
											They're just dry stone joints —
											fantastic
											and almost as good as new today.
											Or sometimes up in the mountains,
											people would build
these suspension bridges,
											often across some dizzy canyon,
											using a vine.
											In this case, this is in Peru.
											This is using grass which grows locally
											and is woven into ropes
to build these bridges.
											And do you know
they rebuild this every year?
											Because of course grass
is not a durable material.
											So this bridge is unchanged
since Inca times.
									","
											Bien sûr, les ponts existent
depuis énormément de temps.
											Les plus anciens sont en pierre
car c'est un matériau durable.
											Je ne sais pas pour vous —
											mais j'adore regarder
les avancées technologiques
											pour m'informer de ce qui
a été fait avec les matériaux
											et les outils disponibles à ce moment-là.
											Ainsi, le Pont du Gard au milieu
est un exemple fabuleux —
											Un aqueduc romain
dans le sud de la France —
											une technologie fantastique réalisée
en assemblant de grandes pierres,
											à sec — aucun mortier entre les joints.
											On joint les pierres à sec —
											fantastique
											et toujours solide aujourd'hui.
											Ou parfois, dans les montagnes,
											les gens construisent des ponts suspendus,
											pour traverser des canyons vertigineux
											en utilisant des lianes.
											Cette fois, c'est au Pérou.
											En utilisant de l'herbe qui pousse là-bas
											et en en faisant des cordes
pour bâtir ces ponts.
											Et saviez-vous qu'ils les
reconstruisent chaque année ?
											Car bien sûr, l'herbe n'est
pas un matériau durable.
											Donc ce pont n'a pas changé
depuis l'époque Inca.
									","
											Tabii köprüler oldukça
uzun zamandır hayatımızda varlar.
											En eski olanlar taştan yapılmış,
çünkü çok dayanıklı bir materyal.
											Sizleri bilemiyorum ama...
											Ben teknolojik gelişmeleri takip etmeyi
											ve insanların kendi zamanlarındaki
materyalleri kullanarak
											neler yaptığını öğrenmeye bayılıyorum.
											Pont Du Gard köprüsü harika bir örnek;
											Fransa güneyinde
Antik Roma'dan kalma bir su kemeri,
											devasa taşların bir araya konmasıyla
oluşturulmuş harika bir teknoloji,
											tamamen kuru olarak -
birleşme yerlerinde harç yok.
											Yalnızca kuru taş eklemler.
											Harika olmakla birlikte
											bugün yapılmış gibi yeni duruyor.
											Bir de dağların tepelerindeki
											asma köprülere bir göz atalım,
											bazen baş döndüren bir kanyon üstünde
											ve sarmaşık kullanılmış.
											Bu örnek Peru'dan.
											Orada yetişen bir bitki kullanılmış
											ve köprüyü tutan halatlara
örülmesi sağlanmış.
											Üstelik bunu her yıl
yeniden inşa ediyorlar.
											Çünkü bitki dayanıklı bir materyal değil.
											Bu köprü İnka zamanından
beri hiç değişmemiş.
									","
											Los puentes han existido
desde hace mucho tiempo.
											Los más antiguos eran de piedra
porque es un material muy duradero.
											No sé Uds., pero a mí me encanta
estudiar el desarrollo tecnológico
											para aprender acerca de lo que se hacía
											con los materiales y las herramientas
disponibles en cada época.
											El Puente del Gard 
es un ejemplo magnífico
											—un acueducto romano
en el sur de Francia—
											una fantástica obra de tecnología
construida con piedras gigantescas,
											unidas entre sí sin emplear argamasa.
											Son solo piedras unidas...
											fantástico
											y aún sigue en pie, como nuevo.
											A veces, en las montañas,
											la gente construye puentes colgantes
											que atraviesan un cañón profundo
											usando vid.
											Este es en Perú.
											Aquí usan hierbas que crecen localmente
											y se tejen como cuerdas
para construir estos puentes.
											¿Sabían que lo reconstruyen
todos los años?
											Porque la hierba no es
un material duradero.
											No ha cambiado desde 
el tiempo de los Incas.
									",Bridges should be beautiful,Ian Firth,14:01,"architecture,beauty,community,engineering,identity,creativity,infrastructure,public spaces,innovation"
"
","
","
","
",Bridges should be beautiful,Ian Firth,14:01,"architecture,beauty,community,engineering,identity,creativity,infrastructure,public spaces,innovation"
"
											And bridges can be
symbols of their location.
											Of course, Golden Gate
and Sydney are well familiar.
											In Mostar the bridge was synonymous
with the name of the place,
											and to such an extent
that in the war in 1993
											when the bridge was destroyed,
											the town all but lost its identity
until the bridge was reconstructed.
											And bridges are enormous
features in our landscape —
											not just enormous,
sometimes there's small ones —
											and they are really significant features,
											and I believe we have a duty
to make our bridges beautiful.
											Thankfully, many people do.
											Think of the stunning Millau Viaduct
in the South of France.
											French engineer Michel Virlogeux
and British architect Lord Foster
											collaborated together to produce something
											which is a really spectacular
synergy of architecture and engineering.
											Or Robert Maillart's Salginatobel Bridge
in the mountains in Switzerland —
											absolutely sublime.
											Or more recently,
											Laurent Ney's beautiful
and rather delicate bridge
											for Tintagel Castle in the UK.
											These are spectacular
and beautiful designs
											and we need to see more of this.
									","
											Et les ponts peuvent être
le symbole de leur lieu.
											Bien sûr, le Golden Gate
et Sydney sont bien connus.
											À Mostar, le pont était synonyme
du nom de la ville,
											à tel point que pendant
la guerre en 1993,
											quand le pont a été détruit,
											la ville a presque perdu son identité
jusqu'à sa reconstruction.
											Et les ponts sont des caractéristiques
énormes dans notre paysage —
											pas qu'énormes,
ils sont parfois petits —
											et ce sont des éléments très importants,
											et je crois que nous nous devons
de rendre nos ponts beaux.
											Heureusement, c'est souvent le cas.
											Pensez au superbe Viaduc de Millau
dans le sud de la France.
											L'ingénieur français Michel Virlogeux
et l'architecte anglais Lord Foster
											ont collaboré pour
produire quelque chose
											qui est une combinaison prodigieuse
d'architecture et d’ingénierie.
											Ou le pont de Salginatobel de Robert
Maillart dans les montagnes suisses —
											absolument sublime.
											Ou plus récemment,
											la passerelle de Laurent Ney,
belle et quelque peu délicate
											pour le château anglais de Tintagel.
											Ils sont beaux et spectaculairement conçus
											et des comme ça, il en faut plus.
									","
											Köprüler konumlarının sembolü de olabilir.
											Golden Gate ve Sydney Köprüsü'ne
elbette çok aşinayız.
											Mostar'da köprü şehrin adını almış,
											öyle ki 1993 yılındaki savaşta
											köprü yıkıldığında
											köprü yeniden inşa edilene dek
halk neredeyse kimliğini kaybetmiş.
											Köprüler manzaralarımızda da
devasa önem taşıyorlar.
											Yalnızca devasa değil,
bazen küçük ayrıntılar da var
											ve gerçekten çok öenmli ayrıntılar.
											Ben bu köprüleri çok güzel kılmakla
yükümlü olduğumuza inanıyorum.
											Neyse ki çok kişi aynı fikirde.
											Örneğin Fransa'nın güneyindeki
büyüleyici Millau Viaduct.
											Fransız mühendis Michel Virlogeux
ve İngiliz mimar Lord Foster
											bir mimari ve mühendislik harikası
ortaya çıkarmak için
											ortaklaşa çalıştılar.
											İsviçre'nin dağlarında Robert Maillart
tarafından yapılan Salginatobel Köprüsü...
											tamamıyla muhteşem.
											Bir de son zamanlardaki
											Laurant Ney'in Birleşik Krallık'ta
Tintagel Kalesi için yaptığı
											o çok güzel ve hassas köprüsü var.
											Bunlar göz kamaştırıcı tasarımlar
											ve daha fazlasına ihtiyacımız var.
									","
											Los puentes pueden llegar
a ser un símbolo del sitio.
											El Golden Gate y el de Sídney 
son muy conocidos.
											En Mostar, el puente 
era sinónimo con la ciudad
											hasta el punto que, cuando 
fue destruido en la guerra de 1993,
											la ciudad perdió su identidad
hasta que el puente fue reconstruido.
											Los puentes son objetos enormes
en nuestros paisajes
											—claro, también los hay pequeños—
											pero son objetos realmente importantes
											por lo que creo que es nuestro deber
construir puentes hermosos.
											Por suerte, muchos lo son.
											Piensen en el impresionante
Viaducto de Millau en el sur de Francia.
											El ingeniero francés Michel Virlogeux
y el arquitecto inglés Lord Foster
											trabajaron juntos para producir una obra
											que es una sinergia espectacular
entre arquitectura e ingeniería.
											O el puente de Salginatobel de
Robert Maillart en las montañas suizas...
											realmente sublime.
											O más recientemente,
											el hermoso y delicado
puente de Laurent Ney
											para el castillo Tintagel
en el Reino Unido.
											Son obras espectaculares y hermosas
											y necesitamos que haya más.
									",Bridges should be beautiful,Ian Firth,14:01,"architecture,beauty,community,engineering,identity,creativity,infrastructure,public spaces,innovation"
"
","
","
","
",Bridges should be beautiful,Ian Firth,14:01,"architecture,beauty,community,engineering,identity,creativity,infrastructure,public spaces,innovation"
"
											Bridges can be considered
in three convenient categories,
											depending on the nature
of the structural system
											that they adopt
as their principal support.
											So, bending, of course,
is the way a beam will behave —
											so, beams and bending.
											Or compression is the principal
way of operating for an arch.
											Or for the really long spans
you need to go lightweight,
											as we'll see in a minute,
											and you'll use tension, cables —
											suspension bridges.
											And the opportunity
for variety is enormous.
											Engineers have a fantastic scope
for innovation and ingenuity
											and developing different forms
around these types.
									","
											Les ponts peuvent être rangés
dans trois catégories,
											selon la nature de la structure
											qu'ils adoptent comme
structure principale.
											Donc, le cintrage, bien sûr,
quand on tord une poutre —
											donc, poutres et cintrage.
											Ou la compression, le principal
mode de travail pour une arche.
											Ou pour les très longs ponts,
il faut être léger,
											nous reviendrons là-dessus,
											donc on utilise de la tension,
des câbles —
											les ponts suspendus.
											Et de nombreuses variétés
différentes sont possibles.
											Les ingénieurs ont un grand potentiel
d'innovation et d'inventivité
											et pour développer diverses formes
autour de ces catégories.
									","
											Asıl destekleri için dayandıkları
											yapı sisteminin doğasına göre
											köprüler üç uygun sınıfta
değerlendirilebilir.
											Esneklik, elbette,
kirişlerin akıbetini belirler.
											Kirişler ve esneklik.
											Veya bir kemer söz konusuysa
sıkıştırma ilk başlıca faaliyettir.
											Uzun kirişli köprüler için
ihtiyacımız olan hafiflik,
											birazdan göreceğiz,
											gerginleştirme ve kablolar...
											asma köprüler.
											Burada çok büyük çeşitlilik imkânımız var.
											Mühendisler bu alanda harika
bir yenilik ve maharete,
											ayrıca farklı modeller
geliştirme yetisine sahip.
									","
											Los puentes pueden clasificarse
convenientemente en tres categorías
											dependiendo de la naturaleza
del sistema estructural
											que adoptan como su soporte principal.
											La flexión, claro, es la manera 
como se comporta la viga...
											así que viga y flexión.
											O la compresión, que es el principio
en el que se basa un arco.
											O para tramos muy largos
que deben ser livianos,
											como verán en un minuto,
											se usa la tensión, los cables...
											puentes colgantes.
											Y las oportunidades 
para variar son enormes.
											Los ingenieros tienen un gran potencial
											para la innovación, el ingenio
											y el desarrollo de formas diferentes
alrededor de estos tipos de puente.
									",Bridges should be beautiful,Ian Firth,14:01,"architecture,beauty,community,engineering,identity,creativity,infrastructure,public spaces,innovation"
"
","
","
","
",Bridges should be beautiful,Ian Firth,14:01,"architecture,beauty,community,engineering,identity,creativity,infrastructure,public spaces,innovation"
"
											But technological change
happens relatively slowly in my world,
											believe it or not,
											compared to the changes
that happen in mobile phone technology
											and computers and digital
technologies and so on.
											In our world of construction,
											the changes seem positively glacial.
											And the reason for this
can be summarized in one word:
											risk.
											Structural engineers like me manage risk.
											We are responsible for structural safety.
											That's what we do.
											And when we design bridges like these,
											I have to balance the probability
that loads will be excessive on one side
											or the strength will be
too low on the other side.
											Both of which, incidentally,
are full of uncertainty usually,
											and so it's a probabilistic problem,
											and we have to make sure
											that there's an adequate margin
for safety between the two, of course.
											There's no such thing, I have to tell you,
											as absolute safety.
											Contrary to popular belief,
											zero risk doesn't exist.
									","
											Mais les avancées technologiques
arrivent assez lentement dans mon monde,
											croyez-le ou non,
											comparé aux évolutions technologiques
dans la téléphonie mobile,
											en informatique,
en technologie numérique, etc.
											Dans notre monde,
celui de la construction,
											ces évolutions semblent
indéniablement lentes.
											La raison de cette lenteur peut
être résumée en un mot :
											le risque.
											Nous, les ingénieurs, gérons les risques.
											Notre devoir est
de sécuriser la structure.
											C'est notre job.
											Et lorsque nous concevons
de tels ponts,
											je dois prendre en compte la possibilité
qu'il y ait plus de poids sur un côté
											ou que la résistance soit
trop faible de l'autre côté.
											Et tout cela n'est d'ailleurs
généralement pas prévisible
											et complique ainsi les calculs.
											Nous devons donc faire en sorte
											qu'il y ait une marge adéquate pour
la sécurité entre les deux, bien sûr.
											Il n'y a rien, je dois vous le dire,
qui soit parfaitement sûr.
											Contrairement à l'opinion populaire,
											le risque zéro n'existe pas.
									","
											Ancak teknolojik değişim
bu dünyada nispeten yavaş gelişiyor,
											Kulağa inanılmaz gelse de
											özellikle cep telefonu teknolojisiyle
											ve diğer bilgisayar ve dijital
teknolojilerle kıyaslandığında.
											Bizim inşaat dünyamızda,
											bu değişiklikler
istenmiyor gibi görünüyor.
											Bunun sebebini
bir kelimeyle açıklayabiliriz:
											risk.
											Benim gibi yapı mühendisleri
risk idaresi yapar.
											Yapısal güvenlikten sorumluyuz.
											Yaptığımız şey bu.
											Bunun gibi köprüler tasarladığımızda
											yükün bir tarafta çok fazla geleceği
veya diğer kısmın güçsüz olacağı
											olasılıklarını dengede tutmam gerek.
											Bu iki durum da belirsizlik dolu,
											yani bir olasılık sorunu
											ve bizim de ikisi arasında
											yeterli bir güvenlik marjini
olduğundan emin olmamız gerekiyor.
											Şunu söylemeliyim ki
											tam güvenlik diye bir şey yok.
											Herkesin inandığının aksine,
											sıfır risk diye bir şey yok.
									","
											Pero los cambios tecnológicos 
en mi campo son relativamente lentos
											aunque Uds. no lo crean,
											en comparación a los cambios que ocurren
en la tecnología del teléfono móvil,
											las computadoras, 
las tecnologías digitales, etc.
											En el mundo de la construcción
											los cambios ocurren de manera 
extremadamente lenta.
											Y la razón se puede 
resumir en una palabra:
											riesgo.
											Los ingenieros estructurales 
gestionamos el riesgo.
											Nuestro trabajo es estar a cargo
de la seguridad estructural.
											Cuando diseñamos puentes como estos,
											hay que considerar la probabilidad
de que la carga sea excesiva, por un lado,
											y por otro la probabilidad de que
la resistencia sea insuficiente.
											Dos cosas que, por otra parte,
suelen estar llenas de incertidumbre
											así que es un problema probabilístico
y tenemos que asegurarnos
											de que haya un margen de seguridad
adecuado entre las dos, por supuesto.
											Tengo que decirles 
que la seguridad absoluta
											no existe.
											Contrario a la creencia popular
											el riesgo nulo no existe.
									",Bridges should be beautiful,Ian Firth,14:01,"architecture,beauty,community,engineering,identity,creativity,infrastructure,public spaces,innovation"
