en,es,pt,fr,title,speaker,duration,tags
"
","
","
","
","How to go to space, without having to go to space",Angelo Vermeulen,7:04,"TED Fellows,architecture,design,science,space,NASA,science and art,psychology,food,crowdsourcing,collaboration,technology,sustainability,engineering,future,innovation"
"
											I am multidisciplinary.
									","
											Soy polifacético.
									","
											Sou multidisciplinar.
									","
											Je suis pluridisciplinaire.
									","How to go to space, without having to go to space",Angelo Vermeulen,7:04,"TED Fellows,architecture,design,science,space,NASA,science and art,psychology,food,crowdsourcing,collaboration,technology,sustainability,engineering,future,innovation"
"
","
","
","
","How to go to space, without having to go to space",Angelo Vermeulen,7:04,"TED Fellows,architecture,design,science,space,NASA,science and art,psychology,food,crowdsourcing,collaboration,technology,sustainability,engineering,future,innovation"
"
											As a scientist, I've been a crew commander
for a NASA Mars simulation last year,
											and as an artist, I create multicultural
community art all over the planet.
											And recently, I've actually
been combining both.
											But let me first talk a little more
about that NASA mission.
									","
											Como científico, fui comandante
de la tripulación de la NASA
											para una simulación a Marte el año pasado
											y como artista desarrollo en todo el mundo
prácticas artísticas multiculturales.
											Últimamente, he estado
haciendo un poco de las dos.
											Pero antes, hablaré un poco más
sobre esa misión de la NASA.
									","
											Enquanto cientista, fui o comandante
											duma simulação de Marte 
da NASA no ano passado.
											Enquanto artista, crio arte multicultural
e comunitária por todo o planeta.
											Ultimamente, de facto
tenho combinado as duas coisas.
											Mas primeiro, vou falar um
pouco sobre aquela missão da NASA.
									","
											Scientifique, j'ai dirigé la simulation 
Mars de la NASA l'année dernière.
											Artiste, je crée une communauté
multiculturelle à travers le monde.
											Récemment, j'ai combiné les deux.
											D'abord, parlons de la mission NASA.
									","How to go to space, without having to go to space",Angelo Vermeulen,7:04,"TED Fellows,architecture,design,science,space,NASA,science and art,psychology,food,crowdsourcing,collaboration,technology,sustainability,engineering,future,innovation"
"
","
","
","
","How to go to space, without having to go to space",Angelo Vermeulen,7:04,"TED Fellows,architecture,design,science,space,NASA,science and art,psychology,food,crowdsourcing,collaboration,technology,sustainability,engineering,future,innovation"
"
											This is the HI-SEAS program.
											HI-SEAS is a NASA-funded
planetary surface analogue
											on the Mauna Loa volcano in Hawaii,
											and it's a research program
that is specifically designed
											to study the effects
of long-term isolation of small crews.
											I lived in this dome for four months
with a crew of six,
											a very interesting experience, of course.
											We did all kinds of research.
											Our main research
was actually a food study,
											but apart from that food study —
											developing a new food system
for astronauts living in deep space —
											we also did all kinds of other research.
											We did extra-vehicular activities,
as you can see here,
											wearing mock-up space suits,
											but we also had our chores
and lots of other stuff to do,
											like questionnaires
at the end of every day.
											Busy, busy work.
									","
											Este es el programa HI-SEAS,
											un proyecto patrocinado por la NASA
para simular superficies planetarias
											en el volcán Mauna Loa en Hawái,
											y es un programa de investigación
diseñado específicamente
											para estudiar los efectos del aislamiento
a largo plazo en pequeñas tripulaciones.
											Viví en esta cúpula durante 4 meses
junto a una tripulación de 6 personas,
											y fue, por supuesto,
una experiencia muy interesante.
											Hicimos todo tipo de investigaciones.
											De hecho, nuestra principal investigación
se centraba en el estudio de los alimentos
											pero, aparte de eso, de desarrollar
un nuevo sistema alimentario
											para los astronautas que 
viven en el espacio profundo,
											también hicimos todo tipo
de otras investigaciones.
											Hicimos actividades fuera del vehículo,
como se puede ver aquí,
											vistiendo prototipos de trajes espaciales
											pero también hicimos muchas otras cosas,
											como rellenar cuestionarios
al final de cada día.
											Mucho, mucho trabajo.
									","
											Este é o programa HI-SEAS
											HI-SEAS é uma simulação de um planeta
financiada pela NASA,
											localizada no vulcão Mauna Loa no Havai,
											e é um programa de investigação
projetado especificamente
											para estudar os efeitos do isolamento
de longo prazo de tripulações pequenas.
											Vivi nesta abóbada durante quatro meses
com uma tripulação de seis pessoas,
											uma experiência muito interessante, 
naturalmente.
											Fizemos todo o tipo de pesquisa.
											A principal era de facto
um estudo sobre comida
											mas, para além desse estudo sobre comida,
											um novo sistema de alimentos
para astronautas do espaço profundo,
											fizemos várias outras investigações.
											Fizemos atividades extraveiculares, 
como podem ver aqui,
											usando imitações de trajes espaciais,
											mas também tivemos afazeres
e muitas outras coisas,
											como questionários no fim de cada dia.
											Muito, muito trabalho.
									","
											Il s'agit du programme ""HI-SEAS"".
											Financé par la NASA, ""HI-SEAS"" est 
l'analogue d'une surface planétaire
											situé sur le volcan Mauna Loa
à Hawaï,
											c'est un programme de recherche
conçu specialement
											pour étudier les effets de l'isolement
prolongé sur de petites équipes.
											J'ai vécu sous ce dome pendant
4 mois avec une équipe de 6 personnes.
											Une expérience très intéressante,
bien sûr.
											On a fait toutes sortes de recherches.
											Notre étude principale 
portait sur la nutrition,
											mis à part cette étude alimentaire
											visant à développer des aliments adaptés
aux astronautes vivants dans l'espace —
											nous avons fait beaucoup
d'autres recherches.
											Des activités extravéhiculaires
comme celles-ci.
											Nous portions des imitations
de combinaisons spatiales.
											mais nous avions aussi 
des tâches ménagères et en plus
											des questionnaires quotidiens
à remplir tous les soirs.
											Beaucoup à faire.
									","How to go to space, without having to go to space",Angelo Vermeulen,7:04,"TED Fellows,architecture,design,science,space,NASA,science and art,psychology,food,crowdsourcing,collaboration,technology,sustainability,engineering,future,innovation"
"
","
","
","
","How to go to space, without having to go to space",Angelo Vermeulen,7:04,"TED Fellows,architecture,design,science,space,NASA,science and art,psychology,food,crowdsourcing,collaboration,technology,sustainability,engineering,future,innovation"
"
											Now, as you can imagine,
											it's quite challenging to live
with just a small group of people
											in a small space for a long time.
											There's all kinds
of psychological challenges:
											how to keep a team together
in these circumstances;
											how to deal with the warping of time
you start to sense
											when you're living in these circumstances;
											sleep problems that arise; etc.
											But also we learned a lot.
											I learned a lot about
how individual crew members
											actually cope with a situation like this;
											how you can keep a crew
productive and happy,
											for example, giving them
a good deal of autonomy
											is a good trick to do that;
											and honestly, I learned
a lot about leadership,
											because I was a crew commander.
									","
											Ahora, como pueden imaginar,
											es todo un reto vivir con 
solo un puñado de personas
											en un espacio pequeño mucho tiempo.
											Hay todo tipo de 
desafíos psicológicos:
											cómo mantener un equipo unido
en estas circunstancias,
											cómo hacer frente a la distorsión temporal
que uno empieza a sentir
											viviendo en estas circunstancias;
											los problemas de sueño
que se plantean; etc.
											Pero también aprendimos mucho.
											Aprendí mucho acerca de cómo
cada miembro de la tripulación
											se enfrenta realmente
a una situación similar;
											cómo se puede mantener
un equipo productivo y feliz,
											por ejemplo, dándoles
bastante autonomía
											es un buen truco para lograrlo;
											y, sinceramente, aprendí
mucho sobre el liderazgo,
											porque yo era el comandante
de la tripulación.
									","
											Como podem imaginar,
											é um desafio enorme viver com
um pequeno grupo de pessoas
											num espaço pequeno 
durante muito tempo.
											Há vários tipos de desafios psicológicos:
											como manter uma equipa unida
nestas circunstâncias;
											como lidar com a deformação do tempo
que começamos a sentir
											quando estamos a viver 
nestas circunstâncias;
											problemas de sono a surgir; etc.
											Mas também aprendemos muito.
											Eu aprendi muito sobre 
como os membros da tripulação
											lidam com uma situação como esta;
											como se pode manter a tripulação
produtiva e satisfeita,
											por exemplo, dar-lhes
uma boa dose de autonomia
											é um bom truque para isso;
											honestamente, aprendi 
muito sobre liderança,
											porque era o comandante da tripulação.
									","
											En fait, comme vous pouvez l'imaginer
											il est parfois difficile de vivre
avec juste quelques personnes
											dans un espace réduit pendant longtemps.
											Il y a plein de défis psychologiques :
											savoir maintenir l'intégrité 
de l'équipe dans ces conditions,
											savoir réagir à la sensation de
distortion du temps qu'on ressent
											lorsque l'on vit dans ces conditions,
											des problèmes de sommeil, etc...
											Mais on a appris beaucoup.
											J'ai beaucoup appris sur la manière 
dont chaque membre de l'équipage
											parviennent à faire face à 
une telle situation ;
											comment faire qu'un groupe 
reste productif et heureux,
											par exemple, leur donner
une bonne dose d'indépendance
											est un bon moyen d'obtenir
ces résultats,
											et franchement, j'ai appris
comment devenir un leader
											parce que j'étais 
le capitaine d'équipage.
									","How to go to space, without having to go to space",Angelo Vermeulen,7:04,"TED Fellows,architecture,design,science,space,NASA,science and art,psychology,food,crowdsourcing,collaboration,technology,sustainability,engineering,future,innovation"
"
","
","
","
","How to go to space, without having to go to space",Angelo Vermeulen,7:04,"TED Fellows,architecture,design,science,space,NASA,science and art,psychology,food,crowdsourcing,collaboration,technology,sustainability,engineering,future,innovation"
"
											So doing this mission,
											I really started thinking more deeply
about our future in outer space.
											We will venture into outer space,
and we will start inhabiting outer space.
											I have no doubt about it.
											It might take 50 years
or it might take 500 years,
											but it's going to happen nevertheless.
											So I came up with
a new art project called Seeker.
											And the Seeker project is actually
challenging communities all over the world
											to come up with starship prototypes
											that re-envision
human habitation and survival.
											That's the core of the project.
									","
											Así que al hacer esta misión,
											empecé a pensar más a fondo en nuestro 
futuro en el espacio exterior.
											Nos aventuraremos en el espacio exterior
											y empezaremos a habitarlo.
											No tengo duda al respecto.
											El proceso puede demorar 
50 años o 500 años,
											pero, no obstante va a suceder.
											Se me ocurrió un nuevo proyecto 
artístico llamado Buscador [Seeker].
											Es en realidad un reto para 
todas las comunidades mundiales
											de presentar prototipos
de naves espaciales
											que repiensan la supervivencia
y las posibilidades de habitar humanas.
											Ese es el núcleo del proyecto.
									","
											Então, ao realizar esta missão,
											comecei a pensar mais profundamente
no nosso futuro no espaço exterior.
											Vamos arriscar-nos no espaço exterior, 
começar a povoar o espaço exterior.
											Não tenho dúvidas sobre isso.
											Pode levar 50 anos ou pode levar 500 anos,
											mas mesmo assim vai acontecer.
											Então surgiu-me a ideia dum novo projeto 
artístico chamado Seeker.
											O projeto Seeker está a desafiar
comunidades em todo o mundo
											para conceberem protótipos de astronaves
											que revolucionem a habitação
e a sobrevivência humanas.
											É o âmago do projeto.
									","
											En accomplissant cette mission
											j'ai vraiment commencé à penser
sérieusement à notre futur dans l'espace.
											On s'aventurera dans l'espace,
et on commencera à y habiter.
											J'en suis certain.
											Peut-être dans 50 ou 500 ans,
											mais ça arrivera un jour.
											Alors j'ai décidé de donner vie
à un projet artistique nommé ""Seeker"".
											Ce projet engage les
communautés mondiales
											à créer des prototypes de 
vaisseaux interstellaires
											qui redéfinissent les notions
d'habitat et de survie.
											C'est le coeur du projet.
									","How to go to space, without having to go to space",Angelo Vermeulen,7:04,"TED Fellows,architecture,design,science,space,NASA,science and art,psychology,food,crowdsourcing,collaboration,technology,sustainability,engineering,future,innovation"
