en,pt,fr,title,speaker,duration,tags
"
","
","
",How the arts help homeless youth heal and build,Malika Whitley,6:28,"creativity,homelessness,personal growth,activism,humanity,society,social change,art"
"
											Don't you love a good nap?
									","
											Não gostam de uma boa sesta?
									","
											Vous aimez une bonne sieste ?
									",How the arts help homeless youth heal and build,Malika Whitley,6:28,"creativity,homelessness,personal growth,activism,humanity,society,social change,art"
"
","
","
",How the arts help homeless youth heal and build,Malika Whitley,6:28,"creativity,homelessness,personal growth,activism,humanity,society,social change,art"
"
											(Laughter)
									","
											(Risos)
									","
											(Rires)
									",How the arts help homeless youth heal and build,Malika Whitley,6:28,"creativity,homelessness,personal growth,activism,humanity,society,social change,art"
"
","
","
",How the arts help homeless youth heal and build,Malika Whitley,6:28,"creativity,homelessness,personal growth,activism,humanity,society,social change,art"
"
											Just stealing away
that small block of time
											to curl up on your couch
for that sweet moment of escape.
											It's one of my favorite things,
											but something I took for granted
											before I began experiencing
homelessness as a teenager.
											The ability to take a nap is only reserved
for stability and sureness,
											something you can't find
											when you're carrying
everything you own in your book bag
											and carefully counting the amount of time
you're allowed to sit in any given place
											before being asked to leave.
									","
											Aproveitar aquele tempinho
											para enroscar-se no sofá
e escapar dos problemas.
											É uma das minhas coisas favoritas
											mas era uma coisa que eu julgava natural
											antes de me tornar sem-abrigo 
durante a minha adolescência.
											Fazer uma sesta só é possível
quando se tem estabilidade e segurança,
											uma coisa que não encontramos
											quando carregamos
tudo o que temos na mochila
											e contamos o tempo
que nos é permitido estar num lugar
											antes de nos pedirem para sairmos.
									","
											Cette petite parcelle de temps
dérobée à la journée,
											lové dans votre canapé
pour ce doux moment d'évasion.
											Un de mes moments préférés,
											que je considérais un acquis
											jusqu'à ce que je devienne
une adolescente sans-abri.
											On ne peut faire de sieste qu'en situation
de stabilité et de sécurité,
											ce qui est difficile
											quand tout ce que vous possédez
est dans votre sac à dos
											et que vous comptez soigneusement
le temps qui vous est accordé quelque part
											avant qu'on vous dise de partir.
									",How the arts help homeless youth heal and build,Malika Whitley,6:28,"creativity,homelessness,personal growth,activism,humanity,society,social change,art"
"
","
","
",How the arts help homeless youth heal and build,Malika Whitley,6:28,"creativity,homelessness,personal growth,activism,humanity,society,social change,art"
"
											I grew up in Atlanta, Georgia,
											bouncing from house to house
											with a loving, close-knit family
											as we struggled to find stability
											in our finances.
											But when my mom temporarily
lost herself to mania
											and when that mania chose me
as its primary scapegoat
											through both emotional and physical abuse,
											I fled for my safety.
											I had come to the conclusion
that homelessness was safer for me
											than being at home.
											I was 16.
									","
											Eu cresci em Atlanta,
no estado da Geórgia,
											a saltar de casa em casa
											com uma família unida e carinhosa,
											enquanto lutávamos para encontrar
estabilidade financeira.
											Quando a minha mãe 
teve um episódio maníaco,
											e eu fui o principal bode expiatório
											através de abuso emocional e físico,
											eu fugi para me proteger.
											Cheguei à conclusão 
que tornar-me sem-abrigo
											era mais seguro do que estar em casa.
											Eu tinha dezasseis anos.
									","
											J'ai grandi à Atlanta, en Géorgie,
											déménageant de maison en maison,
											au sein d'une famille aimante et unie,
											mais devant faire face à des difficultés
											d'ordre financier.
											Quand ma mère a été en proie
à des troubles de l'humeur
											et qu'elle a fait de moi
son principal bouc émissaire,
											abusée physiquement et psychologiquement,
											j'ai fui pour ma sécurité.
											J'en étais arrivée à la conclusion
que j'étais plus en sécurité dans la rue
											qu'à la maison.
											J'avais 16 ans.
									",How the arts help homeless youth heal and build,Malika Whitley,6:28,"creativity,homelessness,personal growth,activism,humanity,society,social change,art"
"
","
","
",How the arts help homeless youth heal and build,Malika Whitley,6:28,"creativity,homelessness,personal growth,activism,humanity,society,social change,art"
"
											During my homelessness,
I joined Atlanta's 3,300 homeless youth
											in feeling uncared for,
											left out and invisible each night.
											There wasn't and still is not any place
											for a homeless minor
to walk off the street
											to access a bed.
											I realized that most people
thought of homelessness
											as some kind of lazy, drug-induced
squalor and inconvenience,
											but that didn't represent my book bag
full of clothes and schoolbooks,
											or my A+ grade point average.
											I would sit on my favorite bench downtown
											and watch as the hours passed by
											until I could sneak in
a few hours of sleep
											on couches, in cars,
											in buildings or in storage units.
											I, like thousands of other homeless youth,
disappeared into the shadows of the city
											while the whole world kept spinning
											as if nothing at all
had gone terribly wrong.
											The invisibility alone
almost completely broke my spirit.
									","
											Juntei-me aos 3300 adolescentes 
que viviam na rua em Atlanta
											que se sentiam negligenciados,
											excluídos e invisíveis todas as noites.
											Não existia, e ainda não existe, um lugar
											para um menor de idade,
sem abrigo, sair da rua
											e ter acesso a uma cama.
											A maioria das pessoas 
pensava que os sem-abrigo
											eram preguiçosos, drogados,
sórdidos e uma inconveniência,
											mas a minha mochila não mostrava isso,
cheia de roupa e manuais escolares,
											nem as minhas excelentes notas na escola.
											Eu sentava-me no meu banco favorito
											e vigiava, enquanto as horas passavam,
											até poder, sorrateiramente,
dormir algumas horas
											em sofás, em carros,
											em edifícios ou em armazéns.
											Eu, tal como milhares
de outros jovens sem abrigo,
											desapareci nas sombras da cidade,
											enquanto o mundo continuava a girar,
											como se nada tivesse corrido mal.
											A sensação de invisibilidade 
quase que me quebrou o espírito.
									","
											Durant cette période, j'ai été l'une
des 3 300 jeunes sans-abris d'Atlanta,
											me sentant comme eux abandonnée,
											délaissée et invisible chaque nuit.
											Il n'y avait et il n'y a toujours
aucun lieu
											permettant à un jeune sans-abri
de quitter la rue
											pour un lit.
											J'ai réalisé que pour la plupart des gens,
											sans-abris rime avec paresse,
misère, drogue et dérangement.
											Mais mon sac à dos plein de vêtements
et de livres de classe,
											et mes excellentes notes
disaient le contraire.
											Je m'asseyais sur mon banc préféré
en ville
											et regardais passer les heures,
											jusqu'à ce que je puisse grappiller
quelques heures de sommeil
											sur des canapés, dans des voitures,
											dans des bâtiments ou des hangars.
											Comme des milliers d'autres,
je me fondais dans les ombres de la ville,
											tandis que le monde continuait à tourner
											comme si rien de terrible
ne s'était produit.
											Être ainsi invisible m'a presque
complètement brisée mentalement.
									",How the arts help homeless youth heal and build,Malika Whitley,6:28,"creativity,homelessness,personal growth,activism,humanity,society,social change,art"
