en,es,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",How art gives shape to cultural change,Thelma Golden,12:28,"art,cities,culture,design,entertainment,race"
"
											The brilliant playwright, Adrienne Kennedy,
											wrote a volume called
											""People Who Led to My Plays.""
											And if I were to write a volume,
											it would be called,
											""Artists Who Have Led My Exhibitions""
											because my work,
											in understanding art and in understanding culture,
											has come by following artists,
											by looking at what artists mean
											and what they do and who they are.
											J.J. from ""Good Times,""
											(Applause)
											significant to many people of course
											because of ""Dy-no-mite,""
											but perhaps more significant
											as the first, really, black artist
											on primetime TV.
											Jean-Michel Basquiat,
											important to me because [he was]
											the first black artist in real time
											that showed me the possibility of
											who and what I was about to enter into.
									","
											La brillante dramaturga, Adrienne Kennedy,
											escribió un libro llamado
											""People Who Led to My Plays"". (“Gente que me guió a mis obras”)
											Y si yo escribiera un libro
											lo llamaría
											“Artistas que me han guiado a mis muestras”
											porque mi trabajo
											comprendiendo el arte y la cultura
											ha surgido de seguir a los artistas,
											de la observación de lo que los artistas significan,
											de lo que hacen y de lo que son.
											Jay Jay de “Good Times”
											(Aplausos)
											significativo para muchas personas
											debido a “dyn-o-mite”,
											pero tal vez más significativo
											como el primer artista negro
											en horario central en TV.
											Jean Michel Basquiat,
											importante para mí
											por ser el primer artista negro en tiempo real
											que me mostró las posibilidades
											de quién era yo y dónde iría a ingresar.
									","
											Muhteşem oyun yazarı Adrienne Kennedy
											""Oyunlarıma Vesile Kimseler""
											adlı bir kitap yazdı.
											Eğer ben bir kitap yazsaydım,
											adı ""Sergilerime Vesile Kimseler""
											olurdu herhalde,
											çünkü benim işim
											kültürleri ve sanatı anlamak,
											ve bu da sanatçıların ne yaptığını ve onların
											nasıl kimseler olduklarını merak eden
											aşağıda sayacağım sanatçılar sayesinde ortaya çıktı.
											""Good Times"" filminden Jay Jay.
											(Alkış)
											""Dyn-o-mite"" programı sayesinde
											birçok insan için önemli bir yeri var,
											fakat daha önemlisi
											televizyonun en çok izlendiği saatlerden
											yayına çıkan ilk zenci sanatçı.
											Jean-Michel Basquiat
											benim için önemli
											çünkü o benim ne ve kim olacağımı
											görme şansını yakaladığım
											ilk zenci sanatçı.
									","
											La brillante dramaturge, Adrienne Kennedy,
											a écrit un ouvrage intitulé
											""Les gens qui ont mené à mes pièces de théâtre""
											Et si j'avais à écrire un ouvrage,
											il s'intitulerait
											""Les artistes qui ont mené mes expositions""
											parce que mon travail,
											qui consiste à comprendre l'art et la culture,
											se fait en suivant des artistes,
											en observant ce que les artistes expriment,
											ce qu'ils font et qui ils sont.
											Jay Jay, de la série télé ""Good Times"",
											(Applaudissements)
											personnage important aux yeux de beaucoup
											grâce à son expression favorite : ""dyn-o-mite"",
											mais peut-être plus notable
											en tant que véritable premier artiste noir
											à apparaître aux heures de grande écoute.
											Jean-Michel Basquiat
											m'importe beaucoup car il est
											le premier artiste noir non-fictif
											qui m'a montré le potentiel
											du projet dans lequel j'étais sur le point de m'engager.
									","
											Die brillante Bühnenautorin Adrienne Kennedy
											schrieb ein Buch namens
											""Menschen, die eine Hauptrolle in einem meiner Stücke spielten"".
											Und falls ich ein Buch schreiben sollte,
											würde es
											""Künstler, die in meinen Austellungen gezeigt wurden"" heißen,
											da meine Arbeit
											zum Verstehen von Kunst und dem Verstehen von Kultur
											durch das Auseinandersetzen mit Künstlern,
											durch das Sehen was die Künstler beabsichtigten
											und was sie tun und wer sie sind, zustande gekommen ist.
											Jay Jay aus ""Gute Zeiten""
											(Beifall)
											war natürlich bedeutend für viele Menschen
											auf Grund von ""dyn-o-mite""
											aber vielleicht war er wichtiger
											als der erste wirklich schwarze Künstler
											in der Hauptsendezeit.
											Jean-Michel Basquiat
											war wichtig für mich, weil
											er der erste schwarze Künstler in Echtzeit war,
											der mir die Möglichkeit davon gezeigt hat,
											wer und von was ich bald Teil sein würde.
									",How art gives shape to cultural change,Thelma Golden,12:28,"art,cities,culture,design,entertainment,race"
"
","
","
","
","
",How art gives shape to cultural change,Thelma Golden,12:28,"art,cities,culture,design,entertainment,race"
"
											My overall project is about art —
											specifically, about black artists —
											very generally
											about the way in which art
											can change the way we think
											about culture and ourselves.
											My interest is in artists
											who understand and rewrite history,
											who think about themselves
											within the narrative
											of the larger world of art,
											but who have created new places
											for us to see and understand.
											I'm showing two artists here, 
Glenn Ligon and Kara Walker,
											two of many who really form for me
											the essential questions that I wanted to bring
											as a curator to the world.
											I was interested in the idea
											of why and how
											I could create a new story,
											a new narrative in art history
											and a new narrative in the world.
											And to do this, I knew
											that I had to see the way in which artists work,
											understand the artist's studio
											as a laboratory,
											imagine, then,
											reinventing the museum as a think tank
											and looking at the exhibition
											as the ultimate white paper — asking questions,
											providing the space
											to look and to think about answers.
									","
											Globalmente mi proyecto es acerca del arte,
											específicamente acerca de artistas negros,
											en general
											trata la manera en que el arte
											puede cambiar la forma en la que pensamos
											la cultura y a nosotros mismos.
											Mi interés radica en artistas
											que comprenden y reescriben la historia,
											que se consideran a sí mismos
											dentro de la narrativa
											amplia del mundo del arte,
											pero que han creado para nosotros
											nuevos lugares para observar y entender.
											Muestro dos artistas aquí, Glenn Ligon y Carol Walker,
											dos, entre muchos, que para mí definen
											las preguntas esenciales que, como curadora,
											quiero traer al mundo.
											Estaba interesada en la idea
											de por qué y cómo
											podría yo crear una nueva historia,
											una nueva narrativa en la historia del arte
											y una nueva narrativa en el mundo.
											Y para hacer esto entendí
											que tenía que ver la manera en que trabajan los artistas,
											entender el estudio del artista
											como un laboratorio,
											imaginen entonces
											reinventar el museo como una usina de ideas
											y las exhibiciones como
											el “paper” definitivo, formulando las preguntas
											y proveyendo el lugar
											para ver y pensar las respuestas.
									","
											Yaptığım tün bu projeler
											özellikle zenci sanatçılarla ilgili
											ve genellikle de
											kültür ve kendimizle ilgili
											düşünce tarzımızı
											değiştirmemizle alakalı.
											Geniş sanat tarihi içerisinde,
											bu tarihi anlayan ve tekrar yazan,
											kendileriyle ilgili düşünceleri olan
											fakat diğer yandan da,
											bizim görüp,
											anlam vermemiz için yeni
											yerler oluşturan sanatçılara ilgim de bundan dolayı.
											2 sanatçı gösteriyorum burada, Glenn Ligon ve Carol Walker,
											bunlar benim dünyaya
											bir yetkili edasıyla getirmek istediğim
											bazı gerekli soruları oluşturuyorlar.
											Sanat tarihiyle ilgili yeni bir öykü,
											dünyada henüz benzeri olmayan
											yeni bir anlatı
											meydana çıkarabileceğim
											fikriyle yakında ilgileniyordum.
											Ve bunu yapmak için de, sanatçıların
											çalışma yöntemlerini gözden geçirip,
											onların stüdyolarını bir laboratuvar olarak
											anlamlandırabilmek,
											ve o zaman da bir beyin takımı halinde
											bu müzeyi tekrar keşfetmek,
											sergilere oldukça temiz bir
											kapıt nazarıyla bakıp,
											sorulara cevaplar bularak,
											yeterli soruları sormak zorundaydım.
									","
											Le sujet de mon projet d'ensemble est l'art,
											plus particulièrement, les artistes noirs
											et très généralement,
											la manière dont l'art
											peut changer notre façon de penser
											vis-à-vis de la culture et de nous-mêmes.
											Mon intérêt réside dans les artistes
											qui comprennent et réécrivent l'histoire,
											qui se positionnent
											au coeur du récit
											du monde plus vaste qu'est l'art
											mais qui, par leurs oeuvres,
											nous permettent de voir et de comprendre
											Voici deux artistes, Glenn Ligon et Carol Walker,
											deux parmi tant d'autres qui, pour moi, posent vraiment
											les questions essentielles que je souhaitais rapporter
											en tant que conservatrice.
											Il était intéressant pour moi d'établir
											les raisons pour lesquelles et la façon dont
											je pouvais créer une nouvelle histoire,
											un nouveau récit dans l'histoire de l'art,
											et un nouveau récit dans ce monde.
											Et, pour y parvenir, je savais
											que je devais voir de quelle manière les artistes travaillent,
											percevoir le studio de l'artiste
											comme si c'était un laboratoire,
											puis,
											réinventer le musée en tant que lieu d'expertise sur la réflexion,
											et considérer l'exposition
											comme l'ultime page blanche posant des questions,
											fournissant l'espace
											permettant de chercher et de trouver des réponses.
									","
											Mein gesamtes Projekt ist über Kunst,
											besonders, über schwarze Künstler,
											sehr generell
											über die Art wie Kunst
											die Art, wie wir
											über Kultur und uns selbst denken, ändern kann.
											Mein Interesse gilt Künstlern,
											die Geschichte verstehen und neu schreiben,
											die über sich selbst
											in der Geschichte
											der weitgefassten Welt der Kunst nachdenken,
											die aber neue Plätze
											zum Sehen und Verstehen für uns erschaffen haben.
											Ich zeige hier zwei Künstler, Glenn Ligon und Carol Walker,
											zwei von vielen, die, für mich, wirklich
											die wesentlichen Fragen formulieren, die ich
											als Kuratorin an die Welt bringen wollte.
											Ich war interessiert an der Idee
											des 'Warum' und 'Wie'.
											Ich konnte eine neue Geschichte,
											eine neue Erzählung in der Kunstgeschichte
											und eine neue Erzählung in der Welt erschaffen.
											Und um dies zu tun, wusste ich,
											dass ich sehen musste auf welche Weise Künstler arbeiten,
											dass ich das Künstleratelier
											als Labor verstehen musste.
											Stellt euch vor,
											die Neuerfindung des Museums als Denkfabrik
											und die Betrachtung einer Austellung
											als ultimatives leeres Blatt um Fragen zu stellen
											und den Platz zu gewähren,
											um die Antworten zu suchen und zu denken.
									",How art gives shape to cultural change,Thelma Golden,12:28,"art,cities,culture,design,entertainment,race"
"
","
","
","
","
",How art gives shape to cultural change,Thelma Golden,12:28,"art,cities,culture,design,entertainment,race"
"
											In 1994,
											when I was a curator at the Whitney Museum,
											I made an exhibition called Black Male.
											It looked at the intersection
											of race and gender
											in contemporary American art.
											It sought to express
											the ways in which art
											could provide a space for dialogue —
											complicated dialogue,
											dialogue with many, many points of entry —
											and how the museum could be the space
											for this contest of ideas.
											This exhibition included
											over 20 artists
											of various ages and races,
											but all looking at black masculinity
											from a very particular point of view.
											What was significant about this exhibition
											is the way in which
											it engaged me in my role
											as a curator, as a catalyst,
											for this dialogue.
											One of the things that happened
											very distinctly in the course of this exhibition
											is I was confronted with the idea
											of how powerful images can be
											in people's understanding 
of themselves and each other.
									","
											En 1994,
											cuando era curadora en el Museo Whitney,
											realicé una exhibición llamada “El hombre negro”.
											Interpelaba la intersección
											entre raza y género
											en el arte estadounidense contemporáneo.
											Buscaba expresar
											las maneras en las que el arte
											podía proveer un marco al diálogo,
											un diálogo complicado,
											un diálogo con muchas aristas,
											y cómo podía el museo ser un espacio
											para esta contienda de ideas.
											Esta muestra incluyó
											más de 20 artistas
											de varias edades y razas,
											pero todos abordando la masculinidad negra
											desde un punto de vista singular.
											Lo significativo de esta exhibición
											fue la manera en que
											me involucró en mi rol
											de curadora, de catalizadora,
											en este diálogo.
											Una de las cosas que sucedieron
											con mucha nitidez durante esta muestra
											es que me enfrenté con la idea
											de cuán poderosas pueden ser la imágenes
											y la propia comprensión de la gente en relación a sí mismos y hacia los otros.
									","
											1994 yılında,
											Whitney Müzesinde bir görevli olduğum zaman,
											""Black Male"" adında bir sergi düzenledim.
											Günümüz Amerikan sanatının
											ırk ve cinsiyet kavramlarının
											kesişim noktasına hitap ediyordu.
											Sanatın bir diyalog alanı sağlayabileceği
											yollar,
											karmaşık bir diyalog,
											giriş noktaları ile diyalog
											yollarını
											ve müzenin fikirler münazarası için
											nasıl bir mekan olabileceği konusunda büyük ilgi gördü.
											Bu sergi
											farklı yaş ve ırktan
											20 den fazla ressamı kapsıyordu,
											fakat hepsi özgün bakış açısıyla
											siyah erkekliği ele aldı.
											Bu sergide önemli olan
											bu diyalog için
											beni rolüme
											bir idareci olarak, bir katalizör olarak
											bağlama şekliydi.
											Bu sergi hazırlanırken
											belirgin bir şekilde ortaya çıkan olaylardan biri de
											resimlerin ne kadar etkili olabileceği
											insanların kendilerini ve birbirlerini anlaması fikri ile
											karşılaşmam oldu.
									","
											En 1994,
											quand j'étais conservatrice au Whitney Museum,
											j'ai organisé une exposition intitulée ""Le Mâle Noir"".
											Le sujet était le croisement
											des races et des sexes
											dans l'art contemporain Américain.
											Le but était de chercher à exprimer
											comment l'art
											permettait d'ouvrir le dialogue,
											un dialogue difficile,
											un dialogue présentant de nombreux points d'entrées possibles,
											et la façon dont le musée pouvait être le lieu
											de ce concours d'idées.
											Cette exposition comprenait
											plus de 20 artistes
											de divers âges et origines ethniques,
											mais tous examinant la masculinité noire
											d'un point de vue très particulier.
											Le plus remarquable dans cette exposition,
											c'était la manière avec laquelle
											elle m'a engagé dans mon rôle
											en tant que conservateur, catalyseur
											de ce dialogue.
											Au cours de l'exposition
											j'ai très clairement
											dû faire face à
											la portée très forte des images
											et la manière dont les gens se comprennent individuellement et mutuellement.
									","
											1994,
											als ich Kuratorin im Whitney Museum war,
											erstellte ich eine Austellung namens ""Schwarzer Mann"".
											Sie befasste sich mit der Überschneidung
											von Rasse und Geschlecht
											in zeitgenössischer amerikanischer Kunst.
											Sie versuchte ausdrücken
											auf welche Weisen Kunst
											Platz für einen Dialog bieten kann,
											komplizierter Dialog,
											Dialog mit vielen, vielen Ansatzpunkten
											und wie das Museum den Platz
											für diese Auseinandersetzung der Ideen sein kann.
											Die Austellung beinhaltete
											über zwanzig Künstler
											verschiedenen Alters und Nationalität,
											aber alle betrachteten schwarze Männlichkeit
											von einem sehr spezifischen Winkel.
											Was bemerkenswert an dieser Austellung war,
											ist die Art, wie
											sie mich gefordert hat, in meiner Rolle
											als Kuratorin, als Katalyst
											für diesen Dialog.
											Eines der Dinge, die
											sehr offensichtlich während dieser Austellung passierten,
											war, dass ich konfrontiert wurde mit der Idee,
											wie mächtig Bilder sein können
											und das Verständnis das Menschen von sich selbst und einander haben.
									",How art gives shape to cultural change,Thelma Golden,12:28,"art,cities,culture,design,entertainment,race"
"
","
","
","
","
",How art gives shape to cultural change,Thelma Golden,12:28,"art,cities,culture,design,entertainment,race"
"
											I'm showing you two works, one on the right by Leon Golub,
											one on the left by Robert Colescott.
											And in the course of the exhibition —
											which was contentious, controversial
											and ultimately, for me,
											life-changing
											in my sense of what art could be —
											a woman came up to me on the gallery floor
											to express her concern about the nature
											of how powerful images could be
											and how we understood each other.
											And she pointed to the work on the left
											to tell me how problematic this image was,
											as it related, for her, to the idea of
											how black people had been represented.
											And she pointed to the image on the right
											as an example, to me, of the kind of dignity
											that needed to be portrayed
											to work against those images in the media.
											She then assigned these works racial identities,
											basically saying to me that the work on the right,
											clearly, was made by a black artist,
											the work on the left, clearly, by a white artist,
											when, in effect,
											that was the opposite case:
											Bob Colescott, African-American artist;
											Leon Golub, a white artist.
											The point of that for me was
											to say — in that space, in that moment —
											that I really, more than anything,
											wanted to understand
											how images could work, how images did work,
											and how artists provided
											a space bigger than one
											that we could imagine in our day-to-day lives
											to work through these images.
									","
											Estoy mostrándoles dos trabajos, el de la derecha, de Leon Golub,
											el de la izquierda, de Robert Colescott.
											Y durante la exhibición,
											que fue provocadora, controvertida
											y que definitivamente
											cambio mi percepción
											de lo que podía ser el arte,
											una mujer me abordó en la galería
											para expresarme su preocupación sobre lo
											poderosas que podían ser las imágenes
											y cómo nos entendemos unos a otros.
											Y señaló el trabajo de la izquierda
											como una imagen problemática,
											dado que se asociaba, para ella, con la forma
											de representación del pueblo negro.
											Y señaló la imagen de la derecha
											como ejemplo, para mí, de la clase de dignidad
											que era necesario retratar
											en contraposición con las imágenes de los medios.
											Luego asignó identidades raciales a los trabajos,
											básicamente diciéndome que el trabajo de la derecha
											claramente era de un artista negro,
											el trabajo de la izquierda, claramente de un artista blanco,
											cuando en realidad
											era lo opuesto.
											Bob Colescott, un artista afro-estadounidense,
											Leon Golub, un artista blanco.
											El sentido para mí,
											en ese espacio, en ese momento,
											era más que nada
											intentar comprender
											cómo podían funcionar y cómo funcionaban las imágenes
											y cómo los artistas suministraban
											un espacio para hacer evidentes esas imágenes,
											más grande del que
											nos podríamos imaginar en nuestras vidas cotidianas.
									","
											Size iki farklı çalışma gösteriyorum, sağdaki, Leon Golub'ın,
											soldaki Robert Colescott'un.
											Bu,
											çekişmeli, tartışmalı,
											ve nihayetinde, bence,
											yeni bir çığır açan,
											yani benim düşünceme göre sanatın olması gerektiği, sergi hazırlanırken,
											galerinin bulunduğu katta bir kadın yanıma geldi
											resimlerin ne kadar etkili olabileceği
											ve birbirimizi nasıl anladığımızı
											açıklamak için.
											Ve sağdaki çalışmayı işaret etti
											resmin tartışmalı (problematik) olduğunu öne sürdü,
											ona göre problem
											siyah insanların nasıl temsil edildiğiydi.
											Ve
											bence, resmedilmesi gereken onurun bir örneği olarak
											sağdaki resmi işaret etti
											medyadaki resimlere karşı olarak.
											Ve o bu resimleri ırkçı kimlikler olarak gördü,
											sağdaki resmin açıkça
											siyah bir ressam tarafından,
											ve soldakinin beyaz bir ressam tarafından yapıldığı açık olduğunu söyledi,
											aslında
											tersi bir durumdu.
											Bob Colescott, Afrikan-Amerikan ressam,
											Leon Golub, beyaz bir ressam.
											Önemli nokta, bana göre,
											o durumda, o anda söylenecek,
											gerçekten, herşeyden çok
											bu resimlerin nasıl
											işe yarayabileceğini, yaradığını
											ve ressamların
											öncekinden bir adım önde olmak kaydıyla,
											şu anki günlük yaşantılarımızda hayal edebileceğimiz gibi,
											bu resimlerle nasıl çalıştıklarını anlamak isterdim.
									","
											Voici deux oeuvres, l'une à droite de Leon Golub,
											et l'autre à gauche de Robert Colescott.
											Durant cette exposition,
											qui était controversée, sujette à conflits,
											et en fin de compte, personnellement
											bouleversante
											dans ma perception du potentiel de l'art,
											une femme s'approcha de moi dans la galerie
											pour exprimer son inquiétude concernant
											la forte portée des images
											et la manière dont nous nous comprenons.
											Et elle montra du doigt l'oeuvre sur la gauche
											pour me dire à quel point cette image était problématique
											car, selon elle, elle était liée à
											une ancienne représentation des noirs.
											Puis, elle m'indiqua l'image de droite
											comme exemple de représentation de la dignité
											qui devait transparaître
											pour contrer ces images dans les médias.
											Puis, elle a attribué une identité raciale à chaque oeuvre
											en me disant, en gros, que l'oeuvre de droite
											était clairement celle d'un artiste noir,
											et l'oeuvre de gauche manifestement celle d'un artiste blanc,
											alors qu'en réalité,
											c'était le contraire.
											Bob Colescott, un artiste Afro-Américain,
											Leon Golub, un artiste blanc.
											Pour moi, le but de ceci était
											de dire à cet instant, là-bas,
											que je voulais plus que tout
											comprendre
											comment les images fonctionnaient, avaient fonctionné,
											et comment les artistes offraient
											un espace plus vaste que celui
											que l'on imaginerait dans notre vie quotidienne
											pour comprendre ces images.
									","
											Ich zeige euch zwei Arbeiten, auf der rechten von Leon Golub
											und auf der linken von Robert Colescott.
											Und im Laufe der Ausstellung,
											die umstritten, kontrovers
											und schlussendlich, für mich,
											lebensverändernd war
											für meinem Verständnis was Kunst sein kann,
											kam eine Frau im Ausstellungsraum auf mich zu,
											um ihre Bedenken über die Wesensart,
											wie mächtig Bilder sein könnten
											und wie wir einander verstanden.
											Und sie zeigte auf das linke Werk,
											um mir zu sagen, wie problematisch dieses Bild war,
											das es für sie mit der Idee zusammenhing,
											wie Schwarze repräsentiert worden waren.
											Und sie zeigte auf das rechte Werk
											als Beispiel, für mich, für die Art von Würde,
											die gezeigt werden muss,
											um gegen solche Bilder in der Öffentlichkeit zu arbeiten.
											Dann bestimmte sie für diese Werke Rassenidentitäten,
											sie sagte mir im Grunde, dass das Werk rechts,
											offensichtlich, von einem schwarten Künstler gemacht wurde,
											das Werk links, klar von einem weißen Künstler,
											obwohl in Wahrheit,
											das Gegenteil der Fall war.
											Bob Colescott, afroamerikanischer Künstler,
											Leon Golub, ein weißer Künstler.
											Der Punkt hiervon war für mich
											zu sagen, an dem Ort, in dem Moment,
											dass ich wirklich, mehr als alles andere,
											verstehen wollte,
											wie Bilder funktioinieren können, wie Bilder funktionierten
											und wie Künstler
											einen größeren Raum bereitstellen, als einen,
											den wir uns in unseren täglichen Leben vorstellen können,
											um durch diese Bilder zu arbeiten.
									",How art gives shape to cultural change,Thelma Golden,12:28,"art,cities,culture,design,entertainment,race"
"
","
","
","
","
",How art gives shape to cultural change,Thelma Golden,12:28,"art,cities,culture,design,entertainment,race"
"
											Fast-forward and I end up in Harlem;
											home for many of black America,
											very much the psychic heart
											of the black experience,
											really the place where the Harlem Renaissance existed.
											Harlem now, sort of explaining
											and thinking of itself in this part of the century,
											looking both backwards and forwards ...
											I always say Harlem is an interesting community
											because, unlike many other places,
											it thinks of itself in the past, present
											and the future simultaneously;
											no one speaks of it just in the now.
											It's always what it was and what it can be.
											And, in thinking about that,
											then my second project, the second question I ask is:
											Can a museum
											be a catalyst in a community?
											Can a museum house artists
											and allow them to be change agents
											as communities rethink themselves?
											This is Harlem, actually, on January 20th,
											thinking about itself in a very wonderful way.
									","
											Avance rápido y estoy en Harlem,
											para muchos la cuna de los EE.UU. negros,
											el corazón psíquico
											de la experiencia negra,
											realmente el lugar en donde surgió el Renacimiento de Harlem.
											Harlem ahora, de alguna forma explicándose
											y pensándose a sí misma en esta parte del siglo,
											mirando tanto hacia atrás como hacia adelante.
											Siempre digo que Harlem es una comunidad interesante
											porque, a diferencia de otras,
											se piensa a sí misma simultáneamente
											en el pasado, en el presente y en el futuro.
											Nadie habla de ella simplemente en el ahora.
											Siempre es lo que fue y lo que puede ser.
											Entonces, pensando en eso,
											mi segundo proyecto, la segunda pregunta que hago:
											¿Puede un museo
											ser un catalizador en una comunidad?
											¿Puede un museo albergar artistas
											y permitirles ser agentes de cambio
											a medida que las comunidades se piensan nuevamente?
											Esto es Harlem, actualmente, el 20 de enero,
											pensándose a sí misma de una manera maravillosa.
									","
											İleri sardığımızı düşünelim, ben Harlem'i boylarım,
											birçok siyah Amerikalının vatanı,
											ırksal deneyimlerin yaşadığı
											ruhsal duyguların yon olduğu
											tüm Harlem Rönesans'ının var olduğu yer.
											Harlem, şimdi yüzyılın bu bölümünde
											hem geçmişe ve hem de geleceğe bakıldığında
											bir şekilde kendisini açıklıyor ve anımsıyor.
											Her zaman söylerim, Harlem ilginç bir topluluktur,
											çünkü, diğer birçok yerin aksine,
											aynı anda kendi geçmişini, bugünü
											ve geleceğini anımsar.
											Şu anda kimse bundan bahsetmiyor.
											Her zaman olduğu ve olacabileceği gibi.
											Ve, bunu düşünürken,,
											ikinci projem, soracağım ikinci soru geliyor aklıma.
											Bir müze
											bir toplumda katalizör olabilir mi?
											Bir müze ressam bulundurabilir mi
											ve onlara toplumların kendilerini yeniden değerlendirmeleri için değişim ajanı
											olmaları sağlanabilir mi?
											Bu Harlem, 20 Ocak'ta,
											çok güzel bir şekilde kendisini düşünürken.
									","
											Faisons un bond dans le temps, j'arrive à Harlem,
											foyer d'une grande partie de l'Amérique noire,
											le vrai coeur spirituel
											de la vie noire,
											l'endroit où la Renaissance d'Harlem eût vraiment lieu.
											Le Harlem d'aujourd'hui se définit
											et s'introspecte dans cette partie du siècle,
											n'oubliant pas le passé et se tournant vers l'avenir
											Je dis toujours que Harlem est une communauté intéressante
											car, contrairement à d'autres endroits,
											elle se positionne à la fois dans le passé, le présent,
											et le futur de manière simultanée.
											Le moment présent n'est pas le seul point de référence,
											il est toujours question de ce qu'elle était et ce qu'elle peut être,
											Et, en gardant cela à l'esprit,
											par la suite, dans mon deuxième projet, j'ai posé une deuxième question,
											Est-ce qu'un musée
											peut être un catalyseur au sein d'une communauté?
											Est-ce qu'un musée accueille des artistes
											et leur permet d'être des acteurs facilitant le changement
											pendant que les communautés se remettent en question?
											Voici Harlem le 20 janvier
											s'introspectant merveilleusement bien,
									","
											Schnellvorlauf und ich gelange nach Harlem,
											das Zuhause für viele des schwarzen Amerika,
											auf jeden Fall das spirituelle Herz
											der Erfahrung schwarz zu sein,
											der eigentliche Schauplatz, wo die gesamte Harlem Renaissance existierte.
											Harlem nun, in gewisser Weise erklärt
											und denkt über sich selbst in diesem Teil des Jahrhunderts,
											sowohl rückwärts und vorwärts schauend.
											Ich sage immer, Harlem ist eine interessante Gemeinschaft,
											da, im Unterschied zu vielen anderen Orten,
											es über sich selbst simultan in der Vergangenheit, der Gegenwart
											und in der Zukunft denkt.
											Niemand redet über es nur im Jetzt.
											Es ist immer was es war und was es sein kann.
											Und, im Denken über dies,
											in meinem zweiten Projekt, die zweite Frage, die ich stelle.
											Kann ein Museum
											der Katalysator einer Gemeinschaft sein?
											Kann ein Museum Künstler beherbergen
											und ihnen erlauben Gestalter zu sein
											when Gemeinschaften sich neu erdenken?
											Dies ist Harlem, tatsächlich, am 20. Januar,
											über sich selbst denkend in einer sehr schönen Art.
									",How art gives shape to cultural change,Thelma Golden,12:28,"art,cities,culture,design,entertainment,race"
