en,de,title,speaker,duration,tags
"
","
",How AI could become an extension of your mind,Arnav Kapur,8:58,"TED Fellows,future,technology,invention,computers,AI,demo,design,science"
"
											Ever since computers were invented,
											we've been trying to make them
smarter and more powerful.
											From the abacus, to room-sized machines,
											to desktops, to computers in our pockets.
											And are now designing
artificial intelligence to automate tasks
											that would require human intelligence.
											If you look at the history of computing,
											we've always treated computers
as external devices
											that compute and act on our behalf.
											What I want to do is I want to weave
computing, AI and internet as part of us.
											As part of human cognition,
											freeing us to interact
with the world around us.
											Integrate human and machine intelligence
											right inside our own bodies to augment us,
instead of diminishing us or replacing us.
									","
											Seitdem Computer erfunden wurden,
											versuchen wir, sie intelligenter 
und leistungsfähiger zu machen.
											Vom Abakus über zimmergroße Maschinen,
											bis hin zu Desktops und 
Computern in unseren Taschen.
											Wir entwickeln jetzt KI,
um Aufgaben zu automatisieren,
											die menschliche Intelligenz 
erfordern würde.
											Wenn Sie die Geschichte 
der Computer sehen,
											wurden Computer immer 
als externe Geräte behandelt,
											die in unserem Namen 
berechnen und handeln.
											Ich möchte Programmieren, KI
und Internet als Teil von uns sehen.
											Als Teil der menschlichen Kognition,
											die uns befreit, mit der Welt 
um uns herum zu interagieren.
											Menschliche und maschinelle Intelligenz 
direkt in unseren Körper zu integrieren,
											um uns zu erweitern, anstatt
uns zu schwächen oder zu ersetzen.
									",How AI could become an extension of your mind,Arnav Kapur,8:58,"TED Fellows,future,technology,invention,computers,AI,demo,design,science"
"
","
",How AI could become an extension of your mind,Arnav Kapur,8:58,"TED Fellows,future,technology,invention,computers,AI,demo,design,science"
"
											Could we combine what people do best,
such as creative and intuitive thinking,
											with what computers do best,
											such as processing information
and perfectly memorizing stuff?
											Could this whole be better
than the sum of its parts?
									","
											Könnten wir das Beste des Menschen, 
wie kreatives und intuitives Denken,
											mit dem, was Computer
am besten können, kombinieren
											wie Datenverarbeitung
und perfektes Einprägen?
											Könnte das Ganze besser sein 
als die Summe seiner Teile?
									",How AI could become an extension of your mind,Arnav Kapur,8:58,"TED Fellows,future,technology,invention,computers,AI,demo,design,science"
"
","
",How AI could become an extension of your mind,Arnav Kapur,8:58,"TED Fellows,future,technology,invention,computers,AI,demo,design,science"
"
											We have a device
that could make that possible.
											It's called AlterEgo,
and it's a wearable device
											that gives you the experience
of a conversational AI
											that lives inside your head,
											that you could talk to in likeness
to talking to yourself internally.
											We have a new prototype
that we're showing here,
											for the first time at TED,
and here's how it works.
									","
											Wir haben ein Gerät, 
das das ermöglichen könnte.
											Es heißt AlterEgo, und es 
ist ein tragbares Gerät,
											das Ihnen die Erfahrung 
einer Gesprächs-KI liefert,
											die in Ihrem Kopf lebt,
											mit der Sie intern in ähnlicher Weise
sprechen können wie mit sich selbst.
											Wir haben einen neuen Prototyp, 
den wir hier zum ersten Mal
											bei TED zeigen, und so funktioniert es.
									",How AI could become an extension of your mind,Arnav Kapur,8:58,"TED Fellows,future,technology,invention,computers,AI,demo,design,science"
"
","
",How AI could become an extension of your mind,Arnav Kapur,8:58,"TED Fellows,future,technology,invention,computers,AI,demo,design,science"
"
											Normally, when we speak,
											the brain sends neurosignals
through the nerves
											to your internal speech systems,
											to activate them and your vocal cords
to produce speech.
											One of the most complex
cognitive and motor tasks
											that we do as human beings.
											Now, imagine talking to yourself
											without vocalizing,
without moving your mouth,
											without moving your jaw,
											but by simply articulating
those words internally.
											Thereby very subtly engaging
your internal speech systems,
											such as your tongue
and back of your palate.
											When that happens,
											the brain sends extremely weak signals
to these internal speech systems.
									","
											Wenn wir normalerweise sprechen,
											sendet das Gehirn 
Neurosignale durch die Nerven
											an Ihre internen Sprachsysteme,
											um sie zu aktivieren und Ihre 
Stimmbänder zum sprechen zu bringen.
											Eine der komplexesten kognitiven 
und motorischen Aufgaben,
											die wir als Menschen ausführen.
											Stellen Sie sich nun vor,
											Sie sprechen mit sich selbst, ohne zu 
vokalisieren, ohne Ihren Mund zu bewegen,
											ohne Ihren Kiefer zu bewegen,
											sondern indem Sie diese Worte 
einfach intern artikulieren.
											Dabei werden Ihre internen Sprachsysteme,
											wie z.B. Ihre Zunge und Ihr 
Gaumenrücken, sehr subtil einbezogen.
											In diesem Fall, sendet das Gehirn
											extrem schwache Signale 
an diese internen Sprachsysteme.
									",How AI could become an extension of your mind,Arnav Kapur,8:58,"TED Fellows,future,technology,invention,computers,AI,demo,design,science"
"
","
",How AI could become an extension of your mind,Arnav Kapur,8:58,"TED Fellows,future,technology,invention,computers,AI,demo,design,science"
"
											AlterEgo has sensors,
											embedded in a thin plastic,
flexible and transparent device
											that sits on your neck
just like a sticker.
											These sensors pick up
on these internal signals
											sourced deep within the mouth cavity,
											right from the surface of the skin.
											An AI program running in the background
											then tries to figure out
what the user's trying to say.
											It then feeds back an answer to the user
											by means of bone conduction,
											audio conducted through the skull
into the user's inner ear,
											that the user hears,
											overlaid on top of the user's
natural hearing of the environment,
											without blocking it.
									","
											AlterEgo hat Sensoren,
											eingebettet in ein dünnes, flexibles,
transparentes Kunststoffgerät,
											das sich wie ein Aufkleber 
auf Ihrem Hals befindet.
											Diese Sensoren nehmen 
diese internen Signale auf,
											die tief in der Mundhöhle,
											direkt von der Hautoberfläche aus,
erzeugt werden.
											Ein im Hintergrund laufendes KI-Programm
											versucht dann herauszufinden, 
was der Benutzer zu sagen versucht.
											Es gibt dann eine Antwort an den Benutzer
											mittels Knochenleitung zurück,
											Audio, das durch den Schädel in das 
Innenohr des Benutzers geleitet wird,
											das der Benutzer hört,
											überlagert auf das natürliche Gehör 
des Benutzers in der Umgebung,
											ohne es zu blockieren.
									",How AI could become an extension of your mind,Arnav Kapur,8:58,"TED Fellows,future,technology,invention,computers,AI,demo,design,science"
