en,pt,es,de,title,speaker,duration,tags
"
","
","
","
",What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,11:25,"biology,cancer,disease,chemistry,health,biomechanics,human body,illness,medical research,science,medicine"
"
											This is a talk about sugar and cancer.
											I became interested in sugar
when I was in college.
											Not this kind of sugar.
											It was the sugar that our biology
professors taught us about
											in the context of the coating
of your cells.
											Maybe you didn't know that your cells
are coated with sugar.
											And I didn't know that, either,
											until I took these courses in college,
											but back then —
											and this was in, let's just
call it the 1980s —
											people didn't know much about why
our cells are coated with sugar.
											And when I dug through my notes,
what I noticed I had written down
											is that the sugar coating on our cells
is like the sugar coating
											on a peanut M and M.
											And people thought
the sugar coating on our cells
											was like a protective coating
											that somehow made our cells
stronger or tougher.
									","
											Esta é uma palestra sobre 
açúcar e cancro.
											Interessei-me pelo açúcar
quando estava na faculdade.
											Não por esse tipo de açúcar.
											Era o açúcar que os nossos professores 
de biologia nos ensinavam
											no contexto do revestimento
das nossas células.
											Talvez não saibam que as nossas células
são revestidas com açúcar.
											Eu também não sabia,
											até fazer esses cursos na faculdade.
											Mas, naquela época
											— e isso foi nos anos 80 —
											as pessoas não sabiam
											porque é que as nossas células
eram revestidas de açúcar.
											Quando vasculhei as minhas anotações,
reparei que tinha escrito
											que o açúcar que reveste as nossas células
											é como o açúcar que reveste
o amendoim num M&amp;M.
											As pessoas pensavam que o açúcar
que reveste as nossas células
											era como uma camada protetora
que, de certo modo,
											tornava as nossas células 
mais fortes ou mais resistentes.
									","
											Esta charla trata sobre 
el cáncer y el azúcar.
											Empecé a interesarme por el azúcar 
cuando iba a la universidad.
											No por este tipo de azúcar,
											sino por el tipo de azúcar del que nos 
solía hablar nuestro profesor de biología
											cuando hablaba del revestimiento 
de las células.
											Y puede que no supieran que las células 
están recubiertas de azúcar.
											Yo tampoco lo sabía,
											hasta que cursé estas asignaturas
en la universidad,
											pero por aquel entonces...
											esto fue en, digamos que
la década de los 80,
											no se sabía mucho sobre por qué 
las células están recubiertas de azúcar.
											Y una vez repasé mis apuntes, 
me di cuenta de que había escrito
											que el azúcar que recubre nuestras
células es igual que la capa de azúcar
											que recubre un cacahuete M&amp;M.
											Y la gente pensaba que la capa 
de azúcar de las células
											era como una capa protectora
											que, de algún modo, hacía a las 
células más fuertes o resistentes.
									","
											Dies ist ein Vortrag 
über Zucker und Krebs.
											Mein Interesse für Zucker 
begann mit meinem Studium.
											Nicht diese Art von Zucker.
											Es waren jene Zucker, über die
unsere Biologieprofessoren sprachen,
											als sie uns über die Beschichtung
unserer Zellen unterrichteten.
											Vielleicht haben Sie nicht gewusst,
dass Ihre Zellen eine Zuckerhülle haben.
											Ich wusste es auch nicht,
											bis ich jene Kurse in der Uni belegte.
											Damals jedoch,
											nennen wir es mal die 1980er,
											wussten die Menschen nicht, warum es
diese Zuckerschicht auf den Zellen gab.
											Als ich nun meine alten Notizen
durchblätterte, fiel mir auf,
											dass die Zuckerschicht unserer Zellen,
sehr der von den M&amp;M's ähnelt.
											Damals glaubte man,
die Zuckerhülle unserer Zellen
											wäre wie eine Schutzschicht,
											die unsere Zellen stärker 
bzw. robuster macht.
									",What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,11:25,"biology,cancer,disease,chemistry,health,biomechanics,human body,illness,medical research,science,medicine"
"
","
","
","
",What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,11:25,"biology,cancer,disease,chemistry,health,biomechanics,human body,illness,medical research,science,medicine"
"
											But we now know, many decades later,
											that it's much more complicated than that,
											and that the sugars on our cells
are actually very complex.
											And if you could shrink yourself down
to a little miniature airplane
											and fly right along
the surface of your cells,
											it might look something like this —
											with geographical features.
											And now, the complex sugars
are these trees and bushes —
											weeping willows that are
swaying in the wind
											and moving with the waves.
											And when I started thinking about
all these complex sugars
											that are like this foliage on our cells,
											it became one of the most interesting
problems that I encountered
											as a biologist and also as a chemist.
											And so now we tend
to think about the sugars
											that are populating
the surface of our cells
											as a language.
											They have a lot of information
stored in their complex structures.
									","
											Sabemos agora, 
muitas décadas depois,
											que é muito mais complicado que isso,
											e que os açúcares nas nossas células 
são na verdade muito complexos.
											Se pudéssemos encolher-nos
num pequeno avião em miniatura
											e voar ao longo da superfície das células,
											podia ter este aspeto,
											com características geográficas.
											Os açúcares complexos
são estas árvores e arbustos
									","
											Pero ahora sabemos, 
muchas décadas después,
											que es mucho más complicado que eso,
											y que los azúcares en las células
son en realidad muy complejos.
											Y que si pudieran encogerse y 
convertirse en un avión en miniatura
											y planear por toda la superficie 
de sus células,
											verían algo así...
											con formas geométricas.
											Donde los azúcares complejos 
son estos árboles y arbustos...
											sauces llorones que se mecen con el viento
											y se mueven con las ondas.
											Y cuando empecé a pensar sobre 
todos estos azúcares complejos
											que son como el follaje de las células,
											se convirtió en uno de los problemas
más interesantes que he tratado
											como bióloga y también como química.
											Y así ahora solemos entender los azúcares
											que pueblan la superficie de las células
											como un lenguaje.
											Almacenan montones de información
en sus complejas estructuras.
									","
											Heute aber, viele Jahrzehnte
später, wissen wir,
											dass es um einiges komplizierter ist
											und dass die Zucker auf unseren Zellen
in Wirklichkeit sehr komplex sind.
											Wären wir in der Lage, uns zu schrumpfen 
und mit einem Mini-Flugzeug
											ganz nah an die Oberfläche
unserer Zellen heranzufliegen,
											würden diese möglicherweise aussehen
											wie eine geografische Landschaft.
											Die Bäume und Sträucher
stellen die komplexen Zucker dar,
											Trauerweiden, deren Äste im Wind schaukeln
											und sich in den Böen wiegen.
											Als ich nun begann, über diese
komplexen Zucker nachzudenken,
											die wie ein riesiger Wald 
unsere Zellen bedecken,
											wurde dies zu einem
der interessantesten Probleme,
											die mir als Biologin sowie als 
Chemikerin je untergekommen waren.
											Heutzutage jedoch sehen wir diese Zucker,
											die die Oberfläche unserer 
Zellen bedecken als Sprache.
											Sie haben eine Menge Informationen
in ihren komplexen Strukturen gespeichert.
									",What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,11:25,"biology,cancer,disease,chemistry,health,biomechanics,human body,illness,medical research,science,medicine"
"
","
","
","
",What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,11:25,"biology,cancer,disease,chemistry,health,biomechanics,human body,illness,medical research,science,medicine"
"
											But what are they trying to tell us?
											I can tell you that we do know
some information
											that comes from these sugars,
											and it's turned out already
to be incredibly important
											in the world of medicine.
									","
											— salgueiros balançando ao vento
											e movendo-se com as ondas.
											Quando comecei a pensar
em todos estes açúcares complexos
											que são como essas folhagens 
nas nossas células,
											isso tornou-se num dos problemas 
mais interessantes que encontrei
											como bióloga e como química.
											Agora temos a tendência
de pensar nos açúcares
											que povoam a superfície das nossas células
											como uma linguagem.
											Têm muitas informações armazenadas
nas suas estruturas complexas.
									","
											Pero, ¿qué intentan decirnos?
											Les puedo decir que conocemos
parte de la información
											que proviene de estos azúcares,
											y que ha resultado ser 
de una importancia inconmensurable
											en el mundo de la medicina.
									","
											Aber was versuchen sie uns mitzuteilen?
											Ich kann Ihnen verraten, dass wir manche
der Informationen dieser Zucker kennen.
											Diese Erkenntnisse haben sich bereits
in der Medizin als sehr nützlich erwiesen.
									",What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,11:25,"biology,cancer,disease,chemistry,health,biomechanics,human body,illness,medical research,science,medicine"
"
","
","
","
",What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,11:25,"biology,cancer,disease,chemistry,health,biomechanics,human body,illness,medical research,science,medicine"
"
											For example, one thing
your sugars are telling us
											is your blood type.
											So your blood cells, your red blood
cells, are coated with sugars,
											and the chemical structures of those
sugars determine your blood type.
											So for example, I know
that I am blood type O.
											How many people are also blood type O?
											Put your hands up.
											It's a pretty common one,
											so when so few hands go up,
either you're not paying attention
											or you don't know your blood type,
and both of those are bad.
									","
											Mas o que é que estão a tentar dizer-nos?
											Posso dizer que sabemos 
algumas informações
											que provêm desses açúcares
											e acontece também que são 
de grande importância
											no mundo da medicina.
									","
											Por ejemplo, nos informan
											el grupo sanguíneo.
											Así que tus células sanguíneas, tus
glóbulos rojos, están cubiertos de azúcar
											y la estructura química de esos azúcares
determinan tu grupo sanguíneo.
											Por ejemplo, yo sé que mi grupo sanguíneo
es el tipo 0.
											¿Cuántas personas pertenecen 
al tipo 0 también?
											Levanten la mano.
											Es bastante común, así que
											si levantan tan pocas manos
o bien no están prestando atención
											o no conocen su grupo sanguíneo,
y ambas opciones son malas.
									","
											Eines der Dinge, die uns
diese Zucker verraten,
											ist unsere Blutgruppe.
											Unsere roten Blutkörperchen 
sind also mit Zucker überzogen
											und die chemische Zusammensetzung
dieser Zucker bestimmt unsere Blutgruppe.
											Ich meinerseits weiß,
dass ich Blutgruppe 0 habe.
											Wie viele hier haben Blutgruppe 0?
											Hände hoch.
											Das ist ziemlich häufig.
											Wenn nur so wenige aufzeigen, 
heißt das, Sie passen nicht auf,
											oder Sie kennen ihre Blutgruppe
nicht. Beides ist nicht gut.
									",What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,11:25,"biology,cancer,disease,chemistry,health,biomechanics,human body,illness,medical research,science,medicine"
"
","
","
","
",What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,11:25,"biology,cancer,disease,chemistry,health,biomechanics,human body,illness,medical research,science,medicine"
"
											(Laughter)
									","
											Por exemplo, uma coisa
que os nossos açúcares nos dizem
											é o nosso tipo sanguíneo.
											As nossas células sanguíneas,
os glóbulos vermelhos,
											são revestidas com açúcares,
											e a estrutura química desses açúcares
determina o nosso tipo sanguíneo.
											Por exemplo, eu sei que sou tipo O.
											Quantas pessoas também são tipo O?
											Levantem a mão.
											É um tipo muito comum,
mas há poucas mãos levantadas.
											Vocês não estão atentos
ou não sabem o vosso tipo sanguíneo,
											e as duas coisas são ruins.
									","
											(Risas)
									","
											(Gelächter)
									",What the sugar coating on your cells is trying to tell you,Carolyn Bertozzi,11:25,"biology,cancer,disease,chemistry,health,biomechanics,human body,illness,medical research,science,medicine"
