pt,tr,title,speaker,duration,tags
"
","
",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
"
											Vocês estão a olhar para uma mulher
											que foi silenciada publicamente
durante 10 anos.
											Obviamente, isso mudou,
											mas só recentemente.
									","
											Şu anda on yıldır
sessiz kalmış bir kadına bakıyorsunuz.
											Doğal olarak bu durum değişti ama
											sadece kısa bir süre önce.
									",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
"
","
",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
"
											Foi há uns meses
											que fiz a minha primeira
grande palestra pública
											na cimeira dos 30 no Forbes 30:
											1500 pessoas brilhantes,
todas com menos de 30 anos.
											Isto significa que em 1998,
											o mais velho do grupo
tinha apenas 14 anos
											e o mais novo, apenas quatro.
											Eu gozei com eles dizendo que alguns deles
só deviam ter ouvido falar de mim
											nas canções de rap.
											Sim, eu apareço em canções de rap.
											Quase em 40 canções de rap.
											(Risos)
									","
											Birkaç ay önce
											ilk büyük halka açık konuşmamı yaptım
											Forbes'un 30'un Altında 30 zirvesinde:
											1.500 fevkalade insan,
hepsi 30 yaşın altında.
											Bu demek oluyor ki, 1998 yılında,
											grubun en büyükleri
henüz 14 yaşındaydı,
											en küçükleri ise sadece dört.
											Beni sadece rap şarkılarından tanıyor
											olma olasılıklarıyla dalga geçmiştim.
											Evet, rap şarkılarında adım geçiyor.
											Neredeyse 40 rap şarkısı. (Kahkaha)
									",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
"
","
",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
"
											Mas na noite da minha palestra,
aconteceu uma coisa surpreendente.
											Aos 41 anos, fui cortejada 
por um rapaz de 27 anos.

											Que bom, não é?
											Ele era encantador e eu fiquei lisonjeada,
											mas recusei.
											Vocês sabem qual foi a frase
desastrosa que ele usou?
											Que ele podia fazer com que me sentisse
com 22 anos, novamente.
											(Risos)
											(Aplausos)
											Naquela noite, apercebi-me
de que talvez eu seja a única pessoa
											com mais de 40 anos
que não quer voltar a ter 22 anos.
											(Risos)
											(Aplausos)
									","
											Ama konuşmamı yaptığım gece,
beklenmedik bir şey oldu.
											41 yaşındayken, 27 yaşında bir adam
benimle flört etti.
											Tuhaf, değil mi?
											Çok cezbediciydi
ve benim gururumu okşadı
											ve ben onu reddettim.
											Beni tavlamak için
ne dedi biliyor musunuz?
											Beni tekrar 22 yaşında gibi
hissettirebileceğini söyledi.
											(Kahkaha) (Alkış)
											O gece sonradan farkettim,
tekrar 22 yaşında olmak istemeyen
											tek 40 yaşındaki kişiydim sanırım.
											(Kahkaha)
											(Alkış)
									",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
"
","
",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
"
											Aos 22 anos, 
apaixonei-me pelo meu chefe,
											e aos 24 anos,
											aprendi as consequências devastadoras.
									","
											22 yaşında,
patronuma aşık oldum
											ve 24 yaşında,
											bunun yıpratıcı sonuçlarını öğrendim.
									",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
"
","
",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
"
											Levante a mão quem aqui nunca fez um erro,
											nem nunca fez uma coisa
de que se arrependesse aos 22 anos.
											Sim. Era o que pensava.
											Tal como eu, aos 22 anos, alguns de vocês
talvez tenham escolhido o caminho errado
											e se tenham apaixonado pela pessoa errada,
											até mesmo pelo vosso chefe.
											No entanto, ao contrário de mim, 
o vosso chefe
											provavelmente não era o presidente
dos Estados Unidos da América.
											Claro, a vida é cheia de surpresas.
									","
											Burada, 22 yaşında hata yapmamış olan,
											ya da pişmanlık duyduğu bir şey
yapmamış olan var mi?
											Evet, ben de boyle düşünmüştüm.
											Yani tipki benim gibi, 22 yaşında
bazılarınız yanlış bir yola sapmış
											ve yanlış bir insana aşık olmuş
olabilirsiniz,
											hatta belki de patronunuza.
											Yalnız, benim tersime, sizin patronunuz
											muhtemelen Amerika Birleşik Devleti'nin
Cumhurbaşkanı değildi.
											Tabii ki, hayat süprizlerle dolu.
									",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
"
","
",The price of shame,Monica Lewinsky,22:26,"communication,media,social media,suicide,technology"
