es,tr,de,title,speaker,duration,tags
"
","
","
",Does money make you mean?,Paul Piff,16:35,"TEDx,behavioral economics,psychology"
"
											Quiero que, por un momento,
											pienses en jugar Monopolio,
											excepto que en este juego, esa combinación
											de habilidad, talento y suerte
											que ayuda a lograr el éxito en los juegos, así como en la vida,
											se ha vuelto irrelevante.
											Este juego ha sido amañado,
											y tu tienes la ventaja a favor.
											Tu tienes más dinero,
											más oportunidades para moverte por el tablero,
											y más acceso a los recursos.
											Y mientras piensas en esto,
											quiero que te preguntes,
											¿cómo esa experiencia, de ser
											el jugador privilegiado en un juego arreglado,
											Podría cambiar tu autoimagen
											y la forma como ves al otro jugador?
									","
											Sizden, bir an için,
											Monopoly oyunu oynadığınızı düşünmenizi istiyorum,
											ama bu oyunda, başarılı olmanıza yardımcı olan
											beceri, yetenek ve şans kombinasyonu
											hayatta olduğu gibi,
											alakasız hale getirilmiştir,
											çünkü bu oyun hileli
											ve avantaj sizde.
											Daha fazla paranız var,
											tahtanın etrafında daha fazla dolanma fırsatınız
											ve kaynaklara daha fazla erişiminiz var.
											Ve bu deneyimi düşündüğünüzde,
											kendinize şunu sormanızı istiyorum:
											Hileli bir oyunda
											ayrıcalıklı bir oyuncu olmak,
											diğer oyuncular ve kendiniz hakkında
											düşündüklerinizi nasıl değiştirir?
									","
											Ich möchte, dass Sie sich mal 
für einen Moment vorstellen,
											Monopoly zu spielen.
											Allerdings ist in diesem Spiel 
die Kombination
											aus Fähigkeit, Talent und Glück,
											die Ihnen im Spiel, wie auch im Leben, 
zum Erfolg verhilft,
											bedeutungslos geworden.
											Das Spiel ist nämlich gezinkt
											und Sie sind damit im Vorteil.
											Sie haben mehr Geld,
											mehr mögliche Spielzüge und
											einen größeren Zugriff auf Ressourcen.
											Wenn Sie jetzt über dieses Szenario 
nachdenken,
											möchte ich, dass Sie sich 
folgende Frage stellen:
											Wie könnte die Tatsache,
											dass Sie ein besser gestellter Spieler 
in einem gezinkten Spiel sind,
											die Art und Weise verändern,
wie Sie über sich selbst
											und den anderen Spieler denken?
									",Does money make you mean?,Paul Piff,16:35,"TEDx,behavioral economics,psychology"
"
","
","
",Does money make you mean?,Paul Piff,16:35,"TEDx,behavioral economics,psychology"
"
											Hicimos una invetigación en la U.C. Berkeley
											para estudiar exactamente esa cuestión.
											Hemos llevado a más de 100 parejas
											de extraños al laboratorio,
											y, lanzando una moneda,
											asignamos aleatoriamente a uno de los dos
											a ser el jugador rico en el juego amañado.
											Tienen el doble de dinero.
											Cuando pasan por ""Go"",
											reciben el doble del salario,
											y lanzan dos dados en vez de uno.
											Así que se mueven mucho más por el tablero.
											(Risas)
											Y en el transcurso de 15 minutos,
											vimos, a través de cámaras ocultas, lo que pasó.
											Lo que quiero hacer hoy, por primera vez,
											es mostrar algo de lo que vimos.
											Van a tener que perdonar la calidad del sonido
											en algunos casos porque, una vez más, 
estas eran cámaras ocultas.
											Por eso les colocamos subtítulos.
											Jugador rico: ¿Cuántos de 500 tenías?
											Jugador pobre: Solo uno.
									","
											U.C. Berkeley kampüsünde bir çalışma başlatarak
											bu soruya cevap aradık.
											Laboratuvara 100'den fazla
											yabancı çift getirdik
											ve yazı tura ile
											iki kişiden birisini hileli oyunda
											zengin oyuncu olarak belirledik.
											İki kat fazla para aldılar.
											Başlangıcı geçtiklerinde,
											iki kat gelir elde ettiler
											ve bir değil iki zarı da atmaları sağlandı,
											böylece tahtada daha fazla dolanmış oldular.
											(Kahkaha)
											15 dakika süresince,
											olanları gizli kameralarla izledik.
											Ve bugün ilk kez size
											gördüklerimizin birazını göstermek istiyorum.
											Ses kalitesinin kusuruna bakmayın,
											tekrar belirteyim, çünkü bunlar gizli kameralar.
											O yüzden altyazı koyduk.
											Zengin Oyuncu: Sende kaç tane 500'lük var?
											Fakir Oyuncu: Bir tane.
									","
											Also haben wir eine Studie an 
der Universität Berkeley durchgeführt,
											um uns genau dieser Frage zu widmen.
											Wir luden über 100 zufällig 
ausgewählte Paare
											ins Labor ein
											und ließen per Münzwurf
											den Zufall entscheiden, welcher der beiden
											zum reichen Spieler 
im gezinkten Spiel wurde.
											Die reichen Spieler bekamen 
doppelt so viel Geld.
											Beim Zug über ""Los!""
											erhielten sie das doppelte Gehalt
											und sie durften anstatt einem 
alle beide Würfel nutzen,
											so dass sie viel mehr Spielzüge 
machen konnten.
											(Gelächter)
											15 Minuten lang
											beobachteten wir mit Hilfe
versteckter Kameras das Geschehen.
											Und heute möchte ich Ihnen erstmalig
											einen Einblick geben,
was wir dabei festgestellt haben.
											Bitte entschuldigen Sie in 
manchen Fällen die Tonqualität,
											denn, wie gesagt,
es waren versteckte Kameras.
											Deshalb gibt es auch Untertitel.
											Reicher Spieler: Wie viele 500er hast du?
											Armer Spieler: Nur einen.
									",Does money make you mean?,Paul Piff,16:35,"TEDx,behavioral economics,psychology"
"
","
","
",Does money make you mean?,Paul Piff,16:35,"TEDx,behavioral economics,psychology"
"
											Jugador rico: ¿Hablas en serio?
Jugador pobre: Sí.
									","
											Zengin Oyuncu: Ciddi misin?
Fakir Oyuncu: Evet.
									","
											Reicher Spieler: Ernsthaft?
Armer Spieler: Ja.
									",Does money make you mean?,Paul Piff,16:35,"TEDx,behavioral economics,psychology"
"
","
","
",Does money make you mean?,Paul Piff,16:35,"TEDx,behavioral economics,psychology"
"
											Jugador rico: Yo tengo tres. (Risas)
											No sé por qué me han dado tanto.
									","
											Zengin Oyuncu: Bende üç tane.
											Neden bana fazla vermişler bilmiyorum.
									","
											Reicher Spieler: Ich habe drei. (Lacht)
											Ich weiß nicht, 
warum sie mir so viele gegeben haben.
									",Does money make you mean?,Paul Piff,16:35,"TEDx,behavioral economics,psychology"
"
","
","
",Does money make you mean?,Paul Piff,16:35,"TEDx,behavioral economics,psychology"
"
											Paul Piff: Ya ven que fue evidente para los jugadores
											que algo pasaba.
											Es claro que uno de los dos tiene mucho más dinero
											que el otro y, sin embargo,
											conforme el juego se desarrollaba,
											vimos diferencias muy notables.
											Diferencias dramáticas comienzan a surgir
											entre los dos jugadores.
											El jugador rico
											comenzó a moverse por el tablero más sonoramente,
											literalmente golpeando el tablero con su ficha
											al avanzar.
											Pudimos ver señales de dominio
											y mensajes no verbales,
											muestras de poder
											y celebración por parte de los jugadores ricos.
									","
											Paul Piff: Evet, oyuncular hemen bir şeyler
											döndüğünü anladı.
											Biri diğerinden açık bir biçimde
											daha fazla paraya sahip ve yine de,
											oyun ilerledikçe,
											iki oyuncu arasında göze çarpan
											dramatik değişimlerin
											belirdiğini gördük.
											Zengin oyuncu
											tahtanın etrafında elindeki parçayı
											adeta vurarak daha gürültülü bir şekilde
											hareket etmeye başladı.
											Zengin oyuncular arasında
daha çok egemen tavırlar,
											sözsüz işaretler,
											güç gösterisi
											ve şölen havası görmeye başladık.
									","
											Paul Piff: Den Spielern ist 
also schnell aufgefallen,
											dass da etwas im Busch war.
											Eine Person hat eindeutig viel mehr Geld
											als die andere und trotzdem sahen wir,
											wie im Verlauf des Spiels
											unübersehbare sowie
											dramatische Unterschiede
											zwischen den zwei Spielern 
deutlich wurden.
											Der reiche Spieler
											begann sich lauter 
auf dem Brett zu bewegen
											und während der Züge regelrecht 
mit seiner Spielfigur
											auf das Spielbrett einzuhämmern.
											Unter den reichen Spielern 
waren dominantes Verhalten
											und nonverbale Zeichen häufiger,
											sie legten Machtgehabe an den Tag
											und jubelten öfter.
									",Does money make you mean?,Paul Piff,16:35,"TEDx,behavioral economics,psychology"
