es,tr,en,fr,title,speaker,duration,tags
"
","
","
","
",How I made an impossible film,Martin Villeneuve,10:55,"creativity,economics,entertainment,film,movies"
"
											Hice una película que era imposible de hacer,
											pero no sabía que fuese imposible,
											y por eso fui capaz de hacerla.
									","
											Yapılması imkansız bir film yaptım,
											ama o zaman imkansız olduğunu bilmiyordum
											ve bu şekilde filmi yapabildim.
									","
											I made a film that was impossible to make,
											but I didn't know it was impossible,
											and that's how I was able to do it.
									","
											J'ai fait un film impossible à réaliser,
											mais je ne savais pas que c'était impossible,
											et c’est grâce à ça que j'ai réussi à le faire.
									",How I made an impossible film,Martin Villeneuve,10:55,"creativity,economics,entertainment,film,movies"
"
","
","
","
",How I made an impossible film,Martin Villeneuve,10:55,"creativity,economics,entertainment,film,movies"
"
											""Mars et Avril"" es una película de ciencia ficción.
											Se desarrolla en Montreal, 
unos 50 años en el futuro.
											Nadie antes había hecho 
ese tipo de película en Quebec
											porque es caro, se desarrolla en el futuro,
											tiene toneladas de efectos visuales
											y se filma en pantalla verde.
											Sin embargo, realmente este es el tipo de película
											que quería hacer desde que era niño,
											cuando leía libros de historietas
											y soñaba con lo que podría ser el futuro.
									","
											""Mars et Avril"" bir bilim kurgu filmi.
											50 yıl sonraki gelecekte Montreal şehrinde geçiyor.
											Quebec'de daha önce hiç kimse böyle bir film yapmamış,
											çünkü çok pahalı, gelecekte geçiyor
											ve tonla görsel efekt içeriyor
											ve yeşil ekran üzerinde çekiliyor.
											Yine de bu çocukluğumdan beri yapmak istediğim türden
											bir film, gerçekten.
											Eskiden çizgi romanları okur ve
											geleceğin nasıl olacağına dair hayal kurardım.
									","
											""Mars et Avril"" is a science fiction film.
											It's set in Montreal some 50 years in the future.
											No one had done that kind of movie in Quebec before
											because it's expensive, it's set in the future,
											and it's got tons of visual effects,
											and it's shot on green screen.
											Yet this is the kind of movie that I wanted to make
											ever since I was a kid, really,
											back when I was reading some comic books
											and dreaming about what the future might be.
									","
											« Mars et Avril » est un film de science-fiction.
											Il se déroule dans un Montréal futuriste,
dans environ cinquante ans.
											Personne n’avait encore fait
ce genre de film au Québec,
											parce que ça coûte cher, ça se déroule dans le futur,
											ça comporte des tonnes d’effets visuels,
											et c’est tourné sur écran vert.
											Mais c’est le genre de film que je voulais faire
											depuis mon enfance,
											lorsque je lisais des bandes dessinées
											et que je m'abandonnais à des rêveries futuristes.
									",How I made an impossible film,Martin Villeneuve,10:55,"creativity,economics,entertainment,film,movies"
"
","
","
","
",How I made an impossible film,Martin Villeneuve,10:55,"creativity,economics,entertainment,film,movies"
"
											Cuando los productores
estadounidenses vieron mi película,
											pensaron que tuve un gran
presupuesto para hacerla,
											como 23 millones.
											Pero en realidad tenía el 10 %
de ese presupuesto.
											Hice ""Mars et Avril"" con solo 2.3 millones.
									","
											Amerikalı yapımcılar filmimi gördüğünde,
											filmi yaparken büyük bir bütçeye sahip olduğumu düşündüler,
											23 milyon gibi bir bütçe.
											Fakat aslında bu bütçenin %10'una sahiptim.
											""Mars et Avril"" filmini sadece 2.3 milyona yaptım
									","
											When American producers see my film,
											they think that I had a big budget to do it,
											like 23 million.
											But in fact I had 10 percent of that budget.
											I did ""Mars et Avril"" for only 2.3 million.
									","
											Lorsque les producteurs américains ont vu mon film,
											ils croyaient que j’avais eu
un gros budget pour le réaliser,
											quelque chose comme 23 millions.
											Mais en fait, j’avais 10 % de ce budget.
											J'ai fait « Mars et Avril » avec seulement 2,3 millions.
									",How I made an impossible film,Martin Villeneuve,10:55,"creativity,economics,entertainment,film,movies"
"
","
","
","
",How I made an impossible film,Martin Villeneuve,10:55,"creativity,economics,entertainment,film,movies"
"
											Se preguntarán, ¿cuál es el truco?
											¿Cómo lo hice?
											Bueno, son dos cosas. 
En primer lugar, es el tiempo.
											Cuando no se tiene dinero, 
se debe tomar tiempo,
											y me tomó siete años
hacer ""Mars et Avril"".
											El segundo aspecto es el amor.
											Recibí toneladas y toneladas
de generosidad de todos los involucrados.
											Y parece que ningún
departamentos tenía nada,
											así que tuvieron que depender
de nuestra creatividad
											y convertir cada problema en una oportunidad.
									","
											Şimdi merak ediyor olabilirsiniz, buradaki olay ne?
											Bunu nasıl yaptım?
											İki şeyle. İlki, zaman.
											Paran olmadığı vakit, zaman harcamak zorunda kalırsın,
											ve ""Mars et Avril"" filmini çekmek yedi senemi aldı.
											İkinci etken ise sevgi.
											Dahil olan herkesten ziyadesiyle cömertlk gördüm.
											Ve sanki hiçbir departmanın birşeyi yoktu.
											yaratıcılığımıza güvenmek ve her bir problemi
											fırsata dönüştürmek zorunda kaldılar.
									","
											So you might wonder, what's the deal here?
											How did I do this?
											Well, it's two things. First, it's time.
											When you don't have money, you must take time,
											and it took me seven years to do ""Mars et Avril.""
											The second aspect is love.
											I got tons and tons of generosity from everyone involved.
											And it seems like every department had nothing,
											so they had to rely on our creativity
											and turn every problem into an opportunity.
									","
											Alors vous vous demandez peut-être :
Quel est le secret ?
											Comment ai-je fait ?
											Eh bien, il y a deux facteurs. Premièrement, le temps.
											Quand vous n'avez pas d'argent,
vous devez prendre votre temps,
											et il m’a fallu sept ans pour réaliser « Mars et Avril ».
											Le deuxième facteur, c’est l’amour.
											J’ai reçu énormément de générosité
de la part de tous les gens impliqués.
											Étant donné que chaque département
disposait de moyens très limités,
											ils devaient compter sur notre créativité
											et transformer chaque problème en opportunité.
									",How I made an impossible film,Martin Villeneuve,10:55,"creativity,economics,entertainment,film,movies"
"
","
","
","
",How I made an impossible film,Martin Villeneuve,10:55,"creativity,economics,entertainment,film,movies"
"
											Y esto me lleva al punto de mi charla:
											cómo las limitaciones, las grandes limitaciones creativas, pueden estimular la creatividad.
									","
											Ve bu da beni konuşmanın esas noktasına getiriyor, aslında,
											sınırların nasıl, büyük yaratıcı sınırların nasıl yaratıcılığı körüklediği.
									","
											And that brings me to the point of my talk, actually,
											how constraints, big creative constraints, can boost creativity.
									","
											Et cela m’amène au sujet de ma conférence, en fait,
											de quelle manière les contraintes, les contraintes majeures, peuvent stimuler la créativité.
									",How I made an impossible film,Martin Villeneuve,10:55,"creativity,economics,entertainment,film,movies"
