fr,pt,tr,title,speaker,duration,tags
"
","
","
",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
											Un soir,
											après avoir regardé
les informations du soir
											avec mon fils qui avait alors cinq ans,
											il m'a posé une question
											à laquelle je pensais avoir
beaucoup de temps avant de répondre.
											Je pensais que les questions compliquées
venaient généralement à huit ou neuf ans
											mais mon fils m'a regardé dans les yeux
alors que je le bordais
											et, l'air sérieux, il m'a demandé :
											« Papa, pourquoi es-tu allé en prison ? »
									","
											Uma noite,
											depois de ver o noticiário da noite,
com o meu filho de 5 anos, na altura,
											ele fez-me uma pergunta que eu pensei
que teria muito tempo para responder.
											Pensei que as perguntas complicadas
geralmente surgiam aos 8 ou 9 anos,
											mas o meu filho olhou-me nos olhos
enquanto eu o aconchegava,
											e perguntou-me muito sério:
											""Papá, porque é que foste para a cadeia?""
									","
											Bir akşam,
											o zamanlar 5 yaşındaki oğlumla 
haberleri izledikten sonra,
											cevap vermemin çok zaman
alacağını düşündüğüm bir soru sordu.
											Karmaşık soruların genelde 8 ya da 9
yaşlarında sorulduğunu düşünürdüm.
											Ama oğlum, ben onu yatırırken
gözlerimin içine baktı
											ve çok ciddi bir ifadeyle
											""Baba, neden hapse girdin?"" diye sordu.
									",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
","
","
",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
											Ma femme et moi avions
souvent pensé à ce moment-là.
											Nous savions que la question allait venir
											et nous voulions bien gérer cela.
											Mais ce soir-là, je devais
répondre à une question.
											J'ai décidé de dire à mon fils
comment j'ai fini en prison
											quand je n'étais qu'un gamin de 15 ans.
									","
											A minha mulher e eu pensávamos
muitas vezes nesse momento,
											Sabíamos que esta pergunta surgiria
											e queríamos lidar bem com isso.
											Mas naquela noite, eu tinha 
uma pergunta para responder.
											Então, decidi contar ao meu filho
como acabei por ir para a prisão
											quando era apenas um miúdo de 15 anos.
									","
											Eşim ve ben bu anı sık sık düşündük.
											Bu sorunun geleceğini biliyorduk
											ve düzgün ele almak istedik.
											Ama o gece cevap vermem
gereken bir soru vardı.
											Ben de, 15 yaşında bir çocukken
nasıl hapse girdiğimi
											oğluma anlatmaya karar verdim.
									",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
","
","
",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
											Cette photo a été prise
quand j'avais 14 ans.
											Voici ma mère,
											ma sœur
											et ce bébé tout mignon, c'est ma nièce.
											Elle a 23 ans aujourd'hui
											et cela me rend fou à chaque fois
que je pense à combien je me fais vieux.
									","
											Esta foto foi tirada
quando eu tinha 14 anos.
											Aquela é a minha mãe,
											a minha irmã,
											e aquele bebé fofinho,
é a minha sobrinha.
											Ela tem 23 anos agora.
											Fico louco quando penso
no quão velho estou a ficar.
									","
											Bu fotoğraf çekildiğinde 14 yaşındaydım.
											Bu annem,
											kız kardeşim
											ve bu küçük tatlı bebek de yeğenim.
											Şu anda 23 yaşında
											ve ne kadar yaşlandığımı 
düşündükçe deli oluyorum.
									",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
","
","
",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
","
","
",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
											C'est la dernière photo que j'ai prise
											quelques semaines avant de prendre
la pire décision de ma vie.
											Avec un ami,
											nous avons approché un homme
qui dormait dans sa voiture,
											sorti un pistolet,
											réclamé les clés de sa voiture
											et sommes partis en trombe.
											Cette décision m'a fait atterrir
devant un juge,
											avec ma mère et ma sœur se tenant
à quelques mètres derrière moi,
											alors qu'elles ont entendu ma condamnation
											à huit ans dans une prison pour adultes
à sécurité maximale.
									","
											Esta foi a última fotografia que tirei
											apenas algumas semanas antes
de tomar a pior decisão da minha vida.
											Eu e um amigo,
											abordámos um homem
que dormia no seu carro,
											sacámos uma arma,
											exigimos as chaves do carro
											e fugimos.
											Essa decisão pôs-me
em frente de um juiz,
											com a minha mãe e a minha irmã,
de pé atrás de mim.
											enquanto ouviam a minha sentença
											de oito anos numa prisão
de segurança máxima para adultos.
									","
											Hayatımın en kötü kararını vermeden 

											birkaç hafta önce çekilmiş 
son fotoğraf buydu.
											Bir arkadaşım ve ben
											arabasında uyuyan bir adama yanaştık,
											silahımızı çıkardık,
											arabasının anahtarlarını istedik
											ve kaçtık.
											Bu karar beni hakim karşısına çıkardı.
											Annem ve kız kardeşim 
birkaç adım arkamda durup
											maksimum güvenlikli 
yetişkin hapishanesinde
											8 yıl cezaya çarptırılmamı dinledi.
									",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
","
","
",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
											Voici la photo de famille suivante
prise avec ma mère.
											Cette fois-là, elle a été prise
au parloir de la prison.
											Ne laissez pas la chute d'eau, les arbres
											et tout le reste en arrière-plan
vous tromper.
									","
											Esta é a outra foto de família
que tirei com a minha mãe.
											Mas desta vez, foi tirada
na sala de visitas da prisão.
											Não deixem que a cascata e as árvores
											e tudo aquilo ao fundo vos engane.
									","
											Bu da annemle çekildiğim
diğer aile fotoğrafı.
											Ama bu sefer hapishanenin
ziyaretçi odasındayız.
											Şelaleler ve ağaçlar
											ve arka plandaki diğer şeyler 
sizi aldatmasın.
									",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
","
","
",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
											(Rires)
									","
											(Risos)
									","
											(Gülüşmeler)
									",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
"
","
","
",An app that helps incarcerated people stay connected to their families,Marcus Bullock,15:06,"family,prison,social change,society,criminal justice,community,justice system"
