en,es,pt,tr,title,speaker,duration,tags
"
","
","
","
",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
											In case you are wondering,
											no, I'm not wearing a dress,
											and no, I'm not saying
what I'm wearing underneath.
									","
											En caso de que se lo pregunten,
											no, no me puse un vestido,
											y no, no les diré lo que llevo debajo.
									","
											Se estão intrigados,
											não, não estou a usar um vestido,
											e não, não vou dizer o que é
que estou a usar por baixo.
									","
											Merak ediyorsanız söyleyeyim
											hayır, üstümdeki bir elbise değil
											ve hayır, içime ne 
giydiğimi söylemeyeceğim.
									",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
","
","
","
",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gülüşmeler)
									",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
","
","
","
",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
											This is a gho.
											This is my national dress.
											This is how all men dress in Bhutan.
											That is how our women dress.
											Like our women,
											we men get to wear pretty bright colors,
											but unlike our women,
											we get to show off our legs.
									","
											Esto es un gho.
											Es mi traje nacional.
											Así visten los hombres en Bután.
											Así visten las mujeres allí.
											Al igual que ellas,
											los hombres vestimos 
colores bastante brillantes,
											pero a diferencia de ellas,
											nosotros podemos jactarnos
de nuestras piernas.
									","
											Isto é um ""gho"".
											É o meu traje nacional.
											É como se vestem todos os homens no Butão.
											Aquilo é como as mulheres se vestem.
											Tal como as nossas mulheres,
											nós homens usamos bonitas cores garridas,
											mas, ao contrário das nossas mulheres,
											exibimos as pernas.
									","
											Bunun adı gho.
											Bu benim milli kıyafetim.
											Bhutan'daki her erkeğin giydiği kıyafet.
											Bu da kadınlarımızın giydiği şey.
											Tıpkı kadınlarımız gibi
											biz erkekler de 
açık renkli kıyafetler giyeriz,
											fakat kadınlarımızdan farklı olarak
											Bizler bacaklarımızı gösteririz.
									",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
","
","
","
",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gülüşmeler)
									",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
","
","
","
",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
											Our national dress is unique,
											but this is not the only thing
that's unique about my country.
											Our promise to remain
carbon neutral is also unique,
											and this is what I'd like
to speak about today,
											our promise to remain carbon neutral.
									","
											Nuestro traje nacional es único,
											pero no es lo único 
singular de mi país.
											La promesa de neutralidad en emisiones 
de carbono también es única
											y de eso me gustaría hablar hoy:
											nuestra promesa de neutralidad
en emisiones de carbono.
									","
											O nosso traje nacional é especial,
											mas não é a única coisa
que é especial no meu país.
											A nossa promessa de nos mantermos
neutros em carbono também é especial.
											É disso que gostaria de falar hoje,
											da nossa promessa de nos mantermos
neutros em carbono.
									","
											Milli kıyafetimiz eşsizdir,
											fakat bu ülkemde 
eşsiz olan tek şey bu değil.
											Karbon nötr kalmak için 
verdiğimiz söz de eşsizdir
											ve bugün konuşmak istediğim konu bu;
											karbon nötr kalmak için verdiğimiz söz.
									",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
","
","
","
",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
											But before I proceed,
I should set you the context.
											I should tell you our story.
									","
											Pero antes de continuar,
debería ponerlos en contexto.
											Debería contarles de nuestra sociedad.
									","
											Mas, antes de começar,
vou situar isto no seu contexto.
											Tenho que vos contar a nossa história.
									","
											Fakat devam etmeden önce,
durumu anlatmalıyım.
											Bizim hikayemizi anlatmalıyım.
									",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
","
","
","
",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
											Bhutan is a small country
in the Himalayas.
											We've been called Shangri-La,
											even the last Shangri-La.
											But let me tell you right off the bat,
we are not Shangri-La.
											My country is not one big monastery
											populated with happy monks.
									","
											Bután es un país pequeño del Himalaya.
											Nos han llamado Shangri-La,
											incluso el último Shangri-La,
											pero les diré de inmediato
que no somos Shangri-La.
											Mi país no es un gran monasterio
											poblado por monjes felices.
									","
											O Butão é um pequeno país
nos Himalaias.
											Já nos chamaram Shangri-La,
											até ""O Último Shangri-La"".
											Mas devo dizer
que não somos Shangri-La.
											O meu país não é um grande mosteiro,
povoado por monges felizes.
									","
											Bhutan, Himalayalarda 
bulunan küçük bir ülke.
											Shangri-La olarak anılırız,
											kalan son Shangri-La olsa bile.
											Fakat şunu söyleyeyim,
biz Shangri-La değiliz.
											Ülkem sadece koca bir manastırdan ve
											mutlu keşişlerden oluşmuyor.
									",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
","
","
","
",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
											(Laughter)
									","
											(Risas)
									","
											(Risos)
									","
											(Gülüşmeler)
									",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
"
","
","
","
",This country isn't just carbon neutral — it's carbon negative,Tshering Tobgay,18:54,"alternative energy,beauty,big problems,Buddhism,climate change,democracy,economics,environment,future,goal-setting,global issues,government,green,humanity,happiness,innovation,nature,pollution,sustainability,world cultures,trees,global development,ecology"
