en,es,title,speaker,duration,tags
"
","
","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
											In the months following
the 2009 presidential election in Iran,
											protests erupted across the country.
											The Iranian government
violently suppressed
											what came to be known
as the Iranian Green Movement,
											even blocking mobile signals
											to cut off communication
between the protesters.
											My parents, who emigrated
to the United States in the late 1960s,
											spend substantial time there,
											where all of my large,
extended family live.
											When I would call my family in Tehran
											during some of the most violent
crackdowns of the protest,
											none of them dared discuss
with me what was happening.
											They or I knew to quickly steer
the conversation to other topics.
											All of us understood
what the consequences could be
											of a perceived dissident action.
											But I still wish I could have known
what they were thinking
											or what they were feeling.
											What if I could have?
											Or more frighteningly,
											what if the Iranian government could have?
											Would they have arrested them
based on what their brains revealed?
											That day may be closer than you think.
									","
											En los meses siguientes a la elección
presidencial del 2009 en Irán,
											las protestas estallaron por todo el país.
											El gobierno iraní reprimió violentamente
											lo que fue conocido
como el Movimiento Verde Iraní,
											bloqueando incluso las señales telefónicas
											para cortar la comunicación
entre los manifestantes.
											Mis padres, quienes emigraron
a los EE. UU. a finales de 1960,
											pasaron un tiempo considerable allí,
											donde vive mi gran y extensa familia.
											Cuando llamaba a mi familia en Teherán
											durante una de las represiones 
más violenta a las protestas
											ninguno de ellos se atrevió a hablar
conmigo sobre lo que estaba pasando.
											Ellos y yo sabíamos cómo cambiar
rápidamente de tema de conversación.
											Todos nosotros comprendimos
qué consecuencias podrían derivar
											de una acción disidente detectada.
											Pero todavía sigo deseando haber podido
saber lo que ellos estaban pensando
											o lo que ellos estaban sintiendo.
											¿Y si hubiera podido?
											O más terrible,
											¿y si el gobierno iraní hubiera podido?
											¿Les hubieran arrestado
basándose en lo que pensaban?
											Ese día puede estar
más cerca de lo que piensan.
									","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
","
","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
											With our growing capabilities
in neuroscience, artificial intelligence
											and machine learning,
											we may soon know a lot more
of what's happening in the human brain.
											As a bioethicist, a lawyer, a philosopher
											and an Iranian-American,
											I'm deeply concerned
about what this means for our freedoms
											and what kinds of protections we need.
											I believe we need
a right to cognitive liberty,
											as a human right
that needs to be protected.
											If not, our freedom of thought,
											access and control over our own brains
											and our mental privacy will be threatened.
									","
											Con nuestras crecientes capacidades 
en neurociencia, inteligencia artificial
											y aprendizaje automático,
											pronto tal vez podamos saber más 
de lo que pasa en el cerebro humano.
											Como especialista
en bioética, abogada, filósofa
											y como iraní-estadounidense,
											estoy muy preocupada sobre lo que 
esto significa para nuestras libertades
											y qué tipo de protecciones necesitamos.
											Creo que necesitamos
un derecho a la libertad cognitiva,
											como un derecho humano
que necesita que lo protejan.
											Si no, nuestra libertad de pensamiento,
											acceso y control sobre nuestras mentes
											y nuestra privacidad mental 
estará amenazada.
									","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
","
","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
											Consider this:
											the average person thinks
thousands of thoughts each day.
											As a thought takes form,
											like a math calculation
or a number, a word,
											neurons are interacting in the brain,
											creating a miniscule electrical discharge.
											When you have a dominant
mental state, like relaxation,
											hundreds and thousands of neurons
are firing in the brain,
											creating concurrent electrical discharges
in characteristic patterns
											that can be measured
with electroencephalography, or EEG.
											In fact, that's what
you're seeing right now.
											You're seeing my brain activity
that was recorded in real time
											with a simple device
that was worn on my head.
											What you're seeing is my brain activity
when I was relaxed and curious.
											To share this information with you,
											I wore one of the early
consumer-based EEG devices
											like this one,
											which recorded the electrical
activity in my brain in real time.
											It's not unlike the fitness trackers
that some of you may be wearing
											to measure your heart rate
or the steps that you've taken,
											or even your sleep activity.
											It's hardly the most sophisticated
neuroimaging technique on the market.
											But it's already the most portable
											and the most likely to impact
our everyday lives.
									","
											Consideren esto:
											la persona promedio tiene
miles de pensamientos cada día.
											Cuando un pensamiento se forma,
											como un cálculo matemático
o un número, una palabra,
											las neuronas están
interactuando en el cerebro,
											creando una minúscula descarga eléctrica.
											Cuando tienes un estado mental
dominante, como la relajación,
											cientos y miles de neuronas
están ardiendo en el cerebro,
											creando descargas eléctricas simultáneas
en unos patrones característicos
											que pueden medirse
con encefalogramas o EEG.
											De hecho, esto es lo que ven ahora mismo.
											Están viendo mi actividad mental
que se grabó a tiempo real
											con un simple dispositivo
que me pusieron en la cabeza.
											Lo que están viendo es mi actividad mental
cuando estaba relajada y curiosa.
											Para compartir esta información con Uds.,
											llevé uno de estos dispositivos EEG
hechos para el consumidor
											como este,
											el cuál grabó la actividad
eléctrica de mi cerebro en tiempo real.
											No es tan diferente de los monitores 
de actividad que tal vez lleven puestos
											para medir su ritmo cardíaco
o los pasos que han dado,
											o incluso sus periodos de sueño.
											Es difícilmente la técnica de neuroimagen
más sofisticada en el mercado.
											Pero ya es casi la más compatible
											y la que probablemente tenga
más impacto en nuestras vidas cotidianas.
									","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
","
","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
											This is extraordinary.
											Through a simple, wearable device,
											we can literally see
inside the human brain
											and learn aspects of our mental landscape
without ever uttering a word.
											While we can't reliably decode
complex thoughts just yet,
											we can already gauge a person's mood,
											and with the help
of artificial intelligence,
											we can even decode
some single-digit numbers
											or shapes or simple words
that a person is thinking
											or hearing, or seeing.
									","
											Es extraordinario.
											A través de un simple
y vestible dispositivo
											podemos literalmente ver
lo que hay dentro del cerebro humano
											y aprender aspectos de nuestro paisaje
mental sin pronunciar una sola palabra.
											Aunque aún no podemos descodificar de
manera fiable los pensamientos complejos,
											ya podemos estimar 
el humor de una persona,
											y con ayuda de la inteligencia artificial,
											podemos incluso descodificar
algunos números de un solo dígito
											o formas o palabras simples
que la persona está pensando
											o escuchando, o viendo.
									","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
","
","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
											Despite some inherent limitations in EEG,
											I think it's safe to say
that with our advances in technology,
											more and more of what's happening
in the human brain
											can and will be decoded over time.
											Already, using one of these devices,
											an epileptic can know
they're going to have an epileptic seizure
											before it happens.
											A paraplegic can type on a computer
with their thoughts alone.
											A US-based company has developed
a technology to embed these sensors
											into the headrest of automobilies
											so they can track driver concentration,
											distraction and cognitive load
while driving.
											Nissan, insurance companies
and AAA have all taken note.
											You could even watch this
choose-your-own-adventure movie
											""The Moment,"" which, with an EEG headset,
											changes the movie
based on your brain-based reactions,
											giving you a different ending
every time your attention wanes.
									","
											A pesar de algunas 
limitaciones inherentes en EEG,
											creo que se puede afirmar que
con nuestros avances en tecnología,
											más y más de lo que pasa
en el cerebro humano
											puede y será descodificado con el tiempo.
											Ya, usando uno de estos dispositivos
											una persona epiléptica puede saber
si va a sufrir una convulsión epiléptica
											antes de que ocurra.
											Una persona parapléjica sola
											puede escribir sus pensamientos 
en una computadora.
											Una compañía de EE. UU. ha inventado una 
tecnología para incrustar estos sensores
											en el reposacabezas de los automóviles
											para poder monitorizar
la concentración al volante,
											la distracción y la carga cognitiva
mientras se está conduciendo.
											Nissan, las compañías de seguros y
AAA han tomado nota.
											Pueden ver incluso esta película de
""elija su propia aventura""
											""The Moment"", la que,
con unos auriculares EEG,
											cambia basándose
en las reacciones de su cerebro,
											dándole un final diferente
cada vez que su atención mengua.
									","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
","
","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
											This may all sound great,
											and as a bioethicist,
											I am a huge proponent of empowering people
											to take charge of their own
health and well-being
											by giving them access
to information about themselves,
											including this incredible
new brain-decoding technology.
											But I worry.
											I worry that we will voluntarily
or involuntarily give up
											our last bastion of freedom,
our mental privacy.
											That we will trade our brain activity
											for rebates or discounts on insurance,
											or free access
to social-media accounts ...
											or even to keep our jobs.
											In fact, in China,
											the train drivers on
the Beijing-Shanghai high-speed rail,
											the busiest of its kind in the world,
											are required to wear EEG devices
											to monitor their brain activity
while driving.
											According to some news sources,
											in government-run factories in China,
											the workers are required to wear
EEG sensors to monitor their productivity
											and their emotional state at work.
											Workers are even sent home
											if their brains show less-than-stellar
concentration on their jobs,
											or emotional agitation.
									","
											Esto puede sonar bien,
											y como una especialista en bioética,
											soy una gran defensora de
autorizar a las personas
											a hacerse cargo de 
su propia salud y bienestar
											dándoles acceso a información 
sobre ellos mismos,
											incluyendo esta tecnología nueva e
increíble de descodificación de cerebros.
											Pero me preocupo.
											Me preocupa que voluntariamente o
involuntariamente abandonemos
											nuestro último bastión de libertad,
nuestra intimidad mental.
											Que cambiemos nuestra actividad cerebral
											para que nuestro seguro 
nos reembolse o nos descuente,
											o que haya acceso libre
a las cuentas de las redes sociales...
											O Incluso que se use 
para nuestros trabajos.
											De hecho, en China,
											los conductores del tren
de alta velocidad de Beijing-Shanghái,
											uno de los más concurridos del mundo,
											se les demanda llevar dispositivos EEG
											para monitorizar su actividad
cerebral mientras conducen.
											De acuerdo con
algunas fuentes de noticias,
											en las fábricas de China
controladas por el gobierno,
											a los empleados se les pide que usen
sensores EEG para ver su productividad
											y su estado emocional en el trabajo.
											A los empleados incluso
se les manda a casa
											si sus cerebros muestras una concentración
menos que estelar en sus trabajos,
											o si están mentalmente agitados.
									","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
"
","
","When technology can read minds, how will we protect our privacy?",Nita Farahany,13:04,"brain,privacy,security,technology,science,neuroscience,medical imaging,cognitive science,mind,decision-making"
