fr,tr,de,es,title,speaker,duration,tags
"
","
","
","
",A dive into the reef's Twilight Zone,Richard Pyle,16:48,"biodiversity,exploration,fear,fish,oceans,science,technology,marine biology"
"
											Ceci est la première des deux photographies plutôt extraordinaires que je vais vous montrer aujourd'hui.
											Elle a été prise il y a 18 ans,
											j'avais 19 ans à l'époque.
											Je revenais d'une des plongées les plus profondes que j'avais jamais faite,
											à un peu plus de 60 mètres.
											Et, j'y avais attrapé ce petit poisson,
											et il s'avère que celui-ci était le premier spécimen jamais pris vivant.
											Je ne suis pas seulement un ichtyologiste, je suis sérieusement un dingue de poissons.
											Et pour un dingue de poissons, c'était une chose bien excitante.
											Et le plus excitant était que la personne qui a pris cette photo
											était un homme nommé Jack Randall,
											le plus grand ichtyologiste du monde,
											le grand Manitou des dingues de poissons, si vous préférez.
											Et ainsi, ce fut vraiment excitant pour moi de vivre ce moment,
											il a littéralement défini le cours de ma vie.
									","
											Bu, size bugün göstereceğim iki oldukça sıradışı fotoğrafın birincisi.
											18 sene önce çekilmişti.
											Ben o zaman 19 yaşındaydım.
											O zamanlar yaptığım en derin dalışların birinden yeni dönmüştüm;
											60 metreden biraz daha derine.
											Ve bu küçük balığı yakalamıştım;
											ve öyle görünüyor ki bu fotoğraf bu türün canlı çekilmiş ilk fotoğrafı.
											Ben sadece bir ihtiyolojist (balık bilimci) değilim, ben hakiki bir balık delisiyim.
											Ve bir balık delisi için bunlar oldukça heyecan verici şeyler.
											Ve daha da heyecan verici olan, bu fotoğrafı çeken kişinin
											Jack Randall olması,
											dünyanın en büyük ihtiyolojisti,
											balık delilerinin en büyüğü, bir anlamda.
											Yani, böyle bir anı yaşamış olmak benim için çok heyecan vericiydi;
											bu gerçekten hayatımın geri kalanının yönünü belirledi.
									","
											Das ist das erste von zwei außergewöhnlichen Fotos, die ich Ihnen heute zeigen werde.
											Es wurde vor 18 Jahren aufgenommen.
											ich war damals 19 Jahre alt.
											Ich kam gerade von einem der tiefsten Tauchgänge, die ich damals je gemacht hatte,
											– ein wenig mehr als 60 Meter –
											und hatte diesen kleinen Fisch hier gefangen.
											Tatsächlich das erste Exemplar, das je lebend gefangen wurde.
											Ich bin nicht nur ein Fischkundler, ich bin ein waschechter Fisch-Fan.
											Und für einen Fisch-Fan ist das ganz schön aufregend.
											Und noch aufregender war, dass der Fotograf
											ein Typ namens Jack Randall war,
											der größte lebende Fischkundler der Welt,
											der Großmogul der Fisch-Fans sozusagen.
											Und so war dieser Moment für mich wirklich aufregend,
											und hat damals den Kurs für den Rest meines Lebens gesetzt.
									","
											Esta es la primera de dos extraordinarias fotografías que les voy a mostrar hoy.
											Fue tomada hace 18 años;
											en esa época tenía 19 años.
											Acababa de regresar de uno de mis buceos más profundos
											hasta ese momento, de un poco más de 60 metros.
											Y había atrapado este pequeño pez que ven aquí,
											y resulta que ese pez fue el primero de su especie en ser atrapado vivo.
											No soy sólo un ictiólogo, soy realmente un loco por los peces.
											Y para los locos por los peces esto es muy excitante.
											Y más excitante aún era el hecho que quien sacó la foto
											fue un tipo llamado Jack Randall,
											el ictiólogo vivo más importante del mundo,
											el Gran Díos de los locos por los peces, puede decirse.
											Para mí fue muy excitante vivir ese momento
											y marcó el curso del resto de mi vida.
									",A dive into the reef's Twilight Zone,Richard Pyle,16:48,"biodiversity,exploration,fear,fish,oceans,science,technology,marine biology"
"
","
","
","
",A dive into the reef's Twilight Zone,Richard Pyle,16:48,"biodiversity,exploration,fear,fish,oceans,science,technology,marine biology"
"
											Mais la chose réellement la plus importante, la chose la plus profonde
											à propos de cette image, c'est qu'elle a été prise deux jours avant
											que je sois complètement paralysé du cou jusqu'aux pieds.
											J'ai fait une erreur vraiment stupide
											que la plupart des hommes de 19 ans, font quand ils pensent qu'ils sont immortels,
											et j'ai fait un grave accident de décompression,
											j'étais paralysé et j'ai dû être rapatrié pour être soigné.
											J'ai appris deux choses vraiment importantes ce jour là.
											La première chose que j'ai apprise - et bien, je suis mortel, c'est vraiment énorme.
											Et la deuxième chose que j'ai apprise, c'est que je savais, avec une certitude profonde,
											que c'était exactement ce que j'allais faire de ma vie
											Je devais concentrer toute mon énergie dans la recherche
											de nouvelles espèces sur les récifs profonds de corail.
									","
											Ama gerçekten bu fotoğrafla ilgili en önemli şey, en yoğun şey,
											boynumdan aşağıya tamamen felç inmesinden
											iki gün önce çekilmiş olması.
											Çoğu 19 yaş erkeğinin kendini ölümsüz sanarken yaptığı
											gerçekten aptalca bir hatayı yapmıştım.
											Kötü bir vurgun yemiştim
											ve felç olmuştum ve tedavi için uçakla geri dönmem gerekiyordu.
											O gün, çok önemli iki şey öğrendim.
											Öğrendiğim birinci şey — tamam, ben ölümlüyüm, bu gerçekten büyük bir şey.
											Ve öğrendiğim ikinci şey ise hayatımın geri kalanında yapacağım şeyin
											bu olduğunu büyük bir kesinlikle biliyor olmamdı.
											Tüm enerjimi, derin mercan resiflerindeki yeni
											türleri bulmaya yöneltmeliydim.
									","
											Aber das bedeutsamste, das tiefsinnigste an diesem Bild
											ist, dass ich zwei Tage nach dieser Aufnahme,
											vom Hals abwärts vollständig gelähmt war.
											Ich hatte einen wirklich dummen Fehler begangen,
											wie die meisten 19-jährigen, die sich für unsterblich halten,
											und litt an einem schweren Fall der Taucherkrankheit,
											war gelähmt und musste zur Behandlung ausgeflogen werden.
											An diesem Tag lernte ich zwei wirklich wichtige Dinge.
											Erstens – na ja, ich bin sterblich, das war 'ne ziemliche Lektion.
											Und zweitens wurde mir bewusst, dass ich, mit absoluter Sicherheit,
											von nun an genau wusste, was ich im Rest meines Lebens tun würde.
											Ich musste all meine Energie darauf konzentrieren,
											neue Spezies zu finden, die tief unten in den Korallenriffs leben.
									","
											Pero realmente lo más significativo, lo más potente,
											de esta foto es que fue tomada dos días antes
											de quedar totalmente paralizado desde el cuello hacia abajo.
											Cometí un error realmente muy estúpido,
											que la mayoría de los varones de 19 cometen por creerse inmortales,
											y sufrí una descompresión muy fuerte
											y terminé paralizado, por lo que tuvieron que llevarme volando a tratarme.
											Aprendí dos cosas importantes ese día.
											Lo primero que aprendí (y es muy importante) es que bueno, soy mortal.
											Y lo segundo que aprendí fue que supe, con completa seguridad,
											que esto era exactamente lo que iba a hacer por el resto de mi vida.
											Tenía que enfocar todas mis energías en encontrar
											nuevas especies de cosas en las profundidades de los arrecifes.
									",A dive into the reef's Twilight Zone,Richard Pyle,16:48,"biodiversity,exploration,fear,fish,oceans,science,technology,marine biology"
"
","
","
","
",A dive into the reef's Twilight Zone,Richard Pyle,16:48,"biodiversity,exploration,fear,fish,oceans,science,technology,marine biology"
"
											Maintenant, quand vous pensez à un récif de corail, voici ce à quoi la plupart des gens pensent —
											tous ces grands coraux, durs, complexes et beaucoup des poisson et autres choses multicolores, aux couleurs vives.
											Mais, ce n'est vraiment que la partie émergée de l'iceberg.
											Si vous regardez ce diagramme d'un récif de corail,
											nous en savons beaucoup sur cette partie près du sommet,
											et la raison pour laquelle nous en connaissons autant sur ce sujet
											est que les plongeurs peuvent très facilement y descendre et y accéder.
									","
											Şimdi, bir mercan resifini düşünecek olursanız, çoğu insanın aklına bu gelir—
											tüm o büyük, sert, süslü mercanlar ve bir sürü parlak, renkli balıklar vb.
											Ama bu sadece buzdağının ucudur.
											Bir mercan resifini gösteren böyle bir diyagrama bakarsanız,
											tepeye yakın olan bölümle ilgili birçok şey biliyoruz,
											ve bunun nedeni
											scuba dalgıçlarının kolayca aşağı inip buraya erişebilmeleridir.
									","
											Wenn man an ein Korallenriff denkt, stellen sich die meisten Leute dies vor:
											all diese großen, harten, kunstvollen Korallen und viele bunte Fischlein und so.
											Aber das ist nur die Spitze des Eisbergs.
											Schauen Sie sich dieses Diagramm eines Korallenriffs an.
											Wir wissen eine Menge über den oberen Teil,
											und der Grund dafür ist der,
											dass er für Sporttaucher sehr leicht zu erreichen ist.
									","
											Cuando piensas en un arrecife de coral, ésta es la imagen mental que tienen casi todos,
											todos estos corales grandes, duros, detallados y muchos peces coloridos y vivaces.
											Pero en verdad esta es sólo la punta del iceberg.
											Si miras esta especie de diagrama de un arrecife,
											sabemos mucho de la parte de más arriba
											y sabemos tanto sobre eso
											porque los buzos scuba pueden bajar y llegar fácilmente.
									",A dive into the reef's Twilight Zone,Richard Pyle,16:48,"biodiversity,exploration,fear,fish,oceans,science,technology,marine biology"
"
","
","
","
",A dive into the reef's Twilight Zone,Richard Pyle,16:48,"biodiversity,exploration,fear,fish,oceans,science,technology,marine biology"
"
											Il y a pourtant un problème avec la plongée,
											parce qu'elle limite la profondeur à laquelle vous pouvez aller,
											et il s'avère que cette profondeur est d'environ 60 mètres.
											Je vous dirai pourquoi dans une minute.
											Mais l'important est que les plongeurs restent en général à des profondeurs inférieures à 30 mètres,
											et vont très rarement beaucoup plus profond, au moins, pas les sains d'esprits.
											Alors, pour aller plus profond, la plupart des biologistes se sont tournés vers les submersibles.
											Maintenant, les submersibles sont des choses magnifiques, merveilleuses,
											mais si vous dépensez 30.000 dollars par jour pour utiliser l'une de ces choses,
											et qu'elle est capable d'aller à 600 mètres,
											vous n'allez sûrement pas vous balader ici dans quelques dizaines de mètres,
											vous allez descendre beaucoup, beaucoup, beaucoup plus profond.
											Ainsi, en réalité presque toutes les recherches au moyen de submersibles
											ont eu lieu bien au-dessous de 150 mètres.
									","
											Scubayla ilgili bir problem vardır oysa ki,
											o da şudur ki sizin ne kadar derine gidebileceğinize bir sınır getirir,
											ve bu derinlik de yaklaşık 60 metredir.
											Bunun neden böyle olduğuna birazdan gireceğim.
											Ama, önemli olan nokta şu ki scuba dalgıçları genelde 30 metrenin üzerinde kalırlar
											ve çok nadir bundan daha derine inerler, en azından aklıselim sahibilerse böyledir.
											Yani, daha derine gitmek için çoğu biyolog küçük denizaltılara yönelmişlerdir.
											Bu denizaltılar müthiş, harika şeylerdir,
											fakat böyle bir şeyi kullanmak için günlüğüne 30 bin dolar veriyorsanız
											ve 600 metre derinliğe inebiliyorsa
											yukarılarda bir yerlerde aptalca dolaşmazsınız;
											çok çok çok daha derine gidersiniz.
											Sonuç olarak, bu denizaltılar kullanılarak yapılan araştırmalar
											hep 150 metreden daha derinlerde olmuştur.
									","
											Sporttauchen bringt aber ein Problem mit sich,
											es schränkt nämlich die mögliche Tauchtiefe ein,
											und diese Tiefe liegt bei ungefähr 60 Metern.
											Ich erkläre auch gleich, wieso das so ist.
											Entscheidend ist, dass Sporttaucher meist weniger als 30 Meter tauchen
											und sehr selten viel tiefer, wenigstens wenn sie bei Verstand sind.
											Um also tiefer zu gelangen, helfen sich die meisten Biologen mit Tauchbooten.
											Tauchboote sind großartige Erfindungen,
											aber wenn man pro Tag 30.000 Dollar für so ein Ding ausgibt
											und damit 600 Meter tief kommt,
											dann verschwendet man doch keine Zeit auf hundert Metern,
											nein, dann geht man ganz, ganz, ganz nach unten.
											Also die Quintessenz ist, dass fast alle Forschung mit Tauchbooten
											weit unter 150 Metern stattfindet.
									","
											Eso sí, hay un problema con el scuba
											y es que limita cuánto puedes bajar
											y resulta ser alrededor de 60 metros.
											Les explicaré la razón en un minuto.
											Pero el punto es que los buzos scuba generalmente se mantienen sobre los 30 metros
											y muy rara vez descienden más, por lo menos los cuerdos.
											Entonces, para ir más profundo, la mayoría de los biólogos están usando sumergibles.
											Ahora, los sumergibles son increíblemente maravillosos,
											pero si vas a gastarte 30 mil dólares diarios para usar uno
											y puede descender hasta 600 metros,
											de seguro no vas a tontear por acá arriba en los primeros 60 metros,
											vas a bajar muy, muy, muy profundo.
											En conclusión, casi toda la investigación usando sumergibles
											se ha hecho bastante por debajo de 150 metros.
									",A dive into the reef's Twilight Zone,Richard Pyle,16:48,"biodiversity,exploration,fear,fish,oceans,science,technology,marine biology"
"
","
","
","
",A dive into the reef's Twilight Zone,Richard Pyle,16:48,"biodiversity,exploration,fear,fish,oceans,science,technology,marine biology"
"
											Bon, là, il devient assez évident qu'il y a cette zone ici, au milieu
											et que c'est la zone qui est vraiment au centre de ma propre quête du bonheur.
											Je veux savoir ce qu'il y a dans cette zone.
											Nous ne savons presque rien sur elle.
											Les plongeurs sous-marins ne peuvent pas y aller, les sous-marins ne font qu'y passer.
									","
											Bu nokta da gayet aşikâr ki ortada bir alan var
											ve işte bu alan da benim kendi mutluluk arayışımın merkezinde konumlanıyor.
											Bu alanda ne olduğunu bulmak istiyorum.
											Burasıyla ilgili neredeyse hiçbir şey bilmiyoruz.
											Scuba dalgıçları buraya inemiyor; denizaltılar burayı es geçip gidiyor.
									","
											Jetzt zeichnet sich schon ziemlich deutlich diese Zone in der Mitte ab,
											und in dieser Zone manifestiert sich mein eigenes Streben nach Glück.
											Ich möchte herausfinden, was es in dieser Zone gibt.
											Wir wissen kaum etwas darüber.
											Sporttaucher kommen dort nicht hin, U-Boote fahren einfach vorbei.
									","
											Entonces ya es obvio que hay una zona aquí en el medio
											y esa es la zona que concentra mi búsqueda personal de la felicidad.
											Quiero saber qué hay en esta zona.
											Casi no sabemos nada sobre ella.
											Los buzos scuba no pueden llegar allí y los submarinos la pasan de largo.
									",A dive into the reef's Twilight Zone,Richard Pyle,16:48,"biodiversity,exploration,fear,fish,oceans,science,technology,marine biology"
