en,pt,tr,de,title,speaker,duration,tags
"
","
","
","
",The unheard story of the Sistine Chapel,Elizabeth Lev,17:33,"Christianity,creativity,beauty,culture,history,God,museums,painting,visualizations,religion,art"
"
											Imagine you're in Rome,
											and you've made your way
to the Vatican Museums.
											And you've been shuffling
down long corridors,
											past statues, frescoes,
lots and lots of stuff.
											You're heading towards the Sistine Chapel.
											At last — a long corridor,
a stair and a door.
											You're at the threshold
of the Sistine Chapel.
									","
											Imaginem que estão em Roma
											a caminho dos Museus Vaticanos.
											Percorrem longos corredores,
											passam por estátuas, frescos
e muitas, muitas coisas.
											Dirigem-se para a Capela Sistina.
											Por fim, um comprido corredor,
uma escada e uma porta.
											Estão à entrada da Capela Sistina.
									","
											Roma'da olduğunuzu düşünün
											ve Vatikan Müzeleri'nin yolunu tuttunuz.
											Uzun koridorlardan geçtiniz,
											heykellerin, fresklerin ve 
daha bir sürü şeyin yanından.
											Sistine Şapeli'ne doğru ilerliyorsunuz.
											Sonunda — uzun bir koridor, 
bir merdiven ve bir kapı.
											Sistine Şapeli'nin eşiğindesiniz.
									","
											Stellen Sie sich vor, Sie sind in Rom
											und haben es bis zu
den Vatikanischen Museen geschafft.
											Sie sind durch lange Korridore geschlurft,
											an Statuen, Fresken
und vielen anderen Dingen vorbei.
											Sie nähern sich der Sixtinischen Kapelle.
											Endlich — ein langer Korridor,
eine Treppe und eine Tür.
											Sie befinden sich an der Schwelle
zur Sixtinischen Kapelle.
									",The unheard story of the Sistine Chapel,Elizabeth Lev,17:33,"Christianity,creativity,beauty,culture,history,God,museums,painting,visualizations,religion,art"
"
","
","
","
",The unheard story of the Sistine Chapel,Elizabeth Lev,17:33,"Christianity,creativity,beauty,culture,history,God,museums,painting,visualizations,religion,art"
"
											So what are you expecting?
											Soaring domes? Choirs of angels?
											We don't really have any of that there.
											Instead, you may ask yourself,
what do we have?
									","
											O que é que esperam ver?
											Cúpulas altíssimas? Coros de anjos?
											Na realidade, não há nada disso.
											Pelo contrário, podemos perguntar:
""O que é que temos aqui?""
									","
											Peki ne bekliyorsunuz?
											Yükselen kubbeler? Meleklerin korosu?
											Aslında orada bunların hiçbiri bulunmuyor.
											Onun yerine neyimiz olduğunu 
kendi kendinize sorabilirsiniz?
									","
											Was erwarten Sie?
											Himmelhohe Kuppeln? Engelschöre?
											Eigentlich gibt es dort nichts davon.
											Sie werden sich fragen, 
was es denn dann zu sehen gibt?
									",The unheard story of the Sistine Chapel,Elizabeth Lev,17:33,"Christianity,creativity,beauty,culture,history,God,museums,painting,visualizations,religion,art"
"
","
","
","
",The unheard story of the Sistine Chapel,Elizabeth Lev,17:33,"Christianity,creativity,beauty,culture,history,God,museums,painting,visualizations,religion,art"
"
											Well, curtains up on the Sistine Chapel.
											And I mean literally, you're surrounded
by painted curtains,
											the original decoration of this chapel.
											Churches used tapestries not just
to keep out cold during long masses,
											but as a way to represent
the great theater of life.
											The human drama in which each one of us
plays a part is a great story,
											a story that encompasses the whole world
											and that came to unfold
in the three stages
											of the painting in the Sistine Chapel.
									","
											Há cortinas na Capela Sistina.
											Literalmente, estamos rodeados
de cortinas pintadas,
											a decoração original desta capela.
											As igrejas usavam tapeçarias
											para proteger do frio
durante as longas missas,
											e também para a representação
do grande teatro da vida.
											O drama do Homem, em que 
cada um de nós desempenha a sua parte,
											é uma bela história,
uma história que abrange o mundo inteiro
											e que se desenrola em três fases
											nas pinturas da Capela Sistina.
									","
											Sistine Şapeli'nde perdeler açılıyor.
											Yani gerçekten de perde 
resimleriyle çevrilisiniz,
											şapelin orijinal dekorasyonu bu.
											Kiliseler duvar halılarını sadece 
uzun ayinler sırasında
											soğuktan korunmak için değil, 
aynı zamanda
											hayatın büyük tiyatrosunu temsil etmenin 
bir yolu olarak kullandılar.
											Her birimizin bir rol oynadığı insan 
tiyatrosu harika bir hikâyedir;
											bütün dünyayı içine alan
											ve Sistine Şapeli'ndeki 
resimde üç aşamada
											gözler önüne serilmiş olan bir hikâye.
									","
											Vorhang auf für die Sixtinische Kapelle.
											Das meine ich wörtlich, denn man ist
von gemalten Vorhängen umgeben,
											der ursprünglichen Dekoration der Kapelle.
											Die Wandteppiche schützten nicht nur
während langer Messen gegen die Kälte,
											sondern bildeten auch
das große Theater des Lebens ab.
											Das menschliche Drama, in dem jeder
eine Rolle spielt, ist gewaltig.
											Es ist eine Geschichte, 
die die ganze Welt umfasst
											und die in drei Stufen in den Malereien
der Sixtinischen Kapelle
											zur Entfaltung kommt.
									",The unheard story of the Sistine Chapel,Elizabeth Lev,17:33,"Christianity,creativity,beauty,culture,history,God,museums,painting,visualizations,religion,art"
"
","
","
","
",The unheard story of the Sistine Chapel,Elizabeth Lev,17:33,"Christianity,creativity,beauty,culture,history,God,museums,painting,visualizations,religion,art"
"
											Now, this building started out
as a space for a small group
											of wealthy, educated Christian priests.
											They prayed there.
They elected their pope there.
											Five hundred years ago,
											it was the ultimate
ecclesiastical man cave.
											So, you may ask, how can it be
that today it attracts and delights
											five million people a year,
											from all different backgrounds?
											Because in that compressed space,
there was a creative explosion,
											ignited by the electric excitement
of new geopolitical frontiers,
											which set on fire the ancient
missionary tradition of the Church
											and produced one of the greatest
works of art in history.
									","
											Este edifício começou
como um espaço
											para um pequeno grupo de padres cristãos,
abastados e instruídos.
											Era ali que rezavam.
Era ali que elegiam o papa.
											Há 500 anos, era a suprema gruta 
do homem eclesiástico.
											Poderão perguntar:
											""Como é possível
que ainda hoje atraia e delicie
											""cinco milhões de pessoas por ano,
											""de todos os diversos extratos culturais?
											É porque, naquele espaço apertado,
houve uma explosão de criatividade,
											provocada pela excitação eletrizante
de novas fronteiras geopolíticas
											que incendiou a antiga
tradição missionária da Igreja
											e produziu uma das 
maiores obras de arte da História.
									","
											Bu bina varlıklı, eğitimli küçük 
bir Hristiyan rahip grubuna ait
											bir yer olarak başladı.
											Burada dua ettiler. 
Burada papayı seçtiler.
											Beş yüz sene önce,
											nihai dinî erkek mağarasıydı.
											O zaman şöyle sorabilirsiniz, nasıl 
oluyor da bugün farklı geçmişlere sahip
											yılda beş milyon insanı
											cezbedebiliyor ve keyif verebiliyor?
											Çünkü o sıkışık yerde, 
yeni jeopolitik sınırların verdiği
											büyük heyecanla ateşlenen 
yaratıcı bir patlama vardı,
											ki bu Kilise'nin antik misyonerlik 
geleneğini alevlendirmiş
											ve tarihteki en büyük sanat eserlerinden 
birini ortaya çıkarmıştır.
									","
											Dieses Gebäude war zunächst 
ein Raum für eine kleine Gruppe
											wohlhabender und gebildeter 
christlicher Priester.
											Dort beteten sie und wählten ihren Papst.
											Vor 500 Jahren war dies die höchste
geistliche Menschenhöhle.
											Vielleicht fragen Sie sich, 
wie diese Höhle jährlich
											fünf Millionen Menschen
unterschiedlichster Herkunft
											anlockt und begeistert?
											In diesem sehr engen Raum hat
eine kreative Explosion stattgefunden,
											die durch die elektrisierte Spannung über
neue geopolitische Grenzen gezündet wurde,
											die die alte missionarische Tradition 
der Kirche in Brand steckte
											und eines der größten Kunstwerke 
der Geschichte hervorbrachte.
									",The unheard story of the Sistine Chapel,Elizabeth Lev,17:33,"Christianity,creativity,beauty,culture,history,God,museums,painting,visualizations,religion,art"
"
","
","
","
",The unheard story of the Sistine Chapel,Elizabeth Lev,17:33,"Christianity,creativity,beauty,culture,history,God,museums,painting,visualizations,religion,art"
"
											Now, this development took place
as a great evolution,
											moving from the beginning of a few elite,
											and eventually able to speak
to audiences of people
											that come from all over the world.
											This evolution took place in three stages,
											each one linked
to a historical circumstance.
											The first one was rather limited in scope.
											It reflected the rather
parochial perspective.
											The second one took place after
worldviews were dramatically altered
											after Columbus's historical voyage;
											and the third,
											when the Age of Discovery
was well under way
											and the Church rose to the challenge
											of going global.
									","
											Este acontecimento ocorreu
como uma grande evolução
											a partir duma pequena elite
											e acabou por tocar multidões de pessoas
											que chegam de todo o mundo.
											Esta evolução deu-se em três fases.
											Cada uma delas está ligada
a uma circunstância histórica.
											A primeira foi bastante limitada
no seu âmbito.
											Refletia uma perspetiva
bastante paroquial.
											A segunda ocorreu depois da alteração
radical da visão do mundo,
											na sequência
da viagem histórica de Colombo.
											A terceira, quando já ia avançada
a Época dos Descobrimentos
											e a Igreja se ergueu perante o desafio
de se tornar global.
									","
											Bu gelişme, birkaç elitle başlayıp
											sonunda dünyanın her yerinden gelen
											insan kitlesine hitap etmeye doğru giden
											büyük bir evrim olarak cereyan etti.
											Bu evrim her biri tarihsel 
bir olaya bağlı olan
											üç aşamada meydana geldi.
											İlki kapsam açısından biraz sınırlıydı.
											Daha çok kiliseyle sınırlı bir 
perspektifi yansıttı.
											İkincisi, Kolomb'un tarihi 
yolculuğundan sonra
											dünya görüşü dramatik olarak 
değiştiğinde meydana geldi.
											Üçüncüsü ise,
											Coğrafi Keşifler Çağı devam ederken,
											Kilise de küresel hâle gelme
											mücadelesine girdiğinde oldu.
									","
											Dieser Verlauf vollzog sich 
als enorme Entwicklung,
											die bei einer kleine Elite begann
											und sich schließlich an 
ein Publikum richtet,
											das aus der ganzen Welt kommt.
											Diese Entwicklung durchlief drei Phasen.
											Jede einzelne ist mit einer 
historischen Gegebenheit verbunden.
											Die erste besaß nur 
eine begenzte Reichweite.
											Sie spiegelte eher 
die kirchliche Sicht wider.
											Die zweite erfolgte, als sich
nach Kolumbus' historischer Reise
											die Weltbilder dramatisch veränderten.
											Die dritte Phase erfolgte,
											als das Zeitalter der Entdeckungen
bereits begonnen hatte
											und die Kirche sich 
der Herausforderung stellte,
											weltweit aktiv zu werden.
									",The unheard story of the Sistine Chapel,Elizabeth Lev,17:33,"Christianity,creativity,beauty,culture,history,God,museums,painting,visualizations,religion,art"
