es,tr,fr,title,speaker,duration,tags
"
","
","
",Behind the design of Seattle's library,Joshua Prince-Ramus,19:58,"architecture,collaboration,culture,design,library"
"
											Voy a presentar tres proyectos muy rápidamente.
											No tengo mucho tiempo para hacerlo
											y quiero reforzar tres ideas con esa presentación acelerada.
											La primera es lo que me gusta llamar un proceso hiperracional.
											Es un proceso que
											lleva la racionalidad a un nivel casi absurdo
											y trasciende la carga adicional
											que normalmente viene con
											lo que la gente llamaría una conclusión racional de algo.
											Y termina en algo que, vemos aquí,
											algo que uno realmente no esperaría sea
											el resultado de la racionalidad.
									","
											Süratle üç proje sunacağım.
											Bunu yapmak için çok vaktim yok.
											Ve bu süratli sunumla üç fikri desteklemek istiyorum.
											İlkine ben hiper-rasyonel süreç diyorum.
											Bu süreç
											rasyonaliteyi neredeyse absürd bir seviyeye çıkartır,
											ve bu normalde
											insanların ""rasyonel bir sonuca ulaşmak""
											dediği şeyin ötesine geçer.
											Ve burada gördüğünüz şekilde sonuçlanır,
											bir rasyonalite sonucu olduğunu düşünmeyeceğiniz
											bir biçimde.
									","
											Je vais présenter trois projets en tir rapide.
											Je n'ai pas beaucoup de temps pour le faire,
											et je veux souligner 3 idées dans cette présentation rapide.
											La 1 ière est ce que j'appelle un procédé hyper-rationnel.
											C'est une démarche qui
											pousse la rationalité à un niveau quasi-absurde
											et qui transcende tout le bagage
											venant habituellement avec
											ce que les gens nommeraient la conclusion rationnelle d'un projet.
											Et cela aboutit à ce que vous voyez ici,
											quelque chose que vous n'imagineriez pas comme
											le fruit de la rationalité.
									",Behind the design of Seattle's library,Joshua Prince-Ramus,19:58,"architecture,collaboration,culture,design,library"
"
","
","
",Behind the design of Seattle's library,Joshua Prince-Ramus,19:58,"architecture,collaboration,culture,design,library"
"
											La segunda idea — [poco claro] eh —
											la segunda es que el proceso
											no lleva firma.
											No hay autoría. Los arquitectos se obsesionan con la autoría.
											Esto es algo que tiene revisiones y un equipo.
											De hecho, ya no vemos dentro de este proceso
											al maestro de arquitectos tradicional que crea
											un boceto para que luego sus lacayos lo lleven a cabo.
									","
											İkincisi, oh
											ikincisi, bu sürecin
											altında bir imza yoktur.
											Bir müellif yoktur. Mimarlar müellif olmayla ilgili takıntılıdırlar.
											Burada düzeltmeler ve takımlar vardır.
											Hatta, bu süreç içerisinde
											bilindik yaratıcı büyük mimarın skeçleri
											ve o skeçi hayata geçiren adamlarını artık görmüyoruz.
									","
											La deuxième — (indistinct) euh —
											la deuxième idée est que ce processus
											ne porte pas de signature.
											Il n'y a pas de paternité. Les architectes sont obsédés par la paternité.
											Ici il y a du montage et des équipes.
											Nous ne voyons plus, dans le cadre de ce processus,
											le traditionnel Maître architecte qui crée
											une ébauche que réalisent ses larbins.
									",Behind the design of Seattle's library,Joshua Prince-Ramus,19:58,"architecture,collaboration,culture,design,library"
"
","
","
",Behind the design of Seattle's library,Joshua Prince-Ramus,19:58,"architecture,collaboration,culture,design,library"
"
											Y la tercera es que pone en tela de juicio – es
											muy difícil sostener el por qué
											todas estas cosas se conectan—
											pero cuestiona la noción modernista de flexibilidad.
											Los modernistas dicen: crearemos
											espacios singulares que sean genéricos.
											Dentro de ellos casi todo puede suceder.
											A esto lo llamo flexibilidad tipo escopeta.
											Giren la cabeza así, disparen, y seguro que aciertan.
											Así, esta es la promesa del alto modernismo:
											dentro de un espacio simple puede suceder cualquier clase de actividad.
											Pero como vemos
											los costos operativos están empezando a disminuir los costos de instalación
											en términos de los parámetros de diseño.
											Y entonces, con este tipo de ideas,
											sucede que, sin importar lo que esté en el edificio el día de la inauguración,
											o lo que parezca ser la necesidad más inmediata,
											comienza a disminuir la posibilidad y como que se deja de lado,
											la posibilidad de que pueda suceder alguna otra cosa.
											Por eso estamos proponiendo una clase diferente de flexibilidad,
											algo que llamamos
											""flexibilidad compartimentada"".
											Y la idea es que uno, dentro de ese continuo,
											identifique una serie de puntos y diseñe específicamente para ellos.
											Estos puntos pueden alejarse un poco del centro
											pero al final uno todavía conserva mucho
											de ese espectro que originalmente había esperado.
											En verdad, esto no funciona con la alta flexibilidad modernista.
									","
											Ve üçüncüsü, meydan okuyor - ki bu,
											bu kısa sürede nedenini açıklamak çok zor,
											ve hepsini bir araya getirmek-
											fakat bu, yüksek modernist fleksibilite görüşüne meydan okuyor.
											Yüksek modernistler dediler ki,
											üretken olan tekil mekanlar yaratacağız.
											Onların içerisinde hemen hemen her şey olabilir.
											Ben buna bir tür av tüfeği fleksibilitesi diyorum.
											Başını bu tarafa çevir, ateş et, ve mutlaka bir şeyleri vurursun.
											Yani, bu yüksek modernizmin verdiği söz:
											bu tekil mekan içerisinde, esasen her tür aktivite gerçekleşebilir.
											Fakat görmekte olduğumuz üzere,
											tasarım parametreleri açısından, işletme maliyetleri
											yatırım maliyetini katlamaya başlıyor.
											Ve dolayısıyla, bu tür bir fikirle
											olan şu ki, binanın açılış günü içerisinde olanlar,
											ya da acil ihtiyaç olarak görülenler
											başka bir şeyin olabilme ihtimalini
											küçültmeye ve bir anlamda kapsamaya başlar.
											Ve dolayısıyla biz başka tür bir fleksibilite sunuyoruz,
											biz ona
											""bölümlendirilmiş fleksibilite"" diyoruz.
											Ve fikir şu ki, siz bu süreklilik içerisinde,
											bir dizi noktalar tanımlıyorsunuz ve spesifik olarak onları tasarlıyorsunuz.
											Biraz merkezden uzaklaştırılabilirler,
											ama sonuçta
											orjinal yelpazede umut ettiğiniz kadarını alabiliyorsunuz.
											Yüksek modernist fleksibiliteyle bu pek çalışmıyor.
									","
											Et la 3e idée est que ce processus s'attaque — et c'est,
											tout au long, très difficile à justifier,
											à faire la synthèse -
											mais ce processus défie la notion haut-moderniste de flexibilité.
											Les haut-modernistes ont dit: ""Nous allons créer
											des espaces singuliers qui seront génériques.
											Où n'importe quoi peut se passer à l'intérieur.""
											Pour moi, c'est de la flexibilité de fusil à pompe.
											Tournez la tête comme ça, tirez, et c'est sûr que vous allez tuer quelque-chose.
											Voici donc la promesse du haut-modernisme:
											""À l'intérieur d'un seul espace, tout genre d'activité peut avoir lieu.""
											Mais, comme nous constatons,
											les charges d'exploitation commencent à écraser les coûts d'immobilisation
											en termes de paramètres de conception.
											Le problème, avec ce genre de conception,
											c'est que ce qui se trouve dans le bâtiment le jour de l'ouverture,
											ou ce qui semble répondre au besoin le plus pressant,
											tend à réduire les choix et donc à subsumer,
											la possibilité de toute autre fonction.
											Nous proposons donc un autre type de flexibilité,
											celle que nous appelons
											""la flexibilité compartimentée.""
											C'est l'idée que, de ce continuum, on
											identifie une série de points auxquels la conception va s'adapter précisément.
											Les points peuvent être légèrement décalés,
											mais en bout de course vous retrouvez toutes les nuances
											du spectre initial que vous souhaitiez à l'origine.
											Avec la flexibilité haut-moderniste, cela ne marche vraiment pas.
									",Behind the design of Seattle's library,Joshua Prince-Ramus,19:58,"architecture,collaboration,culture,design,library"
"
","
","
",Behind the design of Seattle's library,Joshua Prince-Ramus,19:58,"architecture,collaboration,culture,design,library"
"
											Ahora voy a hablar de – voy a construir la Biblioteca Central de Seattle
											de esta manera frente a ustedes en cinco o seis diagramas
											y quiero decirles que éste es el proceso que van a ver.
											Tanto con el personal de la biblioteca como con su junta directiva,
											acordamos dos puntos clave.
											Este es el primero: muestra la evolución del libro y
											otras tecnologías durante los últimos 900 años.
											Este diagrama fue nuestro posicionamiento respecto del libro;
											nuestra postura fue que los libros son tecnología
											esto es algo que la gente olvida —
											pero es una forma de tecnología que tendrá que compartir su predominancia
											con otros medios o tecnologías muy dominantes.
									","
											Şimdi konuşacağım konu — Seattle Merkez Kütüphanesi'ni gözlerinizin önünde,
											bu şekilde, beş veya altı diyagramla oluşturacağım,
											ve hakikaten göreceğiniz tasarım sürecinin kendisi.
											Kütüphane çalışanları ve yönetimiyle,
											iki temel pozisyon üzerinde karara vardık.
											Bu ilki, ve bu geçtiğimiz 900 yıldan fazla süre içerisinde
											kitap ve diğer teknolojilerin evrimini gösteriyor.
											Bu diyagram bir anlamda bizim kitap hakkındaki pozisyonumuzdur,
											bu pozisyon şu ki; kitaplar teknolojidir
											-bu insanların unuttuğu bir şey-
											fakat bu teknoloji biçimi, egemenliğini
											herhangi bir diğer kuvvetli teknoloji veya iletişim aracıyla paylaşmak zorunda kalacak.
									","
											Je vais maintenant parler de — je vais construire la bibliothèque centrale de Seattle
											devant vos yeux, avec cette approche, en 5 ou 6 diagrammes,
											et c'est vraiment le processus de conception que vous allez voir.
											Avec le personnel et le conseil d'administration de la bibliothèque,
											nous avons opté pour deux positions de base.
											Voici la première, qui montre, au cours des 900 dernières années,
											l'évolution du livre et d'autres technologies.
											Ce diagramme était notre déclaration de position en ce qui concerne le livre,
											et notre position était que les livres sont de la technologie —
											ce que les gens oublient -
											mais une forme de technologie qui va devoir partager sa dominance
											avec toute autre forme de technologie ou média vraiment puissante.
									",Behind the design of Seattle's library,Joshua Prince-Ramus,19:58,"architecture,collaboration,culture,design,library"
"
","
","
",Behind the design of Seattle's library,Joshua Prince-Ramus,19:58,"architecture,collaboration,culture,design,library"
"
											La segunda premisa — y nos costó mucho
											convencer a los bibliotecarios de esto al principio
											es que las bibliotecas, desde el comienzo
											de la tradición de la Biblioteca Carnegie en EE.UU.
											tuvieron una segunda responsabilidad, un rol social.
											Bien, voy a volver sobre esto después, pero algo
											que decían los bibliotecarios al principio: ""No, esa no es nuestra misión"".
											“Nuestra misión son los medios y, en particular, los libros"".
									","
											İkinci önermemiz - ki başta bu konuda kütüphanecileri ikna etmek
											bizim için oldukça güç olmuştu.-
											kütüphaneler, Carnegie Kütüphanesi geleneği
											Amerika'da başladığından beri
											sosyal rolleriyle ilgili ikinci bir sorumluluğa sahiptiler.
											Evet, şimdi bu konuya daha sonra tekrar döneceğim ama, aslında
											kütüphanecileri ilkin dediler ki: ""Hayır, bu bizim vazifemiz değil,
											bizim vazifemiz, iletişim araçları ve özel olarak kitaptır.""
									","
											La deuxième prémisse - avec laquelle nous avons eu beaucoup de mal
											à convaincre les bibliothécaires au début —
											est que les bibliothèques, depuis le tout début
											de la tradition de la bibliothèque Carnegie en Amérique,
											ont une seconde responsabilité - celle de leur rôle social.
											Bien, je vais y revenir plus tard, mais ce que,
											les bibliothécaires nous ont d'abord dit était :""Non, ce n'est pas notre mandat.
											Notre mandat, c'est les médias, et surtout le livre.""
									",Behind the design of Seattle's library,Joshua Prince-Ramus,19:58,"architecture,collaboration,culture,design,library"
