es,pt,tr,fr,de,title,speaker,duration,tags
"
","
","
","
","
",The happy secret to better work,Shawn Achor,12:20,"TEDx,business,happiness,psychology,science,brain,mind,cognitive science,sociology,depression,mental health,health,motivation,innovation,work,productivity,social change"
"
											Cuando yo tenía 7 años y mi hermana solo 5,
											jugábamos en la cama superior de la litera.
											Entonces tenía dos años más que mi hermana.
											Bueno, ahora sigo siendo dos años mayor.
											En ese momento significaba que tenía que hacer lo que yo quisiera
											y yo quería jugar a la guerra.
											Estábamos en la cama de arriba.
											Y a un lado
											yo tenía todos mis soldados y mi armamento.
											Y al otro lado estaban todos los caballitos de mi hermana
											listos para una batalla de caballería.
									","
											Tinha eu sete anos 
e a minha irmã apenas cinco,
											estávamos a brincar em cima de um beliche.
											Era dois anos mais velho 
que a minha irmã, na altura
											— ainda hoje sou
dois anos mais velho que ela —
											(Risos)
											mas na altura ela tinha de fazer 
tudo o que eu queria
											e eu queria brincar às guerras.
											Estávamos em cima do beliche.
											E de um dos lados do mesmo
											eu tinha disposto os meus
soldados e as suas armas.
											Do outro lado estavam todos os
Pequenos Póneis da minha irmã,
											prontos para uma carga de cavalaria.
									","
											Ben sekiz ve kız kardeşim henüz beş yaşındayken,
											ranzanın üzerinde oynuyorduk.
											O zamanlar kardeşimden iki yaş büyüktüm —
											yani, hala ondan iki yaş büyüğüm —
											ama o zamanlar bu onun istediğim herşeyi yapması gerektiği anlamına geliyordu,
											ve savaş oyunu oynamak istedim.
											Ranzalarımızın üzerindeydik.
											Ve ranzamın bir tarafına
											tüm G.I. Joe askerlerimi ve silahları yerleştirmiştim.
											Ve diğer tarafta ise kardeşimin tüm oyuncak atları
											süvari hücumuna hazırdı.
									","
											Alors que j'avais sept ans et ma sœur cinq,
											nous jouions un haut d'un lit superposé.
											J'avais deux ans de plus que ma sœur à ce moment -
											bien sûr, c'est toujours le cas -
											mais à l'époque, ça voulait dire qu'elle devait faire tout ce que je voulais,
											et je voulais jouer à la guerre.
											Nous étions donc en haut de nos lits superposés.
											Et d'un côté du lit
											j'avais installé tous mes GI Joe avec leurs armes.
											En face, il y avait tous les Petits Poneys de ma sœur,
											prêts à charger.
									","
											Als ich sieben Jahre alt war und meine Schwester gerade fünf,
											spielten wir oben in einem Doppelstockbett.
											Ich war damals zwei Jahre älter als meine Schwester –
											ich bin eigentlich auch jetzt noch zwei Jahre älter als sie –
											aber damals hieß es, dass sie alles tun musste, was ich tun wollte,
											und ich wollte Krieg spielen.
											Also waren wir oben auf unserem Doppelstockbett.
											Und auf der einen Seite des Betts
											hatte ich all meine ""G.I. Joe""-Soldaten und ein Waffenarsenal.
											Und auf der anderen Seite wartete die Kavallerie aller
											""Meinen kleinen Ponies"" meiner Schwester auf das Signal zum Angriff.
									",The happy secret to better work,Shawn Achor,12:20,"TEDx,business,happiness,psychology,science,brain,mind,cognitive science,sociology,depression,mental health,health,motivation,innovation,work,productivity,social change"
"
","
","
","
","
",The happy secret to better work,Shawn Achor,12:20,"TEDx,business,happiness,psychology,science,brain,mind,cognitive science,sociology,depression,mental health,health,motivation,innovation,work,productivity,social change"
"
											Hay varias versiones de lo que sucedió esa tarde,
											pero ya que ella no está hoy aquí,
											voy a contarles la verdadera historia...
											(Risas)
											que trata de que mi hermana era un poco torpe.
											De alguna manera, sin ninguna intervención de su hermano,
											de pronto Amy desapareció de la cama superior
											y aterrizó con en el suelo.
											Yo, muy nervioso, me asomé
											para ver lo que había caído: mi hermana.
											Y la vi que sobre sus manos y rodillas,
											en las cuatro, en el piso.
									","
											Há diferentes relatos para o que
aconteceu naquela tarde,
											mas, uma vez que a minha irmã 
não está aqui hoje,
											vou contar a história verdadeira.
											(Risos)
											A minha irmã é um pouco 
para o desastrado.
											Sem qualquer ajuda
ou empurrão do seu irmão mais velho,
											de repente a Amy desapareceu
de cima do beliche
											e aterrou estrondosamente no chão.
											Eu espreitei nervosamente do lado da cama
											para ver o que havia acontecido
à minha irmã caída
											e vi que ela tinha aterrado
sobre as mãos e os joelhos,
											de gatas no chão.
									","
											O öğleden sonra gerçekten neler olduğu hakkında farklı düşünceler var
											ama kardeşim bugün bizimle olmadığına göre,
											size hikayenin aslını anlatayım —
											(Kahkahalar) —
											kardeşim biraz acemiydi.
											Bir şekilde, ağabeyinin hiçbir yardımı ve itme kuvveti olmadan,
											Amy aniden ranzanın üzerinden kayboldu ve
											yere düştü.
											Endişeli bir şekilde yatağın kenarından
											düşmüş kardeşimin başına ne geldiğine baktım
											ve onun acı verici bir şekilde elleri ve dizleri üzerine düşmüş
											olduğunu gördüm.
									","
											Il y a différentes versions de ce qui s'est passé cet après-midi,
											mais comme ma sœur n'est pas là aujourd'hui,
											je vais vous dire la vérité...
											(Rires)
											... qui est que ma sœur est un peu maladroite.
											Bizarrement, sans que son frère n'y soit pour rien,
											Amy a disparu soudainement du haut du lit,
											et a atterri avec fracas sur le sol.
											J'ai timidement jeté un œil par-dessus bord,
											pour voir ce qui était arrivé à ma sœur,
											et j'ai vu qu'elle avait atterri douloureusement à quatre pattes,
											sur les genoux et les mains.
									","
											Es gibt verschiedene Ansichten über das tatsächliche Geschehen an diesem Tag,
											aber da meine Schwester heute nicht hier ist,
											kann ich Ihnen ja die wahre Geschichte erzählen –
											(Lachen)
											es ist nämlich so, dass meine Schwester ein bisschen tollpatschig ist.
											Irgendwie, ohne den kleinsten Beistand oder Schubs ihres älteren Bruders,
											verschwand Amy plötzlich von der Spielfläche
											und landete mit einem lauten Krach auf dem Boden.
											Ich schaute nervös über die Seite des Betts,
											um zu sehen, was meine Schwester beim Fall befallen hatte,
											und ich sah, dass sie schmerzhaft auf ihren Händen und Knien gelandet war,
											und auf allen Vieren auf dem Boden war.
									",The happy secret to better work,Shawn Achor,12:20,"TEDx,business,happiness,psychology,science,brain,mind,cognitive science,sociology,depression,mental health,health,motivation,innovation,work,productivity,social change"
"
","
","
","
","
",The happy secret to better work,Shawn Achor,12:20,"TEDx,business,happiness,psychology,science,brain,mind,cognitive science,sociology,depression,mental health,health,motivation,innovation,work,productivity,social change"
"
											Me puse nervioso porque mis padres me habían encomendado
											que jugáramos
											lo más seguros y silenciosos posible.
											Recordaba cómo Amy se había roto el brazo por accidente
											solo una semana antes...
											(Risas)
											...cuando heroicamente la había empujado
											para evitar una bala de un francotirador imaginario,
											(Risas)
											por lo cual ni me dieron las gracias.
											Yo hice todo lo posible
											(ella ni siquiera la vio venir)
											Yo me esforzaba mucho en portarme bien.
									","
											Fiquei nervoso porque os meus pais
me tinham encarregado
											de garantir que a minha irmã e eu
											brincávamos da maneira mais segura
e silenciosa possível.
											E como eu tinha acidentalmente
partido o braço da Amy
											apenas uma semana antes...
											(Risos)
											... ao empurrá-la heroicamente
											para fora da trajectória 
de uma bala furtiva imaginária...
											(Risos)
											... o que ainda ninguém me agradeceu.
											Eu estava a tentar o mais que conseguia...
											(Risos)
											— ela nem a tinha visto —
											... ter o melhor comportamento possível.
									","
											Endişelenmiştim çünkü ailem beni mümkün olduğu kadar
											güvenli ve sessiz bir şekilde
											oynamamız konusunda tembihlemişti.
											Ve Amy'nin kolunu yanlışlıkla kırmış olduğumu görmek
											onu yaklaşmakta olan hayali ...
											(Kahkahalar)
											...sniper kurşunundan kahramanca
											kurtardıktan sadece bir hafta sonra,
											(Kahkahalar)
											ki bunun için hala teşekkür edilmedi,
											elimden gelenin en iyisini yapmaya çalışıyordum —
											yaklaştığını görmemişti bile —
											uslu durmak için elimden gelenin en iyisini yapmaya çalışıyordum.
									","
											J'étais inquiet parce que mes parents m'avaient chargé
											de veiller à ce que ma sœur et moi
											jouions aussi tranquillement que possible.
											Et vu que j'avais accidentellement cassé le bras à Amy
											une semaine avant...
											(Rires)
											... en la poussant héroïquement hors de la trajectoire
											d'un tir de sniper imaginaire,
											(Rires)
											ce pour quoi je n'ai toujours pas reçu de remerciements,
											j'essayais autant que possible -
											elle ne l'avait même pas vu venir -
											j'essayais de me comporter aussi bien que possible.
									","
											Ich war nervös, denn meine Eltern hatten mir aufgetragen,
											dafür zu sorgen, dass meine Schwester und ich
											so sicher und so ruhig wie möglich spielten.
											Und da ich vor einer Woche aus Versehen
											den Arm meiner Schwester gebrochen hatte...
											(Lachen)
											...indem ich sie heldenhaft aus dem Wege
											einer heranfliegenden imaginären Scharfschützenkugel geschoben hatte...
											(Lachen)
											wofür der Dank übrigens immer noch aussteht,
											ich versuchte es mit all meiner Kraft –
											sie war völlig ahnungslos –
											ich versuchte, so gut ich konnte, mich von meiner besten Seite zu zeigen.
									",The happy secret to better work,Shawn Achor,12:20,"TEDx,business,happiness,psychology,science,brain,mind,cognitive science,sociology,depression,mental health,health,motivation,innovation,work,productivity,social change"
"
","
","
","
","
",The happy secret to better work,Shawn Achor,12:20,"TEDx,business,happiness,psychology,science,brain,mind,cognitive science,sociology,depression,mental health,health,motivation,innovation,work,productivity,social change"
"
											Y en la cara de mi hermana vi
											un gemido de dolor y sufrimiento en su sorpresa,
											a punto de estallar y despertar
											a mis padres de su larga siesta.
											Entonces hice lo único
											que mi loca cabeza de 7 años pudo pensar temiendo una tragedia.
											Si Uds. tienen hijos, habrán visto esto cientos de veces.
											Le dije: ""Amy, Amy, espera. No llores.
											¿Viste como caíste?
											Ningún humano cae en las cuatro así.
											Amy, eso quiere decir que eres un unicornio"".
									","
											Olhei para a minha irmã.
											Um lamento de dor, sofrimento e surpresa
											ameaçava irromper da sua boca
											e acordar os meus pais 
da sua longa sesta de inverno.
											Então fiz a única coisa
											de que o meu frenético cérebro de 7 anos
											se pôde lembrar para evitar essa tragédia.
											Se têm crianças,
já viram isto muitas vezes.
											Disse: ""Amy, espera. 
Não chores. Não chores.
											""Viste como aterraste?
											""Nenhum ser humano aterra de gatas assim.
											""Amy, acho que isto quer dizer 
que és um unicórnio.""
									","
											Ve kardeşimin yüzünü gördüm,
											yüzündeki acı, ıstırap ve şaşkınlık ifadesi
											ailemi uzun süren kış uykularından uyandıracak
											bir çığlık koparmak üzere olduğunu söylüyordu.
											Böylece yedi yaşındaki
											küçük, ümitsiz aklımın bu trajediyi önlemek için düşünebildiği tek şeyi yaptım.
											Ve eğer çocuklarınız varsa bu duruma yüzlerce kere şahit olmuşsunuzdur.
											Ona şöyle dedim: ""Amy, Amy, bekle. Ağlama. Ağlama.
											Nasıl düştüğünü gördün mü?
											Hiçbir insan böyle dört ayak üstüne düşmez.
											Amy, bence bu senin tek boynuz at olduğun anlamına geliyor.""
									","
											Et j'ai vu le visage de ma sœur,
											ce hurlement de douleur et de surprise,
											qui menaçait de sortir de sa bouche, et de réveiller mes parents
											de la longue hibernation dans laquelle ils s'étaient plongés.
											J'ai donc fait la seule chose
											que mon petit cerveau paniqué pouvait imaginer pour éviter la catastrophe.
											Si vous avez des enfants, vous avez déjà vu ça cent fois.
											J'ai dit : « Amy, Amy, attends. Ne pleure pas.
											Tu as vu comment tu as atterri ?
											Les êtres humains n'atterrissent pas à quatre pattes comme ça.
											Amy, je crois que ça veut dire que tu es une licorne. »
									","
											Und ich sah das Gesicht meiner Schwester,
											dieser Schrei vor Schmerz und Leid und Überraschung
											war dabei, sich ihrer Kehle zu entringen und unsere Eltern aufzuwecken,
											die sich für ein langes Winterschläfchen niedergelegt hatten.
											Also tat ich das Einzige, das meinem panischen
											siebenjährigen Gehirn einfiel, um die Tragödie abzuwenden.
											Und wenn Sie Kinder haben, haben Sie das schon tausendmal gehört.
											Ich sagte, ""Amy, Amy, warte. Nicht weinen, nicht weinen.
											Hast du nicht gesehen, wie du aufgekommen bist?
											Kein menschliches Wesen landet so auf allen Vieren.
											Amy, ich glaube, das bedeutet, dass du ein Einhorn bist.""
									",The happy secret to better work,Shawn Achor,12:20,"TEDx,business,happiness,psychology,science,brain,mind,cognitive science,sociology,depression,mental health,health,motivation,innovation,work,productivity,social change"
"
","
","
","
","
",The happy secret to better work,Shawn Achor,12:20,"TEDx,business,happiness,psychology,science,brain,mind,cognitive science,sociology,depression,mental health,health,motivation,innovation,work,productivity,social change"
"
											(Risas)
									","
											(Risos)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Lachen)
									",The happy secret to better work,Shawn Achor,12:20,"TEDx,business,happiness,psychology,science,brain,mind,cognitive science,sociology,depression,mental health,health,motivation,innovation,work,productivity,social change"
