en,pt,es,fr,tr,title,speaker,duration,tags
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											So I've got something that I'm
slightly embarrassed to admit to.
											At the age of 17,
											as a creationist,
											I decided to go to university
to study evolution
											so that I could destroy it.
									","
											Eu tenho algo que tenho
um pouco de vergonha de confessar.
											Aos 17 anos,
											como criacionista,
											decidi ir para a universidade
estudar a evolução
											para poder destruí-la.
									","
											Pues bien, hay algo que me produce
cierta vergüenza admitir.
											A los 17 años, como defensora
del creacionismo,
											decidí ir a la universidad
a estudiar la evolución
											con la idea de destruirla.
									","
											Il y a quelque chose
que je suis un peu gênée d'admettre.
											A l'âge de 17 ans,
											j'étais créationniste et
											j'ai décidé d'aller à l'université
pour étudier l'évolution
											afin de pouvoir démolir cette idée.
									","
											İtiraf etmekten biraz utanıyorum ama...
											17 yaşındayken
											yaratılışçı biri olarak
											üniversitede evrim okumaya karar verdim
											ki onu yok edebileyim.
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									","
											(Gülme sesleri)
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											I failed.
											I failed so spectacularly
that I'm now an evolutionary biologist.
									","
											Falhei.
											Falhei tão espetacularmente
que agora sou uma bióloga da evolução.
									","
											Fracasé, y de manera tan espectacular
											que ahora me dedico
a la biología evolutiva.
									","
											J'ai échoué.
											J'ai échoué de façon si spectaculaire que
je suis devenue biologiste de l'évolution.
									","
											Başaramadım.
											O kadar başarısız oldum ki
evrimsel biyolog oldum.
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											(Applause)
									","
											(Aplausos)
									","
											(Aplausos)
									","
											(Applaudissements)
									","
											(Alkışlar)
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											So I'm a paleoanthropologist,
I'm a National Geographic Explorer
											specializing in fossil hunting in caves
											in unstable, hostile
and disputed territories.
											And we all know that
if I was a guy and not a girl,
											that wouldn't be a job description,
that would be a pick-up line.
									","
											Sou paleoantropóloga,
sou exploradora da National Geographic,
											especializada na caça de fósseis em grutas
											em territórios instável,
hostis e controversos.
											Todos nós sabemos que,
se eu fosse um rapaz e não uma rapariga,
											transformaria esta descrição de trabalho
num engate para uma miúda.
									","
											Soy experta en paleoantropología,
exploradora del National Geographic,
											y mi especialidad es buscar fósiles
											en cuevas situadas en zonas 
hostiles y de conflicto.
											Y sabemos muy bien que,
si yo fuera hombre y no mujer,
											no lo comentaría
para describir mi trabajo,
											sino para conquistar 
en un primer encuentro.
									","
											Je suis paléoanthropologue,
exploratrice pour National Geographic,
											spécialisée dans la chasse
aux fossiles des grottes
											dans des territoires instables,
hostiles et disputés.
											Nous savons tous
que si j'étais un mec et pas une fille,
											ce ne serait pas une description de poste,
mais une technique de drague.
									","
											Bir paleoantropolog
ve National Geographic kaşifi olarak
											uzmanlık alanım
											dengesiz, tehlikeli ve ihtilaflı
bölgelerin mağaraların fosil avlamak.
											Hepimiz biliyoruz ki
eğer ben bir erkek olsaydım
											bu bir iş tanımı değil
bir kız tavlama cümlesi olurdu.
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									","
											(Gülme sesleri)
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											Now, here's the thing.
I do not have a death wish.
											I'm not an adrenaline junkie.
											I just looked at a map.
									","
											Agora, aqui está a coisa.
Não morro de desejo.
											Não sou viciada em adrenalina.
											Apenas olhei para um mapa.
									","
											Ahora bien, les cuento
que no tengo tendencias suicidas.
											No soy adicta a la adrenalina.
											Lo único que hice fue mirar un mapa.
									","
											Venons-en donc aux faits,
je ne souhaite pas mourir.
											Je ne suis pas accro à l'adrénaline.
											J'ai juste regardé une carte.
									","
											Şunu netleştirelim, 
canıma falan susamadım.
											Adrenalin bağımlısı da değilim.
											Sadece bir haritaya baktım.
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											See, frontline exploratory science
does not happen as much
											in politically unstable territories.
											This is a map of all the places
which the British Foreign Office
											have declared contain
red zones, orange zones
											or have raised some kind
of a threat warning about.
											Now I'm going to go out on a limb here
and say that it is a tragedy
											if we're not doing frontline exploratory
science in a huge portion of the planet.
											And so science has a geography problem.
									","
											A ciência exploratória da
linha de frente não acontece muito
											em territórios politicamente instáveis.
											Este é um mapa de todos os lugares
que o Foreign Office britânico
											declarou conter zonas vermelhas,
zonas laranjas
											ou indicaram qualquer aviso de ameaça.
											Agora, eu vou atrever-me
a dizer que é uma tragédia
											não estarmos a fazer ciência exploratória
de primeira linha
											numa grande parte do planeta.
											Assim, a ciência
tem um problema geográfico.
									","
											Ocurre que la exploración
científica de avanzada no es común
											en territorios políticamente inestables.
											Este mapa muestra todos los lugares que 
el Ministerio del Exterior del Reino Unido
											considera oficialmente 
zonas rojas, o anaranjadas,
											o ha advertido
que son territorios peligrosos.
											Haré un comentario arriesgado
y diré que es una tragedia
											que no estemos haciendo exploraciones
científicas en esa gran parte del planeta.
											Por eso, la ciencia tiene
un problema geográfico.
									","
											La recherche de terrain a rarement lieu
											dans les territoires
politiquement instables.
											Voici une carte où le ministère
britannique des affaires étrangères
											a placé des zones rouges, oranges
											et des endroits où
une menace a été répertoriée.
											Je vais prendre le risque
de dire que c'est une tragédie
											de ne pas conduire de recherches de
terrain sur une vaste part de la planète.
											La recherche a un problème de géographie.
									","
											Siyasi kargaşa içinde olan bölgelerde
											en modern keşig bilimi pek yaygın değil.
											Bu harita
İngiltere Dışişleri Bakanlığı'nın
											bildirmiş olduğu tüm kırmızı, turuncu
											veya hakkında bir tehlike uyarısı
bulunan bölgeleri içeriyor.
											Biraz başımın yanmasını göze alıp
gezegenin büyük bir kısmında
											modern keşif bilimi yapamamamızın
bir trajedi olduğunu söylüyorum.
											Bu sebeple bilim
bir coğrafya sorunu yaşıyor.
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											Also, as a paleoanthropologist,
											guys, this is basically a map
of some of the most important places
											in the human journey.
											There are almost definitely
fascinating fossils to be found here.
											But are we looking for them?
											And so as an undergraduate,
I was repeatedly told
											that humans, be they ourselves,
homo sapiens, or earlier species,
											that we left Africa
via the Sinai of Egypt.
									","
											Além disso, como paleoantropóloga,
											isto é basicamente um mapa
de alguns dos lugares mais importantes
											no percurso humano.
											Quase de certeza, podemos
encontrar aqui fósseis fascinantes.
											Mas estamos a procurá-los?
											Enquanto universitária,
várias vezes me disseram
											que os seres humanos, sejamos nós mesmos,
os homo sapiens, ou espécies anteriores,
											saímos de África, através 
do Sinai ou do Egito.
									","
											Por otro lado, les digo
como paleoantropóloga
											que este mapa muestra, básicamente,
											algunos de los sitios más importantes 
del desarrollo humano.
											Sin duda, en estos territorios hay 
fascinantes fósiles por descubrir.
											Pero ¿hay alguien que los esté buscando?
											Cuando estudiaba en la universidad, 
nos decían una y otra vez
											que los humanos, seamos nosotros,
homo sapiens, o especies anteriores,
											salimos de África por el Sinaí, en Egipto.
									","
											Pour une paléoanthropologue,
											c'est aussi la carte de certains
des lieux les plus importants
											de l'aventure humaine.
											Il y a assurément des fossiles
fascinants à y découvrir.
											Mais les cherchons-nous ?
											Quand j'étais étudiante, on me répétait
											que les hominidés – qu'il s'agisse de nous
homo sapiens ou des espèces précédentes –
											ont quitté l'Afrique
par le Sinaï égyptien.
									","
											Aynı zamanda bir paleoantropolog olarak
											bu insan yaşamındaki en önemli yerlerin
											bazılarının haritası diyebilirim.
											Muhtemelen oralarda bulunmayı bekleyen
kesinlikle ilginç fosiller vardır.
											Ama onları arıyor muyuz ki?
											Bir lisans öğrencisi olarak
bana sürekli insanların,
											ister kendileri, ister homosapienler,
ister daha önceki türleri olsun,
											Sina Çölü üzerinden Afrika'yı
terk ettikleri söylendi.
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											I'm English, as you can
probably tell from my accent,
											but I am actually of Arab heritage,
											and I always say that I'm
very, very Arab on the outside.
											You know, I can really be passionate.
											Like, ""You're amazing! I love you!""
											But on the inside, I'm really English,
so everybody irritates me.
									","
											Eu sou inglesa, como, provavelmente,
podem perceber pelo meu sotaque,
											mas tenho ascendência árabe,
											e digo sempre que sou
muito árabe por fora.
											Eu posso ser apaixonada, tipo:
											""Vocês são incríveis! Adoro-vos!""
											Mas por dentro, sou muito inglesa,
por isso, toda a gente me irrita.
									","
											Soy inglesa, como notarán por mi acento,
											pero de ascendencia árabe,
											y siempre digo que soy
una típica árabe por fuera.
											Es decir, puedo ser muy pasional
y soltar un ""¡Eres genial!"" o ""¡Te amo!"",
											pero por dentro soy bien inglesa, 
por eso la gente me irrita.
									","
											Je suis anglaise, comme vous l'entendez
probablement à mon accent,
											mais je suis d'origine arabe.
											Je dis toujours que je suis
très arabe de l'extérieur.
											Je peux être très passionnée :
											« Tu es formidable ! Je t'adore ! »
											Mais de l'intérieur, je suis très anglaise
et tout le monde m'exaspère.
									","
											Aksanımdan İngiliz olduğumu
anlayabilirsiniz muhtemelen
											ama aslında Arap kökenliyim
											ve dışarıdan bakılınca hep
tam bir Arap olduğumu düşünüyorum.
											Aslında oldukça tutkulu olabilirim.
											""Sen harika birisin!
Seni seviyorum!"" gibi.
											Ama tam anlamıyla bir İngiliz olduğumdan
içten içe herkesten rahatsız olurum.
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									","
											(Gülme sesleri)
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
											It's true.
									","
											É verdade.
									","
											Es verdad.
									","
											C'est vrai.
									","
											Gerçek bu.
									",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
"
","
","
","
","
",The fascinating (and dangerous) places scientists aren't exploring,Ella Al-Shamahi,15:53,"science,exploration,anthropology,paleontology,discovery,humanity,human origins,nature,biodiversity,war"
