en,tr,pt,es,title,speaker,duration,tags
"
","
","
","
",Why you should shop at your local farmers market,Mohammad Modarres,6:05,"farming,agriculture,food,future,environment,business,sustainability"
"
											It's been about a decade
since the last financial crisis,
											yet this industry has never been bigger.
											Legislation that was meant
to better regulate its largest players
											has hurt its smaller ones,
											resulting in most of the industry's assets
to be controlled by the top one percent.
											They've become too big to fail.
											I'm not referring to big banks,
											but the world of Big Agriculture.
									","
											Son ekonomik krizden bu yana
neredeyse on yıl geçti,
											yine de bu endüstri
hiç daha büyük olmamıştı.
											En büyük oyuncuları daha iyi 
düzenlemesi gereken yasalar,
											sektördeki çoğu varlığın en tepedeki 
yüzde 1'lik kesim tarafından
											yönetilmesiyle sonuçlanarak 
daha ufak oyuncuları yaraladı.
											İflas edemeyecek kadar büyüdüler.
											Büyük bankalardan bahsetmiyorum.
											Büyük Tarım dünyasından bahsediyorum.
									","
											Já passou uma década desde
a última crise económica,
											porém, essa indústria
nunca foi tão grande.
											As leis que deveriam auxiliar
a regular melhor as maiores empresas
											prejudicaram as menores.
											Resultado: as grandes empresas
controlaram os recursos da indústria.
											Tornaram-se demasiado grandes para falir.
											Não me refiro aos grandes bancos,
											mas sim ao setor da Grande Agricultura.
									","
											Ha pasado una década 
desde la última crisis financiera,
											pero esta industria nunca 
ha sido tan grande.
											La legislación que en teoría debía
regular mejor a los grandes jugadores
											ha perjudicado a los menores,
											de modo que el 1 % en la cima controla 
la mayoría de los bienes de la industria.
											Se han vuelto demasiado 
grandes para fracasar.
											No me refiero a los grandes bancos,
											sino al mundo de
las corporaciones agrícolas.
									",Why you should shop at your local farmers market,Mohammad Modarres,6:05,"farming,agriculture,food,future,environment,business,sustainability"
"
","
","
","
",Why you should shop at your local farmers market,Mohammad Modarres,6:05,"farming,agriculture,food,future,environment,business,sustainability"
"
											As a public health practitioner
											who has worked with
small-scale farmers in Rwanda
											and now as a small food business owner
											who sits at the intersection
between our consumers and producers,
											I've been exposed to one of the most
											ecologically and economically
intensive industries in the world,
											and throughout my work,
											I've witnessed a chilling irony.
											Our farmers, who feed our communities,
cannot afford the very foods they grow.
											Today, a handful of corporations
continue to consolidate
											the entire food supply chain,
											from the intellectual property of seeds
to produce and livestock
											all the way to the financial institutions
who lend to these farmers.
											And the recent results have been
rising bankruptcies for family farms
											and little control for those who are just
trying to survive in the industry.
											Left unchecked, we will head
into another economic collapse,
											one very similar to
the farm crisis of the 1980s,
											when commodity market prices crashed,
											interest rates doubled,
											and many farmers lost everything.
									","
											Ruanda'da küçük ölçekli çiftçilerle 
çalışmış bir pratisyen hekim olarak
											ve yemek sektöründe
tüketiciyle üretici arasında
											kavşak noktası olan bir küçük esnaf olarak
											dünyanın en ekolojik ve en ekonomik olan
yoğun endüstrileriyle karşılaştım
											ve iş boyunca ürpertici 
bir ironiye tanık oldum.
											Halkı doyuran çiftçiler, yetiştirdikleri
çoğu ürünün maliyetini karşılayamıyorlar.
											Bugün hâlâ bir avuç şirket tohum
haklarından üretime ve hayvancılığa
											ve bu çiftçilere borç veren
finansal kurumlara kadar
											tüm gıda zincirini konsolide 
etmeye devam ediyor.
											Ve son sonuçlar, 
aile çiftliklerinin iflasları ile
											endüstride yalnızca ayakta kalmaya 
çalışanların denetimini arttırıyor.
											Başıboş bırakıldığında
1980'lerdeki tarım krizindeki gibi
											ham madde fiyatlarının çakıldığı,
											zam oranlarının iki katına çıktığı
											ve birçok çiftçinin her şeyini kaybettiği
yeni bir ekonomik çöküşe sürükleneceğiz.
									","
											Sou um profissional da medicina
											que trabalhou com 
pequenos agricultores no Ruanda,
											e agora sou dono de uma 
pequena empresa de alimentos
											que se encontra entre 
consumidores e produtores.
											Fui exposto a uma das indústrias
											mais intensas do mundo,
ecológica e economicamente.
											Durante o meu trabalho
											eu presenciei uma ironia horrível.
											Os agricultores que nos alimentam 
não podem pagar a comida que produzem.
											Hoje, algumas corporações
continuam a consolidar
											toda a cadeia de alimentos,
											desde o património intelectual 
das sementes para produção e pecuária
											até às instituições financeiras 
que financiam esses agricultores.
											Isso resulta num aumento
das falências das famílias agricultoras,
											e pouco controlo para quem
tenta sobreviver nessa indústria.
											Se isso continuar, enfrentaremos
outro colapso económico,
											similar à crise agrícola dos anos 80,
											quando os preços dos produtos
baixaram dramaticamente,
											a taxa de juros duplicou
											e muitos agricultores perderam tudo.
									","
											Como profesional de la salud pública
											que ha trabajado con agricultores
de pequeña escala en Ruanda
											y ahora como dueño de un pequeño 
negocio de alimentación
											situado en la intersección entre
nuestros consumidores y productores,
											he estado expuesto a una de las industrias
											ecológica y económicamente 
más intensivas del mundo,
											y a través de mi trabajo,
											he presenciado una cruda ironía.
											Los agricultores que alimentan a nuestra
comunidad no pueden pagar lo que cultivan.
											Actualmente, un puñado de empresas
siguen consolidando
											la cadena de suministro de alimentos,
											desde la propiedad intelectual 
de las semillas y el ganado
											hasta las instituciones financieras
que prestan fondos a los agricultores.
											Los resultados recientes son la creciente
bancarrota de las familias agrícolas
											y el escaso control para quienes solo
intentan sobrevivir en la industria.
											Si no lo solucionamos, nos dirigiremos
a otro desastre económico,
											uno muy similar a la crisis
agrícola de los 80,
											cuando se hundieron los precios 
de las materias primas,
											se duplicaron los intereses
											y muchos agricultores lo perdieron todo.
									",Why you should shop at your local farmers market,Mohammad Modarres,6:05,"farming,agriculture,food,future,environment,business,sustainability"
"
","
","
","
",Why you should shop at your local farmers market,Mohammad Modarres,6:05,"farming,agriculture,food,future,environment,business,sustainability"
"
											Fortunately, there's a very simple,
three-part solution
											you can be part of right now
											to help us transform our food industry
from the bottom up.
									","
											Neyse ki üç kısımlı
çok basit bir çözüm yolu var.
											Gıda endüstrimizi temelden
değiştirmeye yardım etmek için
											şimdi bu çözüm yolunun
bir parçası olabilirsiniz.
									","
											Felizmente, há uma solução simples,
que inclui três passos,
											na qual vocês podem participar
											para ajudar a transformar
a indústria dos alimentos.
									","
											Por suerte, existe una solución
muy simple de tres pasos
											en la que pueden participar ahora mismo
											para ayudarnos a transformar 
la industria alimentaria desde abajo.
									",Why you should shop at your local farmers market,Mohammad Modarres,6:05,"farming,agriculture,food,future,environment,business,sustainability"
"
","
","
","
",Why you should shop at your local farmers market,Mohammad Modarres,6:05,"farming,agriculture,food,future,environment,business,sustainability"
"
											Step one: shop at
your local farmers markets.
									","
											Birinci adım: Mahalle
pazarından alışveriş yapın.
									","
											Passo um: comprem
em feiras da vossa região.
									","
											Primer paso: compren en sus 
mercados agrícolas locales.
									",Why you should shop at your local farmers market,Mohammad Modarres,6:05,"farming,agriculture,food,future,environment,business,sustainability"
"
","
","
","
",Why you should shop at your local farmers market,Mohammad Modarres,6:05,"farming,agriculture,food,future,environment,business,sustainability"
"
											Buying from your local market
											and subscribing to a community-supported
agricultural produce box,
											better known as a CSA,
											may be the single greatest
purchasing decision you can make
											as a consumer today.
											Last year, American farmers
made the least they have
											in almost three decades,
											because they now own
fewer parts of the supply chain
											than ever before.
											Under exclusive contracts
with Big Ag and big box stores,
											farmers are not offered
a fair price for their goods.
											In fact, the average farmer in America
											makes less than 15 cents of every dollar
on a product that you purchase at a store.
											On the other hand, farmers who sell
their goods at a farmers market
											take home closer to
90 cents of every dollar.
											But beyond taking home a larger share,
											farmers use markets as an opportunity
											to cultivate the next generation
of agriculturalists
											who shepherd our farmlands
and our pastures.
											In our fight against climate change,
we need them now more than ever
											to promote and preserve diverse land use.
									","
											Pazarda alışveriş yapmak
											ve Topluluk Destekli Tarım olarak bilinen
											toplum destekli bir tarımsal 
ürün grubuna katılmak.
											Bugün bir tüketici olarak aldığınız 

											en büyük ve tek 
satın alma kararı olabilir.
											Geçen sene Amerikalı çiftçiler
											neredeyse son otuz yılın
en az ürününü yetiştirdiler
											çünkü şu sıralar, daha önce hiç olmadığı 
kadar az tedarik zincirine sahipler.
											''Big Ag'' ve diğer mega mağazalarla
olan sözleşmeler kapsamında
											çiftçilere ürünleri için
makul fiyatlar teklif edilmiyor.
											Aslında, Amerika'daki ortalama bir çiftçi
											bir dükkândan satın aldığınız bir dolarlık
üründen on beş sentten az kazanıyor.
											Öte yandan, ürünlerini
bir pazarda satan çiftçiler
											her 1 doların doksan
sentini eve götürüyorlar.
											Ama daha büyük bir payı
eve götürmenin ötesinde,
											çiftçiler, topraklarımızda
ve otlaklarımızda çobanlık yapan
											yeni nesil çiftçileri yetiştirmek için
											pazarları bir fırsat olarak kullanıyorlar.
											İklim değişikliğine karşı savaşımızda
çeşitli arazi kullanımını teşvik etmek
											ve korumak için onlara
hiç olmadığı kadar ihtiyacımız var.
									","
											Comprar nas feiras locais
											e associar-se a um grupo de produção
agrícola apoiado pela comunidade,
											também conhecido como CSA,
											pode ser a melhor decisão
que podem tomar
											enquanto consumidores.
											No ano passado, agricultores
dos EUA tiveram as menores receitas
											das últimas três décadas,
											porque agora possuem menos partes
da cadeia de abastecimento
											de toda a História.
											Com os contratos de exclusividade
com a Grande Agricultura
											e os grandes supermercados
											os agricultores não recebem
um preço justo pelos seus produtos.
											Em média, um agricultor dos EUA
											recebe menos de 15 cêntimos
por cada dólar que gastamos no mercado.
											Por outro lado, agricultores
que vendem os seus produtos nas feiras
											recebem cerca de 90 cêntimos
por cada dólar gasto.
											Além de receberem mais,
											os agricultores usam as feiras
como uma oportunidade
											de preparar a próxima geração
de agricultores
											que cuidarão das nossas terras
e dos nossos pastos.
											Na luta contra a alteração climática,
precisamos deles mais do que nunca,
											para promover e preservar
o uso diversificado da terra.
									","
											Comprar en su mercado local
											y suscribirse a una caja de productos 
agrícolas con apoyo comunitario,
											más conocida como CSA en inglés,
											podría ser la decisión de compra 
más importante que realicen
											como consumidores hoy en día.
											El año pasado, los agricultores
estadounidenses ganaron menos
											que en las últimas tres décadas,
											porque ahora poseen menos partes
de la cadena de suministro
											que nunca.
											En los contratos exclusivos de grandes
corporaciones agrícolas y megatiendas,
											no se ofrece a los agricultores
un precio justo por sus productos.
											De hecho, el agricultor medio en EE. UU.
											gana menos 15 céntimos por cada USD
de un producto que compramos en tienda.
											En cambio, los agricultores que venden
sus productos en mercados locales
											se llevan a casa
unos 90 céntimos por cada USD.
											Pero más allá 
de llevarse un mayor beneficio,
											los agricultores utilizan los mercados
como una oportunidad
											para cultivar a la siguiente 
generación de agricultores
											que se encargarán de las tierras 
de cultivo y de los pastos.
											En la lucha contra el cambio climático, 
los necesitamos más que nunca
											para promover y proteger 
un uso diverso de la tierra.
									",Why you should shop at your local farmers market,Mohammad Modarres,6:05,"farming,agriculture,food,future,environment,business,sustainability"
