es,tr,de,title,speaker,duration,tags
"
","
","
",How the worst moments in our lives make us who we are,Andrew Solomon,20:27,"LGBT,culture,depression,identity,pain,gender equality"
"
											Como estudiante de la adversidad,
											siempre me ha impresionado
											ver cómo algunas personas
											que afrontan grandes desafíos
											parecen sacar mucha fuerza de ellos,
											y de la sabiduría popular he escuchado
											que eso está relacionado 
con la búsqueda de sentido.
											Y por mucho tiempo,
											pensé que el sentido estaba ahí,
											en alguna gran verdad, 
esperando a ser encontrado.
									","
											Zor durumların öğrencisi olarak
											yıllar boyunca,
											bazı insanların
											büyük zorluklardan
											güçlü çıkmalarına hayran kaldım ve
											bunun hayatın anlamını bulmakla
											bir ilgisi olduğunu duydum.
											Uzun zaman boyunca,
											anlamın oralarda bir yerlerde olduğunu
											muhteşem bir gerçeğin bulunmayı
beklediğini sandım.
									","
											Ich beschäftige mich mit Menschen in Not
											und bin immer wieder beeindruckt davon,
											wie einige Menschen
											mit großen Problemen
											genau daraus Kraft zu schöpfen scheinen.
											Ich kannte die Volksweisheit,
											dass das etwas mit Sinnfindung zu tun hat.
											Lange Zeit dachte ich,
											dass dieser Sinn dort draußen ist,
											eine höhere Wahrheit, die darauf wartet,
gefunden zu werden.
									",How the worst moments in our lives make us who we are,Andrew Solomon,20:27,"LGBT,culture,depression,identity,pain,gender equality"
"
","
","
",How the worst moments in our lives make us who we are,Andrew Solomon,20:27,"LGBT,culture,depression,identity,pain,gender equality"
"
											Pero con el tiempo, 
he llegado a pensar
											que la verdad es irrelevante.
											Lo llamamos la búsqueda de sentido,
											pero sería mejor llamarlo 
forjar sentido.
									","
											Ancak zamanla gerçekle
alakasının olmadığını
											düşünmeye başladım.
											Anlamı bulmak da diyebiliriz,
											ama anlamı yaratmak demek daha doğru olur.
									","
											Im Laufe der Zeit spürte ich aber,
											dass die Wahrheit irrelevant ist.
											Wir können es Sinnfindung nennen,
											aber besser wäre vielleicht 
Sinngestaltung.
									",How the worst moments in our lives make us who we are,Andrew Solomon,20:27,"LGBT,culture,depression,identity,pain,gender equality"
"
","
","
",How the worst moments in our lives make us who we are,Andrew Solomon,20:27,"LGBT,culture,depression,identity,pain,gender equality"
"
											Mi último libro trata sobre 
cómo algunas familias
											se las ingenian 
para ocuparse de hijos fuera de lo común
											o que suponen un desafío.
											Una de las madres 
a las que entrevisté,
											que tenía dos hijos con 
varias discapacidades severas,
											me dijo: ""La gente siempre nos dice
											frases como:
											'Dios no te da más de 
lo que puedes soportar',
											pero hijos como los nuestros
											no están predeterminados 
como regalo.
											Son un regalo, 
porque eso es lo que hemos elegido"".
									","
											Son kitabım zor durumlarla ya da
											normal dışı doğumlarla mücadele
											eden ailelerle ilgiliydi.
											Görüştüğüm kişilerden
											ağır engelli iki çocuk annesi
											''İnsanlar bize sürekli olarak
											'Tanrı kaldırabileceğinizden
											daha ağır bir yük vermez' 
gibi sözler söylerler,
											ama bizimkiler gibi çocuklar
											kader sonucu hediye edilmediler.
											Onlar hediyeler, çünkü biz bunu seçtik.
									","
											In meinem letzten Buch ging es um Familien
											und wie sie mit schwierigen und
ungewöhnlichen Kindern umgehen.
											Eine der Mütter, mit denen ich sprach,
											hatte zwei Kinder mit verschiedenen,
schweren Behinderungen und sagte:
											""Die Leute kommen uns immer
											mit solchen Sprichwörtern wie zum Beispiel
											'Gott mutet uns nicht mehr zu,
als wir tragen können',
											aber Kinder wie die unseren
											sind nicht unbedingt ein Geschenk.
											Sie sind ein Geschenk, 
weil wir das beschlossen haben.""
									",How the worst moments in our lives make us who we are,Andrew Solomon,20:27,"LGBT,culture,depression,identity,pain,gender equality"
"
","
","
",How the worst moments in our lives make us who we are,Andrew Solomon,20:27,"LGBT,culture,depression,identity,pain,gender equality"
"
											Tomamos esas decisiones 
siempre en la vida.
											Cuando estaba en segundo grado,
											a Bobby Finkel le hicieron 
una fiesta de cumpleaños
											e invitó a todos los compañeros 
de la clase, menos a mí.
											Mi mamá supuso 
que había habido un error,
											y llamó a la señora Finkel,
											que le dijo que yo no le caía bien a Bobby
											y que no me quería invitar a su fiesta.
											Ese día, mi madre me llevó al zoológico
											y a comer helado.
											Cuando estaba en séptimo grado,
											uno de los chicos del autobús escolar
											me apodó ""Percy"",
											como diminutivo de mi forma de ser,
											y a veces, él y sus compinches
											lo coreaban
											durante todo el trayecto,
											45 minutos de ida, 
45 de vuelta,
											""¡Percy! ¡Percy! 
¡Percy! ¡Percy!""
											Cuando estaba en octavo grado,
											el profesor de ciencias nos dijo
											que todos los hombres homosexuales
											desarrollan incontinencia fecal
											debido a un debilitamiento del esfínter.
											Y me gradué de la escuela secundaria
											sin haber ido nunca a la cafetería,
											porque de haberme sentado con las chicas
											se habrían burlado de mí por eso,
											y de haberme sentado con los chicos
											se habrían burlado por ser un chico
											que debería sentarse con las chicas.
									","
											Bu seçimleri yaşantımız boyunca yaparız.
											İkinci sınıftayken
											Bobby Finkel doğumgünü partisine
											ben hariç herkesi çağırmıştı.
											Annem ortada bir yanlış 
olduğunu düşündü ve
											Bobby'nin annesini aradı.
											O da Bobby'nin beni sevmediğini
											ve partisinde istemediğini söyledi.
											O gün annem beni
hayvanat bahçesine götürdü ve
											dondurma aldı.
											Yedinci sınıftayken
											okul servisindeki çocuklardan biri
											tavırlarımın bir özeti olarak
											beni ''Penis'' diye lakap taktı.
											Bazen o ve arkadaş grubu
											tüm okul servisi yolculuğu boyunca
											koro halinde söylüyorlardı
											gidişte 45, dönüşte 45 dakika boyunca
											''Penis! Penis! Penis! Penis!''
											Sekizinci sınıftayken
											fen öğretmenimiz
											bütün erkek eşcinsellerin
											anüs kaslarının travması sonucu
											dışkılarını tutamadıklarını söyledi.
											Neredeyse hiç kafeteryaya gidemeden
											okuldan mezun oldum;
											kızlarla oturduğumda güldüler,
											erkeklerle oturduğumda da
											kızlarla oturması
											gereken bir erkek çocuk
											olduğumu söyleyerek güldüler.
									","
											Wir alle treffen solche Entscheidungen 
in unserem Leben.
											Als ich in der 2. Klasse war,
											feierte Bobby Finkel seinen Geburtstag
											und lud alle in der Klasse ein,
außer mich.
											Meine Mutter ging von einem Fehler aus
											und rief Frau Finkel an.
											Die sagte ihr dann, 
dass Bobby mich nicht mag
											und nicht will, dass ich 
zu seiner Feier komme.
											An diesem Tag ging meine Mutter 
mit mir in den Zoo
											und ich bekam ein großes Eis.
											Als ich in der 7. Klasse war,
											gab mir eines der Kinder im Schulbus
											den Spitznamen ""Percy""
											als Abkürzung für mein komisches Benehmen.
											Und manchmal skandierten 
er und seine Kumpels
											diese Provokation 
die ganze Busfahrt hindurch.
											45 Minuten Hinfahrt, 45 Minuten Rückfahrt.
											""Percy! Percy! Percy! Percy!""
											Als ich in der 8. Klasse war,
											erzählte uns unser Biologielehrer,
											dass männliche Homosexuelle
											Stuhlinkontinenz entwickeln,
											weil der Schließmuskel ausleiert.
											Ich schloss die High School ab,
											ohne jemals in der Cafeteria 
gewesen zu sein.
											Hätte ich dort mit Mädels gesessen,
											wäre ich dafür ausgelacht worden.
											Hätte ich dort mit Jungs gesessen,
											wäre ich auch ausgelacht worden,
											weil ich ein Junge war, 
der bei den Mädchen sitzen sollte.
									",How the worst moments in our lives make us who we are,Andrew Solomon,20:27,"LGBT,culture,depression,identity,pain,gender equality"
"
","
","
",How the worst moments in our lives make us who we are,Andrew Solomon,20:27,"LGBT,culture,depression,identity,pain,gender equality"
"
											Sobreviví a esa infancia con una mezcla
											de evasión y resistencia.
											Lo que no sabía entonces
											y ahora sé,
											es que la evasión y la resistencia
											pueden ser la puerta de entrada 
para forjar sentido.
											Después de haber forjado sentido,
											hay que incorporarlo
											a una nueva identidad.
											Hay que afrontar los traumas 
y hacerlos parte
											de lo que llegamos a ser.
											Es necesario transformar los peores 
acontecimientos de nuestra vida
											en un relato de triunfo,
											dando expresión a un mejor autoconcepto
											en respuesta a las cosas que hieren.
									","
											Çocukluğumu kaçış ve tahammülün
											bir karışımı olarak geçirdim.
											O zaman bilmeyip de
											şimdi bildiğim şey
											kaçış ve tahammülün anlam yaratmak için
											fırsat olduğuydu.
											Anlamı yarattıktan sonra
											bu anlamı yeni bir kimlikle
											birleştirmeniz gerekir.
											Yaşadığınız sarsıntıları olmak istediğiniz
kişiliğin
											bir parçası yapmalı ve
											hayatınızın en kötü olaylarını
											bir zafer hikayesine dönüştürmeli,
											acı veren olaylara karşı
											daha iyi olduğunuzu ispat etmelisiniz.
									","
											Ich überlebte diese Kindheit
											durch eine Mischung aus 
Vermeiden und Aushalten.
											Was ich damals noch nicht wusste
											und jetzt weiß:
											Vermeiden und Aushalten
											können der Ausgangspunkt 
für Sinngestaltung sein.
											Wenn man Sinn gestaltet hat,
											muss man diesen Sinn
											in eine neue Identität einbinden.
											Man muss seine Traumata nehmen
											und sie zu einem Teil 
seiner selbst machen.
											Man muss die schlimmsten 
Ereignisse im Leben nehmen,
											sie in einen Triumph verwandeln
											und ein besseres Selbst schaffen,
											als Antwort auf die schmerzhaften Dinge.
									",How the worst moments in our lives make us who we are,Andrew Solomon,20:27,"LGBT,culture,depression,identity,pain,gender equality"
