en,es,fr,pt,title,speaker,duration,tags
"
","
","
","
",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
											So you probably have the sense,
as most people do,
											that polarization
is getting worse in our country,
											that the divide
between the left and the right
											is as bad as it's been
in really any of our lifetimes.
											But you might also reasonably wonder
if research backs up your intuition.
											And in a nutshell,
the answer is sadly yes.
											In study after study, we find
											that liberals and conservatives
have grown further apart.
											They increasingly wall themselves off
in these ideological silos,
											consuming different news,
talking only to like-minded others
											and more and more choosing
to live in different parts of the country.
									","
											A lo mejor tienen la impresión,
como la mayoría de la gente,
											de que nuestro país
está cada vez más polarizado;
											de que la división
entre izquierda y derecha
											es mucho más grande de
lo que hemos vivido nunca.
											Quizá se pregunten si hay investigaciones
que respalden su intuición.
											Y en pocas palabras,
la respuesta es tristemente que sí.
											Estudio tras estudio observamos
											que liberales y conservadores
se han alejado cada vez más.
											Se aíslan cada vez más
en unos silos ideológicos,
											leyendo diferentes noticias, hablando
con gente con las mismas ideas
											y eligiendo, más y más, vivir
en partes diferentes del país.
									","
											Il est probable que vous ayez, 
comme bien des gens,
											l'impression que la polarisation
s'aggrave dans notre pays,
											et que la division 
entre la droite et la gauche
											est la plus grande que nous ayons vue
et vécue au cours de nos vies.
											Vous vous demandez peut-être si cette idée
a été prouvée par des recherches.
											Alors, pour résumer,
la réponse est oui, malheureusement.
											D'étude en étude, nous constatons
											que les libéraux et les conservateurs 
sont plus éloignés que jamais.
											Ils s'enferment de plus en plus 
dans un genre de silo idéologique,
											s'informent auprès de médias différents,
ne parlent qu'à ceux qui pensent comme eux
											et choisissent de plus de plus de vivre
dans différentes régions du pays.
									","
											Provavelmente, têm a sensação,
como a maioria das pessoas,
											que a polarização está
a ficar pior no nosso país;
											que a divisão entre
a esquerda e a direita
											está tão má como nunca esteve
durante a nossa vida.
											Mas também poderão questionar-se
se a investigação apoia a vossa intuição.
											E, em suma, a resposta é sim,
infelizmente.
											(Risos)
											Estudo após estudo, descobrimos
											que liberais e conservadores
separaram-se ainda mais.
											Isolam-se a si mesmos, cada vez mais,
nos seus asilos ideológicos,
											consumindo diferentes notícias,
falando só com pessoas que pensem igual,
											e escolhendo viver
em partes diferentes do país.
									",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
","
","
","
",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
											And I think that
most alarming of all of it
											is seeing this rising
animosity on both sides.
											Liberals and conservatives,
											Democrats and Republicans,
											more and more they just
don't like one another.
											You see it in many different ways.
											They don't want to befriend one another.
They don't want to date one another.
											If they do, if they find out,
they find each other less attractive,
											and they more and more don't want
their children to marry someone
											who supports the other party,
											a particularly shocking statistic.
									","
											Y creo que lo más alarmante
											es la creciente hostilidad
de ambas partes.
											Liberales y conservadores,
											demócratas y republicanos,
											se gustan cada vez menos.
											Se puede observar en muchas actitudes.
											No quieren ser amigos.
No quieren salir juntos.
											Si lo hacen y se enteran,
se encuentran menos atractivos
											y quieren, cada vez menos, ver 
a sus hijos casados con
											partidarios de la contra,
											una estadística escalofriante.
									","
											Mais à mon avis, ce qui est 
le plus alarmant dans tout cela
											est de voir l'animosité grandissante,
tant d'un côté que de l'autre.
											Libéraux et conservateurs,
											démocrates et républicains,
											ils semblent se déplaire de plus en plus.
											Nous le constatons
de différentes manières.
											Ils ne deviennent pas amis.
Ils ne se fréquentent pas.
											Si jamais ça arrive, dès qu'ils 
le réalisent, ils s'attirent moins,
											et, de plus en plus, ils ne veulent pas
voir leurs enfants se marier
											avec quelqu'un de l'autre parti ;
											c'est une statistique surprenante.
									","
											E eu penso que
o mais alarmante disto tudo,
											é observar esta animosidade
crescente em ambos os lados.
											Liberais e conservadores,
											Democratas e Republicanos,
											cada vez gostam menos uns dos outros.
											É possível observar isto 
de várias maneiras.
											Não querem ser amigos,
Não querem namorar uns com os outros.
											Se o fizerem, e se o descobrirem,
julgarão o seu parceiro menos atraente.
											Cada vez mais, não querem
que os seus filhos se casem
											com alguém que apoie o partido oposto
											— uma estatística
particularmente chocante.
									",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
","
","
","
",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
											You know, in my lab,
the students that I work with,
											we're talking about
some sort of social pattern —
											I'm a movie buff, and so I'm often like,
											what kind of movie are we in here
with this pattern?
											So what kind of movie are we in
with political polarization?
											Well, it could be a disaster movie.
											It certainly seems like a disaster.
											Could be a war movie.
											Also fits.
											But what I keep thinking is that
we're in a zombie apocalypse movie.
									","
											En mi laboratorio,
hablo con mis estudiantes
											sobre patrones sociales.
											Soy un gran aficionado al cine
y a veces pregunto:
											¿a qué película pertenecemos
con este patrón?
											¿En qué tipo de película participamos
con la polarización política?
											Podría ser una película de desastres.
											Desde luego parece un desastre.
											Podría ser una película de guerra.
											También encaja.
											Pero lo que yo creo es que estamos
en una película de apocalipsis zombi.
									","
											Dans mon laboratoire,
avec les étudiants avec qui je travaille,
											nous parlons souvent
de modèles sociaux —
											je suis un amateur de cinéma 
et souvent je dis :
											dans quel genre de film sommes-nous ici,
avec ce modèle-ci ?
											De quel genre de film s'agit-il,
en parlant de polarisation politique ?
											Cela pourrait être un film catastrophe.
											Ça ressemble bien à une catastrophe.
											Ça pourrait être un film de guerre.
											Ça marche aussi.
											Mais ce qui me vient toujours en tête,
c'est les films de zombies.
									","
											No meu laboratório,
os estudantes com quem trabalho,
											falamos sobre uma espécie
de padrão social:
											Eu sou um viciado em filmes,
portanto, penso frequentemente:
											""Que tipo de filme é este
em que existe este padrão?
											""Que tipo de filme é este
com esta polarização política?""
											Podia ser um filme de catástrofe.
											Certamente, parece ser uma catástrofe.
											Podia ser um filme de guerra.
											Também serve.
											Mas o que eu continuo a pensar é que
estamos num filme de apocalipse zombie.
									",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
","
","
","
",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Risos)
									",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
","
","
","
",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
											Right? You know the kind.
											There's people wandering around in packs,
											not thinking for themselves,
											seized by this mob mentality
											trying to spread their disease
and destroy society.
											And you probably think, as I do,
											that you're the good guy
in the zombie apocalypse movie,
											and all this hate and polarization,
it's being propagated by the other people,
											because we're Brad Pitt, right?
											Free-thinking, righteous,
											just trying to hold on
to what we hold dear,
											you know, not foot soldiers
in the army of the undead.
											Not that.
											Never that.
									","
											¿Verdad? Ya saben de qué hablo.
											Hay gente vagando en grupos,
											sin pensar por sí mismos,
											siguiendo la ideología de la masa
											intentando extender su enfermedad
y destruir a la sociedad.
											Y probablemente Uds. piensan, como yo,
											que son los buenos en la película
del apocalipsis zombi
											y que este odio y esta polarización
lo propagan los otros.
											Nosotros somos Brad Pitt, ¿no?
											Librepensadores, honrados,
											intentando aferrarnos
a lo que nos importa,
											ya saben, no somos soldados
del ejército de los no muertos.
											Eso no.
											Eso nunca.
									","
											N'est-ce pas ? Vous voyez le genre !
											Il y a des gens qui errent en groupes,
											ne réfléchissant plus d'eux-mêmes,
											captifs de cette mentalité collective
											qui leur dicte de propager leur maladie
et de détruire la société.
											Et vous vous dites sans doute, 
tout comme moi,
											que vous êtes du côté des bons
dans ce film de zombies apocalyptique
											et que toute la haine et la polarisation
est propagée par les autres,
											parce qu'on est Brad Pitt, n'est-ce pas ?
											Un libre penseur, juste et vertueux,
											tentant de nous accrocher
à ce qui nous est cher,
											et non pas un simple soldat 
dans l'armée des morts-vivants.
											Pas cela.
											Jamais cela.
									","
											Não é? Vocês conhecem o tipo.
											Há pessoas que vagueiam em matilhas,
											que não pensam por si mesmas,
											conquistados por este
pensamento de grupo
											tentando espalhar a sua doença
e destruir a sociedade.
											Vocês, provavelmente, pensam como eu,
											que vocês são o herói neste filme
de apocalipse de zombies
											e que todo este ódio e polarização
estão a ser propagados pelos outros,
											porque nós somos o Brad Pitt, certo?
											Livres pensadores, justos,
											a tentar agarrarmo-nos
ao que mais amamos,
											não somos soldados-rasos
no exército dos mortos-vivos.
											Isso não.
											Isso nunca.
									",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
","
","
","
",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
											But here's the thing:
											what movie do you suppose
they think they're in?
											Right?
											Well, they absolutely think
that they're the good guys
											in the zombie apocalypse movie. Right?
											And you'd better believe
that they think that they're Brad Pitt
											and that we, we are the zombies.
											And who's to say that they're wrong?
											I think that the truth is
that we're all a part of this.
											And the good side of that
is that we can be a part of the solution.
									","
											Pero este es el quid:
											¿En qué película piensan que están ellos?
											¿No?
											Ellos están convencidos
de ser los buenos
											en la película del apocalipsis zombi.
											Y, créanlo, piensan
que ellos son Brad Pitt
											y que nosotros somos los zombis.
											¿Y quién dice que se equivocan?
											Creo que la verdad es que
todos somos parte de esto.
											Lo bueno es que podemos
ser parte de la solución.
									","
											Mais voici le problème :
											dans quel film pensez-vous 
qu'ils croient jouer ?
											N'est-ce pas ?
											Oui, ils sont convaincus
qu'ils sont du côté des bons
											dans ce film de zombies, n'est-ce pas ?
											Et soyez certains
qu'ils se prennent pour Brad Pitt
											et que ce sont nous, les zombies.
											Mais qui peut dire qu'ils ont tort ?
											Je crois que la vérité est
qu'on est tous impliqués là-dedans.
											La bonne nouvelle est qu'on peut tous
faire partie de la solution.
									","
											Mas eis o que se passa:
											em que filme julgam
que eles pensam estar?
											Certo?
											Eles pensam convictamente
que são os heróis
											neste filme apocalíptico. Certo?
											Podem ter certeza que eles
pensam que são o Brad Pitt
											e que nós, nós é que somos os zombies.
											E quem somos nós para dizer
que eles estão errados?
											Eu penso que a verdade
é que fazemos todos parte disto.
											E o lado bom nisso é que também
podemos fazer parte da solução.
									",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
","
","
","
",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
											So what are we going to do?
											What can we do to chip away
at polarization in everyday life?
											What could we do to connect with
and communicate with
											our political counterparts?
											Well, these were exactly the questions
that I and my colleague, Matt Feinberg,
											became fascinated with a few years ago,
											and we started
doing research on this topic.
											And one of the first things
that we discovered
											that I think is really helpful
for understanding polarization
											is to understand
											that the political divide in our country
is undergirded by a deeper moral divide.
									","
											Así que, ¿qué vamos a hacer?
											¿Qué podemos hacer para socavar
la polarización en el día a día?
											¿Cómo podríamos conectarnos
y comunicarnos
											con nuestros homólogos políticos?
											Esas eran exactamente las preguntas
que a mi colega Matt Feinberg y a mí
											nos fascinaron hace unos años
											y empezamos a investigar
sobre ese tema.
											Una de las primeras cosas
que descubrimos,
											que creo muy útil
para entender la polarización,
											es entender
											que la división política del país se basa
en una división moral más profunda.
									","
											Donc, qu'allons-nous faire ?
											Que pouvons-nous faire pour nous attaquer
à la polarisation au quotidien ?
											Que pouvons-nous faire pour mieux
communiquer et échanger
											avec nos adversaires politiques ?
											En fait, voilà les questions qui fascinent
mon collègue Matt Feinbert et moi-même
											depuis quelques années maintenant
											et nous avons entamé
des recherches sur ce sujet.
											L'une des premières choses
que nous avons découvertes
											et qui à mon sens est très utile
pour comprendre la polarisation,
											est la réalisation
											que l'écart politique dans notre pays
s'appuie sur une division morale profonde.
									","
											Então o que é que vamos fazer?
											O que é que podemos fazer para afastar
a polarização do nosso quotidiano?
											O que é que podemos fazer
para estabelecer uma ligação
											e comunicarmos com os nossos
oponentes políticos?
											Foi exatamente com estas questões
que eu e o meu colega, Matt Feinberg,
											ficámos fascinados, aqui há uns anos,
											e começámos a investigar o tema.
											Uma das primeiras coisas
que descobrimos,
											que eu penso ser realmente útil
para compreender a polarização,
											é perceber que a divisão
política no nosso país
											é subjacente a uma divisão
moral mais profunda.
									",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
","
","
","
",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
											So one of the most robust findings
in the history of political psychology
											is this pattern identified
by Jon Haidt and Jesse Graham,
											psychologists,
											that liberals and conservatives
tend to endorse different values
											to different degrees.
											So for example, we find that liberals
tend to endorse values like equality
											and fairness and care
and protection from harm
											more than conservatives do.
											And conservatives tend to endorse
values like loyalty, patriotism,
											respect for authority and moral purity
											more than liberals do.
											And Matt and I were thinking
that maybe this moral divide
											might be helpful
for understanding how it is
											that liberals and conservatives
talk to one another
											and why they so often
seem to talk past one another
											when they do.
									","
											Uno de los descubrimientos más importantes
en la historia de la psicología política
											es este patrón identificado
por Jon Haidt y Jesse Graham,
											psicólogos,
											de que los liberales y los conservadores
tienden a respaldar diferentes valores
											a diferentes niveles.
											Por ejemplo, descubrimos que los liberales
tienden a apoyar valores como la igualdad,
											la justicia, el cuidado,
y la protección contra el peligro
											más que los conservadores.
											Y los conservadores tienden a apoyar
valores como la lealtad, el patriotismo,
											el respeto a la autoridad
y la pureza moral
											más que los liberales.
											Matt y yo pensamos que es posible
que esta división moral
											sea útil para entender cómo es que
											los liberales y los
conservadores hablan
											y la mayor parte del tiempo
no se escuchan
											al hablar.
									","
											L'une des découvertes les plus importantes
en histoire de la psychologie politique
											est ce modèle identifié 
par Jon Haidt et Jesse Graham,
											deux psychologues,
											démontrant que les libéraux et 
les conservateurs ont tendance à appuyer
											des valeurs différentes
à différents degrés.
											Ainsi, par exemple, on constate
que les libéraux adhèrent à des valeurs
											comme l'égalité, la justice, la prise
en charge et la protection contre le mal,
											de façon plus prononcée
que les conservateurs.
											Les conservateurs, quant à eux,
appuient des valeurs comme la loyauté,
											le patriotisme, le respect pour l'autorité
et la pureté morale,
											de manière plus forte que les libéraux.
											Matt et moi nous demandions 
si cette division morale
											ne pourrait pas être utile 
pour comprendre
											comment les libéraux
et les conservateurs se parlent
											et pourquoi ils ne semblent pas
vraiment s'écouter
											quand ils se parlent.
									","
											Uma das descobertas mais robustas
na história da psicologia política
											foi o padrão identificado
pelos psicólogos Jon Haidt e Jesse Graham,
											de que liberais e conservadores
tendem a apoiar diferentes valores
											em diferentes graus.
											Por exemplo, vemos que os liberais
tendem a apoiar valores como a igualdade,
											a justiça e o cuidado
e a proteção contra danos,
											mais do que os conservadores.
											E os conservadores tendem a apoiar
valores como a lealdade, o patriotismo,
											o respeito pela autoridade
e a pureza moral,
											mais do que os liberais.
											Matt e eu pensámos
que talvez esta divisão moral
											fosse útil para percebermos
											como é que liberais e conservadores
comunicam uns com os outros
											e porque é que, amiúde,
parecem não dar ouvidos uns aos outros.
									",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
"
","
","
","
",How to have better political conversations,Robb Willer,12:01,"communication,democracy,Debate,government,humanity,identity,language,empathy,morality,personal growth,politics,social change,society,TEDx,psychology"
