es,pt,fr,title,speaker,duration,tags
"
","
","
",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
											Este es un trabajo en proceso
											basado en algunos comentarios que se hicieron
											en TED hace dos años
											sobre la necesidad de almacenaje de vacunas
											(Música)
											[ En este planeta ]
											[ mil seiscientos millones de personas ]
											[ no tienen acceso a electricidad ]
											[ refrigeración ]
											[ o combustibles almacenados ]
											[ éste es un problema ]
											[ su impacto: ]
											[ se propagan enfermedades ]
											[ el almacenaje de comida y medicina ]
											[ y la calidad de vida ]
											[ este es el plan: refrigeración barata que no usa electricidad...]
											[...propano, gas, keroseno o consumibles ]
											[ es momento para ver termodinámica ]
											[ Y la historia del Refrigerador de Absorción Intermitente ]
									","
											Este é um trabalho em desenvolvimento
											baseado em comentários
											que foram feitos no TED há dois anos
											sobre a necessidade de armazenar vacinas.
											[Neste planeta
											[1600 milhões de pessoas
											[não têm acesso à eletricidade
											[à refrigeração
											[nem a combustíveis armazenados
											[isto é um problema.
											[Tem impacto
											[na disseminação de doenças
											[no armazenamento
de comida e medicamentos
											[e na qualidade de vida.
											[O plano é este:
											[Refrigeração barata
que não use eletricidade...
											[...propano, gasolina,
petróleo ou consumíveis.
											[Passemos à termodinâmica
											[e à história do Frigorífico
de Absorção Intermitente.
									","
											Ceci est un projet en cours
											basé sur certains commentaires faits
											lors du congrès TED, il y a 2 ans,
											sur la nécessité de conserver des vaccins.
											(Musique)
											[ Sur cette planète ]
											[ 1.6 milliards de personnes ]
											[ n'ont pas accès à l'électricité ]
											[ à la réfrigeration ]
											[ ou aux énergies stockées. ]
											[ Ceci est un problème ]
											[ Cela a des conséquences sur : ]
											[ la transmission des maladies ]
											[ le stockage de nourriture et de médicaments ]
											[ et la qualité de vie. ]
											[ voici le plan: une réfrigération peu couteuse qui n'utilise aucune source d'électricité... ]
											[ ... de propane, de gaz, de kérosène ou d'autres combustibles ]
											[ C'est le moment pour un petit cours de thermodynamique ]
											[ et à l'histoire du Réfrigérateur à Absorption à cycles intermittent. ]
									",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
","
","
",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
											Así que hace 29 años, tuve este profesor de termodinámica
											que habló sobre la absorción y refrigeración.
											Es una de esas cosas que núnca olvidé.
											Era muy parecido al Motor Stirling:
											era genial pero no sabías que hacer con él.
											Y fue inventado en 1858 por este hombre Ferdinand Carre,
											pero no pudo contruir nada con él
											por las herramientas de la época.
									","
											Há 29 anos, eu tive
um professor de termodinâmica
											que falava de absorção e refrigeração.
											Foi uma coisa que me ficou na cabeça.
											Era como o motor Stirling:
											muito interessante
mas não se sabe o que fazer com ele.
											Tinha sido inventado em 1858
por Ferdinand Carré,
											mas não podia fazer nada com aquilo
											devido às ferramentas da época.
									","
											Il y a 29 ans, j'avais ce prof de thermo
											qui parlait d'absorption et de réfrigération.
											Cela fait parti des choses qui me sont restées en tête.
											C'était très proche du moteur Stirling :
											c'était génial, mais on ne savait pas quoi faire avec.
											Cela avait été inventé en 1858 par Ferdinand Carre,
											mais il ne pouvait rien construire avec
											à cause des outils de l'époque.
									",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
","
","
",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
											Este loco Canadiense llamado Powell Crosley
											comercializó esta cosa llamada el Icyball en 1928,
											y era realmente una buena idea,
											ya les diré porqué no funcionó,
											pero así es cómo funciona.
											Hay dos esferas y están separadas a cierta distancia.
											Una tiene un líquido operante, agua y amoníaco,
											y el otro es un condensador.
											Calientas un lado, el lado caliente.
											El amoníaco se evapora
											y se recondensa en el otro lado.
											Lo dejas enfriar a temperatura ambiente,
											y luego, mientras el amoníaco se re-evapora y se combina con el agua
											nuevamente de vuelta al lado caliente inicial,
											crea un poderoso efecto refrigerante.
											Así que era una idea genial pero no funcionó para nada: explotó.
											Porque al usar amoníaco obtienes enormes altas presiones
											si lo calientas mal.
											Llegó a 400 psi. El amoníaco era tóxico. Se esparció por todos lados.
											Pero fue un pensamiento interesante.
									","
											Um canadiano doido chamado Powell Crosley
											comercializou uma coisa
chamada The Icyball em 1928.
											Era uma ideia muito gira.
											Já explico porque não resultou,
											mas funcionava assim.
											Temos duas esferas,
separadas uma da outra.
											Uma tem um fluido: água e amoníaco
											e a outra é um condensador.
											Aquecemos um dos lados, o lado quente.
											O amoníaco evapora-se
e volta a condensar no outro lado.
											Deixamos arrefecer à altura ambiente.
											À medida que o amoníaco volta a evaporar-se
e se mistura com a água,
											de novo no lado quente,
											cria-se um efeito
de refrigeração muito forte.
											Esta foi uma ótima ideia
as não funcionou: explodiu.
											Porque, quando se usa amoníaco,
a pressão é extremamente elevada
											se ele for mal aquecido.
											Chegou aos 400 psi. O amoníaco é tóxico.
Espalhou-se por toda a parte.
											Mas era uma ideia interessante.
									","
											Ce canadien un peu fou, Powell Crosley
											commercialisa cette chose appelée l'Icyball en 1928,
											c'était vraiment une idée ingénieuse,
											je vais vous expliquer pourquoi ça n'a pas marché,
											mais voici d'abord comment cela fonctionne.
											Il y a deux sphères qui sont séparées à distance.
											L'une présente un fluide de travail, constitué d'eau et d'ammoniaque
											et l'autre est un condensateur.
											Vous chauffez un côté, le côté chaud.
											L'ammoniaque s'évapore
											et se recondense de l'autre côté.
											Vous le laissez refroidir à température ambiante,
											puis, alors que l'ammoniaque s'évapore à nouveau et se mélange à l'eau
											du côté qui était précédemment chaud,
											cela produit un puissant effet refroidissant.
											C'était une idee géniale qui n'a absolument pas fonctionné : tout a explosé.
											En utilisant l'ammoniaque, on obtient des pressions très élevées
											si on le chauffe incorrectement.
											Cela atteignait les 400psi. L'ammoniaque était toxique. Il s'en répendait partout.
											Mais c'était une idée très intéressante.
									",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
","
","
",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
											Así que lo genial sobre el 2006 es
											que hay una gran cantidad de trabajo computacional que puedes hacer.
											Así que tuvimos un departamento de termodinámica completo
											en Stanford.
											Mucha dinámica de fluido computacional.
											Comprobamos que la mayoría de las tablas de refrigeración de amoníaco estaban mal.
											Encontramos unos refrigerantes no tóxicos
											que trabajaban a muy baja presión de vapor.
											Traidos por un equipo del Reino Unido—
											hay mucha gente que sabe sobre refrigeración,
											y resultó que, en el Reino Unido—
											construyeron un equipo de pruebas, y probaron que de hecho
											podíamos hacer un refrigerador no tóxico y de baja presión.
									","
											A grande maravilha de 2006
											é que já se pode fazer
muito trabalho informático.
											Conseguimos envolver
											todo o departamento
de termodinâmica de Stanford.
											Muitos cálculos de dinâmica dos fluidos.
											Provámos que muitas das tabelas 
de refrigeração do amoníaco
											estão erradas.
											Encontrámos refrigerantes não tóxicos
											que funcionavam a pressões
de vapor muito baixas.
											Trouxemos uma equipa do Reino Unido
											— há lá muita gente boa em refrigeração —
											e construímos um protótipo que provou
											que é possível fazer, a baixa pressão,
um refrigerador não tóxico.
									","
											Ce qui est bien en 2006,
											c'est qu'on peut faire pas mal de travail avancé en informatique.
											Alors nous avons impliqué tout le département de thermodynamique
											à Stanford.
											Nous avons beaucoup travaillé la dynamique des fluides par simulation informatique.
											Nous avons prouvé que la plupart des tables de réfrigération de l'ammoniaque étaient fausses.
											Nous avons trouvé des réfrigérants non toxiques
											qui fonctionnaient à de basses pressions.
											Nous avons fait venir une équipe d'Angleterre —
											Il se trouve qu'il y a apparemment beaucoup de gens géniaux
											en matière de réfrigération en Angleterre —
											et nous avons construit une plate-forme d'essai, et avons prouvé qu'en fait
											il était possible de fabriquer un réfrigérateur non-toxique à basse pression.
									",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
","
","
",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
											Así es como funciona.
											Lo pones sobre una fogata o una estufa.
											La mayoría de las personas en el mundo tienen fogatas,
											sean de estiércol de camello o madera.
											se calienta por 30 minutos, se enfria por una hora.
											lo pones en un recipiente
											y refrigerará por 24 horas.
											Se ve así. Este es el quinto prototipo. No está listo aún.
											Pesa alrededor de ocho libras y así es como funciona.
											Lo pones en una vasija de 15 litros, tres galones más o menos,
											y lo enfrias al punto de congelamiento,
											tres grados sobre el punto de congelamiento,
											por 24 horas en un ambiente de 30 grados Celsius. Es realmente barato.
											Creemos que podemos construir éstos en grandes cantidades por 25 dólares,
											y al menudeo por 40 dólares
											y pensamos que podemos hacer de la refrigeración
											algo que todos podemos tener.
									","
											Funciona assim:
											Coloca-se numa fogueira.
											Quase toda a gente
usa a fogueira para cozinhar,
											seja de excrementos ou de lenha.
											Aquece-se durante cerca de 30 minutos,
arrefece uma hora.
											Coloca-se num recipiente
											e vai refrigerar durante 24 horas.
											Tem este aspeto. Este é o 5.º protótipo.
Ainda não está pronto.
											Pesa menos de 4 kg, e funciona assim:
											Colocamo-lo num recipiente de 15 litros.
											e ele vai arrefecer
quase até ao ponto de congelamento
											três graus acima do ponto de congelamento,
											durante 24 horas
num ambiente a 30 graus C.
											É muito barato.
											Podemos construi-lo
em grandes quantidades, por cerca de $ 25,
											e em menor quantidade
por cerca de $ 40.
											Achamos que podemos tornar a refrigeração
											numa coisa que todos podem ter.
									","
											Donc voici comment ça marche.
											On le place sur un feu de cuisson.
											La plupart des gens ont des feux de cuisson dans le monde,
											que ce soit à partir de bouse de chameau ou de bois.
											On le laisse chauffer pendant environ 30 minutes, puis refroidir pendant une heure.
											On le met dans un récipient
											et cela va réfrigérer pendant 24 heures.
											Cela ressemble à ça. Celui-ci est le cinquième prototype. Il n'est pas encore complétement fini.
											Il pèse environ 3,6 kg, et fonctionne comme ceci :
											On le met dans un récipient de 15 litres, ce qui fait environ trois gallons,
											et il refroidira jusqu'à atteindre une température proche du gel,
											trois degrés au-dessus de zéro.
											Ceci pendant 24 heures et dans un environnement de 30 degrés Celsius. Et ce n'est vraiment pas cher.
											Nous pensons pouvoir les produire en grande quantité pour 25 dollars,
											et à petite échelle pour 40 dollars.
											Et nous pensons que nous pouvons faire en sorte que la réfrigération
											soit accessible à tous.
									",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
","
","
",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
											Gracias
											(Aplausos)
									","
											Obrigado.
											(Aplausos)
									","
											Merci.
											(Applaudissements)
									",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
"
","
","
",A mobile fridge for vaccines,Adam Grosser,3:31,"Vaccines,design,food,global issues,invention,medicine,technology"
