en,fr,pt,title,speaker,duration,tags
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											Isn't it fascinating how the simple act
of drawing a line on the map
											can transform the way we see
and experience the world?
											And how those spaces
in between lines, borders,
											become places.
											They become places
where language and food and music
											and people of different cultures
rub up against each other
											in beautiful and sometimes violent
and occasionally really ridiculous ways.
											And those lines drawn on a map
											can actually create
scars in the landscape,
											and they can create scars in our memories.
									","
											N'est-il pas fascinant
comment le simple fait
											de tracer une ligne sur une carte
											peut transformer la façon
dont nous voyons et vivons le monde ?
											Et comment ces espaces
entre les lignes, les frontières,
											deviennent des lieux.
											Ils deviennent des lieux où la langue,
la nourriture, la musique
											et des gens de différentes cultures
se frottent les uns aux autres
											de façons magnifiques, parfois violentes
et occasionnellement vraiment ridicules.
											Ces lignes tracées sur une carte
											peuvent créer des cicatrices
sur le paysage
											et dans nos mémoires.
									","
											Não é fascinante como o simples ato
de desenhar uma linha no mapa
											pode transformar a forma como vemos
e conhecemos o mundo?
											E como os espaços
entre as linhas, as fronteiras,
											se transformam em lugares.
											Tornam-se em lugares onde
a língua, a comida e a música
											e as pessoas de diversas culturas
se misturam umas com as outras
											de formas magníficas, por vezes, violentas
e ocasionalmente muito ridículas.
											Essas linhas traçadas num mapa
											podem criar cicatrizes na paisagem
											e podem criar cicatrizes na nossa memória.
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											My interest in borders came about
											when I was searching
for an architecture of the borderlands.
											And I was working on several projects
along the US-Mexico border,
											designing buildings made out of mud
taken right from the ground.
											And I also work on projects that you
might say immigrated to this landscape.
											""Prada Marfa,"" a land-art sculpture
											that crosses the border
between art and architecture,
											and it demonstrated to me
that architecture could communicate ideas
											that are much more
politically and culturally complex,
											that architecture could be satirical
and serious at the same time
											and it could speak to the disparities
between wealth and poverty
											and what's local and what's foreign.
									","
											Mon intérêt pour les frontières est apparu
											alors que j'étais à la recherche
d'une architecture des zones frontalières.
											Je travaillais sur plusieurs projets
											le long de la frontière
américano-mexicaine,
											concevant des bâtiments faits de boue
prise à même le sol.
											Je travaille aussi sur des projets
qui ont immigré jusqu'à ce paysage.
											« Prada Marfa », une sculpture de land art
											qui franchit la frontière
entre l'art et l'architecture
											et cela m'a prouvé que l'architecture
pouvait communiquer des idées
											qui sont bien plus complexes
politiquement et culturellement,
											que l'architecture pouvait être
à la fois satirique et sérieuse
											et aborder les disparités
entre la richesse et la pauvreté,
											le local et l'étranger.
									","
											O meu interesse nas fronteiras apareceu
											quando eu andava a pesquisar
uma arquitetura das zonas fronteiriças.
											Eu estava a trabalhar em vários projetos
ao longo da fronteira EUA-México,
											a projetar edifícios feitos de lama
retirada diretamente do solo.
											Também trabalho em projetos que parecem
ter imigrado para esta paisagem.
											""Prada Marfa"", uma escultura de ""land-art""
											que cruza a fronteira
entre a arte e a arquitetura
											e me demonstrou que a arquitetura
pode comunicar ideias
											que são muito mais complexas
política e culturalmente,
											que a arquitetura pode ser satírica
e séria simultaneamente
											e pode falar para disparidades
entre a riqueza e a pobreza
											e o que é local e o que é estrangeiro.
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											And so in my search
for an architecture of the borderlands,
											I began to wonder,
											is the wall architecture?
											I began to document my thoughts
and visits to the wall
											by creating a series of souvenirs
											to remind us of the time
when we built a wall
											and what a crazy idea that was.
											I created border games,
									","
											Durant mes recherches
											pour une architecture
des zones frontalières,
											j'ai commencé à me demander :
											le mur relève-t-il de l'architecture ?
											J'ai commencé à documenter
mes idées et visites jusqu'au mur
											en créant une série de souvenirs
											pour nous rappeler l'époque
où nous avons bâti un mur
											et l'idée folle que c'était.
											J'ai créé des jeux sur la frontière,
									","
											Assim, na minha pesquisa
de uma arquitetura das zonas fronteiriças,
											comecei a pensar:
											O muro é arquitetura?
											Comecei a documentar
os meus pensamentos e as visitas ao muro
											criando uma série de recordações
											para nos lembrar do tempo
em que construímos um muro
											e que idiota era aquela ideia.
											Criei jogos da fronteira...
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											postcards,
											snow globes with little architectural
models inside of them,
											and maps that told the story
of resilience at the wall
											and sought for ways that design
could bring to light the problems
											that the border wall was creating.
									","
											des cartes postales,
											des boules à neige avec de petits
modèles architecturaux dedans
											et des cartes racontant l'histoire
de résilience sur le lieu du mur
											et j'ai cherché comment le design
pouvait mettre à jour les problèmes
											que le mur créait.
									","
											postais,
											globos de neve com pequenos modelos
arquiteturais lá dentro
											e mapas que contavam a história
da resistência ao muro
											e procurei formas em que o ""design""
pudesse esclarecer os problemas
											que o muro da fronteira estava a criar.
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											So, is the wall architecture?
											Well, it certainly is a design structure,
											and it's designed at a research
facility called FenceLab,
											where they would load vehicles
with 10,000 pounds
											and ram them into the wall
at 40 miles an hour
											to test the wall's impermeability.
											But there was also counter-research
going on on the other side,
											the design of portable drawbridges
											that you could bring right up to the wall
											and allow vehicles to drive right over.
									","
											Le mur relève-t-il de l'architecture ?
											C'est une structure relevant du design
											et elle est dessinée dans un centre
de recherche appelé FenceLab
											où ils chargent des véhicules
avec plus de 4 500 kilogrammes
											et les font percuter le mur à 60 km/h
											pour tester l'imperméabilité du mur.
											Mais il y a aussi une contre-recherche
qui a lieu de l'autre côté,
											la conception de ponts-levis portables
											que vous pourriez amener jusqu'au mur
											et qui permettraient aux véhicules
de passer par-dessus.
									","
											Então, o muro é arquitetura?
											Bom, claro que é uma estrutura projetada
											e é projetada numa instalação
de pesquisa chamada FenceLab,
											onde carregavam veículos
com cinco toneladas
											e os atiravam de encontro ao muro
a 60 km/hora
											para testar a resistência do muro.
											Mas também havia contra-pesquisa
do outro lado,
											o ""design"" de pontes levadiças portáteis
											que se podiam levar até ao muro
											e permitir que os veículos
passassem por cima.
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											And like with all research projects,
there are successes
											and there are failures.
									","
											Comme tout projet de recherche,
il connaît des réussites
											et il connaît des échecs.
									","
											Tal como todos os projetos de pesquisa
											há êxitos e há fracassos.
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											But it's these medieval
reactions to the wall —
											drawbridges, for example —
											that are because the wall itself is
an arcane, medieval form of architecture.
											It's an overly simplistic response
to a complex set of issues.
											And a number of medieval technologies
have sprung up along the wall:
											catapults that launch
bales of marijuana over the wall
									","
											Mais ces réactions médiévales au mur —
											les ponts-levis, par exemple —
											existent car le mur lui-même
est un arcane,
											une forme médiévale d'architecture.
											C'est une réponse excessivement simpliste
à un ensemble de problèmes complexes.
											Nombre de technologies médiévales
sont apparues le long du mur :
											des catapultes qui lancent
des balles de marijuana au-dessus du mur
									","
											Mas estas reações medievais ao muro
											— pontes levadiças, por exemplo —
											existem porque o muro é uma forma
de arquitetura arcaica e medieval.
											É uma resposta demasiado simplista
a um complexo conjunto de problemas.
											E uma série de tecnologias medievais
surgiram ao longo do muro:
											catapultas que lançam fardos
de marijuana por cima do muro
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											or cannons that shoot packets
of cocaine and heroin over the wall.
											Now during medieval times,
											diseased, dead bodies
											were sometimes catapulted over walls
as an early form of biological warfare,
											and it's speculated that today,
											humans are being propelled over the wall
as a form of immigration.
											A ridiculous idea.
											But the only person ever known to be
documented to have launched over the wall
											from Mexico to the United States
											was in fact a US citizen,
											who was given permission
to human-cannonball over the wall,
											200 feet,
											so long as he carried his passport in hand
									","
											ou des canons qui lancent des paquets
de cocaïne et d'héroïne au-dessus du mur.
											A l'époque médiévale,
											les corps malades, les corps sans vie,
											étaient parfois catapultés
au-dessus des murs
											en tant que forme primitive
de guerre biologique
											et on suppose qu'aujourd'hui,
											des humains sont propulsés
au-dessus du mur
											en tant que forme d'immigration.
											Une idée ridicule.
											Mais la seule personne recensée
pour s'être lancée au-dessus du mur
											pour aller du Mexique aux États-Unis
											était un citoyen américain
											qui avait eu la permission
											de faire le boulet de canon humain
au-dessus du mur,
											60 mètres,
											tant qu'il tenait son passeport à la main
									","
											ou canhões que disparam pacotes
de cocaína e heroína por cima do muro.
											Durante a época medieval,
											corpos doentes, cadáveres
											eram por vezes catapultados
por cima das muralhas
											como uma forma de guerra biológica,
											e especula-se que hoje
											estão a ser projetados seres humanos
por cima do muro
											como uma forma de imigração.
											Uma ideia ridícula.
											Mas a única pessoa
conhecida e documentada
											a ser projetada por cima do muro
											do México para os EUA
											foi, de facto, um cidadão norte-americano
											a quem deram autorização para ser lançado
como uma bala humana, por cima do muro,
											a 60 metros,
											desde que levasse na mão
o seu passaporte.
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
","
","
",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
"
											(Laughter)
									","
											(Rires)
									","
											(Risos)
									",An architect's subversive reimagining of the US-Mexico border wall,Ronald Rael,11:28,"immigration,politics,society,architecture,humanity,social change,art,community,United States"
