en,fr,tr,pt,title,speaker,duration,tags
"
","
","
","
",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
"
											A hostile artificial intelligence called 
NIM has taken over the world’s computers.
											You’re the only person skilled 
enough to shut it down,
											and you’ll only have one chance.
									","
											Une intelligence artificielle
hostile appelée NIM
											a pris le contrôle de tous
les ordinateurs du monde.
											Vous êtes la seule personne
capable de l'arrêter
											et vous n'avez qu'une seule chance.
									","
											NIM adında kötü niyetli bir yapay zekâ
dünyadaki bilgisayarları ele geçirdi.
											Kapatmak için gerekli 
yeteneklere sahip tek insan sensin
											ve sadece bir şansın var.
									","
											Uma inteligência artificial hostil,
chamada NIM
											assumiu o comando
dos computadores mundiais.
											És a única pessoa
com competência para a desligar
											e só tens uma hipótese.
									",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
"
","
","
","
",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
"
											You’ve broken into NIM’s secret lab,
											and now you’re floating in a raft on top 
of 25 stories of electrified water.
											You’ve rigged up a remote 
that can lower the water level
											by ejecting it from grates 
in the sides of the room.
											If you can lower the water level to 0,
											you can hit the manual override,
											shut NIM off,
											and save the day.
											However, the AI knows that you’re here,
and it can lower the water level, too,
											by sucking it through a trapdoor 
at the bottom of the lab.
											If NIM is the one to lower 
the water level to 0,
											you’ll be sucked out of the lab,
											resulting in a failed mission.
									","
											Vous vous êtes introduit
dans le labo secret de NIM
											et flottez dans un canot
au-dessus de 25 étages d'eau électrifiée.
											Vous avez trafiqué une télécommande
faisant baisser le niveau d'eau
											en l'éjectant via des grilles
sur les côtés de la pièce.
											Si vous faites descendre l'eau
jusqu'au niveau 0,
											vous pouvez activer le contrôle manuel,
											éteindre NIM
											et sauver le monde.
											Cependant, l'IA sait que vous êtes là
et peut aussi baisser le niveau d'eau
											en l'aspirant via une trappe
au fond du labo.
											Si c'est NIM qui fait baisser
l'eau jusqu'au niveau 0,
											vous serez aspiré et éjecté du labo,
											et ça sera l'échec de la mission.
									","
											NIM'in gizli laboratuvarına sızdın
											ve şimdi 25 katlı elektrikli bir
suyun üzerindeki saldasın.
											Su seviyesini, odanın yanlarındaki 
ızgaralardan dışarı boşaltarak
											azaltabilecek bir uzaktan kumanda buldun.
											Eğer su seviyesini sıfıra indirebilirsen
											etkisiz bırakma butonuna basabilir,
											NIM'i kapatabilir
											ve günü kurtarabilirsin.
											Ancak YZ da burada olduğunu
biliyor ve o da su seviyesini
											laboratuvarın dibindeki 
tuzak kapısıyla çekerek azaltabilir.
											Eğer NIM su seviyesini sıfıra getirirse
											laboratuvardan dışarı çekilip
											görevde başarısız olacaksın.
									","
											Conseguiste entrar
no laboratório secreto da NIM
											e agora flutuas numa balsa no topo
dos 25 pisos de água eletrificada.
											Dispões de um telecomando
que faz baixar o nível da água
											escoando-a pelas grelhas
dos lados da sala.
											Se conseguires baixar
totalmente o nível da água,
											podes manobrar o comando manual,
											desligar a NIM e salvar o mundo.
											Mas a IA sabe que tu estás ali
e também pode baixar o nível da água,
											aspirando-a por um alçapão
na base do laboratório.
											Se for a NIM a baixar
totalmente o nível da água,
											tu serás sugado para fora do laboratório
											e a tua missão será um fracasso.
									",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
"
","
","
","
",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
"
											Control over water drainage 
alternates between you and NIM,
											and neither can skip a turn.
											Each of you can lower the water level 
by exactly 1,
											3,
											or 4 stories at a time.
											Whoever gets the level
exactly to 0 on their turn
											will win this deadly duel.
											Note that neither of you can lower 
the water below 0;
											if the water level is at 2,
											then the only move is to lower 
the water level 1 story.
									","
											Le contrôle de l'évacuation d'eau
alterne entre vous et NIM
											et vous ne pouvez pas passer votre tour.
											Chacun d'entre vous peut baisser
le niveau d'eau d'exactement 1,
											3 ou 4 étages à la fois.
											Celui qui fait baisser le niveau
à exactement 0 pendant son tour
											gagnera ce duel meurtrier.
											Aucun d'entre vous ne peut baisser
le niveau d'eau sous 0 ;
											si le niveau d'eau est à 2,
											la seule possibilité est de baisser
le niveau d'eau d'un étage.
									","
											Su gideri kontrolleri hakimiyeti
sen ve NIM arasında değişiyor,
											ikinizde sıranızı atlayamazsınız.
											Her ikinizde su seviyesini tek seferde
											tam olarak 1, 3 ya da 4 kat
											azaltabilirsiniz.
											Sıra kendisindeyken 0. kata ilk ulaşan
											bu ölümcül karşılaşmayı kazanır.
											Şunu da unutmayın; 
ikinizde suyu 0'dan aşağı azaltamazsınız
											eğer su seviyesi 2. leveldeyse
											yapılabilecek tek hamle 
suyu 1 kat azaltmak olur.
									","
											O controlo do escoamento da água
alterna entre tu e a NIM
											e ninguém pode falhar a sua vez.
											Cada um de vocês pode baixar
o nível da água, em cada vez,
											em um, três, ou quatro pisos.
											Quem conseguir escoar
totalmente a água, na sua vez,
											ganhará este duelo mortal.
											Nenhum dos dois pode baixar
o nível da água abaixo de 0.
											Se o nível da água estiver em 2,
									",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
"
","
","
","
",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
"
											You know that NIM has already computed 
all possible outcomes of the contest,
											and will play in a way that maximizes 
its chance of success.
									","
											Vous savez que NIM a déjà calculé tous
les résultats possibles de cette joute
											et jouera afin de maximiser
ses chances de victoire.
									","
											NIM'in karşılaşmanın tüm muhtemel 
sonuçlarını çoktan hesapladığını
											ve başarı şansı en yüksek
olacak şekilde oynayacağını biliyorsun.
									","
											o único movimento permitido
é baixar o nível da água em 1 piso.
											Sabes que a NIM já calculou
todos os possíveis resultados do duelo
											e vai jogar de modo a maximizar
a sua probabilidade de êxito.
									",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
"
","
","
","
",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
"
											You go first.
											How can you survive 
and shut off the artificial intelligence?
											Pause here if you want 
to figure it out for yourself.
											Answer in: 3
											Answer in: 2
											Answer in: 1
									","
											Vous commencez.
											Comment pouvez-vous survivre
et arrêter l'intelligence artificielle ?
											Mettez en pause si vous voulez
trouver la solution seul.
											Réponse dans : 3
											Réponses dans : 2
											Réponse dans : 1
									","
											İlk sen başlıyorsun.
											Nasıl hayatta kalıp
yapay zekâyı kapatacaksın?
											Kendi başına çözmek istiyorsan
burada videoyu dondur.
											Saniye sonra cevap:3
											Saniye sonra cevap:2
											Saniye sonra cevap:1
									","
											És tu quem começa.
											Como podes sobreviver
e desligar a inteligência artificial?
											[Suspende aqui o vídeo, se quiseres
resolver sozinho.
											[Resposta em: 3
											[em 2
											[em 1
											Não podes deixar nada ao acaso.
											A NIM tirará todo o partido que puder
									",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
"
","
","
","
",Can you solve the rogue AI riddle?,Dan Finkel,4:22,"TED-Ed,math"
