en,fr,tr,de,title,speaker,duration,tags
"
","
","
","
","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
"
											Currently, most refugees
live in the cities
											rather than in the refugee camps.
											We represent over 60 percent
											of the number of refugees globally.
											With the majority of refugees
living in urban areas,
											there is a strong need
for a paradigm shift and new thinking.
											Rather than wasting money
on building walls,
											it would be better to spend on programs
											to help refugees to help themselves.
									","
											Aujourd'hui, la plupart des réfugiés
vivent dans les villes
											et non pas dans des camps de réfugiés.
											Nous représentons plus de 60%
											du nombre total de réfugiés dans le monde.
											Avec la majorité des réfugiés
vivant en milieu urbain,
											il est urgent de changer de paradigme
et de façon de penser.
											Plutôt que de gaspiller des budgets
pour construire des murs,
											il serait préférable de les dépenser
pour des programmes
											visant à aider les réfugiés
à s'aider eux-mêmes.
									","
											Şu anda çoğu mülteci, kamplardan çok
											şehirlerde yaşıyor.
											Küresel olarak mültecilerin sayısının
											%60'ından fazlasını temsil ediyoruz.
											Kentsel alanlarda yaşayan 
mültecilerin çoğunluğu ile
											paradigma kayması ve yeni düşüncelere 
güçlü bir ihtiyaç var.
											Duvarlar inşa etmek için 
para harcamak yerine
											mültecilere yardım edecek
											programlara para yatırmak daha iyi olurdu.
									","
											Derzeit leben die meisten Flüchtlinge
											in den Städten
											und nicht in den Flüchtlingslagern.
											Wir entsprechen über 60 Prozent
											der weltweiten Zahl an Flüchtlingen.
											Da die Mehrheit der Flüchtlinge
in städtischen Gebieten lebt,
											gibt es einen großen Bedarf
an Paradigmwechsel und neuen Denkweisen.
											Anstatt Geld für den Mauerbau
zu verschwenden, wäre es besser,
											es in Programme für Selbsthilfe
der Flüchtlinge zu investieren.
									","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
"
","
","
","
","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
"
											(Applause)
									","
											(Applaudissements)
									","
											(Alkışlar)
									","
											(Applaus)
									","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
"
","
","
","
","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
"
											We always have to leave behind
all our possessions.
											But not our skills and knowledge.
											If allowed to live a productive life,
											refugees can help themselves
											and contribute to the development
of their host country.
									","
											Nous devons toujours
abandonner tous nos biens,
											mais pas nos compétences ni notre savoir.
											Si on leur permet
de vivre une vie productive,
											les réfugiés peuvent devenir autonomes
											et contribuer au développement
de leur pays d'accueil.
									","
											Tüm mal varlığımızı 
geride bırakmak zorunda kalıyoruz.
											Ancak yeteneklerimiz ve bilgimizi değil.
											Verimli bir hayat sürülmesine
izin verilirse
											mülteciler kendilerine yardımcı olabilir
											ve ev sahibi ülkenin gelişmesine 
katkıda bulunabilirler.
									","
											Wir sollen immer
unsere Besitztümer zurücklassen,
											doch nicht unsere Kenntnisse.
											Wenn es ihnen erlaubt wird,
ein produktives Leben zu führen,
											können Flüchtlinge sich selbst helfen
											und zur Entwicklung
ihres Gastlandes beitragen.
									","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
"
","
","
","
","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
"
											I was born in the city called Bukavu,
											South Kivu,
											in the Democratic Republic of Congo.
											I am the fifth-born
in a family of 12 children.
											My father, a mechanic by profession,
											worked very hard to send me to school.
											Just like other young people,
											I had a lot of plans and dreams.
											I wanted to complete my studies,
											get a nice job,
											marry and have my own children
											and support my family.
											But this didn't happen.
											War in my homeland forced me
to flee to Uganda in 2008,
											nine years ago.
											My family joined
a steady exodus of refugees
											who settled in Uganda's capital, Kampala.
											In my country,
											I lived already in the city,
											and we felt Kampala was much better
than a refugee camp.
									","
											Je suis né dans une ville appelée Bukavu,
											dans le Sud-Kivu,
											en République démocratique du Congo.
											Je suis le cinquième enfant
d'une fratrie de 12.
											Mon père était mécanicien.
											Il a travaillé très dur
pour m'envoyer à l'école.
											Comme tous les autres jeunes,
											je nourrissais plein
de projets et de rêves.
											Je voulais terminer mes études,
											trouver un boulot sympa,
											me marier, avoir des enfants
											et nourrir ma famille.
											Mais ça ne s'est jamais fait.
											La guerre dans mon pays m'a obligé
à fuir en Ouganda, en 2008,
											il y a neuf ans.
											Ma famille a rejoint l'exode des réfugiés
											qui se sont établis dans la capitale
de l'Ouganda, Kampala.
											Dans mon pays,
											je vivais déjà en ville
											et nous pensions que Kampala
serait préférable à un camp de réfugiés.
									","
											Bukavu'da doğdum.
											Güney Kivu,
											Kongo Demokratik Cumhuriyeti'nde.
											12 çocuklu bir ailenin beşincisiyim.
											Tamirci olan babam
											beni okula göndermek için
çok sıkı çalışırdı.
											Diğer genç insanlar gibi
											pek çok hayalim ve planım vardı.
											Okulumu bitirmek,
											iyi bir işe girmek,
											evlenip çocuk sahibi olmak
											ve aileme destek olmak istedim.
											Ancak bunlar gerçekleşmedi.
											Vatanımdaki savaş beni 9 yıl önce 2008'de
											Uganda'ya kaçmaya zorladı.
											Ailem Uganda'nın başkenti olan
Kampala'ya yerleşmiş
											sürekli bir mülteci göçüne katıldı.
											Ülkemde,
											şehirde yaşıyorduk
											ve Kampala'nın bir mülteci kampından 
daha iyi olduğunu hissettik.
									","
											Ich bin in der Stadt Bukavu geboren,
											South Kivu,
											in der Demokratischen Republik Kongo.
											Ich bin der Fünftgeborene
in einer Familie mit 12 Kindern.
											Mein Vater, Mechaniker von Beruf,
											arbeitete sehr hart,
um mich in die Schule zu schicken.
											Genau wie andere Jugendliche
											hatte auch ich viele Pläne und Träume.
											Ich wollte mein Studium abschließen,
											einen schönen Job bekommen,
											dann heiraten und eigene Kinder haben
											und meine Familie ernähren.
											Aber das geschah nicht.
											Der Krieg in meiner Heimat zwang mich,
2008 nach Uganda zu fliehen,
											d.h. vor neuen Jahren.
											Meine Familie schloss sich einem
anhaltenden Flüchtlings-Exodus an,
											die sich in Ugandas Haupstadt,
Kampala, ansiedelten.
											In meinem Land
											wohnte ich schon in der Stadt,
											und wir fanden Kampala viel besser
als ein Flüchtlingslager.
									","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
"
","
","
","
","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
"
											Refugees in the cities
											have always been denied
international assistance,
											even after their recognition
by UNHCR in 1997.
											In addition to the poverty problem
we were confronted with
											as the local urban poor,
											we were facing challenges
due to our refugee status,
											such as a language barrier.
											In Congo, the official language is French.
											But in Uganda, it is English.
											We didn't have access
to education and health.
											We were exposed to harassment,
											exploitation, intimidation
and discrimination.
											Humanitarian organizations mostly focused
											on the formal settlement in rural areas,
											and there was nothing in place for us.
											But we didn't want handouts.
											We wanted to work and support ourselves.
									","
											Dans les villes, les réfugiés ne peuvent
pas recevoir d'aide internationale,
											même après leur reconnaissance
par le HCR en 1997.
											En plus des problèmes de pauvreté
qui nous affligeaient
											en tant que pauvres en milieu urbain,
											nous étions confrontés à des difficultés
liées à notre statut de réfugiés,
											la barrière linguistique, notamment.
											Au Congo, la langue officielle
est le français.
											Mais en Ouganda, c'est l'anglais.
											Nous n'avions pas accès
à l'éducation, ni aux soins de santé.
											Nous subissions harcèlements,
											exploitation, intimidation
et discrimination.
											Les organisations humanitaires
se concentrent principalement
											dans les camps officiels
des zones urbaines.
											Rien n'était donc prévu pour nous.
											Nous ne voulions pas la charité.
											Nous voulions travailler
pour devenir autonome.
									","
											Şehirdeki mülteciler
											1997 yılında BMMYK tarafından
fark edilmelerinden bile sonra
											uluslararası yardımı reddettiler.
											Yoksulluk problemlerinin yanı sıra,
yerel kent yoksulluğuyla
											ve dil engelleri gibi
											mülteci statümüzden dolayı 
ortaya çıkan zorluklarla
											karşı karşıya kalıyorduk.
											Kongo'nun resmi dili Fransızca.
											Uganda'nın ise İngilizce.
											Eğitim ve sağlık hizmetlerine 
erişemiyorduk.
											Taciz, sömürme, tehdit ve ayrımcılığa
											maruz kalıyorduk.
											Yardım kuruluşları çoğunlukla 
kırsal alanlardaki
											resmi yerleşime odaklanıyordu
											ve bizim için yapılacak hiçbir şey yoktu.
											Ama biz sadaka istemedik.
											Çalışmak ve kendimizi desteklek istedik.
									","
											Den Flüchtlingen in den Städten
											wurde internationale Hilfe immer versagt,
											selbst nach ihrer Anerkennung
vom UNHCR im Jahr 1997.
											Zusätzlich zum Armutsproblem,
mit dem wir als lokale städtische Arme
											zu tun hatten,
											standen wir wegen unseres Flüchtlingstatus
											vor Herausforderungen
wie der Sprachbarriere.
											In Kongo ist die Amtsssprache Französisch.
											In Uganda ist sie hingegen Englisch.
											Wir hatten keinen Zugang
zu Bildung und Gesundheit.
											Wir waren Belästigung,
											Ausnutzung, Einschüchterung
und Diskriminierung ausgesetzt.
											Hilfsorganisationen
konzentrierten sich meist
											auf die formelle Siedlung auf dem Lande,
											deshalb gab es nichts für uns.
											Aber wir wollten keine Almosen.
											Wir wollten arbeiten
und uns selber tragen.
									","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
"
","
","
","
","Refugees want empowerment, not handouts",Robert Hakiza,6:45,"TED Fellows,refugees,Africa,global issues,community,humanity,identity,social change,personal growth,society"
