en,pt,es,fr,title,speaker,duration,tags
"
","
","
","
",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
											So, I teach college students
about inequality and race in education,
											and I like to leave my office open
to any of my students
											who might just want to see me to chat.
											And a few semesters ago,
											one of my more cheerful
students, Mahari,
											actually came to see me
											and mentioned that he was feeling
a bit like an outcast because he's black.
											He had just transferred to NYU
from a community college
											on a merit scholarship,
											and turns out,
											only about five percent
of students at NYU are black.
											And so I started to remember
											that I know that feeling
of being an outsider
											in your own community.
											It's partially what drew me to my work.
									","
											Ensino estudantes universitários
sobre a desigualdade e etnia no ensino,
											e gosto de ter a porta aberta
a todos os meus alunos
											que podem querer conversar comigo.
											Alguns semestres atrás,
											um dos meus alunos mais otimistas, Mahari,
											veio falar comigo
											porque estava a sentir-se
posto de parte por ser negro.
											Tinha sido transferido para a NYU
de uma faculdade comunitária
											com uma bolsa de mérito,
											e acontece que,
											apenas 5% dos alunos
na NYU são negros.
											Comecei então a lembrar-me
											que eu conheço esse sentimento
de ser um intruso
											na nossa comunidade.
											Em parte, foi isso que me levou
a fazer o que faço.
									","
											Enseño a estudiantes universitarios 
desigualdad y raza en la educación,
											y me gusta dejar mi oficina abierta 
para cualquiera de mis estudiantes
											que tal vez solo 
quieran verme para charlar.
											Y hace unos pocos semestres,
											uno de mis estudiantes 
más alegres, Mahari,
											en realidad vino a verme
											para decirme que se sentía 
un poco como un paria por ser negro.
											Acababa de trasladarse a NYU 
desde una universidad comunitaria
											en una beca por méritos,
											y resulta que
											solo el 5 % de los estudiantes 
de NYU son negros.
											Y entonces comencé a recordar
											que conozco esa sensación 
de ser un extraño
											en tu propia comunidad.
											Es en parte lo que me atrajo a mi trabajo.
									","
											J'enseigne à l'université au sujet
de l'inégalité et la race dans l'éducation
											et j'aime garder mon bureau ouvert
pour que tout étudiant
											qui veut me voir et discuter.
											Il y a quelques semestres,
											un de mes étudiants
les plus souriants, Mahari,
											est venu me voir
											et a dit qu'il se sentait un peu
comme un paria car il était noir.
											Issu d'une université publique,
il était à l'université de New York
											grâce à une bourse au mérite
											et il s'avère
											qu'environ 5% des étudiants
de l'université de New York sont noirs.
											Je me suis souvenu
											que j'avais connu ce sentiment
d'être un paria
											dans ma propre communauté.
											C'est ce qui m'a attiré dans mon travail.
									",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
","
","
","
",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
											At my university,
											I'm one of the few
faculty members of color,
											and growing up, I experienced
my family's social mobility,
											moving out of apartments
into a nice house,
											but in an overwhelmingly
white neighborhood.
											I was 12,
											and kids would say that were surprised
that I didn't smell like curry.
									","
											Na minha universidade,
											sou dos poucos professores de cor.
											Enquanto crescia, passei pela
mobilidade social da minha família,
											passando de um apartamento
para uma bela casa,
											mas num bairro
predominantemente branco.
											Eu tinha 12 anos
											e as crianças ficavam surpreendidas
por eu não cheirar a caril.
									","
											En mi universidad
											soy uno de los pocos miembros negros
de la facultad,
											y al crecer, experimenté 
la movilidad social de mi familia,
											mudándonos de apartamentos 
a una bonita casa,
											pero a un vecindario 
abrumadoramente blanco.
											Tenía 12 años
											y los niños decían estar sorprendidos 
de que no oliera a curry.
									","
											A l'université,
											je suis l'un des rares
membres de couleur de la faculté
											et, en grandissant, j'ai vécu
la mobilité sociale de ma famille,
											quittant des appartements
pour s'installer dans une belle maison
											mais dans un quartier
extraordinairement blanc.
											J'avais 12 ans
											et les enfants se disaient surpris
que je ne sente pas le curry.
									",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
","
","
","
",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
","
","
","
",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
											That's because school is in the morning,
											and I had Eggo waffles for breakfast.
									","
											Isso era porque a escola era de manhã,
											e comia waffles Eggo
ao pequeno-almoço.
									","
											Eso es porque la escuela 
es por la mañana,
											y comía cereales para el desayuno.
									","
											C'est parce que l'école démarre le matin
											et que je mangeais
des gaufres au petit-déjeuner.
									",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
","
","
","
",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
											(Laughter)
									","
											(Risos)
									","
											(Risas)
									","
											(Rires)
									",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
","
","
","
",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
											Curry is for dinner.
									","
											O caril é ao jantar.
									","
											El curry es para la cena.
									","
											Le curry, c'est au dîner.
									",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
"
","
","
","
",The boost students need to overcome obstacles,Anindya Kundu,7:05,"TED Residency,education,personal growth,sociology,success,teaching"
