pt,tr,de,title,speaker,duration,tags
"
","
","
",What we learn from insects' sex lives,Marlene Zuk,11:58,"biology,insects,science,sex,gender,animals,biodiversity,humor"
"
											As pessoas têm mais medo dos insetos
do que de morrer.
											(Risos)
											Pelo menos é o que diz o ""Book of Lists"",
um inquérito de 1973
											que precedeu todas essas listas online,
											melhores, piores, mais divertidas,
que vemos hoje.
											Só o medo das alturas
e de falar em público
											ultrapassou o medo
dos bichos de seis pernas.
											E desconfio que, 
se tivessem lá posto as aranhas,
											a combinação de insetos e aranhas
teria atingido o primeiro lugar.
											Eu não sou uma dessas pessoas.
											Eu adoro insetos.
											Acho que são interessantes e belos
											e, por vezes, até são amorosos.
											(Risos)
											E não estou sozinha.
											Durante séculos, 
alguns dos maiores cérebros da ciência,
											desde Charles Darwin a E.O. Wilson,
											foram buscar inspiração
											ao estudo de alguns 
dos mais pequenos cérebros da Terra.
											Então, porque é que isto acontece?
											O que é que nos afasta dos insetos?
											Uma das coisas, certamente,
é a imensa quantidade
											de todas as coisas relacionadas com eles.
											São mais numerosos do que
qualquer outro tipo de animais.
											Nem sequer sabemos
quantas espécies de insetos há
											porque estão sempre
a descobrir-se novos.
											Há, pelo menos, um milhão,
talvez mesmo uns 10 milhões.
											Isso significa que podíamos ter 
um calendário com um inseto por mês,
											e não seria preciso reutilizar uma espécie
durante 80 000 anos.
											(Risos)
											É para que saibam, pandas e gatinhos!
											(Risos)
									","
											Pekâlâ, insanlar ölmekten çok,
böceklerden korkar.
											(Gülüşmeler)
											En azından, bugünkü İnternet'te gördüğünüz
en iyi, en kötü, en komik listelerinden
											önce çıkan, 1973 tarihli ""Book of Lists"" 
(Liste Kitabı) araştırmasına göre.
											Korku kaynağı olarak, sadece yükseklik ve

											topluluk önünde konuşma
bu altı ayaklıları geçebildi.
											Ve bana soracak olursanız
örümcekleri de dâhil ederseniz,
											böcek ve örümcek kombinasyonu
tablonun tepesine otururdu.
											Ben bu tür insanlardan değilim.
											Böcekleri gerçekten seviyorum.
											Bence çok ilginç ve güzeller
											hatta bazen şirinler bile.
											(Gülüşmeler)
											Ve yalnız değilim.
											Yüzyıllardır, Charles Darwin'den
E.O. Wilson'a
											kadar bilimdeki bazı dehalar,
											dünyadaki bu en küçük zihinlerle 
çalışarak ilham almışlar.
											Peki, neden böyle?
											Bizi böceklere geri getirip duran şey ne?
											Tabii ki bazıları için onlar hakkında
neredeyse her şeyin büyüklüğü.
											Diğer bütün hayvan türlerinden
sayıca fazlalar.
											Hâlen kaç tane böcek türü 
olduğunu bilmiyoruz,
											çünkü sürekli yenileri keşfediliyor.
											En az bir milyon belki de
10 milyon kadarlar.
											Bunun anlamı, eğer ayın böceği
takvimimiz olsaydı,
											aynı türe gelmemiz
80.000 yıldan fazla sürerdi.
											(Gülüşmeler)
											Alın bakalım pandalar ve kedicikler!
											(Gülüşmeler)
									","
											Die Menschen haben mehr Angst
vor Insekten als vor dem Sterben.
											(Gelächter)
											Das besagt eine Umfrage aus 
dem Jahr 1973 für das „Buch der Listen“,
											ein Vorgänger der vielen 
aktuellen Online-Listen
											über die besten, schlimmsten 
und lustigsten Dinge.
											Nur große Höhen und 
das Sprechen vor Publikum
											übertrafen die Sechsbeiner
als Auslöser von Angst.
											Hätte man auch nach Spinnen gefragt,
											dann hätte die Kombination 
aus Insekten und Spinnen
											die Liste wohl ganz vorne angeführt.
											Ich gehöre nicht zu diesen Menschen.
											Ich liebe Insekten wirklich.
											Ich finde, sie sind interessant und schön,
											und manchmal sogar süß.
											(Gelächter)
											Damit bin ich nicht alleine.
											Seit Jahrhunderten haben 
die größten Geister der Wissenschaft,
											von Charles Darwin zu E. O. Wilson,
											sich durch das Studium einer der kleinsten
Lebewesen der Welt inspirieren lassen.
											Warum ist das so?
											Was führt uns immer wieder 
zu den Insekten zurück?
											Zum einen ist es die schiere Größenordnung
ihrer einzelnen Aspekte.
											Sie sind zahlreicher als 
jede andere Tiergattung.
											Wir wissen nicht einmal, 
wie viele Insektenarten es gibt,
											denn es werden ständig neue entdeckt.
											Es gibt mindestens eine Million,
vielleicht sogar 10 Millionen.
											Das bedeutet, man müsste bei
einem Insekt-des-Monats-Kalender
											80 000 Jahre lang keine Art
zwei Mal verwenden.
											(Gelächter)
											Da habt ihr es, ihr Pandas und Kätzchen!
											(Gelächter)
									",What we learn from insects' sex lives,Marlene Zuk,11:58,"biology,insects,science,sex,gender,animals,biodiversity,humor"
"
","
","
",What we learn from insects' sex lives,Marlene Zuk,11:58,"biology,insects,science,sex,gender,animals,biodiversity,humor"
"
											Agora a sério, os insetos são essenciais.
									","
											Daha ciddi olursak,
böcekler çok önemliler.
									","
											Zurück zum Ernst der Sache —
Insekten sind unentbehrlich.
									",What we learn from insects' sex lives,Marlene Zuk,11:58,"biology,insects,science,sex,gender,animals,biodiversity,humor"
"
","
","
",What we learn from insects' sex lives,Marlene Zuk,11:58,"biology,insects,science,sex,gender,animals,biodiversity,humor"
"
											Precisamos deles.
											Calcula-se que uma 
em cada três dentadas de comida
											é possibilitada por um polinizador.
											Os cientistas usam os insetos
para fazer descobertas fundamentais
											sobre tudo, desde a estrutura
do nosso sistema nervoso
											ao modo como funcionam
os nossos genes e o ADN.
											Mas aquilo de que mais gosto nos insetos
											é o que eles nos podem dizer
sobre o nosso comportamento.
											Parece que os insetos fazem tudo
o que as pessoas fazem.
											Encontram-se, acasalam,
lutam, zangam-se.
											E fazem essas coisas com o que parece ser
amor ou animosidade.
											Mas o que motiva o seu comportamento 
é diferente do que o que motiva o nosso.
											Essa diferença pode ser
muito esclarecedora.
											Não há nada em que isso seja mais verdade
											do que quando se trata de um dos 
nossos interesses mais ardentes — o sexo.
									","
											Onlara ihtiyacımız var.
											Tahmini olarak yediğimiz
gıdaların 3'te 1'i
											tozlayıcılar sayesinde üretilebiliyor.
											Bilim insanları sinir sistemimizin
yapısından, genlerimizin
											ve DNA'mızın nasıl çalıştığına
kadar temel keşifleri
											yapmak için böcekleri kullanıyor.
											Ama benim böcekler
hakkında en sevdiğim
											ise kendi davranışlarımız
hakkında bize anlatabildikleri.
											Böcekler insanların yaptığı
her şeyi yapıyormuş gibi görünüyor.
											Tanışıyorlar, eş buluyorlar,
kavga ediyorlar, ayrılıyorlar.
											Ve bu yaptıkları sevgiden ya da
düşmanlıktanmış gibi görünüyor.
											Ancak davranışlarını gerçekten
neyin yönlendirdiği bizimkinden farklı
											ve bu fark gerçekten 
aydınlatıcı olabiliyor.
											En düşkün olduğumuz güdümüze
											gelince, bunun daha gerçek
olduğu başka yer yok — seks.
									","
											Wir brauchen sie.
											Einer Schätzung zufolge 
ist jeder dritte Bissen Nahrung
											durch einen Bestäuber entstanden.
											Wissenschaftler machen mit Insekten
fundamentale Entdeckungen
											über alles Mögliche, von
der Struktur unseres Nervensystems
											bis zur Funktionsweise 
unserer Gene und DNA.
											Am meisten liebe ich aber an Insekten,

											dass sie uns viel über 
unser eigenen Verhalten sagen.
											Insekten machen scheinbar 
das Gleiche wie Menschen.
											Sie treffen sich, sie paaren sich,
sie streiten sich, sie trennen sich.
											Und dem Anschein nach
gibt es dabei Liebe oder Feindschaft.
											Ihr Verhalten wird aber völlig anders 
gesteuert als unseres
											und dieser Unterschied 
kann sehr aufschlussreich sein.
											Das trifft besonders auf etwas zu,
											das für uns höchst interessant ist – Sex.
									",What we learn from insects' sex lives,Marlene Zuk,11:58,"biology,insects,science,sex,gender,animals,biodiversity,humor"
"
","
","
",What we learn from insects' sex lives,Marlene Zuk,11:58,"biology,insects,science,sex,gender,animals,biodiversity,humor"
"
											Eu afirmo, e penso que consigo defender,
									","
											Şimdi kanıtlayacağım ve bence bu,
									","
											Ich mache jetzt eine scheinbar 
überraschende Aussage
									",What we learn from insects' sex lives,Marlene Zuk,11:58,"biology,insects,science,sex,gender,animals,biodiversity,humor"
"
","
","
",What we learn from insects' sex lives,Marlene Zuk,11:58,"biology,insects,science,sex,gender,animals,biodiversity,humor"
"
											o que pode parecer
uma afirmação surpreendente.
											Penso que o sexo dos insetos
											é mais interessante
do que o sexo das pessoas.
											(Risos)
											A enorme variedade que observamos
											faz-nos pôr em causa 
alguns dos nossos pressupostos
											sobre o que significa ser macho ou fêmea.
											Claro que, para começar,
											há muitos insetos que não precisam
de sexo nenhum para se reproduzirem.
											As fêmeas dos afídios conseguem fazer
pequeninos clones sem acasalarem.
											Mães virgens, é o que é,
											ali mesmo nos nossos arbustos.
											(Risos)
											Quando têm sexo,
											até o esperma é mais interessante
do que o esperma humano.
											Há certos tipos de moscas da fruta
											cujo esperma é mais comprido
do que o corpo do macho.
											Isso é importante porque os machos
usam o esperma como competição.
											Os insetos machos competem com armas,
como os cornos destes escaravelhos.
											Mas também competem com o esperma,
depois de acasalarem.
											As libelinhas e os zigópteros têm pénis
que parecem canivetes suíços
											com todos os acessórios puxados para fora.
											(Risos)
											Usam estes aparelhos formidáveis
como colheres
											para remover o esperma dos machos
com quem a fêmea acasalou anteriormente.
											(Risos)
											O que é que aprendemos com isto?
											(Risos)
											Ok, não é uma lição no sentido
de os imitarmos
											ou de eles estarem a dar um exemplo
para nós seguirmos.
											O que, pensando bem, 
talvez não fosse mau de todo.
											Já referi que a canibalização sexual 
é enorme entre os insetos?
											Não, a ideia não é essa.
											O que eu penso é que os insetos
quebram uma série de regras
											que os seres humanos têm 
sobre o papel dos sexos.
											As pessoas têm a ideia de que a Natureza
											dita uma espécie de versão
das séries da TV dos anos 50
											sobre como são os machos e as fêmeas.
											Os machos são sempre 
dominantes e agressivos
											e as fêmeas são passivas e tímidas.
									","
											şaşırtıcı görünen sözü savunabilirim.
											Bence böceklerin cinselliği
insanlarınkinden daha ilginç.
											(Gülüşmeler)
											Ve gördüğümüz bu vahşi türün, 
erkek ve kadın
											olmanın anlamı hakkındaki bazı
											varsayımlarımızı hiçe saydığını görüyoruz.
											Tabii ki de, ilk olarak, çoğu böcek
											üreyebilmek için
seks yapmaya ihtiyaç duymuyor.
											Dişi fidanbitleri çiftleşmeden, kendi
kendine ufak, minik kopyalar yapabiliyor.
											İşte size bakireden doğma.
											Gül çalılıklarınızda.
											(Gülüşmeler)
											Seks yaptıklarında,
											spermleri bile insan sperminden 
çok daha ilginç.
											Erkeğinin kendi vücudundan daha uzun
											spermi olan bazı tür meyve sinekleri var.
											Bu önemli, çünkü erkekler spermlerini 
rekabet için kullanırlar.
											Erkek böcekler, bu kınkanatlı boynuzları 
gibi silahlarıyla rekabet ediyor.
											Ancak çiftleşmeden sonra da
spermleriyle de rekabet ediyorlar.
											Yusufçuklar ve kızböcekleri tüm bölmeleri
açılmış bir çeşit İsviçre çakısına
											benzeyen penislere sahipler.
											(Gülüşmeler)
											Kepçeye benzeyen bu korkunç aygıtları
dişinin çiftleştiği
											önceki erkeğin spermlerini
çıkarmak için kullanıyorlar.
											(Gülüşmeler)
											Peki bundan ne öğrenebiliriz?
											(Gülüşmeler)
											Pekâlâ, bu onları
taklit ettiğimiz ya da örnek alıp
											peşinden gitmeyi
öğrendiğimiz bir ders değil.
											Bu verdiğimiz örnekte dâhil.
											Bunun yanında böcekler arasında 

											seksüel yamyamlığın 
yaygınlığına değinmiş miydim?
											Yani hayır, konu bu değil.
											Ancak benim düşüncem, böcekler,
											insanların sahip olduğu cinsel roller 
hakkındaki birçok kuralı yıkıyor.
											İnsanlar şu fikre sahip, doğa kadın ve
erkeği 1950 yılındaki sitcom'larda
											olduğu gibi tanımlıyor.
											Her zaman erkekler baskın ve agresif,
											kadınlar pasif ve cilveli.
									","
											und kann sie ziemlich sicher
auch beweisen.
											Ich finde, Sex ist bei Insekten 
interessanter als bei Menschen.
											(Gelächter)
											Die riesige Vielfalt dabei
											fordert unsere eigenen Vorstellungen
											über Männlichkeit und Weiblichkeit heraus.
											Zunächst etwas Offensichtliches:
											Viele Insekten brauchen 
zur Vermehrung gar keinen Sex.
											Weibliche Blattläuse können ohne Paarung 
winzige Klone von sich selbst machen.
											Ein Fall jungfräulicher Geburt.
											Auf Ihren Rosenbüschen.
											(Gelächter)
											Wenn sie doch mal Sex haben,
											dann ist sogar ihr Sperma interessanter
als menschliches Sperma.
											Es gibt Arten von Fruchtfliegen,
											deren Sperma länger ist
als der Körper des Männchens.
											Das ist wichtig, denn Männchen
behaupten sich durch ihr Sperma.
											Männliche Insekten 
bekämpfen sich zwar mit Waffen,
											wie die Hörner bei diesen Käfern,
											aber auch mit ihrem Sperma
nach der Paarung.
											Die Penisse der männlichen 
Klein- und Großlibellen
											sehen wie Schweizer Messer aus,
bei denen alle Teile ausgeklappt sind.
											(Gelächter)
											Sie benutzen diese imposanten
Gerätschaften wie Schöpfkellen,
											um das Sperma anderer Männchen
aus vorherigen Paarungen zu entfernen.
											(Gelächter)
											Was können wir also daraus lernen?
											(Gelächter)
											Das heißt jetzt nicht, 
dass wir es ihnen nachmachen sollten
											oder sie uns ein Beispiel geben,
dem wir folgen sollten.
											Angesichts dieser Tatsachen
ist es wohl auch besser so.
											Sagte ich bereits, dass sexueller
Kannibalismus bei Insekten verbreitet ist?
											Nein, darauf will ich nicht hinaus.
											Ich denke, dass Insekten
viele der Regeln brechen,
											die wir Menschen für 
Geschlechterrollen haben.
											Es gibt da eine Vorstellung,
											dass die Natur eine Art 
50er-Jahre-Sitcom-Version
											über männliche und 
weibliche Rollen vorgibt,
											bei der Männchen immer
dominant und aggressiv sind
											und Weibchen passiv und schüchtern.
									",What we learn from insects' sex lives,Marlene Zuk,11:58,"biology,insects,science,sex,gender,animals,biodiversity,humor"
