en,es,tr,fr,title,speaker,duration,tags
"
","
","
","
",How urban spaces can preserve history and build community,Walter Hood,14:14,"design,architecture,beauty,history,community,public spaces,society,identity,social change"
"
											How can landscapes imbue memory?
											When we think about
this notion ""e pluribus unum"" —
											""out of many, one,""
											it's a pretty strange concept, right?
											I mean, with all different races
and cultures of people,
											how do you boil it down to one thing?
											I want to share with you today
this idea of ""e pluribus unum""
											and how our landscape might imbue
those memories of diverse perspectives,
											as well as force us to stop
trying to narrow things down
											to a single, clean set of identities.
									","
											¿Cómo pueden los paisajes
impregnar la memoria?
											Cuando pensamos en esta noción 
de ""e pluribus unum"",
											""de muchos, uno"",
											¿es un concepto muy extraño, cierto?
											Con tantas etnias y culturas,
											¿cómo reducir todo a una cosa?
											Quiero compartir hoy con Uds.
esta idea de ""e pluribus unum""
											y cómo nuestros paisajes pueden impregnar 
recuerdos de diversas perspectivas
											y obligarnos a dejar de reducir las cosas
											a una serie única y bien definida 
de identidades.
									","
											Açık alanlar anıları
nasıl canlandırabilir?
											""Çokluktan birliğe"" anlamına gelen
											Latince ""e pluribus unum""
kavramını düşündüğümüzde —
											biraz değişik bir konsept değil mi?
											Yanı bu kadar farklı ırk
ve kültürden insan varken
											bunları nasıl tek bir şeye
indirgeyebilirsiniz?
											Bugün sizinle ""e pluribus unum"" fikrini,
											açık alanlarımızın nasıl çeşitli yönlerden
anılarımızı canlandırabileceğini,
											ve bunun yanısıra, tüm bu çeşitliliği
											tek bir kimliğe indirgemekten bizi
vazgeçirebileceğini paylaşmak istiyorum.
									","
											Comment les paysages
imprègnent-ils notre mémoire ?
											Le concept de « e pluribus unum »,
											un seul à partir de plusieurs,
											il est plutôt étrange, non ?
											Avec tous ces gens d'origine
et de culture différentes,
											comment réduire ça à un concept unique ?
											Je veux partager cette idée de
« e pluribus unum  » avec vous aujourd'hui
											et la façon dont les paysages imprègnent
notre mémoire de ces perspectives diverses
											et nous obligent à cesser d'essayer
de réduire les choses
											à un ensemble d'identités
uniques et bien définies.
									",How urban spaces can preserve history and build community,Walter Hood,14:14,"design,architecture,beauty,history,community,public spaces,society,identity,social change"
"
","
","
","
",How urban spaces can preserve history and build community,Walter Hood,14:14,"design,architecture,beauty,history,community,public spaces,society,identity,social change"
"
											As an educator, designer,
											I'd like to share with you
five simple concepts
											that I've developed through my work.
											And I'd like to share
with you five projects
											where we can begin to see
how the memory around us,
											where things have happened,
											can actually force us to look
at one another in a different way.
											And lastly: this is not just
an American motto anymore.
											I think e pluribus unum is global.
											We're in this thing together.
									","
											Como educador y diseñador
											me gustaría compartir con Uds.
cinco simples conceptos
											que he desarrollado a través 
de mi trabajo.
											Me gustaría compartir con Uds.
cinco proyectos
											donde puedan empezar a ver cómo 
los recuerdos a nuestro alrededor
											donde han ocurrido las cosas,
											pueden de hecho obligarnos a ver 
a los demás de un modo diferente.
											En fin, esto ya no es solo 
un lema estadounidense.
											Creo que ""e pluribus unum"" es global.
											Estamos juntos en esto.
									","
											Bir eğitimci ve tasarımcı olarak
											çalışmalarımla geliştirdiğim
beş basit kavramı
											sizinle paylaşmak istiyorum.
											Ayrıca sizinle beş farklı
proje paylaşacağım;
											anıların nasıl etrafımızda olduğunu
görmeye başladığımız,
											bu şeylerin nerede yaşandığını
											ve bizi başka bir açıdan
bakmaya nasıl iteceğini.
											Bir de son olarak bu artık
bir Amerikan ilkesi değil.
											Bence ''e pluribus unum'' evrensel.
											Bu işte birlikteyiz.
									","
											En tant qu'enseignant et designer,
											j'aimerais partager avec vous
cinq concepts simples
											que j'ai développés par mon travail.
											J'aimerais partager avec vous cinq projets
											qui nous montrent
comment les souvenirs qui nous entourent,
											les endroits
où se sont déroulées des choses,
											peuvent nous obliger à considérer
l'autre avec un regard différent.
											Et pour finir : il ne s'agit plus
seulement d'un leitmotiv américain.
											E pluribus unum
a une portée internationale.
											On est tous dans le même bateau.
									",How urban spaces can preserve history and build community,Walter Hood,14:14,"design,architecture,beauty,history,community,public spaces,society,identity,social change"
"
","
","
","
",How urban spaces can preserve history and build community,Walter Hood,14:14,"design,architecture,beauty,history,community,public spaces,society,identity,social change"
"
											First, great things happen
when we exist in each other's world —
											like today, right?
											The world of community gardens —
											most of you have probably
seen a community garden.
											They're all about subsistence
and food. Right?
											I'll tell you a little story,
											what happened in New York
more than a decade ago.
											They tried to sell
all of their community gardens,
											and Bette Midler developed a nonprofit,
the New York Restoration Project.
											They literally brought all the gardens
											and decided to save them.
											And then they had another novel idea:
											let's bring in world-class designers
											and let them go out into communities
and make these beautiful gardens,
											and maybe they might not
just be about food.
											And so they called me,
											and I designed one in Jamaica, Queens.
											And on the way to designing this garden,
											I went to the New York
Restoration Project Office,
											and I noticed a familiar name
on the door downstairs.
											I go upstairs, and I said,
											""Do you guys know who is downstairs?""
											And they said, ""Gunit.""
											And I said, ""Gunit?
											You mean G-Unit?
											Curtis '50 Cent' Jackson?""
									","
											Suceden cosas maravillosas cuando
existimos en el mundo de los demás,
											como hoy, ¿no?
											El mundo de jardines comunitarios
											—quizá muchos de Uds. habrán visto uno—
											tiene que ver con la subsistencia 
y la comida, ¿no?
											Les contaré una historia
											ocurrida en Nueva York 
hace más de una década.
											Trataron de vender todos 
los jardines comunitarios,
											y Bette Midler creó una ONG,
el proyecto New York Restoration.
											Literalmente compraron todos los jardines
											y decidieron salvarlos.
											Y tuvieron otra idea novedosa:
											traer a diseñadores internacionales
											y dejarlos entrar en las comunidades
y hacer estos jardines hermosos.
											Tal vez podrían no tratarse 
solo de comida.
											Así que ellos me llamaron,
											y diseñé uno en Jamaica, Queens.
											Y mientras hacía el jardín,
											fui a la oficina del proyecto 
New York Restoration,
											y vi una cara familiar
en la puerta de abajo.
											Subí y dije:
											""¿Saben quién está abajo?""
											Y ellos dijeron: ""Gunit"".
											Y respondí: ""¿Gunit?
											¿Dicen G-Unit?
											¿Curtis ""50 Cent"" Jackson?""
									","
											Öncelikle, birbirimizin dünyasında
yer aldığımızda harika şeyler oluyor —
											bugün olduğu gibi, değil mi?
											Halk bahçelerini düşünün —
											muhtemelen pek çoğunuz
bir halk bahçesi görmüştür.
											Tek amaçları geçim derdi
ve yiyecek, değil mi?
											Size bir hikâye anlatayım,
											on yıldan uzun bir süre önce
New York'ta yaşandı.
											Bütün halk bahçelerini satmaya çalıştılar
											ve Bette Midler kâr amacı gütmeyen 
New York Restorasyon projesini geliştirdi.
											Bütün bahçeleri topladılar
											ve kurtarmaya karar verdiler.
											Sonra yeni bir fikir daha öne sürdüler:
											Dünyaca ünlü tasarımcılar getirelim
											ve bırakalım topluluklara ulaşıp
bu güzel bahçeleri yapsınlar,
											belki bu sefer sadece
yiyecekten ibaret olmaz.
											Böylece beni çağırdılar,
											Jamaica, Queens'de
bir bahçe tasarlamıştım.
											Bu bahçeyi tasarlarken
											New York Restorastasyon
proje ofisine gittim
											ve aşağıda tanıdık bir isimle karşılaştım.
											Yukarı çıktım ve dedim ki
											""Aşağıda kim var biliyor musunuz?""
											""Gunit"" dediler.
											""Gunit mi?"" diye sordum.
											G-Unit'i mi kastediyorsunuz?
											Curtis '50 Cent' Jackson mı?""
									","
											Tout d'abord, des choses merveilleuses
arrivent lorsque l'on échange —
											comme aujourd'hui, non ?
											Le monde des jardins partagés —
											vous avez tous
probablement vu un jardin partagé.
											Tout est question
d'autoconsommation et de nourriture.
											Je vais vous raconter
											ce qu'il s'est passé à New-York
il y a plus de dix ans.
											La ville a essayé de vendre
tous les jardins partagés.
											Bette Midler a créé l'association
« New York Restoration Project ».
											L'association a acheté tous les jardins
											et a décidé de les sauver.
											Puis elle a eu une nouvelle idée :
											faire intervenir des paysagistes
du monde entier,
											et les laisser découvrir les communautés
pour créer ces beaux jardins,
											pour en faire
plus que des simples potagers.
											L'association m'a appelé
											et j'en ai créé un à Jamaica,
un quartier du Queens.
											En route pour aller créer ce jardin,
											je me suis rendu
dans les bureaux de l'association
											et j'ai remarqué un nom bien connu
sur la porte d'en bas.
											Je monte et m'exclame :
											« Vous savez qui se trouve en bas ? »
											Ils ont répondu : « Gunit. »
											Et j'ai dit : « Gunit ?
											Vous voulez dire G-Unit ?
											Curtis '50 Cent' Jackson ? »
									",How urban spaces can preserve history and build community,Walter Hood,14:14,"design,architecture,beauty,history,community,public spaces,society,identity,social change"
"
","
","
","
",How urban spaces can preserve history and build community,Walter Hood,14:14,"design,architecture,beauty,history,community,public spaces,society,identity,social change"
"
											(Laughter)
									","
											(Risas)
									","
											(Kahkahalar)
									","
											(Rires)
									",How urban spaces can preserve history and build community,Walter Hood,14:14,"design,architecture,beauty,history,community,public spaces,society,identity,social change"
"
","
","
","
",How urban spaces can preserve history and build community,Walter Hood,14:14,"design,architecture,beauty,history,community,public spaces,society,identity,social change"
"
											And they said, ""Yeah?""
											And I said, ""Yes.""
									","
											Y dijeron: ""¿De verdad?""
											Y respondí: ""Sí"".
									","
											""Evet?"" dediler.
											Ve ben de ""Evet"" dedim.
									","
											Ils m'ont répondu : « Ouais ? »
											Et j'ai dit : « Ok. »
									",How urban spaces can preserve history and build community,Walter Hood,14:14,"design,architecture,beauty,history,community,public spaces,society,identity,social change"
