en,es,pt,de,title,speaker,duration,tags
"
","
","
","
",A robot that runs and swims like a salamander,Auke Ijspeert,14:10,"animals,biomechanics,biotech,design,engineering,future,invention,innovation,biology,nature,robots,physics,technology,neuroscience"
"
											This is Pleurobot.
											Pleurobot is a robot that we designed
to closely mimic a salamander species
											called Pleurodeles waltl.
											Pleurobot can walk, as you can see here,
											and as you'll see later, it can also swim.
									","
											Este es Pleurobot.
											Pleurobot es un robot diseñado
para imitar una especie de salamandra
											llamada Pleurodeles waltl.
											Pleurobot puede caminar, 
como ven aquí,
											y luego verán 
que también puede nadar.
									","
											Este é o Pleurobot.
											O Pleurobot é um robô que concebemos
para imitar uma espécie de salamandras
											chamada Pleurodeles waltl.
											O Pleurobot anda, como veem aqui
											e, como verão depois, também nada.
									","
											Das ist Pleurobot.
											Pleurobot ist ein Roboter, der eine
Salamander-Art genau nachahmt,
											die Pleurodeles waltl heißt.
											Pleurobot kann laufen
											und auch schwimmen.
									",A robot that runs and swims like a salamander,Auke Ijspeert,14:10,"animals,biomechanics,biotech,design,engineering,future,invention,innovation,biology,nature,robots,physics,technology,neuroscience"
"
","
","
","
",A robot that runs and swims like a salamander,Auke Ijspeert,14:10,"animals,biomechanics,biotech,design,engineering,future,invention,innovation,biology,nature,robots,physics,technology,neuroscience"
"
											So you might ask,
why did we design this robot?
											And in fact, this robot has been designed
as a scientific tool for neuroscience.
											Indeed, we designed it
together with neurobiologists
											to understand how animals move,
											and especially how the spinal cord
controls locomotion.
											But the more I work in biorobotics,
											the more I'm really impressed
by animal locomotion.
											If you think of a dolphin swimming
or a cat running or jumping around,
											or even us as humans,
											when you go jogging or play tennis,
											we do amazing things.
											And in fact, our nervous system solves
a very, very complex control problem.
											It has to coordinate
more or less 200 muscles perfectly,
											because if the coordination is bad,
we fall over or we do bad locomotion.
											And my goal is to understand
how this works.
									","
											Quizá se pregunten por qué 
diseñamos este robot.
											Lo diseñamos como herramienta 
científica para la neurociencia.
											De hecho, lo diseñamos
junto a los neurobiólogos
											para entender cómo 
se mueven los animales,
											y sobre todo cómo la médula espinal
controla la locomoción.
											Pero cuanto más trabajo en biorobótica,
											más me impresiona realmente
la locomoción animal.
											Si lo piensan, un delfín
o un gato que corre o salta,
											o incluso nosotros,
											cuando corremos o jugamos al tenis,
											hacemos cosas asombrosas.
											De hecho, el sistema nervioso resuelve
un problema de control muy, muy complejo.
											Tiene que coordinar más o menos 
200 músculos a la perfección,
											porque si la coordinación es mala,
nos caemos o nos movemos mal.
											Mi objetivo es entender 
cómo funciona esto.
									","
											Podem perguntar:
""Porque é que conceberam esse robô?""
											Este robô foi concebido como
um instrumento científico
											para a neurociência.
											Foi concebido em conjunto
com neurobiólogos
											para compreender como se movem os animais
											e, em especial, como é que
a espinal medula controla a locomoção.
											Mas, quanto mais trabalho em bio-robótica,
											mais a locomoção animal me impressiona.
											Se pensarem num golfinho a nadar,
num gato a correr ou a saltar,
											ou mesmo em nós, seres humanos,
											quando fazemos ""jogging""
ou jogamos ténis,
											são tudo coisas espantosas.
											O nosso sistema nervoso resolve
um problema de controlo muito complexo.
											Tem que coordenar perfeitamente
mais ou menos 200 músculos,
											porque, se a coordenação for má,
caímos ou movemo-nos mal.
											O meu objetivo é compreender
como é que isto funciona.
									","
											Warum haben wir diesen Roboter entworfen?
											Dieser Roboter wurde als Instrument
für die Neurowissenschaften entworfen.
											Wir entwarfen ihn
zusammen mit Neurobiologen,
											um zu verstehen, wie sich Tiere bewegen,
											und besonders wie das Rückenmark
die Fortbewegung steuert.
											Aber je länger ich
in der Biorobotik arbeite,
											desto mehr beeindruckt mich
die Fortbewegung der Tiere.
											Denkt man an schwimmende Delfine, an
rennende oder herum springende Katzen
											oder an uns Menschen,
											wenn wir joggen oder Tennis spielen,
											dann machen wir erstaunliche Dinge.
											Unser Nervensystem löst ein
sehr schwieriges Steuerungsproblem.
											Es muss etwa 200 Muskeln
perfekt koordinieren,
											denn bei schlechter Koordination, fällt
man um oder bewegt sich ungünstig fort.
											Mein Ziel ist es zu verstehen,
wie das funktioniert.
									",A robot that runs and swims like a salamander,Auke Ijspeert,14:10,"animals,biomechanics,biotech,design,engineering,future,invention,innovation,biology,nature,robots,physics,technology,neuroscience"
"
","
","
","
",A robot that runs and swims like a salamander,Auke Ijspeert,14:10,"animals,biomechanics,biotech,design,engineering,future,invention,innovation,biology,nature,robots,physics,technology,neuroscience"
"
											There are four main components
behind animal locomotion.
											The first component is just the body,
											and in fact we should never underestimate
											to what extent the biomechanics
already simplify locomotion in animals.
											Then you have the spinal cord,
											and in the spinal cord you find reflexes,
											multiple reflexes that create
a sensorimotor coordination loop
											between neural activity in the spinal cord
and mechanical activity.
											A third component
are central pattern generators.
											These are very interesting circuits
in the spinal cord of vertebrate animals
											that can generate, by themselves,
											very coordinated
rhythmic patterns of activity
											while receiving
only very simple input signals.
											And these input signals
											coming from descending modulation
from higher parts of the brain,
											like the motor cortex,
the cerebellum, the basal ganglia,
											will all modulate activity
of the spinal cord
											while we do locomotion.
											But what's interesting is to what extent
just a low-level component,
											the spinal cord, together with the body,
											already solve a big part
of the locomotion problem.
											You probably know it by the fact
that you can cut the head off a chicken,
											it can still run for a while,
											showing that just the lower part,
spinal cord and body,
											already solve a big part of locomotion.
									","
											Hay cuatro componentes principales
detrás de la locomoción animal.
											El primer componente es el cuerpo,
											y, de hecho, nunca se debe subestimar
											en qué medida la biomecánica en los 
animales ya simplificó la locomoción.
											Luego está la médula espinal,
											en la médula espinal hay reflejos,
											múltiples reflejos que crean un ciclo 
de coordinación sensoriomotora
											entre la actividad neural de la médula 
y la actividad mecánica.
											Un tercer componente son los 
generadores de patrones centrales.
											Son circuitos muy interesantes de 
la médula de los vertebrados
											que pueden generar, por sí mismos,
											patrones rítmicos de actividad,
muy coordinados
											y al mismo tiempo reciben solo
señales de entrada muy simples.
											Y estas señales de entrada
											provenientes de la modulación descendente
desde partes superiores del cerebro,
											como la corteza motora,
cerebelo, ganglios basales,
											modularán la actividad de la médula
											conforme nos desplazamos.
											Lo interesante es hasta qué punto
solo un componente de bajo nivel,
											la médula espinal, junto con el cuerpo,
											ya resuelven una gran parte
del problema de la locomoción.
											Quizá ya lo sepan porque 
al cortar la cabeza a un pollo,
											este puede seguir corriendo un rato.
											Eso muestra que con la parte inferior,
la médula y el cuerpo,
											ya se resuelve gran parte
de la locomoción.
									","
											Há quatro componentes principais
por detrás da locomoção animal.
											O primeiro componente é o corpo.
											Nunca devemos subestimar
											até que ponto a biomecânica
já simplifica a locomoção nos animais.
											Depois, temos a espinal medula.
											Na espinal medula, encontramos reflexos,
											múltiplos reflexos que criam
um ciclo de coordenação sensoriomotora
											entre a atividade neural da espinal medula
e a atividade mecânica.
											Um terceiro componente
são os geradores de padrões centrais.
											São circuitos muito interessantes
na espinal medula dos animais vertebrados
											que podem gerar, por si só,
											padrões rítmicos de atividade
muito coordenados
											enquanto recebem apenas
sinais de entrada muito simples.
											Estes sinais de entrada
											vindos de modulação descendente
de partes mais altas do cérebro,
											como o córtex motor,
o cerebelo, os gânglios basais,
											vão modular a atividade
da espinal medula
											enquanto nos movemos.
											O interessante é até que ponto
um componente de baixo nível,
											a espinal medula, juntamente com o corpo,
											resolve uma grande parte
do problema da locomoção.
											Podemos cortar a cabeça a uma galinha
											e ela continua a correr durante um bocado,
											mostrando que a parte inferior
da espinal medula e do corpo
											resolve uma grande parte da locomoção.
									","
											Es gibt vier Hauptbausteine
für die Fortbewegung von Tieren.
											Der erste Baustein ist nur der Körper.
											Genau genommen sollten
wir niemals unterschätzen,
											wieweit die Biomechanik die Fortbewegung
bei Tieren bereits vereinfacht hat.
											Dann haben wir das Rückenmark
											und dort finden sich Reflexe —
											Mehrfachreflexe, die eine
sensomotorische Koordinationsschleife
											zwischen neuronaler und
mechanischer Aktivität erzeugen.
											Der dritte Baustein sind
zentrale Mustergeneratoren.
											Das sind sehr interessante Schaltkreise
im Rückenmark von Wirbeltieren,
											die aus sich selbst heraus
											sehr koordinierte, rhythmische
Aktivitätsmuster erzeugen,
											obwohl sie nur sehr einfache
Eingangssignale erhalten.
											Diese Eingangssignale,
die während der Fortbewegung
											die gesamte Aktivität des
Rückenmarks ausrichten,
											entstammen der absteigenden
Neuromodulation höherer Hirnregionen,
											wie der motorischen Rinde, dem
Kleinhirn und den Basalganglien.
											Aber interessant ist, dass bereits
der einfache Baustein Rückenmark
											das Fortbewegungsproblem mit
dem Körper weitgehend bewältigt.
											Sie wissen vermutlich: Wenn
man einem Huhn den Kopf abschlägt,
											läuft es noch eine Weile herum,
											was zeigt, dass nur der untere Teil,
das Rückenmark und der Körper,
											das Fortbewegungsproblem
bereits weitgehend bewältigen.
									",A robot that runs and swims like a salamander,Auke Ijspeert,14:10,"animals,biomechanics,biotech,design,engineering,future,invention,innovation,biology,nature,robots,physics,technology,neuroscience"
"
","
","
","
",A robot that runs and swims like a salamander,Auke Ijspeert,14:10,"animals,biomechanics,biotech,design,engineering,future,invention,innovation,biology,nature,robots,physics,technology,neuroscience"
"
											Now, understanding how this works
is very complex,
											because first of all,
											recording activity in the spinal cord
is very difficult.
											It's much easier to implant electrodes
in the motor cortex
											than in the spinal cord,
because it's protected by the vertebrae.
											Especially in humans, very hard to do.
											A second difficulty is that locomotion
is really due to a very complex
											and very dynamic interaction
between these four components.
											So it's very hard to find out
what's the role of each over time.
											This is where biorobots like Pleurobot
and mathematical models
											can really help.
									","
											Pero entender cómo funciona 
es algo muy complejo
											porque, en primer lugar,
											grabar la actividad de 
la médula es muy difícil.
											Más fácil es implantar 
electrodos en la corteza motora
											que en la médula espinal, por 
estar protegida por las vértebras.
											Sobre todo, en humanos, 
es muy difícil de hacer.
											Segundo, la locomoción se produce
gracias a una interacción muy compleja
											y muy dinámica entre 
estos cuatro componentes.
											Así que es muy difícil averiguar
el papel de cada uno en el tiempo.
											Aquí es donde los biorobots como 
Pleurobot y los modelos matemáticos
											realmente pueden ayudar.
									","
											Compreender como é que isto funciona
é muito complicada,
											porque, primeiro que tudo,
											é muito difícil registar a atividade
da espinal medula.
											É mais fácil implantar elétrodos
no córtex motor
											do que na espinal medula, porque esta
está protegida pelas vértebras.
											Sobretudo nas pessoas,
é muito difícil de fazer.
											Uma segunda dificuldade é que
a locomoção é devida a uma interação
											muito complexa e muito dinâmica
entre estes quatro componentes.
											Por isso, é muito difícil descobrir qual é
o papel de cada um, ao longo do tempo.
											É aqui que os bio-robôs, como o Pleurobot,
e os modelos matemáticos
											podem ajudar.
									","
											Wie das funktioniert,
ist sehr schwer zu verstehen.
											Erstens ist es sehr schwierig, die
Rückenmarksaktivität aufzuzeichnen.
											Die Elektroden lassen sich leichter
in die motorische Rinde implantieren
											als ins Rückenmark, weil es durch
die Rückenwirbel geschützt ist.
											Speziell beim Menschen ist es schwierig.
											Die zweite Schwierigkeit ist,
											dass Fortbewegung die Folge der sehr
komplexen und dynamischen Interaktion
											zwischen diesen vier Bausteinen ist.
											Die Rolle jedes einzelnen lässt
sich nur schwer herausfinden.
											Hier können Bioroboter wie Pleurobot
											und mathematische Modelle wirklich helfen.
									",A robot that runs and swims like a salamander,Auke Ijspeert,14:10,"animals,biomechanics,biotech,design,engineering,future,invention,innovation,biology,nature,robots,physics,technology,neuroscience"
"
","
","
","
",A robot that runs and swims like a salamander,Auke Ijspeert,14:10,"animals,biomechanics,biotech,design,engineering,future,invention,innovation,biology,nature,robots,physics,technology,neuroscience"
"
											So what's biorobotics?
											Biorobotics is a very active field
of research in robotics
											where people want to
take inspiration from animals
											to make robots to go outdoors,
											like service robots
or search and rescue robots
											or field robots.
											And the big goal here
is to take inspiration from animals
											to make robots that can handle
complex terrain —
											stairs, mountains, forests,
											places where robots
still have difficulties
											and where animals
can do a much better job.
											The robot can be a wonderful
scientific tool as well.
											There are some very nice projects
where robots are used,
											like a scientific tool for neuroscience,
for biomechanics or for hydrodynamics.
											And this is exactly
the purpose of Pleurobot.
											So what we do in my lab
is to collaborate with neurobiologists
											like Jean-Marie Cabelguen,
a neurobiologist in Bordeaux in France,
											and we want to make spinal cord models
and validate them on robots.
											And here we want to start simple.
									","
											Entonces, ¿qué es la biorobótica?
											La biorobótica es un campo muy activo
de investigación en robótica
											que quiere inspirarse en los animales
											para hacer que los robots 
salgan al aire libre,
											como robots de servicio,
robots de búsqueda y rescate,
											o robots de campo.
											El gran objetivo aquí 
es inspirarse en los animales
											para hacer robots que operen
en terrenos complejos:
											escaleras, montañas, bosques,
											lugares donde los robots
todavía tienen dificultades
											y donde los animales
se desempeñan mucho mejor.
											El robot puede ser una gran 
herramienta científica también.
											Hay proyectos muy buenos 
en los que se usan robots,
											como herramienta científica en 
neurociencia, biomecánica, hidrodinámica.
											Este es exactamente
el propósito de Pleurobot.
											En mi laboratorio colaboramos
con neurobiólogos
											como Jean-Marie Cabelguen,
neurobiólogo en Burdeos, Francia,
											y queremos hacer modelos de la médula
y validarlos en robots.
											Queremos empezar de forma sencilla.
									","
											Mas o que é a bio-robótica?
											A bio-robótica é uma área de investigação
muito ativa, na robótica
											em que as pessoas se inspiram
nos animais
											para fazerem sair os robôs para a rua,
											como robôs de serviços,
de pesquisa ou de salvamento,
											ou robôs de terreno.
											O grande objetivo é
inspirar-se nos animais
											para fazer robôs que possam
andar em terrenos complexos
											— escadas, montanhas, florestas —
											locais onde os robôs
ainda têm dificuldades
											e os animais podem fazer
um trabalho muito melhor.
											O robô pode ser um instrumento
científico maravilhoso.
											Há projetos muito bons
em que se usam robôs,
											como um instrumento científico 
para a neurociência,
											a biomecânica ou a hidrodinâmica.
											Este é exatamente o objetivo do Pleurobot.
											No meu laboratório
colaboramos com neurobiólogos
											como Jean-Marie Cabelguen,
um neurobiólogo de Bordéus, em França.
											Queremos fazer modelos de espinais medulas
e validá-los em robôs.
											E queremos começar de modo simples.
									","
											Was ist Biorobotik?
											Biorobotik ist ein sehr reges
Forschungsgebiet in der Robotik,
											in dem Menschen durch Tiere
angeregt werden,
											Roboter auf den Einsatz
im Freien vorzubereiten,
											so zum Beispiel als Service-,
Such- und Rettungsroboter
											oder Feldroboter.
											Das große Ziel ist hier, Anregungen
durch Tiere zu erhalten,
											damit Roboter in schwierigem
Gelände zurecht kommen:
											Treppen, Berge, Wälder —
											Orte, wo Roboter immer
noch Schwierigkeiten haben
											und Tiere es besser können.
											Der Roboter kann ein wunderbares
wissenschaftliches Instrument sein.
											Bei einigen Projekten setzt
man Roboter als Arbeitshilfe
											für Neurowissenschaften, Biomechanik
oder Hydrodynamik ein.
											Das ist genau der Zweck von Pleurobot.
											In meinem Labor arbeiten
wir mit Neurobiologen
											wie Jean-Marie Cabelguen aus
Bordeux in Frankreich zusammen
											und wollen Rückenmark-Modelle erstellen,
die wir an Robotern überprüfen.
											Wir wollen hier einfach anfangen.
									",A robot that runs and swims like a salamander,Auke Ijspeert,14:10,"animals,biomechanics,biotech,design,engineering,future,invention,innovation,biology,nature,robots,physics,technology,neuroscience"
