en,pt,tr,de,fr,title,speaker,duration,tags
"
","
","
","
","
",Nature is everywhere — we just need to learn to see it,Emma Marris,15:52,"agriculture,animals,biodiversity,bioethics,climate change,children,ecology,environment,green,garden,life,nature,plants,sustainability,trees,parenting,teaching,natural resources,Anthropocene,fungi"
"
											We are stealing nature from our children.
											Now, when I say this, I don't mean
that we are destroying nature
											that they will have wanted us to preserve,
											although that is
unfortunately also the case.
											What I mean here is that we've started
to define nature in a way
											that's so purist and so strict
											that under the definition
we're creating for ourselves,
											there won't be any nature
left for our children
											when they're adults.
											But there's a fix for this.
											So let me explain.
									","
											Estamos a roubar a natureza 
aos nossos filhos.
											Quando digo isto, não digo
que estamos a destruir a natureza
											que eles vão querer
que tivéssemos preservado,
											embora seja, infelizmente,
também esse o caso.
											O que pretendo dizer é que começámos
a definir a natureza de uma forma
											tão purista e tão restrita
											que, na definição que estamos a criar
para nós mesmos,
											não restará nenhuma natureza
para os nossos filhos
											quando forem adultos.
											Mas isto tem solução.
											Deixem-me explicar.
									","
											Doğayı çocuklarımızdan çalıyoruz.
											Bu, onların korumamızı isteyecekleri
											doğayı yok ediyoruz anlamına gelmemeli,
											ancak durum ne yazık ki öyle duruyor.
											Söylemeye çalıştığım, doğayı o kadar
											tasfiyeci ve kuralcı bir şekilde
											tanımlamaya başladık ki, 
bu tanım altında çocuklarımıza
											yetişkin olduklarında doğa
											kalmayacak.
											Ama bunu düzeltmenin bir yolu var.
											Anlatayım.
									","
											Wir stehlen unseren Kindern die Natur.
											Dabei meine ich nicht,
dass wir Natur zerstören,
											die wir für sie hätten erhalten sollen,
											obwohl das leider auch der Fall ist.
											Ich meine, dass wir Natur
											auf eine sehr puristische
und strenge Weise definieren
											und dass bei dieser Definition
											für unsere Kinder 
keine Natur mehr da sein wird,
											wenn sie erwachsen sind.
											Aber das kann man ändern.
											Lassen Sie es mich erklären.
									","
											Nous sommes en train de voler
la nature à nos enfants.
											Attention, je ne dis pas
que nous détruisons la nature
											qu'ils voudraient que l'on préserve,
											même si malheureusement,
c'est aussi le cas.
											Ce que je veux dire par là, c'est
que l'on a défini la nature d'une façon
											si radicale et sévère
											que sous la définition
que nous avons choisie,
											il n'y aura plus de nature
pour nos enfants
											quand ils seront adultes.
											Mais il y a une solution.
											Laissez-moi vous expliquer.
									",Nature is everywhere — we just need to learn to see it,Emma Marris,15:52,"agriculture,animals,biodiversity,bioethics,climate change,children,ecology,environment,green,garden,life,nature,plants,sustainability,trees,parenting,teaching,natural resources,Anthropocene,fungi"
"
","
","
","
","
",Nature is everywhere — we just need to learn to see it,Emma Marris,15:52,"agriculture,animals,biodiversity,bioethics,climate change,children,ecology,environment,green,garden,life,nature,plants,sustainability,trees,parenting,teaching,natural resources,Anthropocene,fungi"
"
											Right now, humans use half of the world
											to live, to grow their crops
and their timber,
											to pasture their animals.
											If you added up all the human beings,
											we would weigh 10 times as much
as all the wild mammals put together.
											We cut roads through the forest.
											We have added little plastic particles
to the sand on ocean beaches.
											We've changed the chemistry of the soil
with our artificial fertilizers.
											And of course, we've changed
the chemistry of the air.
											So when you take your next breath,
											you'll be breathing in
42 percent more carbon dioxide
											than if you were breathing in 1750.
											So all of these changes, and many others,
											have come to be kind of lumped together
under this rubric of the ""Anthropocene.""
											And this is a term
that some geologists are suggesting
											we should give to our current epoch,
											given how pervasive
human influence has been over it.
											Now, it's still just a proposed epoch,
but I think it's a helpful way
											to think about the magnitude
of human influence on the planet.
									","
											Neste momento, os humanos
usam metade do mundo
											para viver, cultivar e produzir madeira,
											para pastorear os seus animais.
											Se somássemos todos os seres humanos,
											teríamos um peso 10 vezes superior
ao de todos os mamíferos selvagens juntos.
											Construímos estradas através da floresta.
											Adicionámos pequenas partículas de
plástico à areia das praias.
											Mudámos a química dos solos
com os nossos fertilizantes artificiais.
											E claro, mudámos a química do ar.
											Então, na vossa próxima respiração
											vocês vão inspirar mais 42%
de dióxido de carbono
											do que inspirariam em 1750.
											Todas estas mudanças, e muitas outras,
											têm vindo a ser amontoadas
dentro do período ""Antropoceno"".
											E este é um nome
que muitos geólogos têm sugerido
											que déssemos à nossa época,
											considerando quão generalizada
tem sido a influência humana sobre ela.
											Ainda é só uma proposta,
mas penso que é uma ajuda
											para pensar na magnitude da
influência humana no planeta.
									","
											Şu anda, insanlar dünyanın yarısını
											yaşamak, kereste ve tarım 
ürünlerini yetiştirmek
											ve hayvanlarını otlatmak için kullanıyor.
											Tüm insanların ağırlığını toplarsak,
											vahşi hayvanların ağırlıklarının
toplamının on katı ederiz.
											Ormanların ortasından yollar yapıyoruz.
											Deniz kenarındaki kuma 
plastik parçaları kattık.
											Toprağın kimyasını 
yapay gübreyle değiştirdik.
											Ve tabii ki havanın 
içeriğini de değiştirdik.
											Bir sonraki nefes alışınızda,
											1750'de nefes almaya oranla
											%42 daha çok karbondioksit soluyacaksınız.
											Tüm bu değişiklikler ve diğerleri
											''Antroposin'' başlığı altında toplanıyor.
											Bazı jeolojistlere göre bu terimi, şu an

											içinde bulunduğumuz, insanın etkisinin
											her tarafa yayıldığı günümüz 
çağına vermeliyiz.
											Henüz, sadece bir öneri olsa da, insan 
etkisinin gezegenimiz üzerindeki
											etkisi hakkında düşünebilmemiz 
için yararlı bir yol.
									","
											Im Moment nutzen Menschen
die halbe Welt dazu,
											zu leben, Getreide und Holz anzubauen
											oder ihr Vieh zu weiden.
											Wenn man alle Menschen 
zusammenzählen würde,
											würden wir zehnmal mehr wiegen als
alle wild lebenden Säugetiere zusammen.
											Wir bauen Straßen durch den Wald.
											Wir haben kleine Plastikteile
auf den Sandstränden verteilt.
											Wir haben die Bodenchemie
mit unseren Kunstdüngern verändert.
											Und natürlich haben wir
die Luftchemie verändert.
											Wenn Sie das nächste Mal einatmen,
											werden sie 42 % mehr Kohlendioxid
einatmen als im Jahr 1750.
											All diese Veränderungen und viele weitere
											wurden unter dem Begriff
""Anthropozän"" zusammengefasst.
											Einige Geologen haben vorgeschlagen,
											unsere jetzige Epoche so zu nennen,
											da der menschliche Einfluss
allgegenwärtig ist.
											Es ist nur ein Vorschlag,
aber ich denke, er hilft,
											über die Größe des menschlichen
Einflusses auf die Erde nachzudenken.
									","
											Actuellement, l'Homme utilise
la moitié de la planète
											pour vivre, cultiver les terres
											et faire paître leurs animaux.
											En additionnant tous les humains,
											on pèserait 10 fois que ce que pèsent
tous les autres mammifères réunis.
											On a construit des chemins
dans les forêts.
											On a ajouté des particules de plastique
dans le sable des océans.
											On a changé la composition chimique
des terres avec les engrais.
											Et bien sûr, on a changé
la composition de l'air.
											Quand vous respirez,
											vous inhalez 42 % de CO2 de plus
											que si vous respiriez en 1750.
											Tous ces changements, et bien d'autres,
											sont maintenant parfois rassemblés
sous la notion « d'Anthropocène. »
											C'est un terme que les géologues
suggèrent de donner
											à notre époque actuelle,
											à cause de l'influence
de l'homme sur la nature.
											C'est juste une idée,
mais c'est utile
											pour réfléchir à la dimension
de l'influence humaine sur la planète.
									",Nature is everywhere — we just need to learn to see it,Emma Marris,15:52,"agriculture,animals,biodiversity,bioethics,climate change,children,ecology,environment,green,garden,life,nature,plants,sustainability,trees,parenting,teaching,natural resources,Anthropocene,fungi"
"
","
","
","
","
",Nature is everywhere — we just need to learn to see it,Emma Marris,15:52,"agriculture,animals,biodiversity,bioethics,climate change,children,ecology,environment,green,garden,life,nature,plants,sustainability,trees,parenting,teaching,natural resources,Anthropocene,fungi"
"
											So where does this put nature?
											What counts as nature in a world
where everything is influenced by humans?
									","
											Onde fica então a natureza?
											O que é considerado natureza
											num mundo onde tudo
é influenciado pelos humanos?
									","
											Peki bu doğayı nereye koyuyor?
											Her şeyin insanlar tarafından şekillendiği
bir dünyada neler doğa sayılıyor?
									","
											Wo bleibt die Natur dabei?
											Was zählt als Natur in einer Welt, in der
alles vom Menschen beeinflusst wird?
									","
											Alors, où se trouve la nature ?
											Qu'est-ce que la nature
dans un monde dominé par l'Homme ?
									",Nature is everywhere — we just need to learn to see it,Emma Marris,15:52,"agriculture,animals,biodiversity,bioethics,climate change,children,ecology,environment,green,garden,life,nature,plants,sustainability,trees,parenting,teaching,natural resources,Anthropocene,fungi"
"
","
","
","
","
",Nature is everywhere — we just need to learn to see it,Emma Marris,15:52,"agriculture,animals,biodiversity,bioethics,climate change,children,ecology,environment,green,garden,life,nature,plants,sustainability,trees,parenting,teaching,natural resources,Anthropocene,fungi"
"
											So 25 years ago, environmental writer
Bill McKibben said
											that because nature
was a thing apart from man
											and because climate change meant
											that every centimeter of the Earth
was altered by man,
											then nature was over.
											In fact, he called his book
""The End of Nature.""
									","
											Há 25 anos, o escritor ambiental
Bill McKibben
											disse que, como a natureza
era uma coisa separada do homem,
											e como a mudança climática
significava que cada centímetro da Terra
											fora alterado pelo homem,
											então a natureza tinha acabado.
											De facto, deu ao seu livro o título
""O Fim da Natureza"".
									","
											Çevreci yazar Bill McKibben 25 yıl önce
											doğa insandan ayrı bir şey olduğu için ve 
iklim değişikliği dünyanın her
											santimetresinin insanlar 

											tarafından değiştirildiğini ifade
etmesinden ötürü, doğanın
											bittiğini belirtmiştir.
											Kitabının ismini de 
''Doğanın Sonu'' koymuştur.
									","
											Vor 25 Jahren sagte der Umweltautor
Bill McKibben, es gäbe keine Natur mehr,
											da Natur dem Menschen entfremdet sei
											und weil Klimawandel bedeute,
											dass jeder Zentimeter der Erde
vom Menschen verändert wurde.
											Er nannte sein Buch ""Das Ende der Natur"".
									","
											Il y a 25 ans, l'écrivain écologiste
Bill McKibben a dit
											que puisque la nature
était séparée de l'Homme,
											parce que le changement climatique
											impliquait que l'Homme
avait tout altéré sur Terre,
											la nature n'existait donc plus.
											Son livre s’appelle même
« La Fin de la Nature ».
									",Nature is everywhere — we just need to learn to see it,Emma Marris,15:52,"agriculture,animals,biodiversity,bioethics,climate change,children,ecology,environment,green,garden,life,nature,plants,sustainability,trees,parenting,teaching,natural resources,Anthropocene,fungi"
"
","
","
","
","
",Nature is everywhere — we just need to learn to see it,Emma Marris,15:52,"agriculture,animals,biodiversity,bioethics,climate change,children,ecology,environment,green,garden,life,nature,plants,sustainability,trees,parenting,teaching,natural resources,Anthropocene,fungi"
"
											I disagree with this.
I just disagree with this.
											I disagree with this definition of nature,
because, fundamentally, we are animals.
											Right? Like, we evolved on this planet
											in the context of all the other animals
with which we share a planet,
											and all the other plants,
and all the other microbes.
											And so I think that nature
											is not that which is untouched
by humanity, man or woman.
											I think that nature
is anywhere where life thrives,
											anywhere where there are
multiple species together,
											anywhere that's green and blue
and thriving and filled with life
											and growing.
											And under that definition,
											things look a little bit different.
									","
											Eu discordo disto.
Simplesmente discordo disto.
											Discordo desta definição de natureza,
											porque, fundamentalmente,
somos animais, certo?
											Evoluímos neste planeta,
											no contexto de todos os outros animais
											com os quais que partilhamos um planeta,
											e todas as outras plantas e todos os
outros micróbios.
											Por isso, penso que a natureza
não é o intocado pela humanidade,
											homem ou mulher.
											Penso que a natureza está em qualquer
lugar onde a vida prospere,
											qualquer lugar onde existam
múltiplas espécies juntas,
											qualquer lugar que seja verde e azul,
											e que prospere,
e seja cheio de vida, a crescer.
											E sob esta definição,
											as coisas parecem um pouco diferentes.
									","
											Ben buna katılmıyorum. Hem de hiç.
											Doğanın bu tanımına katılmıyorum, 
çünkü biz de özde hayvanız.
											Değil mi? Biz de gezegeni 
paylaştığımız tüm diğer
											hayvanlar, bitkiler
											ve mikroplar gibi evrimleştik.
											Bu sebepten ötürü doğanın
kadın, erkek ya da
											insanlık tarafından dokunulmamış 
olan olduğunu düşünmüyorum.
											Bence doğa yaşamın serpildiği,
											birçok canlının bir arada olduğu,
											yeşil ve mavinin bulunduğu,
yaşamla dolu ve
											gelişmekte olan yerdir.
											Bu tanımla,
											işler biraz daha farklı görünüyor.
									","
											Ich bin ganz anderer Meinung.
											Ich stimme dieser Definition von Natur
nicht zu, weil wir im Grunde Tiere sind.
											Stimmt's?
											Wir entwickelten uns auf diesem Planeten
											zusammen mit allen anderen Tieren,
mit denen wir uns diesen Planeten teilen,
											all den anderen Pflanzen 
und allen anderen Mikroben.
											Natur ist nicht das,
											was von der Menschheit, 
Mann oder Frau, unberührt ist.
											Natur ist überall dort, wo Leben gedeiht,
											überall dort, wo mehrere Arten
zusammen leben,
											überall dort, wo es grün
und blau ist, wo es blüht,
											mit Leben erfüllt ist und wächst.
											Mit dieser Definition
sehen die Dinge etwas anders aus.
									","
											Je ne suis pas du tout
d'accord avec cette idée,
											avec cette définition de la nature,
											parce que nous sommes
fondamentalement des animaux.
											Nous avons évolué sur cette planète
											ensemble avec d'autres animaux,
avec qui nous avons partagé la planète,
											avec toutes les plantes
et avec tous les microbes.
											Je pense donc que la nature n'est pas
											indépendante de l'humanité,
homme et femme.
											Je pense que la nature se trouve
partout où il y a de la vie,
											là où plusieurs espèces vivent ensemble,
											n'importe où l'on trouve du vert
et du bleu, où la vie prospère et grandit.
											Sous cette définition,
											les choses prennent une forme différente.
									",Nature is everywhere — we just need to learn to see it,Emma Marris,15:52,"agriculture,animals,biodiversity,bioethics,climate change,children,ecology,environment,green,garden,life,nature,plants,sustainability,trees,parenting,teaching,natural resources,Anthropocene,fungi"
