en,fr,es,de,title,speaker,duration,tags
"
","
","
","
",How shocking events can spark positive change,Naomi Klein,15:35,"activism,big problems,climate change,collaboration,future,communication,inequality,government,global issues,society,social change,politics"
"
											There's a question I've been
puzzling over and writing about
											for pretty much all of my adult life.
											Why do some large-scale crises
											jolt us awake and inspire us
to change and evolve
											while others might jolt us a bit,
											but then it's back to sleep?
											Now, the kind of shocks
I'm talking about are big —
											a cataclysmic market crash,
rising fascism,
											an industrial accident
that poisons on a massive scale.
											Now, events like this
can act like a collective alarm bell.
											Suddenly, we see a threat,
we get organized.
											We discover strength and resolve
that was previously unimaginable.
											It's as if we're no longer
walking, but leaping.
											Except, our collective alarm
seems to be busted.
											Faced with a crisis,
we often fall apart, regress
											and that becomes a window
for antidemocratic forces
											to push societies backwards,
to become more unequal and more unstable.
									","
											Il y a une question
qui m'a fait réfléchir et écrire
											durant presque toute ma vie d'adulte.
											Pourquoi est-ce que
certaines crises à grande échelle
											nous réveillent-elles en sursaut
et nous inspirent pour changer et évoluer
											alors que d'autres nous secouent un peu
											mais sans nous empêcher
de nous rendormir ?
											Le genre de chocs dont je parle
sont importants —
											un crash boursier cataclysmique,
la montée du fascisme,
											un accident industriel toxique
à très grande échelle.
											De tels événements peuvent servir
de sonnette d'alarme collective.
											Soudain, nous voyons une menace,
nous nous organisons.
											Nous trouvons une force et une résolution
ce qui étaient auparavant inimaginables.
											C'est comme si nous ne marchions plus
mais que nous faisions des bonds.
											Sauf que notre sonnette d'alarme
collective semble être cassée.
											Face à une crise, souvent
nous nous effondrons, nous régressons
											et ça ouvre une fenêtre
aux forces antidémocratiques
											pour qu'elles fassent reculer nos sociétés
vers plus d'inégalité et d'instabilité.
									","
											Hay una cuestión a la que siempre
vuelvo y sobre la que he escrito
											durante mucho tiempo de mi vida.
											¿Por qué algunas crisis a gran escala
											nos despiertan de golpe
e inspiran a cambiar y evolucionar,
											mientras que otras
nos sacuden solo un poco,
											y después nos volvemos a dormir?
											Me refiero a las grandes crisis:
											un cataclismo en el mercado,
un fascismo creciente,
											un accidente industrial
que envenene a escala masiva.
											Eventos como estos fungen
como alarmas colectivas.
											De repente, ante una amenaza
nos organizamos.
											Encontramos la fuerza para resolver
cosas antes inimaginables.
											Es como si en vez de caminar
diéramos saltos.
											Excepto que a veces nuestra alarma
colectiva parece estar averiada.
											Ante una crisis, a menudo
nos separamos, retrocedemos,
											y eso se vuelve una oportunidad
para que las fuerzas antidemocráticas
											hagan que las sociedades retrocedan,
que se vuelvan más injustas e inestables.
									","
											Über eine Frage grübele und schreibe ich
											schon so ziemlich mein ganzes Leben.
											Warum rütteln uns einige
schwerwiegende Krisen wach
											und bewegen uns dazu,
uns zu verändern und weiterzuentwickeln,
											während andere uns nur kurz aufrütteln,
											und wir dann wieder einschlafen.
											Ich rede hier über
wirklich große Schocks —
											ein verheerender Börsenkrach,
der Aufstieg des Faschismus,
											ein Industrieunfall, der weitflächig
alles mit Gift verseucht.
											Solche Ereignisse können wie eine
kollektive Alarmglocke wirken.
											Plötzlich sehen wir eine Gefahr,
wir organisieren uns.
											Wir entdecken Stärke und Entschlossenheit,
die vorher unvorstellbar gewesen wäre.
											Es ist, als würden wir
nicht mehr gehen, sondern springen.
											Aber unsere kollektive Alarmglocke
scheint kaputt zu sein.
											Angesichts einer Krise trennen wir uns
und handeln rückwärtsgerichtet.
											Das gibt antidemokratischen
Kräften die Gelegenheit,
											Gesellschaften zurück zu treiben, 
sie ungleicher und instabiler zu machen.
									",How shocking events can spark positive change,Naomi Klein,15:35,"activism,big problems,climate change,collaboration,future,communication,inequality,government,global issues,society,social change,politics"
"
","
","
","
",How shocking events can spark positive change,Naomi Klein,15:35,"activism,big problems,climate change,collaboration,future,communication,inequality,government,global issues,society,social change,politics"
"
											Ten years ago, I wrote
about this backwards process
											and I called it the ""Shock Doctrine.""
											So what determines which road
we navigate through crisis?
											Whether we grow up fast
and find those strengths
											or whether we get knocked back.
											And I'd say this is
a pressing question these days.
											Because things are
pretty shocking out there.
											Record-breaking storms, drowning cities,
											record-breaking fires
threatening to devour them,
											thousands of migrants
disappearing beneath the waves.
											And openly supremacist movements rising,
											in many of our countries
there are torches in the streets.
											And now there's no shortage
of people who are sounding the alarm.
											But as a society,
I don't think we can honestly say
											that we're responding
with anything like the urgency
											that these overlapping crises
demand from us.
											And yet, we know from history
											that it is possible for crisis
to catalyze a kind of evolutionary leap.
									","
											Il y a dix ans, j'ai écrit
au sujet de ce processus de recul,
											je l'ai appelé « stratégie du choc ».
											Qu'est-ce qui détermine la route
que nous empruntons dans une crise ?
											Que nous grandissions vite
et trouvions ces forces
											ou que nous prenions
les coups et reculions.
											Je dirais que c'est une question
urgente de nos jours.
											Car ce qu'il se passe est assez choquant.
											Des tempêtes records,
des villes submergées,
											des incendies jamais vus
qui menacent de les dévorer,
											des milliers de migrants
qui disparaissent sous les vagues.
											Et la montée de mouvements
ouvertement suprémacistes,
											dans beaucoup de nos pays,
il y a des torches dans les rues.
											Nous ne manquons pas de personnes
qui tirent la sonnette d'alarme.
											Mais en tant que société,
nous ne pouvons pas dire honnêtement
											que nous répondons avec l'urgence
											que ces crises conjuguées requièrent.
											Pourtant, nous savons de l'Histoire
											qu'il est possible qu'une crise
déclenche un bond dans l'évolution.
									","
											Hace diez años, escribí 
sobre este proceso de retroceso
											y lo llamé ""Doctrina del choque"".
											¿Qué determina el camino que tomaremos
para superar una crisis?
											El que maduremos rápido
y encontremos esas habilidades
											o que encontremos trabas.
											Diría que es una cuestión
apremiante estos días
											porque las cosas allá afuera
son estremecedoras.
											Tormentas sin precedentes,
inundaciones en ciudades,
											incendios nunca antes vistos
amenazando con devorarlas,
											miles de migrantes
desapareciendo bajo las olas.
											Movimientos racistas en aumento,
											en muchos de nuestros países
hay disturbios en las calles.
											Ahora no hay escasez de gente
haciendo sonar la alarma,
											pero como sociedad, no creo
que podamos decir con honestidad
											que estamos respondiendo con la urgencia
											que estas crisis simultáneas
exigen de nosotros.
											Sin embargo, gracias a la historia sabemos
											que las crisis pueden catalizar
una especie de salto evolutivo.
									","
											Vor zehn Jahren schrieb ich
über diesen Rückwärtsprozess
											und ich nannte ihn ""Die Schock-Strategie"".
											Was bestimmt, auf welchem Weg
wir durch eine Krise navigieren?
											Ob wir schnell wachsen
und besagte Stärken finden,
											oder ob wir zurückgeworfen werden.
											Das ist eine dringende Frage
in diesen Tagen.
											Weil die Lage ziemlich schockierend ist.
											Rekordstürme, Städte,
die unter Wasser stehen,
											Rekordfeuer, die drohen,
Städte zu verschlingen,
											Tausende Migranten,
die in den Wellen verschwinden.
											Und der Aufstieg von
offen rassistischen Gruppierungen,
											in vielen unserer Länder gibt es
gewalttätige Protestzüge auf den Straßen.
											Es fehlt jetzt nicht an Menschen,
die die Alarmglocken läuten.
											Ich finde, wir können als Gesellschaft
nicht ernsthaft behaupten,
											dass wir auch nur nahezu 
mit der Dringlichkeit reagieren,
											die diese überlappenden Krisen
von uns verlangen.
											Trotzdem lehrt uns die Geschichte,
											dass Krisen eine Art evolutionären 
Sprung auslösen können.
									",How shocking events can spark positive change,Naomi Klein,15:35,"activism,big problems,climate change,collaboration,future,communication,inequality,government,global issues,society,social change,politics"
"
","
","
","
",How shocking events can spark positive change,Naomi Klein,15:35,"activism,big problems,climate change,collaboration,future,communication,inequality,government,global issues,society,social change,politics"
"
											And one of the most striking examples
of this progressive power of crisis
											is the Great Crash of 1929.
											There was the shock
of the sudden market collapse
											followed by all of the aftershocks,
											the millions who lost everything
thrown onto breadlines.
											And this was taken by many as a message
that the system itself was broken.
											And many people listened
and they leapt into action.
											In the United States and elsewhere,
governments began to weave a safety net
											so that the next time there was a crash
											there would be programs
like social security to catch people.
											There were huge job-creating
public investments
											in housing, electrification and transit.
											And there was a wave
of aggressive regulation
											to reign in the banks.
									","
											Un des exemples les plus frappants
du pouvoir évolutif d'une crise
											est celui de la crise de 1929.
											Il y a eu le choc d'un effondrement
soudain du marché
											suivi de toutes les répliques,
											les millions de personnes
qui ont tout perdu
											et ont plongé sous le seuil de pauvreté.
											Beaucoup ont pris cela comme un message
que le système lui-même était défaillant.
											Beaucoup de gens ont écouté et ont agi.
											Aux États-Unis et ailleurs,
											les gouvernements ont commencé
à tisser un filet de sécurité
											pour qu'au prochain krach,
											il y ait des programmes
											tels que la sécurité sociale
pour rattraper les gens.
											Il y a eu d'énormes investissements
pour créer des emplois
											dans la construction,
l'électrification et les transports.
											Il y a eu une vague
réglementaire agressive
											pour dominer les banques.
									","
											Uno de los ejemplos más notables
del poder renovador de las crisis
											es la Gran Depresión de 1929.
											Después del impacto 
del repentino colapso del mercado
											y de todas sus repercusiones,
											los millones de personas que perdieron
todo se abalanzaron a pedir ayuda social.
											Muchos lo tomaron como indicador de que
el sistema mismo estaba descompuesto.
											Y muchos escucharon 
y saltaron a la acción.
											En EE. UU. y otros lugares, los gobiernos
entretejieron una red de seguridad
											para que la próxima vez
que hubiese un colapso,
											hubiera programas de seguridad social
para amparar a la gente.
											Hubo grandes inversiones públicas
para crear empleos
											en los sectores inmobiliario, 
eléctrico y de tránsito.
											Y hubo una oleada 
de regulaciones enérgicas
											que imperó en los bancos.
									","
											Und eines der eindrucksvollsten Beispiele
für diese progressive Kraft von Krisen
											ist der große Börsenkrach von 1929.
											Der Schock des plötzlichen
Börsenzusammenbruchs,
											und all die folgenden Nachbeben,
											trieben Millionen, die alles verloren,
ans Existenzminimum.
											Das wurde von vielen als Nachricht
verstanden, dass das System baufällig war.
											Viele Menschen hörten das
und ""sprangen"" an die Arbeit.
											In den USA und anderswo begannen
Regierungen, ein Sicherheitsnetz zu weben,
											damit es beim nächsten Zusammenbruch
											Programme wie Sozialversicherungen gäbe, 
die Leute auffangen können.
											Zur Schaffung von Jobs,
gab es riesige öffentliche Investitionen
											in den Wohnungsbau, die Elektrifizierung,
und das Transportwesen.
											Und es gab eine Welle
aggressiver Regulierungen,
											um die Banken zu steuern.
									",How shocking events can spark positive change,Naomi Klein,15:35,"activism,big problems,climate change,collaboration,future,communication,inequality,government,global issues,society,social change,politics"
"
","
","
","
",How shocking events can spark positive change,Naomi Klein,15:35,"activism,big problems,climate change,collaboration,future,communication,inequality,government,global issues,society,social change,politics"
"
											Now, these reforms were far from perfect.
											In the US, African American workers,
immigrants and women
											were largely excluded.
											But the Depression period,
											along with the transformation
of allied nations and economies
											during the World War II effort,
											show us that it is possible
for complex societies
											to rapidly transform themselves
in the face of a collective threat.
											Now, when we tell this story
of the 1929 Crash,
											that's usually the formula
that it follows —
											that there was a shock
and it induced a wake-up call
											and that produced a leap to a safer place.
									","
											Ces réformes étaient
loin d'être parfaites.
											Aux États-Unis,
les travailleurs afro-américains,
											les immigrants et les femmes
											ont largement été exclus.
											Mais la période de la Dépression,
											avec la transformation
des nations et économies alliées
											durant l'effort de la Seconde Guerre
mondiale,
											nous a montré qu'il était possible
pour des sociétés complexes
											de se transformer rapidement
face à une menace collective.
											Quand nous racontons
cette histoire du krach de 1929,
											c'est souvent la formule suivante :
											il y a eu un choc qui a provoqué
une prise de conscience
											et cela a entraîné une avancée
vers une position plus sûre.
									","
											Estas reformas estaban
lejos de ser perfectas.
											En EE. UU., los obreros afroamericanos,
inmigrantes y mujeres
											fueron excluidos en gran medida.
											Pero el periodo de la Depresión,
											junto con el esfuerzo de transformación
de las naciones y economías aliadas
											durante la II Guerra Mundial,
											nos muestra que las sociedades
complejas pueden
											transformarse rápidamente
ante una amenaza colectiva.
											Cuando contamos la historia
de la Gran Depresión de 1929,
											usualmente seguimos la misma fórmula:
											hubo un colapso, ese colapso 
fue un llamado de alerta
											que nos condujo a un lugar más seguro.
									","
											Diese Reformen waren
bei weitem nicht perfekt.
											In den USA waren Afroamerikaner,
Immigranten und Frauen
											davon größtenteils ausgeschlossen.
											Aber die ""Große Depression"",
											zusammen mit der Transformation der
alliierten Nationen und Ökonomien
											während der Anstrengungen
des 2. Weltkrieges,
											zeigen uns, dass komplexe Gesellschaften
											sich, angesichts einer gemeinsamen Gefahr,
rasch verwandeln können.
											Wenn wir die Geschichte
des Börsenkrachs von 1929 erzählen,
											dann ist das hier meistens
das Schema, das man erzählt,
											dass es einen Schock gab und 
dieser erzeugte einen Weckruf,
											und dieser verursachte einen Sprung
an einen sichereren Ort.
									",How shocking events can spark positive change,Naomi Klein,15:35,"activism,big problems,climate change,collaboration,future,communication,inequality,government,global issues,society,social change,politics"
"
","
","
","
",How shocking events can spark positive change,Naomi Klein,15:35,"activism,big problems,climate change,collaboration,future,communication,inequality,government,global issues,society,social change,politics"
"
											Now, if that's really what it took,
											then why isn't it working anymore?
											Why do today's non-stop shocks —
											why don't they spur us into action?
											Why don't they produce leaps?
											Especially when it comes
to climate change.
									","
											Si c'est vraiment ce qu'il fallait faire,
											pourquoi cela ne fonctionne-t-il plus ?
											Pourquoi est-ce que
les chocs permanents actuels
											ne nous poussent pas à agir ?
											Pourquoi ne créent-ils pas d'avancées ?
											Surtout quand il s'agit
du changement climatique.
									","
											Si un colapso fue lo que se necesitó,
											entonces ¿por qué no funciona igual ahora?
											¿Por qué las crisis constantes de hoy
											no nos incentivan a la acción?
											¿Por qué no nos impulsan?
											En especial cuando se trata
del cambio climático.
									","
											Wenn das schon alles war,
											warum funktioniert es dann nicht mehr?
											Warum machen die heutigen
Nonstop-Schocks —
											warum spornen sie uns
nicht an, zu handeln?
											Warum erzeugen sie keine Sprünge?
											Besonders in Bezug auf den Klimawandel.
									",How shocking events can spark positive change,Naomi Klein,15:35,"activism,big problems,climate change,collaboration,future,communication,inequality,government,global issues,society,social change,politics"
