en,tr,es,de,title,speaker,duration,tags
"
","
","
","
",You aren't at the mercy of your emotions — your brain creates them,Lisa Feldman Barrett,18:15,"emotions,brain,science,humanity,society,personal growth"
"
											My research lab sits about a mile
from where several bombs exploded
											during the Boston Marathon in 2013.
											The surviving bomber,
Dzhokhar Tsarnaev of Chechnya,
											was tried, convicted
and sentenced to death.
									","
											Araştırma laboratuvarım
2013 Boston Maratonu saldırılarının
											olduğu yere çok yakın.
											Hayatta kalan suçlu
Çeçenyalı Dzhokhar Tsarnaev
											yargılandı, suçlu bulundu
ve idama mahkûm edildi.
									","
											Mi laboratorio está a menos de 2 km
de donde explotaron las bombas
											durante el maratón de Boston en 2013.
											El terrorista que sobrevivió,
el checheno Dzhokhar Tsárnayev,
											fue enjuiciado y condenado
a la pena de muerte.
									","
											Mein Forschungslabor ist
ca. 1 Meile von der Stelle entfernt,
											an der 2013 beim Boston Marathon
mehrere Bomben explodierten.
											Der überlebende Attentäter, 
Dschochar Zarnajew aus Tschetschenien,
											wurde für schuldig erklärt 
und zum Tode verurteilt.
									",You aren't at the mercy of your emotions — your brain creates them,Lisa Feldman Barrett,18:15,"emotions,brain,science,humanity,society,personal growth"
"
","
","
","
",You aren't at the mercy of your emotions — your brain creates them,Lisa Feldman Barrett,18:15,"emotions,brain,science,humanity,society,personal growth"
"
											Now, when a jury has to make the decision
											between life in prison
and the death penalty,
											they base their decision largely
on whether or not the defendant
											feels remorseful for his actions.
											Tsarnaev spoke words of apology,
											but when jurors looked at his face,
											all they saw was a stone-faced stare.
											Now, Tsarnaev is guilty,
there's no doubt about that.
											He murdered and maimed innocent people,
											and I'm not here to debate that.
											My heart goes out
to all the people who suffered.
											But as a scientist, I have to tell you
											that jurors do not
and cannot detect remorse
											or any other emotion in anybody ever.
											Neither can I, and neither can you,
											and that's because emotions
are not what we think they are.
											They are not universally
expressed and recognized.
											They are not hardwired brain reactions
											that are uncontrollable.
											We have misunderstood
the nature of emotion
											for a very long time,
											and understanding what emotions really are
has important consequences for all of us.
									","
											Jüri müebbet hapis
veya idam cezası arasında
											bir karar vereceği zaman,
											kararlarını büyük ölçüde
davalının yaptıklarına dair
											duyduğu pişmanlığa göre veriyorlar.
											Tsarnaev özür diledi
											ama jüri onun yüzüne baktığında,
											tek gördükleri donuk bir ifadeydi.
											Tsarnaev suçlu,
buna hiç şüphe yok.
											Masum insanları katletti ve yaraladı,
											bunun tartışmasını yapmayacağım.
											Bu saldırıdan muzdarip
herkesin acısını anlıyorum.
											Ancak bilim insanı olarak
şunu söylemeliyim ki
											jüriler hiç kimsedeki pişmanlık
veya başka bir duyguyu
											fark edemezler.
											Ne ben ne de siz fark edebilirsiniz
											çünkü duygular
sandığınız şeyler değiller.
											Evrensel olarak ifade edilip
tanınmıyorlar.
											Kontrol edilemeyen,
beyne bağlı
											reaksiyonlar değiller.
											Duygunun doğasını
çok uzun bir süre
											yanlış anladık
											ve onların aslında ne olduğunu anlamak
hepimiz için önemli sonuçlar verecektir.
									","
											Cuando un jurado debe decidir
											entre una cadena perpetua
y la pena de muerte,
											la decisión se basa en gran medida
en si el acusado muestra o no
											remordimiento por sus acciones.
											Tsárnayev se disculpó,
											pero cuando los jurados
lo miraron a la cara,
											solo vieron una mirada fría.
											Tsárnayev es culpable,
no hay duda sobre eso.
											Asesinó y mutiló a personas inocentes
											y no estoy aquí para debatir sobre eso.
											Me compadezco de todas
las personas que sufrieron,
											pero como científica debo decirles
											que los jurados no pueden
detectar el remordimiento
											ni ninguna otra emoción en nadie.
											Tampoco puedo yo, ni ustedes,
											porque las emociones
no son lo creemos que son.
											No son expresadas
ni reconocidas universalmente.
											No son reacciones cerebrales programadas
											que son incontrolables.
											Hemos malinterpretado la naturaleza
de la emoción durante mucho tiempo,
											y entender realmente las emociones tiene
importantes consecuencias para todos.
									","
											Wenn die Geschworenen
zwischen lebenslanger Haftstrafe
											und der Todesstrafe entscheiden müssen,
											beruht ihre Entscheidung vor allem darauf,
											ob der Angeklagte seine Tat bereut.
											Zarnajew äußerte bedauernde Worte,
											aber wenn Geschworene
sein Gesicht betrachteten,
											sahen sie nur einen versteinerten Blick.
											Zarnajew ist schuldig, 
da besteht kein Zweifel.
											Er tötete und verstümmelte Unschuldige.
											Ich bin nicht hier, 
um darüber zu debattieren.
											Mein Beileid gilt all denen,
die gelitten haben.
											Aber als Wissenschaftlerin 
muss ich Ihnen sagen,
											dass Geschworene weder Reue noch
irgendeine andere Emotion
											jemals in jemandem lesen können.
											Sie und ich können das auch nicht.
											Das liegt daran, dass Emotionen 
nicht das sind, was wir denken.
											Sie werden nicht allgemeingültig
ausgedrückt und erkannt.
											Sie sind keine fest verdrahteten
Gehirnreaktionen,
											die unkontrollierbar sind.
											Wir haben Emotionen
lange Zeit falsch verstanden
											und das richtige Verständnis hat 
wichtige Konsequenzen für uns alle.
									",You aren't at the mercy of your emotions — your brain creates them,Lisa Feldman Barrett,18:15,"emotions,brain,science,humanity,society,personal growth"
"
","
","
","
",You aren't at the mercy of your emotions — your brain creates them,Lisa Feldman Barrett,18:15,"emotions,brain,science,humanity,society,personal growth"
"
											I have studied emotions as a scientist
for the past 25 years,
											and in my lab, we have probed human faces
by measuring electrical signals
											that cause your facial muscles to contract
to make facial expressions.
											We have scrutinized
the human body in emotion.
											We have analyzed
hundreds of physiology studies
											involving thousands of test subjects.
											We've scanned hundreds of brains,
											and examined every
brain imaging study on emotion
											that has been published
in the past 20 years.
											And the results of all of this research
are overwhelmingly consistent.
											It may feel to you
like your emotions are hardwired
											and they just trigger and happen to you,
											but they don't.
											You might believe that your brain
is prewired with emotion circuits,
											that you're born with emotion
circuits, but you're not.
											In fact, none of us in this room
have emotion circuits in our brain.
											In fact, no brain on this planet
contains emotion circuits.
									","
											Son 25 yıl boyunca
bilim insanı olarak duyguları araştırdım.
											Laboratuvarımda, mimikleriniz
için kullandığınız yüz kaslarınızın
											kasılmasını sağlayan elektronik
sinyallerle insan yüzlerini araştırdık.
											Duygu hâlindeki insan bedenini
her yönüyle inceledik.
											Binlerce deney katılımcısıyla
											yüzlerce fizyoloji çalışması yaptık.
											Yüzlerce beyni taradık
											ve son 20 yıl içinde yayınlanmış
											her beyin duygu çalışmasını inceledik.
											Tüm bu araştırmaların sonuçları
inanılmaz şekilde tutarlı.
											Duygularınızın
adeta donanımsal olduğunu
											tetiklenip ortaya çıktıklarını
hissediyor olabilirsiniz
											ama değiller.
											Beyninizin duygu devreleriyle
bağlı olduğuna
											duygularla doğduğunuza
inanıyor olabilirsiniz ama öyle değil.
											Hiçbirimizin beyninde
duygu devreleri yok.
											Gezegende hiçbir canlının
beyninde duygu devreleri yok.
									","
											He estudiado científicamente
las emociones los últimos 25 años.
											En mi laboratorio hemos estudiado rostros
humanos midiendo las señales eléctricas
											que contraen los músculos del rostro
y producen las expresiones faciales.
											Hemos escudriñado el cuerpo humano
en estado de emoción.
											Hemos analizado cientos
de estudios fisiológicos
											involucrando a miles
de sujetos de estudio.
											Hemos escaneado cientos de cerebros
											y examinado todos los estudios
de imágenes cerebrales sobre la emoción
											publicados en los últimos 20 años.
											Y los resultados de esta investigación
son rotundamente consistentes.
											Puede parecer que las emociones
están programadas
											y que se disparan y nos ""suceden"",
											pero no es así.
											Podemos creer que nuestro cerebro viene
programado con circuitos emocionales,
											que nacemos con circuitos
emocionales, pero no es así.
											De hecho, ninguno de nosotros aquí
tiene circuitos emocionales en su cerebro.
											De hecho, ningún cerebro en este planeta
contiene circuitos emocionales.
									","
											Ich erforsche seit 25 Jahren
wissenschaftlich Emotionen.
											In meinem Labor haben wir
Gesichter untersucht,
											indem wir die elektrischen
Signale vermessen,
											die die Gesichtsmuskeln
kontrahieren lassen,
											sodass Gesichtsausdrücke entstehen.
											Wir haben den Körper in Bezug 
auf Emotionen untersucht.
											Wir haben hunderte physiologische Studien
											mit Tausenden von Probanden analysiert.
											Wir haben Hunderte von Gehirnen gescannt
											und jede bildgebende Gehirn-Studie
über Emotionen analysiert,
											die in den letzten 20 Jahren
veröffentlicht wurde.
											Die Ergebnisse dieser Forschungen
sind überwältigend einheitlich.
											Es mag sich für Sie so anfühlen,
als seien Gefühle fest verdrahtet
											und dass sie einfach ausgelöst 
werden und Ihnen zustoßen,
											aber das tun sie nicht.
											Sie glauben vielleicht,
											dass Ihr Gehirn fest verdrahtete
emotionale Schaltkreise hat,
											und dass diese angeboren sind,
aber das ist nicht so.
											Tatsache ist, dass keiner von uns hier
emotionale Schaltkreise im Gehirn hat.
											Tatsächlich besitzt kein Gehirn 
dieser Welt emotionale Schaltkreise.
									",You aren't at the mercy of your emotions — your brain creates them,Lisa Feldman Barrett,18:15,"emotions,brain,science,humanity,society,personal growth"
"
","
","
","
",You aren't at the mercy of your emotions — your brain creates them,Lisa Feldman Barrett,18:15,"emotions,brain,science,humanity,society,personal growth"
"
											So what are emotions, really?
											Well, strap on your seat belt,
because ...
											emotions are guesses.
											They are guesses that your brain
constructs in the moment
											where billions of brain cells
are working together,
											and you have more control
over those guesses
											than you might imagine that you do.
									","
											Peki nedir duygular?
											Sıkı durun, çünkü...
											duygular tahminlerdir.
											Milyarlarca beyin hücresinin
birlikte çalıştığı bir anda
											beyninizin yaptığı tahminlerdir
											ve bu tahminler üzerinde
											sandığınızdan çok daha fazla 
kontrolünüz var.
									","
											¿Qué son las emociones realmente?
											Bueno, ajusten sus cinturones porque...
											las emociones son conjeturas.
											Son conjeturas que nuestro cerebro
construye en el momento,
											con miles de millones de neuronas
trabajando al mismo tiempo.
											Y tenemos más control
sobre esas conjeturas
											de lo que uno podría imaginarse.
									","
											Was sind Emotionen dann wirklich?
											Legen Sie Ihren
Sicherheitsgurt an, denn ...
											Emotionen sind Vermutungen.
											Sie sind Vermutungen,
die Ihr Gehirn in dem Moment aufstellt,
											wo Milliarden von 
Nervenzellen zusammenarbeiten
											und Sie haben mehr Kontrolle
über diese Vermutungen,
											als Sie wahrscheinlich denken.
									",You aren't at the mercy of your emotions — your brain creates them,Lisa Feldman Barrett,18:15,"emotions,brain,science,humanity,society,personal growth"
"
","
","
","
",You aren't at the mercy of your emotions — your brain creates them,Lisa Feldman Barrett,18:15,"emotions,brain,science,humanity,society,personal growth"
"
											Now, if that sounds preposterous to you,
or, you know, kind of crazy,
											I'm right there with you, because frankly,
if I hadn't seen the evidence for myself,
											decades of evidence for myself,
											I am fairly sure
that I wouldn't believe it either.
											But the bottom line is that emotions
are not built into your brain at birth.
											They are just built.
									","
											Bunun inanılması güç
veya çılgınca olduğunu düşünüyorsanız,
											size katılıyorum çünkü
yıllar boyunca bunun kanıtlarını
											görmemiş olsaydım,
											buna ben de inanmazdım.
											Ancak gerçek şu ki duygular
doğuştan gelmiyor.
											Sonradan oluşuyor.
									","
											Si esto les suena absurdo o un poco loco,
											los entiendo porque, francamente,
si yo no hubiera visto la evidencia,
											décadas de evidencia,
											seguramente yo tampoco lo creería.
											El punto es que las emociones
no son innatas en nuestro cerebro,
											simplemente se construyen.
									","
											Falls sich das nun absurd für Sie anhört,
oder irgendwie verrückt,
											stimme ich Ihnen zu, wenn ich 
die Beweise nicht selbst gesehen hätte —
											jahrzehntelange Beweise —
											dann bin ich sicher,
dass ich es auch nicht geglaubt hätte.
											Entscheidend ist, dass Emotionen nicht von
Geburt an ins Gehirn eingepflanzt sind.
											Sie werden aufgebaut.
									",You aren't at the mercy of your emotions — your brain creates them,Lisa Feldman Barrett,18:15,"emotions,brain,science,humanity,society,personal growth"
