en,es,fr,de,title,speaker,duration,tags
"
","
","
","
","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
											Hi.
											(Laughter)
									","
											Buenas.
											(Risas)
									","
											Salut.
											(Rires)
									","
											Hi.
											(Lachen)
									","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
","
","
","
","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
											I did that for two reasons.
											First of all, I wanted to give you
											a good visual first impression.
											But the main reason I did it is that
											that's what happens to me when I'm forced to wear
											a Lady Gaga skanky mic.
									","
											Lo he hecho por dos motivos.
											Uno: quería causarles
											una buena impresión visual.
											Pero sobre todo porque
											esto es lo que ocurre cuando tengo que usar
											un micrófono repulsivo como el de Lady Gaga.
									","
											J'ai fait ça pour deux raisons.
											Tout d'abord, je voulais vous donner
											une bonne première impression visuelle.
											Mais la principale raison, c'est que
											c'est ce qui arrive quand je suis obligé de porter
											un horrible micro à la Lady Gaga.
									","
											Ich habe das aus zwei Gründen getan.
											Erstens wollte ich Ihnen
											einen guten visuellen 
ersten Eindruck vermitteln.
											Aber der Hauptgrund war,
											dass so etwas passiert, 
wenn ich dazu gezwungen werde,
											ein Lady-Gaga-Schmuddel-Mikro zu tragen.
									","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
","
","
","
","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
","
","
","
","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
											I'm used to a stationary mic.
											It's the sensible shoe of public address.
									","
											Estoy acostumbrado a los micrófonos fijos.
											Es lo razonable cuando hablamos en público.
									","
											D'habitude, j'ai un micro à pied.
											C'est l'outil adéquat pour s'adresser à un public.
									","
											Ich bin ein festes Mikro gewohnt.
											Es ist der vernünftige Schuh 
zur öffentlichen Anrede.
									","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
","
","
","
","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
","
","
","
","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
											But you clamp this thing on my head, and something happens.
											I just become skanky.
											(Laughter) So I'm sorry about that.
											And I'm already off-message.
									","
											Pero con esto en la cabeza me ocurre algo.
											Me pongo raro.
											(Risas) Lo siento.
											Ya me he ido del tema.
									","
											Mais vous me serrez cette chose sur la tête, et il se passe quelque chose.
											Je commence à frimer.
											(Rires) Donc, je suis désolé.
											Et je suis déjà hors-sujet.
									","
											Aber man befestigt dieses Ding 
am Kopf, und dann passiert sowas.
											Ich werde einfach schmuddelig.
											(Lachen) Das tut mir also leid.
											Und schon bin ich von 
meinem Thema abgekommen.
									","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
","
","
","
","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
											(Laughter)
									","
											(Risas)
									","
											(Rires)
									","
											(Lachen)
									","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
","
","
","
","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
											Ladies and gentlemen,
											I have devoted the past 25 years of my life
											to designing books.
											(""Yes, BOOKS. You know, the bound volumes with ink on paper.
											You cannot turn them off with a switch.
											Tell your kids."")
											It all sort of started as a benign mistake,
											like penicillin. (Laughter)
									","
											Damas y caballeros,
											he dedicado los últimos 25 años de mi vida
											a diseñar libros.
											""Sí, LIBROS. Esos papeles encuadernados llenos de tinta
											que no se apagan con un interruptor.
											Avisen a sus hijos"".
											Empezó como un error afortunado,
											como la penicilina. (Risas)
									","
											Mesdames et Messieurs,
											j'ai consacré les 25 dernières années de ma vie
											à concevoir des maquettes de livres.
											""Oui, des LIVRES. Vous savez, les volumes reliés avec de l'encre sur le papier.
											On ne peut pas les éteindre en appuyant sur un bouton.
											Dites-le à vos enfants. ""
											Tout a commencé par une heureuse erreur,
											comme pour la pénicilline. (Rires)
									","
											Meine Damen und Herren,
											ich habe die letzten 
25 Jahre meines Lebens
											dem Design von Büchern gewidmet.
											[""Ja, BÜCHER. Gebundene Dinger
mit Tinte auf Papier.
											Sie können sie nicht ausschalten.
											Erzählen Sie das Ihren Kindern.""]
											Alles fing mit einem harmlosen Fehler an,
											wie etwa bei Penizillin. (Lachen)
									","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
"
","
","
","
","Designing books is no laughing matter. OK, it is.",Chip Kidd,17:16,"creativity,design,humor,literature"
