en,tr,fr,de,pt,title,speaker,duration,tags
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											Hello.
											Well, I'm here to talk to you
about my animal muse:
											the sloth.
									","
											Merhaba.
											Sizlere ilham kaynağı
hayvanımdan bahsetmeye geldim:
											Tembel hayvan.
									","
											Bonjour.
											Je suis ici pour vous parler
de ma muse animale :
											le paresseux.
									","
											Hallo.
											Ich bin hier, um mit Ihnen
über meine tierische Muse zu sprechen:
											das Faultier.
									","
											Olá.
											Estou aqui para vos falar
da minha musa animal:
											a preguiça.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Gülme sesleri)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											I've been documenting the strange lives
of the world's slowest mammal
											for the last 10 years.
											I still remember the first time I saw one.
											I was fascinated by their freaky biology.
											I mean, what's not to love
about an animal that's born
											with a fixed grin on its face?
									","
											Son 10 yıldır
											dünyanın bu en yavaş memelisinin
tuhaf hayatını araştırıyorum.
											Bir tanesini ilk gördüğüm o anı
hâlâ hatırlıyorum.
											Acayip biyolojileri beni büyülemişti.
											Yüzünde kalıcı bir gülümsemeyle
doğan bir hayvanı
											kim nasıl sevmez ki?
									","
											J'ai documenté les étranges vies
du mammifère le plus lent au monde
											durant les 10 dernières années.
											Je me souviens encore
de la première fois où j'en ai vu un.
											J'ai été fascinée
par leur étrange biologie.
											Comment ne pas aimer un animal qui naît
avec un sourire permanent sur le visage ?
									","
											Ich dokumentiere das seltsame Leben
des langsamsten Säugetiers der Welt
											nun seit 10 Jahren.
											Ich weiß noch, wie ich
das erste Mal eines sah.
											Ich war fasziniert
von seiner seltsamen Biologie.
											Man muss es ja auch
einfach lieb haben,
											mit seinem permanenten Grinsen.
									","
											Tenho estado a documentar a estranha vida
do mamífero mais lento do mundo
											nos últimos 10 anos.
											Ainda me lembro
da primeira vez que vi uma.
											Fiquei fascinada
pela sua biologia bizarra.
											Quer dizer, como não gostar de um animal
											nascido com um sorriso fixo
no focinho?
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											(Laughter)
									","
											(Kahkahalar)
									","
											(Rires)
									","
											(Gelächter)
									","
											(Risos)
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											And the need to hug.
									","
											Bir de o sarılma arzusu.
									","
											Et le besoin d'un câlin.
									","
											Und seinem Verlangen, alles zu umarmen.
									","
											E com a necessidade de abraçar.
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
											Audience: Awww.
									","
											İzleyici: Awww.
									","
											Public : Ohhhhh.
									","
											Publikum: Oooooh.
									","
											Audiência: Ohhh...
									",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
"
","
","
","
","
",Sloths! The strange life of the world's slowest mammal,Lucy Cooke,14:11,"animals,nature,evolution,science,environment,biology,life"
